Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ростов-на-Дону, Советская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2303	УИК №2626									
		2.02%	2.34%	2.45%	1.76%	1.76%	2.80%	0.18%	0.68%	4.53%	3.44%	1.62%	3.85%	0.91%	0.12%	1.73%	1.62%	1.74%	2.38%	2.59%	2.60%	1.26%	0.94%	2.97%	4.42%	1.84%	1.33%	1.42%	2.29%	3.03%	1.30%	1.65%	3.17%	2.45%	2.60%	0.94%	4.14%	1.32%	2.24%	1.31%	2.56%	2.20%	4.46%	2.19%	4.05%	1.39%	1.05%	0.12%	2.86%	2.65%	1.43%	2.87%	2.06%	1.40%	0.21%	1.14%	1.21%	1.31%	1.24%	1.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1123	25	11	17	21	23	8	27	11	29	32	31	30	23	29	29	21	22	12	13	12	12	24	26	20	15	17	20	17	8	14	18	24	19	10	13	5	20	8	7	21	26	19	8	78	27	6	13	20	28	24	17	15	12	28	0	22	17	19									
		1.88%	2.34%	0.96%	1.42%	1.54%	2.22%	0.48%	1.40%	0.56%	2.63%	2.07%	3.31%	3.41%	2.76%	2.29%	2.13%	1.92%	2.09%	0.78%	1.54%	1.16%	1.61%	2.75%	2.95%	2.16%	2.00%	2.19%	2.29%	2.24%	0.95%	1.29%	1.90%	2.94%	2.90%	1.57%	2.15%	0.51%	2.24%	0.87%	0.78%	2.10%	3.05%	1.98%	0.72%	8.34%	1.89%	0.37%	0.95%	2.31%	2.85%	3.28%	1.95%	3.00%	2.55%	1.88%	0.00%	2.88%	1.32%	1.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	995	21	10	7	25	19	17	27	25	16	24	26	27	10	29	35	26	21	50	14	4	13	29	14	20	22	0	15	15	12	9	20	11	11	3	11	5	23	4	14	15	22	33	33	19	15	5	14	21	18	13	18	7	12	16	0	22	11	17									
		1.67%	1.97%	0.87%	0.59%	1.84%	1.83%	1.01%	1.40%	1.27%	1.45%	1.56%	2.78%	3.07%	1.20%	2.29%	2.57%	2.37%	1.99%	3.23%	1.65%	0.39%	1.74%	3.32%	1.59%	2.16%	2.93%	0.00%	1.71%	1.98%	1.42%	0.83%	2.11%	1.35%	1.68%	0.47%	1.82%	0.51%	2.58%	0.44%	1.56%	1.50%	2.58%	3.44%	2.97%	2.03%	1.05%	0.31%	1.02%	2.42%	1.83%	1.78%	2.06%	1.40%	2.55%	1.07%	0.00%	2.88%	0.85%	1.25%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33572	608	764	713	922	498	1225	1082	938	450	1031	370	483	507	636	698	511	515	1001	486	625	349	336	308	428	316	418	506	300	521	667	433	374	273	441	277	558	424	597	515	557	341	454	583	623	901	980	1044	433	543	314	463	266	288	1107	315	484	835	937									
		56.19%	56.98%	66.72%	59.72%	67.79%	48.02%	72.96%	56.21%	47.76%	40.76%	66.82%	39.53%	54.89%	60.86%	50.12%	51.25%	46.67%	48.95%	64.71%	57.45%	60.50%	46.85%	38.44%	34.92%	46.32%	42.13%	53.94%	57.83%	39.58%	61.73%	61.31%	45.77%	45.83%	41.68%	69.34%	45.86%	56.77%	47.53%	65.10%	57.22%	55.76%	40.02%	47.39%	52.48%	66.63%	63.01%	60.61%	76.43%	49.94%	55.35%	42.90%	52.97%	53.20%	61.15%	74.15%	76.09%	63.27%	64.68%	69.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	468	10	8	4	14	11	9	7	3	20	16	9	14	2	12	11	12	7	15	4	4	6	12	21	10	9	8	6	11	4	8	14	3	6	2	3	1	0	5	8	6	14	7	12	8	0	2	5	16	16	9	5	2	4	10	0	1	11	11									
		0.78%	0.94%	0.70%	0.34%	1.03%	1.06%	0.54%	0.36%	0.15%	1.81%	1.04%	0.96%	1.59%	0.24%	0.95%	0.81%	1.10%	0.67%	0.97%	0.47%	0.39%	0.81%	1.37%	2.38%	1.08%	1.20%	1.03%	0.69%	1.45%	0.47%	0.74%	1.48%	0.37%	0.92%	0.31%	0.50%	0.10%	0.00%	0.55%	0.89%	0.60%	1.64%	0.73%	1.08%	0.86%	0.00%	0.12%	0.37%	1.85%	1.63%	1.23%	0.57%	0.40%	0.85%	0.67%	0.00%	0.13%	0.85%	0.81%									
24	"6. Политическая партия ""Гражданская Платформа"""	143	0	4	0	0	3	1	3	5	2	3	0	3	1	4	2	4	4	10	2	5	3	2	4	2	3	5	0	2	1	0	3	3	1	0	0	3	0	0	0	0	0	4	3	1	18	3	0	15	2	0	0	2	1	3	0	1	0	2									
		0.24%	0.00%	0.35%	0.00%	0.00%	0.29%	0.06%	0.16%	0.25%	0.18%	0.19%	0.00%	0.34%	0.12%	0.32%	0.15%	0.37%	0.38%	0.65%	0.24%	0.48%	0.40%	0.23%	0.45%	0.22%	0.40%	0.65%	0.00%	0.26%	0.12%	0.00%	0.32%	0.37%	0.15%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.27%	0.11%	1.26%	0.19%	0.00%	1.73%	0.20%	0.00%	0.00%	0.40%	0.21%	0.20%	0.00%	0.13%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6305	82	66	101	133	137	48	154	151	201	111	105	29	114	174	190	151	143	102	85	73	49	133	153	137	118	103	98	104	73	31	108	123	115	84	101	135	124	89	106	111	133	142	132	21	172	29	67	118	117	128	140	79	66	123	34	110	138	111									
		10.55%	7.69%	5.76%	8.46%	9.78%	13.21%	2.86%	8.00%	7.69%	18.21%	7.19%	11.22%	3.30%	13.69%	13.71%	13.95%	13.79%	13.59%	6.59%	10.05%	7.07%	6.58%	15.22%	17.35%	14.83%	15.73%	13.29%	11.20%	13.72%	8.65%	2.85%	11.42%	15.07%	17.56%	13.21%	16.72%	13.73%	13.90%	9.71%	11.78%	11.11%	15.61%	14.82%	11.88%	2.25%	12.03%	1.79%	4.90%	13.61%	11.93%	17.49%	16.02%	15.80%	14.01%	8.24%	8.21%	14.38%	10.69%	8.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	554	23	9	11	9	16	0	3	2	15	17	11	12	7	20	26	14	18	6	7	2	6	14	12	10	10	8	11	10	9	6	12	8	12	0	10	11	10	3	5	4	16	15	19	0	15	2	8	9	6	8	12	2	6	2	0	2	15	18									
		0.93%	2.16%	0.79%	0.92%	0.66%	1.54%	0.00%	0.16%	0.10%	1.36%	1.10%	1.18%	1.36%	0.84%	1.58%	1.91%	1.28%	1.71%	0.39%	0.83%	0.19%	0.81%	1.60%	1.36%	1.08%	1.33%	1.03%	1.26%	1.32%	1.07%	0.55%	1.27%	0.98%	1.83%	0.00%	1.66%	1.12%	1.12%	0.33%	0.56%	0.40%	1.88%	1.57%	1.71%	0.00%	1.05%	0.12%	0.59%	1.04%	0.61%	1.09%	1.37%	0.40%	1.27%	0.13%	0.00%	0.26%	1.16%	1.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	939	21	13	19	18	22	3	5	2	40	25	24	13	6	25	24	17	16	11	18	2	4	31	36	10	16	14	22	19	9	17	41	32	12	0	14	17	19	9	18	12	27	25	20	13	20	1	5	31	19	4	20	6	2	11	4	3	29	23									
		1.57%	1.97%	1.14%	1.59%	1.32%	2.12%	0.18%	0.26%	0.10%	3.62%	1.62%	2.56%	1.48%	0.72%	1.97%	1.76%	1.55%	1.52%	0.71%	2.13%	0.19%	0.54%	3.55%	4.08%	1.08%	2.13%	1.81%	2.51%	2.51%	1.07%	1.56%	4.33%	3.92%	1.83%	0.00%	2.32%	1.73%	2.13%	0.98%	2.00%	1.20%	3.17%	2.61%	1.80%	1.39%	1.40%	0.06%	0.37%	3.58%	1.94%	0.55%	2.29%	1.20%	0.42%	0.74%	0.97%	0.39%	2.25%	1.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	73	0	5	0	0	0	7	0	5	2	0	0	2	2	0	0	1	0	16	0	3	3	1	0	0	0	0	0	0	3	1	0	2	1	0	0	1	0	0	0	1	0	2	2	2	0	0	1	1	0	1	3	1	0	3	0	0	1	0									
		0.12%	0.00%	0.44%	0.00%	0.00%	0.00%	0.42%	0.00%	0.25%	0.18%	0.00%	0.00%	0.23%	0.24%	0.00%	0.00%	0.09%	0.00%	1.03%	0.00%	0.29%	0.40%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.09%	0.00%	0.25%	0.15%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.10%	0.00%	0.21%	0.18%	0.21%	0.00%	0.00%	0.07%	0.12%	0.00%	0.14%	0.34%	0.20%	0.00%	0.20%	0.00%	0.00%	0.08%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1290	22	21	24	16	36	6	31	52	32	22	45	22	4	28	32	25	45	8	23	14	6	25	43	20	32	22	19	31	10	23	54	40	14	3	19	17	20	16	25	25	23	25	24	19	34	9	23	27	11	21	24	4	4	9	7	12	23	19									
		2.16%	2.06%	1.83%	2.01%	1.18%	3.47%	0.36%	1.61%	2.65%	2.90%	1.43%	4.81%	2.50%	0.48%	2.21%	2.35%	2.28%	4.28%	0.52%	2.72%	1.36%	0.81%	2.86%	4.88%	2.16%	4.27%	2.84%	2.17%	4.09%	1.18%	2.11%	5.71%	4.90%	2.14%	0.47%	3.15%	1.73%	2.24%	1.74%	2.78%	2.50%	2.70%	2.61%	2.16%	2.03%	2.38%	0.56%	1.68%	3.11%	1.12%	2.87%	2.75%	0.80%	0.85%	0.60%	1.69%	1.57%	1.78%	1.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9088	162	125	164	127	154	323	385	461	181	184	181	171	128	168	171	198	152	165	114	193	203	165	151	184	125	138	132	164	133	162	126	134	120	69	95	170	156	115	102	158	152	142	151	105	157	519	109	108	131	125	95	87	41	128	26	66	152	85									
		15.21%	15.18%	10.92%	13.74%	9.34%	14.85%	19.24%	20.00%	23.47%	16.39%	11.92%	19.34%	19.43%	15.37%	13.24%	12.56%	18.08%	14.45%	10.67%	13.48%	18.68%	27.25%	18.88%	17.12%	19.91%	16.67%	17.81%	15.09%	21.64%	15.76%	14.89%	13.32%	16.42%	18.32%	10.85%	15.73%	17.29%	17.49%	12.54%	11.33%	15.82%	17.84%	14.82%	13.59%	11.23%	10.98%	32.10%	7.98%	12.46%	13.35%	17.08%	10.87%	17.40%	8.70%	8.57%	6.28%	8.63%	11.77%	6.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	292	14	7	6	3	4	2	0	17	10	1	2	3	3	28	8	2	4	42	2	5	11	3	3	6	4	11	2	3	4	4	3	2	7	1	2	5	0	2	1	2	2	1	3	0	3	7	6	7	2	1	7	2	0	3	0	0	3	6									
		0.49%	1.31%	0.61%	0.50%	0.22%	0.39%	0.12%	0.00%	0.87%	0.91%	0.06%	0.21%	0.34%	0.36%	2.21%	0.59%	0.18%	0.38%	2.71%	0.24%	0.48%	1.48%	0.34%	0.34%	0.65%	0.53%	1.42%	0.23%	0.40%	0.47%	0.37%	0.32%	0.25%	1.07%	0.16%	0.33%	0.51%	0.00%	0.22%	0.11%	0.20%	0.23%	0.10%	0.27%	0.00%	0.21%	0.43%	0.44%	0.81%	0.20%	0.14%	0.80%	0.40%	0.00%	0.20%	0.00%	0.00%	0.23%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3088	41	56	107	39	61	27	188	203	57	52	65	50	20	80	85	75	69	62	42	78	62	56	55	60	60	9	14	50	43	121	67	30	35	14	20	39	75	47	72	61	46	49	60	25	53	45	22	30	51	41	34	16	15	26	20	21	40	47									
		5.17%	3.84%	4.89%	8.96%	2.87%	5.88%	1.61%	9.77%	10.34%	5.16%	3.37%	6.94%	5.68%	2.40%	6.30%	6.24%	6.85%	6.56%	4.01%	4.96%	7.55%	8.32%	6.41%	6.24%	6.49%	8.00%	1.16%	1.60%	6.60%	5.09%	11.12%	7.08%	3.68%	5.34%	2.20%	3.31%	3.97%	8.41%	5.13%	8.00%	6.11%	5.40%	5.11%	5.40%	2.67%	3.71%	2.78%	1.61%	3.46%	5.20%	5.60%	3.89%	3.20%	3.18%	1.74%	4.83%	2.75%	3.10%	3.46%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
