Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Белебеевская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	948	15	0	5	25	10	22	26	20	15	35	33	20	17	24	10	23	20	28	25	20	16	43	10	30	15	20	34	26	13	22	15	10	28	20	30	10	10	10	30	0	5	5	20	15	5	10	10	5	10	5	7	4	0	0	5	7	5	0	5	5	5	7	5	2	6	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	878	12	0	4	25	10	18	26	20	15	33	33	20	17	24	9	23	20	28	25	20	15	43	8	28	12	20	33	26	10	22	15	10	20	19	29	8	10	10	30	0	3	5	19	15	3	5	6	0	10	4	7	4	0	0	4	7	5	0	5	5	2	7	2	2	5	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	492	5	14	0	6	6	5	4	8	8	6	9	27	6	2	5	13	4	16	11	6	10	8	2	36	2	8	5	12	4	4	24	10	10	10	29	5	15	3	21	15	3	3	4	6	4	0	6	0	6	2	3	2	15	4	1	5	5	1	6	1	0	2	4	5	1	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	70	3	0	1	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	2	3	0	1	0	3	0	0	0	8	1	1	2	0	0	0	0	2	0	1	0	2	5	4	5	0	1	0	0	0	0	1	0	0	0	0	0	3	0	3	0	1	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	0	1	0	2	0	1	0	1	1	2	4	3	2	2	1	1	2	1	3	0	1	2	0	1	1	2	4	3	0	2	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1572	12	1	22	0	19	1	81	17	4	62	11	3	17	10	14	6	25	6	6	7	1	8	5	10	15	6	149	152	80	91	65	71	120	75	138	46	64	2	30	2	8	8	4	43	1	5	0	2	4	2	3	0	0	6	0	1	8	2	3	9	0	0	2	4	0	0	3					
		2.55%	0.87%	0.13%	1.75%	0.00%	1.87%	0.09%	13.04%	2.34%	0.46%	4.33%	0.69%	0.19%	1.29%	0.69%	1.51%	0.50%	1.53%	0.30%	0.39%	0.59%	0.06%	0.46%	0.34%	0.65%	1.37%	0.37%	9.28%	9.12%	9.58%	10.73%	6.14%	7.76%	7.42%	9.16%	7.63%	4.30%	5.98%	0.44%	1.51%	1.13%	2.29%	3.17%	0.43%	6.94%	0.38%	1.82%	0.00%	0.83%	0.29%	0.79%	0.30%	0.00%	0.00%	1.00%	0.00%	0.14%	1.90%	1.24%	1.60%	2.82%	0.00%	0.00%	0.36%	0.59%	0.00%	0.00%	1.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2603	2	36	11	55	21	30	80	11	53	67	60	49	16	67	12	85	66	86	18	28	70	79	31	92	33	65	144	148	67	67	78	72	155	76	145	70	103	2	60	4	7	4	5	34	0	4	3	6	7	6	4	5	2	11	3	14	3	9	3	13	10	0	2	4	2	15	13					
		4.23%	0.15%	4.85%	0.88%	4.95%	2.07%	2.84%	12.88%	1.52%	6.11%	4.68%	3.75%	3.16%	1.22%	4.60%	1.29%	7.12%	4.04%	4.30%	1.16%	2.35%	4.48%	4.52%	2.10%	5.95%	3.01%	3.96%	8.97%	8.88%	8.02%	7.90%	7.37%	7.87%	9.59%	9.28%	8.02%	6.54%	9.63%	0.44%	3.02%	2.26%	2.01%	1.59%	0.53%	5.48%	0.00%	1.46%	0.72%	2.50%	0.50%	2.38%	0.40%	1.13%	1.32%	1.84%	1.07%	1.99%	0.71%	5.59%	1.60%	4.08%	5.10%	0.00%	0.36%	0.59%	0.84%	5.19%	5.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	293	4	1	13	0	3	0	11	5	5	12	13	2	10	4	7	1	15	4	3	8	1	0	15	9	2	5	11	17	3	7	6	4	7	2	8	4	7	0	30	2	2	0	4	3	0	0	2	5	1	0	4	0	0	0	1	1	1	0	0	1	3	0	3	0	0	0	1					
		0.48%	0.29%	0.13%	1.04%	0.00%	0.30%	0.00%	1.77%	0.69%	0.58%	0.84%	0.81%	0.13%	0.76%	0.27%	0.76%	0.08%	0.92%	0.20%	0.19%	0.67%	0.06%	0.00%	1.02%	0.58%	0.18%	0.30%	0.69%	1.02%	0.36%	0.83%	0.57%	0.44%	0.43%	0.24%	0.44%	0.37%	0.65%	0.00%	1.51%	1.13%	0.57%	0.00%	0.43%	0.48%	0.00%	0.00%	0.48%	2.08%	0.07%	0.00%	0.40%	0.00%	0.00%	0.00%	0.36%	0.14%	0.24%	0.00%	0.00%	0.31%	1.53%	0.00%	0.54%	0.00%	0.00%	0.00%	0.43%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7301	182	73	124	111	87	127	126	73	60	226	146	174	110	130	99	147	106	182	203	107	149	175	153	223	109	254	276	267	150	141	143	132	238	147	261	135	200	45	120	10	32	25	94	102	50	30	63	21	223	25	105	61	19	60	25	85	42	13	50	26	14	68	27	80	6	20	14					
		11.86%	13.26%	9.83%	9.88%	9.98%	8.56%	12.03%	20.29%	10.07%	6.92%	15.77%	9.14%	11.21%	8.38%	8.93%	10.68%	12.32%	6.50%	9.11%	13.03%	8.98%	9.54%	10.02%	10.37%	14.41%	9.95%	15.48%	17.20%	16.02%	17.96%	16.63%	13.50%	14.43%	14.72%	17.95%	14.43%	12.61%	18.69%	9.96%	6.04%	5.65%	9.17%	9.92%	10.02%	16.45%	18.87%	10.95%	15.11%	8.75%	15.96%	9.92%	10.53%	13.83%	12.58%	10.03%	8.93%	12.13%	10.00%	8.07%	26.60%	8.15%	7.14%	14.14%	4.85%	11.75%	2.53%	6.92%	5.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	376	2	1	3	2	4	0	13	3	2	16	5	2	12	5	4	2	10	10	1	9	1	0	8	4	1	5	34	29	14	7	9	13	29	13	21	8	12	1	38	1	2	1	0	3	1	1	0	2	1	0	4	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	2					
		0.61%	0.15%	0.13%	0.24%	0.18%	0.39%	0.00%	2.09%	0.41%	0.23%	1.12%	0.31%	0.13%	0.91%	0.34%	0.43%	0.17%	0.61%	0.50%	0.06%	0.76%	0.06%	0.00%	0.54%	0.26%	0.09%	0.30%	2.12%	1.74%	1.68%	0.83%	0.85%	1.42%	1.79%	1.59%	1.16%	0.75%	1.12%	0.22%	1.91%	0.56%	0.57%	0.40%	0.00%	0.48%	0.38%	0.36%	0.00%	0.83%	0.07%	0.00%	0.40%	0.00%	0.66%	0.00%	0.36%	0.14%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.85%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	48964	1170	631	1080	944	871	898	299	614	737	1025	1360	1318	1129	1237	788	952	1388	1702	1322	1020	1328	1485	1254	1190	922	1300	972	1032	511	521	751	610	1051	487	1197	801	669	402	1689	158	297	214	828	433	213	233	349	204	1160	215	868	375	128	519	250	596	360	137	132	270	169	411	517	593	229	254	195					
		79.55%	85.21%	84.93%	86.06%	84.89%	85.73%	85.04%	48.15%	84.69%	85.01%	71.53%	85.11%	84.92%	85.99%	85.02%	85.01%	79.80%	85.05%	85.19%	84.85%	85.57%	85.02%	85.00%	85.02%	76.92%	84.20%	79.22%	60.56%	61.91%	61.20%	61.44%	70.92%	66.67%	64.99%	59.46%	66.17%	74.79%	62.52%	88.94%	85.05%	89.27%	85.10%	84.92%	88.27%	69.84%	80.38%	85.04%	83.69%	85.00%	83.04%	85.32%	87.06%	85.03%	84.77%	86.79%	89.29%	85.02%	85.71%	85.09%	70.21%	84.64%	86.22%	85.45%	92.82%	87.08%	96.62%	87.89%	82.98%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	162	1	0	2	0	3	0	4	2	1	5	3	2	7	2	1	0	21	3	2	13	1	0	4	5	2	0	11	4	2	3	0	4	4	2	5	1	4	0	19	0	1	0	3	2	0	1	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2					
		0.26%	0.07%	0.00%	0.16%	0.00%	0.30%	0.00%	0.64%	0.28%	0.12%	0.35%	0.19%	0.13%	0.53%	0.14%	0.11%	0.00%	1.29%	0.15%	0.13%	1.09%	0.06%	0.00%	0.27%	0.32%	0.18%	0.00%	0.69%	0.24%	0.24%	0.35%	0.00%	0.44%	0.25%	0.24%	0.28%	0.09%	0.37%	0.00%	0.96%	0.00%	0.29%	0.00%	0.32%	0.32%	0.00%	0.36%	0.00%	0.00%	0.07%	0.40%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.85%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
