Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Мишкинская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	396	6	15	2	6	0	8	0	2	6	5	10	8	1	6	2	1	3	2	3	0	25	15	24	31	20	24	1	0	12	6	8	3	2	6	1	5	0	5	9	6	6	11	3	10	10	5	3	5	10	10	3	5	5	10	3	1	2	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	350	6	14	2	5	0	6	0	1	6	4	10	8	1	6	2	1	3	2	3	0	23	13	23	30	20	20	1	0	12	5	5	3	2	4	1	5	0	3	6	6	5	8	2	8	9	5	1	5	8	10	3	4	1	10	2	1	1	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	161	0	1	3	1	1	3	4	2	2	0	3	7	4	3	1	0	1	1	0	3	3	5	5	10	3	5	2	1	3	2	1	1	2	3	4	2	8	4	4	2	2	3	0	3	3	2	4	4	4	4	3	1	4	2	1	5	3	1	2					
14	Число погашенных открепительных удостоверений	46	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	4	0	0	0	1	3	0	0	2	0	0	0	2	3	0	1	3	1	2	1	0	2	0	2	0	0	1	4	0	1	0	1	0	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	534	11	19	13	12	12	7	9	3	6	2	12	9	2	13	5	5	10	8	2	11	26	7	17	21	11	23	5	6	9	7	7	17	11	13	4	10	7	4	9	10	12	10	22	15	5	0	8	17	4	5	4	2	4	9	3	12	3	2	2					
		3.39%	4.16%	4.69%	4.65%	5.10%	6.38%	3.48%	4.28%	1.79%	2.32%	1.18%	3.96%	2.92%	3.33%	4.42%	1.57%	5.10%	2.89%	5.51%	2.02%	8.87%	3.57%	1.59%	3.77%	3.18%	2.35%	3.94%	1.55%	4.68%	2.29%	2.60%	5.03%	7.23%	3.72%	3.18%	3.00%	4.85%	4.79%	3.41%	3.11%	5.58%	3.68%	2.96%	6.50%	2.41%	1.76%	0.0%	3.25%	5.78%	1.26%	1.70%	1.76%	2.38%	3.17%	2.47%	2.34%	9.52%	1.81%	1.17%	1.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	205	7	4	3	3	0	5	2	1	0	2	5	3	2	1	2	0	0	2	0	5	25	6	11	12	5	11	6	0	3	3	3	1	6	2	0	2	1	1	1	3	3	2	1	12	5	2	4	5	5	2	4	1	1	5	0	0	0	1	3					
		1.30%	2.65%	0.98%	1.07%	1.27%	0.0%	2.48%	0.95%	0.59%	0.0%	1.18%	1.65%	0.97%	3.33%	0.34%	0.63%	0.0%	0.0%	1.37%	0.0%	4.03%	3.43%	1.36%	2.44%	1.81%	1.06%	1.88%	1.86%	0.0%	0.76%	1.11%	2.15%	0.42%	2.03%	0.49%	0.0%	0.97%	0.68%	0.85%	0.34%	1.67%	0.92%	0.59%	0.29%	1.93%	1.76%	1.86%	1.62%	1.70%	1.58%	0.68%	1.76%	1.19%	0.79%	1.37%	0.0%	0.0%	0.0%	0.58%	2.5%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	462	6	7	6	12	2	8	5	6	3	5	5	9	6	10	11	1	14	13	5	5	17	8	9	33	9	12	11	6	10	9	8	1	13	9	6	2	1	6	15	5	11	10	11	26	7	2	4	9	9	5	14	3	1	8	2	0	3	7	1					
		2.93%	2.27%	1.72%	2.15%	5.10%	1.06%	3.98%	2.38%	3.59%	1.16%	2.95%	1.65%	2.92%	10.0%	3.40%	3.47%	1.02%	4.05%	8.96%	5.05%	4.03%	2.33%	1.82%	2.0%	5.0%	1.92%	2.05%	3.41%	4.68%	2.55%	3.34%	5.75%	0.42%	4.40%	2.20%	4.51%	0.97%	0.68%	5.12%	5.19%	2.79%	3.37%	2.96%	3.25%	4.19%	2.47%	1.86%	1.62%	3.06%	2.84%	1.70%	6.19%	3.57%	0.79%	2.19%	1.56%	0.0%	1.81%	4.11%	0.83%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	225	6	5	3	4	2	1	2	1	1	1	3	0	0	5	7	4	6	3	3	5	6	3	3	7	4	8	7	0	9	1	7	1	2	11	1	1	2	2	5	4	8	4	8	5	3	2	7	10	9	4	2	0	1	6	3	0	2	0	5					
		1.43%	2.27%	1.23%	1.07%	1.70%	1.06%	0.49%	0.95%	0.59%	0.38%	0.59%	0.99%	0.0%	0.0%	1.70%	2.20%	4.08%	1.73%	2.06%	3.03%	4.03%	0.82%	0.68%	0.66%	1.06%	0.85%	1.37%	2.17%	0.0%	2.29%	0.37%	5.03%	0.42%	0.67%	2.69%	0.75%	0.48%	1.36%	1.70%	1.73%	2.23%	2.45%	1.18%	2.36%	0.80%	1.06%	1.86%	2.84%	3.40%	2.84%	1.36%	0.88%	0.0%	0.79%	1.64%	2.34%	0.0%	1.21%	0.0%	4.16%					
22	"5. ""За Русь Святую"""	85	1	0	3	2	1	0	0	0	0	1	3	2	1	4	5	2	0	1	0	0	2	1	2	5	6	2	3	1	1	1	2	1	1	1	0	1	2	0	3	1	2	1	2	2	1	2	3	1	4	1	3	0	1	0	0	0	0	0	0					
		0.54%	0.37%	0.0%	1.07%	0.85%	0.53%	0.0%	0.0%	0.0%	0.0%	0.59%	0.99%	0.64%	1.66%	1.36%	1.57%	2.04%	0.0%	0.68%	0.0%	0.0%	0.27%	0.22%	0.44%	0.75%	1.28%	0.34%	0.93%	0.78%	0.25%	0.37%	1.43%	0.42%	0.33%	0.24%	0.0%	0.48%	1.36%	0.0%	1.03%	0.55%	0.61%	0.29%	0.59%	0.32%	0.35%	1.86%	1.21%	0.34%	1.26%	0.34%	1.32%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	62	1	0	3	0	0	0	1	2	0	2	1	0	0	2	0	1	2	0	0	1	4	1	5	2	2	2	1	0	4	0	3	0	3	1	0	0	1	1	0	0	2	0	3	3	3	0	2	0	0	1	0	0	0	1	1	0	0	0	0					
		0.39%	0.37%	0.0%	1.07%	0.0%	0.0%	0.0%	0.47%	1.19%	0.0%	1.18%	0.33%	0.0%	0.0%	0.68%	0.0%	1.02%	0.57%	0.0%	0.0%	0.80%	0.55%	0.22%	1.11%	0.30%	0.42%	0.34%	0.31%	0.0%	1.02%	0.0%	2.15%	0.0%	1.01%	0.24%	0.0%	0.0%	0.68%	0.85%	0.0%	0.0%	0.61%	0.0%	0.88%	0.48%	1.06%	0.0%	0.81%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.27%	0.78%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	116	1	4	3	2	0	0	1	1	0	0	1	1	1	2	2	0	4	0	1	1	3	8	4	7	5	6	3	1	3	5	2	1	1	4	0	2	0	2	5	0	6	0	2	4	2	0	0	2	2	7	1	0	0	0	1	0	0	1	1					
		0.73%	0.37%	0.98%	1.07%	0.85%	0.0%	0.0%	0.47%	0.59%	0.0%	0.0%	0.33%	0.32%	1.66%	0.68%	0.63%	0.0%	1.15%	0.0%	1.01%	0.80%	0.41%	1.82%	0.88%	1.06%	1.06%	1.02%	0.93%	0.78%	0.76%	1.85%	1.43%	0.42%	0.33%	0.98%	0.0%	0.97%	0.0%	1.70%	1.73%	0.0%	1.84%	0.0%	0.59%	0.64%	0.70%	0.0%	0.0%	0.68%	0.63%	2.38%	0.44%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.58%	0.83%					
25	"8. ""Народно-республиканская партия России"""	66	1	1	0	1	1	2	1	0	1	1	2	0	2	3	0	1	1	0	0	1	1	2	0	2	4	2	0	0	4	3	0	2	1	2	0	0	0	0	2	2	0	1	0	6	1	1	1	0	0	1	5	0	1	2	1	0	0	0	0					
		0.41%	0.37%	0.24%	0.0%	0.42%	0.53%	0.99%	0.47%	0.0%	0.38%	0.59%	0.66%	0.0%	3.33%	1.02%	0.0%	1.02%	0.28%	0.0%	0.0%	0.80%	0.13%	0.45%	0.0%	0.30%	0.85%	0.34%	0.0%	0.0%	1.02%	1.11%	0.0%	0.85%	0.33%	0.49%	0.0%	0.0%	0.0%	0.0%	0.69%	1.11%	0.0%	0.29%	0.0%	0.96%	0.35%	0.93%	0.40%	0.0%	0.0%	0.34%	2.21%	0.0%	0.79%	0.54%	0.78%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	47	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	1	3	1	2	1	0	0	1	3	0	1	1	1	1	0	2	1	2	0	1	1	1	6	0	1	0	3	0	1	1	0	0	0	0	1	0	0	0					
		0.29%	0.0%	0.49%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.68%	0.0%	0.80%	0.27%	0.22%	0.66%	0.15%	0.42%	0.17%	0.0%	0.0%	0.25%	1.11%	0.0%	0.42%	0.33%	0.24%	0.75%	0.0%	1.36%	0.85%	0.69%	0.0%	0.30%	0.29%	0.29%	0.96%	0.0%	0.93%	0.0%	1.02%	0.0%	0.34%	0.44%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1341	16	27	28	23	25	18	17	15	29	9	32	20	3	24	20	5	19	8	1	11	40	24	24	46	25	42	14	13	15	28	9	24	10	31	5	10	7	7	60	22	32	42	36	56	51	5	45	35	22	26	22	18	15	35	31	10	16	22	16					
		8.52%	6.06%	6.66%	10.03%	9.78%	13.29%	8.95%	8.09%	8.98%	11.24%	5.32%	10.56%	6.49%	5.0%	8.16%	6.30%	5.10%	5.50%	5.51%	1.01%	8.87%	5.50%	5.47%	5.33%	6.96%	5.34%	7.20%	4.34%	10.15%	3.82%	10.40%	6.47%	10.21%	3.38%	7.59%	3.75%	4.85%	4.79%	5.98%	20.76%	12.29%	9.81%	12.46%	10.65%	9.03%	18.02%	4.67%	18.29%	11.90%	6.96%	8.87%	9.73%	21.42%	11.90%	9.61%	24.21%	7.93%	9.69%	12.94%	13.33%					
28	"11. ""Истинные патриоты России"""	44	0	0	1	0	1	0	0	4	4	0	1	0	0	1	0	0	2	0	0	0	5	0	4	1	2	0	1	0	1	0	0	1	2	2	1	0	1	0	1	0	2	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0					
		0.27%	0.0%	0.0%	0.35%	0.0%	0.53%	0.0%	0.0%	2.39%	1.55%	0.0%	0.33%	0.0%	0.0%	0.34%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.68%	0.0%	0.88%	0.15%	0.42%	0.0%	0.31%	0.0%	0.25%	0.0%	0.0%	0.42%	0.67%	0.49%	0.75%	0.0%	0.68%	0.0%	0.34%	0.0%	0.61%	0.0%	0.29%	0.0%	0.35%	0.0%	0.0%	0.34%	0.0%	0.34%	0.0%	0.0%	0.0%	0.27%	0.78%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	258	3	7	6	10	1	2	1	7	6	2	3	1	2	4	2	3	4	1	3	2	13	8	16	16	5	16	12	2	8	4	0	4	4	4	2	1	4	1	2	1	7	4	3	4	2	2	6	8	3	5	0	2	4	4	1	4	0	5	1					
		1.64%	1.13%	1.72%	2.15%	4.25%	0.53%	0.99%	0.47%	4.19%	2.32%	1.18%	0.99%	0.32%	3.33%	1.36%	0.63%	3.06%	1.15%	0.68%	3.03%	1.61%	1.78%	1.82%	3.55%	2.42%	1.06%	2.74%	3.72%	1.56%	2.04%	1.48%	0.0%	1.70%	1.35%	0.98%	1.50%	0.48%	2.73%	0.85%	0.69%	0.55%	2.14%	1.18%	0.88%	0.64%	0.70%	1.86%	2.43%	2.72%	0.94%	1.70%	0.0%	2.38%	3.17%	1.09%	0.78%	3.17%	0.0%	2.94%	0.83%					
30	"13. ""Демократическая партия России"""	63	1	1	2	1	2	0	2	0	0	1	0	3	0	0	1	0	4	0	1	1	4	1	2	1	2	2	1	0	3	1	0	1	0	0	1	1	0	0	1	0	3	0	3	1	1	0	3	1	1	2	1	0	0	0	3	0	2	1	0					
		0.40%	0.37%	0.24%	0.71%	0.42%	1.06%	0.0%	0.95%	0.0%	0.0%	0.59%	0.0%	0.97%	0.0%	0.0%	0.31%	0.0%	1.15%	0.0%	1.01%	0.80%	0.55%	0.22%	0.44%	0.15%	0.42%	0.34%	0.31%	0.0%	0.76%	0.37%	0.0%	0.42%	0.0%	0.0%	0.75%	0.48%	0.0%	0.0%	0.34%	0.0%	0.92%	0.0%	0.88%	0.16%	0.35%	0.0%	1.21%	0.34%	0.31%	0.68%	0.44%	0.0%	0.0%	0.0%	2.34%	0.0%	1.21%	0.58%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	57	1	3	1	1	0	0	1	4	0	0	0	3	0	4	0	0	0	0	0	0	3	3	4	0	0	2	3	0	3	1	0	1	1	5	0	1	0	1	0	0	0	1	0	3	0	1	2	1	0	0	1	2	0	0	0	0	0	0	0					
		0.36%	0.37%	0.74%	0.35%	0.42%	0.0%	0.0%	0.47%	2.39%	0.0%	0.0%	0.0%	0.97%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.68%	0.88%	0.0%	0.0%	0.34%	0.93%	0.0%	0.76%	0.37%	0.0%	0.42%	0.33%	1.22%	0.0%	0.48%	0.0%	0.85%	0.0%	0.0%	0.0%	0.29%	0.0%	0.48%	0.0%	0.93%	0.81%	0.34%	0.0%	0.0%	0.44%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	64	0	1	0	0	0	1	0	1	0	0	3	0	0	0	3	2	0	0	0	1	3	1	2	0	2	23	2	0	2	0	1	1	1	0	3	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0					
		0.40%	0.0%	0.24%	0.0%	0.0%	0.0%	0.49%	0.0%	0.59%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.94%	2.04%	0.0%	0.0%	0.0%	0.80%	0.41%	0.22%	0.44%	0.0%	0.42%	3.94%	0.62%	0.0%	0.51%	0.0%	0.71%	0.42%	0.33%	0.0%	2.25%	0.97%	0.68%	0.0%	0.34%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.34%	0.0%	2.38%	0.0%	0.0%	0.0%	0.79%	0.60%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	515	6	19	12	9	7	2	4	5	5	6	12	16	1	6	10	2	14	0	2	0	42	25	22	22	11	0	11	6	17	3	5	2	6	4	0	10	5	7	9	9	17	12	11	12	12	5	17	9	7	5	6	5	5	10	8	7	1	4	8					
		3.27%	2.27%	4.69%	4.30%	3.82%	3.72%	0.99%	1.90%	2.99%	1.93%	3.55%	3.96%	5.19%	1.66%	2.04%	3.15%	2.04%	4.05%	0.0%	2.02%	0.0%	5.77%	5.70%	4.88%	3.33%	2.35%	0.0%	3.41%	4.68%	4.33%	1.11%	3.59%	0.85%	2.03%	0.98%	0.0%	4.85%	3.42%	5.98%	3.11%	5.02%	5.21%	3.56%	3.25%	1.93%	4.24%	4.67%	6.91%	3.06%	2.21%	1.70%	2.65%	5.95%	3.96%	2.74%	6.25%	5.55%	0.60%	2.35%	6.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	146	2	5	3	0	1	2	2	5	7	0	8	4	0	1	1	1	7	4	1	2	4	8	2	5	2	2	2	0	2	2	1	6	4	2	4	1	3	0	1	1	4	1	4	5	3	4	2	3	1	2	1	1	0	0	0	2	1	3	1					
		0.92%	0.75%	1.23%	1.07%	0.0%	0.53%	0.99%	0.95%	2.99%	2.71%	0.0%	2.64%	1.29%	0.0%	0.34%	0.31%	1.02%	2.02%	2.75%	1.01%	1.61%	0.55%	1.82%	0.44%	0.75%	0.42%	0.34%	0.62%	0.0%	0.51%	0.74%	0.71%	2.55%	1.35%	0.49%	3.00%	0.48%	2.05%	0.0%	0.34%	0.55%	1.22%	0.29%	1.18%	0.80%	1.06%	3.73%	0.81%	1.02%	0.31%	0.68%	0.44%	1.19%	0.0%	0.0%	0.0%	1.58%	0.60%	1.76%	0.83%					
35	"18. ""ЛДПР"""	1632	34	33	19	14	16	22	12	4	7	36	43	31	8	19	48	11	5	4	3	5	91	52	38	70	55	75	49	20	48	34	20	14	10	20	12	35	18	22	39	12	50	28	42	95	18	22	23	37	18	28	14	13	16	39	12	9	15	34	11					
		10.38%	12.87%	8.14%	6.81%	5.95%	8.51%	10.94%	5.71%	2.39%	2.71%	21.30%	14.19%	10.06%	13.33%	6.46%	15.14%	11.22%	1.44%	2.75%	3.03%	4.03%	12.51%	11.87%	8.44%	10.60%	11.75%	12.86%	15.21%	15.62%	12.24%	12.63%	14.38%	5.95%	3.38%	4.90%	9.02%	16.99%	12.32%	18.80%	13.49%	6.70%	15.33%	8.30%	12.42%	15.32%	6.36%	20.56%	9.34%	12.58%	5.69%	9.55%	6.19%	15.47%	12.69%	10.71%	9.37%	7.14%	9.09%	20.0%	9.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	326	3	10	7	1	5	4	5	4	0	3	6	4	0	9	2	2	2	3	3	2	20	25	7	17	15	17	5	2	8	6	4	6	6	3	10	3	1	3	6	5	3	1	5	10	5	3	4	0	6	10	1	1	6	8	1	0	8	6	4					
		2.07%	1.13%	2.46%	2.50%	0.42%	2.65%	1.99%	2.38%	2.39%	0.0%	1.77%	1.98%	1.29%	0.0%	3.06%	0.63%	2.04%	0.57%	2.06%	3.03%	1.61%	2.75%	5.70%	1.55%	2.57%	3.20%	2.91%	1.55%	1.56%	2.04%	2.23%	2.87%	2.55%	2.03%	0.73%	7.51%	1.45%	0.68%	2.56%	2.07%	2.79%	0.92%	0.29%	1.47%	1.61%	1.76%	2.80%	1.62%	0.0%	1.89%	3.41%	0.44%	1.19%	4.76%	2.19%	0.78%	0.0%	4.84%	3.52%	3.33%					
37	"20. ""Политическая партия ""Единая Россия"""	5486	120	172	100	86	57	94	73	35	129	51	99	137	28	118	54	35	115	76	55	56	243	168	196	272	200	224	89	35	132	82	22	98	85	248	48	89	44	32	80	81	93	113	101	168	78	29	52	86	88	92	71	8	34	81	30	56	66	44	38					
		34.89%	45.45%	42.46%	35.84%	36.59%	30.31%	46.76%	34.76%	20.95%	50.0%	30.17%	32.67%	44.48%	46.66%	40.13%	17.03%	35.71%	33.33%	52.41%	55.55%	45.16%	33.42%	38.35%	43.55%	41.21%	42.73%	38.42%	27.63%	27.34%	33.67%	30.48%	15.82%	41.70%	28.81%	60.78%	36.09%	43.20%	30.13%	27.35%	27.68%	45.25%	28.52%	33.53%	29.88%	27.09%	27.56%	27.10%	21.13%	29.25%	27.84%	31.39%	31.41%	9.52%	26.98%	22.25%	23.43%	44.44%	40.0%	25.88%	31.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	1	0	0	0	1	0	1	2	0	2	0	0	0	2	2	1	2	2	0	0	4	0	0	2	1	1	1	1	1	2	0	3	3	1	1	0	1	0	2	0	3	3	1	6	2	1	1	2	0	0	0	0	0	0	2	0	1	0	1					
		0.40%	0.37%	0.0%	0.0%	0.0%	0.53%	0.0%	0.47%	1.19%	0.0%	1.18%	0.0%	0.0%	0.0%	0.68%	0.63%	1.02%	0.57%	1.37%	0.0%	0.0%	0.55%	0.0%	0.0%	0.30%	0.21%	0.17%	0.31%	0.78%	0.25%	0.74%	0.0%	1.27%	1.01%	0.24%	0.75%	0.0%	0.68%	0.0%	0.69%	0.0%	0.92%	0.89%	0.29%	0.96%	0.70%	0.93%	0.40%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	0.0%	0.60%	0.0%	0.83%					
39	"22. ""Развитие предпринимательства"""	57	0	3	0	0	1	0	3	4	0	0	2	2	0	0	0	0	1	0	1	0	2	3	9	0	2	7	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	1	3	0	1	0	0	2	0	0	0	1	2	0	1	1	0	0					
		0.36%	0.0%	0.74%	0.0%	0.0%	0.53%	0.0%	1.42%	2.39%	0.0%	0.0%	0.66%	0.64%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	1.01%	0.0%	0.27%	0.68%	2.0%	0.0%	0.42%	1.20%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.30%	0.0%	0.29%	0.48%	0.0%	0.93%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.79%	0.54%	0.0%	0.79%	0.60%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2590	29	44	41	32	32	17	54	49	41	23	30	50	3	31	120	20	93	10	18	14	105	61	50	86	76	74	67	16	33	43	33	28	50	38	22	14	31	15	16	12	37	73	49	133	52	16	40	34	124	82	59	22	20	115	19	15	38	23	18					
		16.47%	10.98%	10.86%	14.69%	13.61%	17.02%	8.45%	25.71%	29.34%	15.89%	13.60%	9.90%	16.23%	5.0%	10.54%	37.85%	20.40%	26.95%	6.89%	18.18%	11.29%	14.44%	13.92%	11.11%	13.03%	16.23%	12.69%	20.80%	12.5%	8.41%	15.98%	23.74%	11.91%	16.94%	9.31%	16.54%	6.79%	21.23%	12.82%	5.53%	6.70%	11.34%	21.66%	14.49%	21.45%	18.37%	14.95%	16.26%	11.56%	39.24%	27.98%	26.10%	26.19%	15.87%	31.59%	14.84%	11.90%	23.03%	13.52%	15.0%					
																																																																		
