Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Темрюкская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954	УИК №4999									
		52.67%	50.34%	54.90%	42.65%	41.98%	43.10%	45.45%	40.28%	46.44%	44.04%	49.69%	41.65%	44.49%	47.56%	42.98%	55.07%	45.69%	54.24%	46.93%	47.73%	51.75%	46.33%	48.11%	45.48%	45.96%	54.53%	56.02%	60.82%	55.40%	57.58%	52.94%	53.72%	59.48%	51.35%	62.49%	55.47%	67.95%	78.12%	69.36%	75.33%	55.67%	51.13%	57.98%	54.71%	48.88%	55.99%	74.84%	47.93%	46.04%	49.74%	44.92%	61.35%	52.26%	48.06%	58.68%	39.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	212	4	5	6	14	6	8	2	6	2	10	3	5	0	1	6	2	1	4	4	3	1	0	7	9	4	2	1	3	4	3	7	1	4	1	1	1	5	5	1	10	2	1	3	2	5	0	1	6	3	5	1	5	1	6	9									
		0.59%	0.90%	1.48%	1.08%	2.16%	1.45%	1.04%	0.31%	0.76%	0.28%	1.26%	0.65%	1.06%	0.00%	0.17%	0.77%	0.37%	0.19%	0.58%	0.48%	0.44%	0.13%	0.00%	1.62%	0.99%	0.71%	0.18%	0.11%	0.53%	0.59%	0.74%	0.91%	0.20%	0.49%	0.10%	0.16%	0.14%	0.72%	0.39%	0.16%	1.69%	0.25%	0.27%	0.42%	0.35%	1.03%	0.00%	0.46%	0.65%	0.39%	0.69%	0.25%	0.81%	0.23%	0.84%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	0	3	2	1	2	3	1	3	2	0	0	1	0	1	0	0	3	0	0	2	0	1	0	1	0	3	0	0	1	0	0	0	1	0	1	0	0	0	1	5	1	0	2	0	1	3	0	6	3	1	1	0	2	2	1									
		0.17%	0.00%	0.89%	0.36%	0.15%	0.48%	0.39%	0.16%	0.38%	0.28%	0.00%	0.00%	0.21%	0.00%	0.17%	0.00%	0.00%	0.56%	0.00%	0.00%	0.29%	0.00%	0.17%	0.00%	0.11%	0.00%	0.27%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.12%	0.00%	0.16%	0.00%	0.00%	0.00%	0.16%	0.85%	0.13%	0.00%	0.28%	0.00%	0.21%	0.49%	0.00%	0.65%	0.39%	0.14%	0.25%	0.00%	0.46%	0.28%	0.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6396	88	76	95	126	81	104	131	119	159	148	97	92	89	105	151	99	74	127	170	120	138	119	81	179	103	159	124	89	120	90	122	84	136	125	111	93	54	146	61	112	138	75	141	111	96	65	59	209	164	140	66	99	66	81	389									
		17.70%	19.86%	22.55%	17.03%	19.44%	19.61%	13.51%	20.53%	15.14%	22.30%	18.62%	21.04%	19.49%	19.78%	18.20%	19.38%	18.54%	13.94%	18.57%	20.29%	17.49%	18.42%	20.45%	18.79%	19.82%	18.29%	14.51%	13.69%	15.75%	17.67%	22.06%	15.91%	16.94%	16.75%	13.06%	17.85%	12.74%	7.83%	11.44%	9.97%	18.95%	17.38%	19.95%	19.83%	19.17%	19.83%	10.62%	27.19%	22.69%	21.47%	19.23%	16.46%	15.97%	15.03%	11.34%	31.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	213	2	1	4	5	8	3	5	5	6	8	2	2	4	5	4	4	6	6	3	3	6	2	5	2	4	10	7	8	1	1	7	1	7	5	1	0	2	1	0	4	7	1	6	4	3	0	0	3	10	2	2	5	1	0	9									
		0.59%	0.45%	0.30%	0.72%	0.77%	1.94%	0.39%	0.78%	0.64%	0.84%	1.01%	0.43%	0.42%	0.89%	0.87%	0.51%	0.75%	1.13%	0.88%	0.36%	0.44%	0.80%	0.34%	1.16%	0.22%	0.71%	0.91%	0.77%	1.42%	0.15%	0.25%	0.91%	0.20%	0.86%	0.52%	0.16%	0.00%	0.29%	0.08%	0.00%	0.68%	0.88%	0.27%	0.84%	0.69%	0.62%	0.00%	0.00%	0.33%	1.31%	0.27%	0.50%	0.81%	0.23%	0.00%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	375	3	3	6	7	12	16	23	16	11	13	10	7	6	4	8	6	3	5	8	6	3	6	4	16	3	5	3	7	5	1	14	2	3	2	3	2	3	9	7	7	12	7	5	3	2	1	1	16	10	9	6	5	6	6	8									
		1.04%	0.68%	0.89%	1.08%	1.08%	2.91%	2.08%	3.61%	2.04%	1.54%	1.64%	2.17%	1.48%	1.33%	0.69%	1.03%	1.12%	0.56%	0.73%	0.95%	0.87%	0.40%	1.03%	0.93%	1.77%	0.53%	0.46%	0.33%	1.24%	0.74%	0.25%	1.83%	0.40%	0.37%	0.21%	0.48%	0.27%	0.43%	0.71%	1.14%	1.18%	1.51%	1.86%	0.70%	0.52%	0.41%	0.16%	0.46%	1.74%	1.31%	1.24%	1.50%	0.81%	1.37%	0.84%	0.65%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	0	2	1	2	0	2	0	1	1	1	0	2	0	0	2	0	1	1	1	1	0	1	0	0	1	3	0	0	0	0	1	0	2	4	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0									
		0.10%	0.00%	0.59%	0.18%	0.31%	0.00%	0.26%	0.00%	0.13%	0.14%	0.13%	0.00%	0.42%	0.00%	0.00%	0.26%	0.00%	0.19%	0.15%	0.12%	0.15%	0.00%	0.17%	0.00%	0.00%	0.18%	0.27%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.25%	0.42%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.25%	0.00%	0.00%	0.28%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	357	12	0	11	8	7	15	8	1	6	8	3	7	3	7	4	8	1	5	8	6	9	6	8	15	5	15	9	8	1	3	4	1	10	4	6	4	1	8	2	4	8	1	11	6	5	1	3	17	10	13	1	3	4	5	18									
		0.99%	2.71%	0.00%	1.97%	1.23%	1.69%	1.95%	1.25%	0.13%	0.84%	1.01%	0.65%	1.48%	0.67%	1.21%	0.51%	1.50%	0.19%	0.73%	0.95%	0.87%	1.20%	1.03%	1.86%	1.66%	0.89%	1.37%	0.99%	1.42%	0.15%	0.74%	0.52%	0.20%	1.23%	0.42%	0.96%	0.55%	0.14%	0.63%	0.33%	0.68%	1.01%	0.27%	1.55%	1.04%	1.03%	0.16%	1.38%	1.85%	1.31%	1.79%	0.25%	0.48%	0.91%	0.70%	1.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4595	47	23	93	102	62	132	106	146	122	120	98	84	75	112	88	94	79	108	127	119	105	75	71	148	69	135	106	57	73	42	97	58	86	97	72	55	44	99	38	58	102	36	76	97	58	37	14	94	77	87	33	76	66	83	137									
		12.72%	10.61%	6.82%	16.67%	15.74%	15.01%	17.14%	16.61%	18.58%	17.11%	15.09%	21.26%	17.80%	16.67%	19.41%	11.30%	17.60%	14.88%	15.79%	15.16%	17.35%	14.02%	12.89%	16.47%	16.39%	12.26%	12.32%	11.70%	10.09%	10.75%	10.29%	12.65%	11.69%	10.59%	10.14%	11.58%	7.53%	6.38%	7.76%	6.21%	9.81%	12.85%	9.57%	10.69%	16.75%	11.98%	6.05%	6.45%	10.21%	10.08%	11.95%	8.23%	12.26%	15.03%	11.62%	11.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	167	0	7	3	3	3	6	3	3	5	2	3	6	1	6	3	1	0	4	2	2	6	4	4	3	2	4	5	0	0	0	2	2	2	5	5	2	0	0	0	1	6	0	1	1	3	2	0	3	5	3	2	8	2	11	10									
		0.46%	0.00%	2.08%	0.54%	0.46%	0.73%	0.78%	0.47%	0.38%	0.70%	0.25%	0.65%	1.27%	0.22%	1.04%	0.39%	0.19%	0.00%	0.58%	0.24%	0.29%	0.80%	0.69%	0.93%	0.33%	0.36%	0.36%	0.55%	0.00%	0.00%	0.00%	0.26%	0.40%	0.25%	0.52%	0.80%	0.27%	0.00%	0.00%	0.00%	0.17%	0.76%	0.00%	0.14%	0.17%	0.62%	0.33%	0.00%	0.33%	0.65%	0.41%	0.50%	1.29%	0.46%	1.54%	0.82%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1565	26	13	37	27	11	47	18	46	29	23	23	17	21	32	25	18	16	21	31	15	38	36	19	26	14	40	29	30	25	17	49	22	72	43	32	40	20	45	7	23	33	13	24	17	18	6	22	48	29	49	14	49	22	55	43									
		4.33%	5.87%	3.86%	6.63%	4.17%	2.66%	6.10%	2.82%	5.85%	4.07%	2.89%	4.99%	3.60%	4.67%	5.55%	3.21%	3.37%	3.01%	3.07%	3.70%	2.19%	5.07%	6.19%	4.41%	2.88%	2.49%	3.65%	3.20%	5.31%	3.68%	4.17%	6.39%	4.44%	8.87%	4.49%	5.14%	5.48%	2.90%	3.53%	1.14%	3.89%	4.16%	3.46%	3.38%	2.94%	3.72%	0.98%	10.14%	5.21%	3.80%	6.73%	3.49%	7.90%	5.01%	7.70%	3.51%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
