Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Рузаевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	766	20	20	25	20	20	15	20	20	12	21	33	20	18	10	10	5	20	20	20	20	12	12	20	20	30	20	5	21	18	8	10	29	8	13	20	8	3	3	15	8	16	5	8	11	15	24	5	10	6	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	670	13	14	21	20	20	10	20	15	9	20	33	16	18	8	7	1	13	20	18	20	6	11	20	14	30	19	3	21	18	2	10	28	5	13	20	5	1	1	15	8	13	5	8	8	15	24	5	10	2	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	418	8	6	13	9	12	12	6	14	7	12	30	11	108	6	5	3	3	10	4	3	10	5	6	11	8	14	3	5	4	2	6	4	2	4	7	4	3	0	6	1	8	3	4	4	3	0	3	1	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	96	7	6	4	0	0	5	0	5	3	1	0	4	0	2	3	4	7	0	2	0	6	1	0	6	0	1	2	0	0	6	0	1	3	0	0	3	2	2	0	0	3	0	0	3	0	0	0	0	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	134	6	5	4	6	0	6	3	2	1	2	5	2	3	0	3	1	0	2	2	4	3	2	6	4	4	5	0	3	12	0	1	6	1	0	1	2	2	1	3	1	1	0	1	3	3	1	0	1	0	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	232	12	14	10	7	2	8	10	5	6	4	10	16	11	2	6	0	13	8	11	2	1	8	10	2	9	6	2	0	2	3	8	4	2	1	2	0	1	0	0	1	4	2	0	1	2	1	0	0	1	2									
		0.72%	1.46%	1.68%	1.29%	0.92%	0.24%	1.54%	0.92%	0.46%	0.95%	0.88%	0.80%	1.78%	1.69%	0.77%	1.65%	0.00%	1.69%	0.80%	1.24%	0.15%	0.21%	1.76%	1.23%	0.19%	0.88%	0.68%	0.83%	0.00%	0.68%	0.86%	1.20%	0.88%	0.43%	0.19%	0.28%	0.00%	0.54%	0.00%	0.00%	0.27%	0.61%	0.66%	0.00%	0.10%	0.16%	0.17%	0.00%	0.00%	0.28%	0.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	640	27	14	28	32	11	20	18	8	11	14	4	36	20	15	22	8	15	36	27	7	23	20	23	18	40	3	4	2	3	2	18	17	4	3	22	3	5	0	12	1	17	2	5	1	2	4	2	6	3	2									
		1.98%	3.28%	1.68%	3.60%	4.22%	1.34%	3.85%	1.65%	0.74%	1.75%	3.08%	0.32%	4.00%	3.08%	5.75%	6.04%	2.36%	1.96%	3.60%	3.05%	0.52%	4.73%	4.41%	2.82%	1.68%	3.92%	0.34%	1.65%	0.41%	1.02%	0.57%	2.69%	3.72%	0.85%	0.57%	3.05%	0.65%	2.69%	0.00%	0.97%	0.27%	2.58%	0.66%	1.52%	0.10%	0.16%	0.69%	0.78%	1.72%	0.85%	0.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	9	9	11	7	6	3	12	0	9	9	12	14	2	7	2	1	3	10	19	2	4	8	5	6	6	4	2	0	0	2	4	2	0	4	6	2	1	0	0	3	9	2	3	1	0	3	0	3	1	0									
		0.70%	1.09%	1.08%	1.41%	0.92%	0.73%	0.58%	1.10%	0.00%	1.43%	1.98%	0.96%	1.56%	0.31%	2.68%	0.55%	0.29%	0.39%	0.99%	2.15%	0.15%	0.82%	1.76%	0.61%	0.56%	0.59%	0.45%	0.83%	0.00%	0.00%	0.57%	0.60%	0.44%	0.00%	0.77%	0.83%	0.43%	0.54%	0.00%	0.00%	0.80%	1.37%	0.66%	0.91%	0.10%	0.00%	0.52%	0.00%	0.86%	0.28%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22976	363	583	357	333	618	293	887	884	510	211	971	464	325	117	168	245	454	447	426	1105	283	188	371	994	670	636	186	407	257	241	463	309	417	470	433	416	146	133	1127	335	543	244	269	855	1103	522	231	267	314	385									
		70.99%	44.11%	70.16%	45.89%	43.87%	75.09%	56.45%	81.38%	82.16%	81.08%	46.37%	77.37%	51.61%	50.00%	44.83%	46.15%	72.27%	59.19%	44.66%	48.19%	81.31%	58.23%	41.41%	45.47%	92.64%	65.69%	72.27%	76.86%	84.09%	87.71%	69.05%	69.21%	67.61%	89.10%	90.04%	60.06%	90.24%	78.49%	91.72%	91.18%	89.57%	82.52%	80.79%	82.01%	86.54%	89.60%	90.16%	90.59%	76.72%	88.95%	91.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	87	3	5	8	5	1	3	11	0	0	3	5	3	1	1	1	0	0	3	4	0	1	0	3	0	5	2	1	0	0	0	4	1	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.27%	0.36%	0.60%	1.03%	0.66%	0.12%	0.58%	1.01%	0.00%	0.00%	0.66%	0.40%	0.33%	0.15%	0.38%	0.27%	0.00%	0.00%	0.30%	0.45%	0.00%	0.21%	0.00%	0.37%	0.00%	0.49%	0.23%	0.41%	0.00%	0.00%	0.00%	0.60%	0.22%	0.00%	0.00%	0.69%	0.00%	4.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	3	1	1	2	1	0	0	0	0	0	6	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.07%	0.36%	0.12%	0.13%	0.26%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.22%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3183	148	97	143	146	36	80	58	119	37	82	50	126	148	57	70	44	118	176	142	98	43	88	163	26	95	84	16	19	13	41	71	70	19	16	144	19	18	7	40	17	17	14	24	0	36	26	5	46	15	16									
		9.84%	17.98%	11.67%	18.38%	19.24%	4.37%	15.41%	5.32%	11.06%	5.88%	18.02%	3.98%	14.02%	22.77%	21.84%	19.23%	12.98%	15.38%	17.58%	16.06%	7.21%	8.85%	19.38%	19.98%	2.42%	9.31%	9.55%	6.61%	3.93%	4.44%	11.75%	10.61%	15.32%	4.06%	3.07%	19.97%	4.12%	9.68%	4.83%	3.24%	4.55%	2.58%	4.64%	7.32%	0.00%	2.92%	4.49%	1.96%	13.22%	4.25%	3.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	78	8	0	6	7	4	0	2	0	1	0	4	7	2	1	0	0	2	4	4	0	1	1	6	0	2	1	1	0	0	0	0	2	0	0	5	0	0	0	0	0	1	2	1	0	0	3	0	0	0	0									
		0.24%	0.97%	0.00%	0.77%	0.92%	0.49%	0.00%	0.18%	0.00%	0.16%	0.00%	0.32%	0.78%	0.31%	0.38%	0.00%	0.00%	0.26%	0.40%	0.45%	0.00%	0.21%	0.22%	0.74%	0.00%	0.20%	0.11%	0.41%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.66%	0.30%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	107	12	1	4	9	4	1	8	4	2	4	8	6	1	2	3	0	3	3	3	2	1	0	7	0	5	1	1	0	0	1	0	2	0	1	2	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1									
		0.33%	1.46%	0.12%	0.51%	1.19%	0.49%	0.19%	0.73%	0.37%	0.32%	0.88%	0.64%	0.67%	0.15%	0.77%	0.82%	0.00%	0.39%	0.30%	0.34%	0.15%	0.21%	0.00%	0.86%	0.00%	0.49%	0.11%	0.41%	0.00%	0.00%	0.29%	0.00%	0.44%	0.00%	0.19%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.33%	0.00%	0.00%	0.08%	0.00%	0.39%	0.00%	0.28%	0.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	1	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	2	1	0	0	1	3	0	2	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.11%	0.00%	0.00%	0.27%	0.00%	0.13%	0.20%	0.11%	0.00%	0.00%	0.22%	0.37%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	141	9	3	5	6	10	2	5	3	5	3	27	12	1	0	4	0	4	1	12	2	2	1	4	2	5	2	0	0	0	1	2	2	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0									
		0.44%	1.09%	0.36%	0.64%	0.79%	1.22%	0.39%	0.46%	0.28%	0.79%	0.66%	2.15%	1.33%	0.15%	0.00%	1.10%	0.00%	0.52%	0.10%	1.36%	0.15%	0.41%	0.22%	0.49%	0.19%	0.49%	0.23%	0.00%	0.00%	0.00%	0.29%	0.30%	0.44%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.16%	0.17%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3205	157	58	141	137	81	80	54	30	30	80	44	122	94	34	66	30	114	228	175	124	102	115	159	13	127	112	21	34	14	31	66	33	16	18	47	21	3	5	42	10	44	11	16	114	73	16	14	24	14	11									
		9.90%	19.08%	6.98%	18.12%	18.05%	9.84%	15.41%	4.95%	2.79%	4.77%	17.58%	3.51%	13.57%	14.46%	13.03%	18.13%	8.85%	14.86%	22.78%	19.80%	9.12%	20.99%	25.33%	19.49%	1.21%	12.45%	12.73%	8.68%	7.02%	4.78%	8.88%	9.87%	7.22%	3.42%	3.45%	6.52%	4.56%	1.61%	3.45%	3.40%	2.67%	6.69%	3.64%	4.88%	11.54%	5.93%	2.76%	5.49%	6.90%	3.97%	2.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	7	1	1	2	2	2	8	11	1	1	6	6	2	1	1	0	4	1	1	3	3	2	4	0	0	4	1	0	0	0	2	0	0	0	4	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0									
		0.27%	0.85%	0.12%	0.13%	0.26%	0.24%	0.39%	0.73%	1.02%	0.16%	0.22%	0.48%	0.67%	0.31%	0.38%	0.27%	0.00%	0.52%	0.10%	0.11%	0.22%	0.62%	0.44%	0.49%	0.00%	0.00%	0.45%	0.41%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.33%	0.61%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	695	39	27	32	36	33	26	6	3	14	24	23	28	25	12	12	1	15	40	16	7	9	8	29	10	42	22	7	3	4	8	21	4	3	6	29	0	2	0	15	5	18	2	4	8	6	3	2	0	3	3									
		2.15%	4.74%	3.25%	4.11%	4.74%	4.01%	5.01%	0.55%	0.28%	2.23%	5.27%	1.83%	3.11%	3.85%	4.60%	3.30%	0.29%	1.96%	3.99%	1.81%	0.52%	1.85%	1.76%	3.55%	0.93%	4.12%	2.50%	2.89%	0.62%	1.37%	2.29%	3.14%	0.88%	0.64%	1.15%	4.02%	0.00%	1.08%	0.00%	1.21%	1.34%	2.74%	0.66%	1.22%	0.81%	0.49%	0.52%	0.78%	0.00%	0.85%	0.71%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
