Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
"Наименование Избирательной комиссии:    Барнаул, Индустриальная"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №1880	УИК №1881	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1900	УИК №1901	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1642	28	28	35	28	33	16	12	21	21	25	21	0	20	26	41	19	4	8	33	28	28	30	39	27	20	23	15	28	18	27	35	31	36	29	16	26	20	30	25	35	29	26	20	25	20	18	23	31	15	32	32	23	31	27	25	16	18	24	38	32	9	24	26	12	11	29	31	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1621	26	26	35	28	33	16	12	21	21	25	21	0	19	26	41	19	4	8	33	27	28	30	38	27	20	23	15	28	18	27	34	31	36	28	15	25	19	30	25	35	29	26	20	25	20	18	22	29	13	32	32	23	31	27	24	15	17	24	38	32	9	24	26	12	10	29	31	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1479	36	59	44	29	50	14	34	33	38	20	26	6	24	15	28	19	10	21	13	13	24	16	25	51	22	23	27	32	15	23	19	22	14	9	13	23	14	9	15	28	20	15	16	13	22	8	16	18	25	19	10	11	17	30	21	9	10	11	39	16	7	48	13	13	7	29	54	6					
14	Число погашенных неиспользованных открепительных удостоверений	21	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	736	12	8	5	13	10	5	1	7	7	6	4	0	4	3	10	2	1	10	16	20	8	5	14	11	18	20	13	18	7	12	12	8	14	17	13	14	11	9	15	24	14	21	23	12	7	13	9	16	23	10	16	12	6	6	14	1	17	11	10	11	21	6	9	4	6	8	19	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13972	230	244	203	224	284	134	54	158	170	231	158	31	222	224	201	28	89	147	218	241	217	235	222	237	201	181	294	278	206	195	246	231	209	231	174	193	173	265	199	254	254	247	199	217	242	223	250	222	263	268	246	203	259	195	276	62	261	260	184	284	152	185	219	132	169	207	248	113					
		18.75%	18.10%	18.24%	16.63%	17.20%	18.51%	16.96%	15.38%	14.98%	17.73%	17.21%	14.26%	12.50%	17.51%	18.71%	15.94%	10.69%	18.13%	19.39%	15.97%	18.27%	19.36%	18.08%	16.38%	19.62%	18.89%	17.57%	20.70%	20.34%	17.68%	16.99%	19.55%	19.17%	19.09%	17.80%	18.73%	17.85%	20.31%	23.51%	21.10%	17.00%	20.68%	21.26%	18.34%	19.15%	19.30%	20.29%	21.93%	20.81%	20.20%	19.78%	20.65%	17.73%	22.12%	17.99%	22.57%	17.77%	20.12%	20.31%	15.65%	22.87%	20.21%	16.86%	19.93%	19.27%	18.02%	18.32%	18.37%	19.32%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13865	235	285	219	215	275	142	67	234	203	277	226	44	222	264	281	51	98	130	279	294	199	246	282	247	210	204	282	258	224	201	224	218	161	241	159	207	140	197	132	280	215	181	202	200	241	192	169	199	237	241	193	197	213	233	216	102	209	231	198	206	146	240	220	118	179	197	244	93					
		18.61%	18.49%	21.30%	17.94%	16.51%	17.93%	17.97%	19.09%	22.18%	21.17%	20.64%	20.40%	17.74%	17.51%	22.06%	22.28%	19.47%	19.96%	17.15%	20.44%	22.29%	17.75%	18.92%	20.81%	20.45%	19.74%	19.81%	19.86%	18.87%	19.23%	17.51%	17.81%	18.09%	14.70%	18.57%	17.12%	19.15%	16.43%	17.48%	13.99%	18.74%	17.51%	15.58%	18.62%	17.65%	19.22%	17.47%	14.82%	18.65%	18.20%	17.79%	16.20%	17.21%	18.19%	21.49%	17.66%	29.23%	16.11%	18.05%	16.84%	16.59%	19.41%	21.88%	20.02%	17.23%	19.08%	17.43%	18.07%	15.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	697	16	15	18	7	18	6	1	6	8	8	13	2	13	10	6	2	3	3	15	18	12	16	11	7	5	16	9	23	17	9	14	10	5	12	8	10	6	6	4	8	14	15	4	8	9	11	13	13	12	11	11	9	13	7	11	3	16	14	18	11	8	9	13	8	12	8	14	6					
		0.94%	1.26%	1.12%	1.47%	0.54%	1.17%	0.76%	0.28%	0.57%	0.83%	0.60%	1.17%	0.81%	1.03%	0.84%	0.48%	0.76%	0.61%	0.40%	1.10%	1.36%	1.07%	1.23%	0.81%	0.58%	0.47%	1.55%	0.63%	1.68%	1.46%	0.78%	1.11%	0.83%	0.46%	0.92%	0.86%	0.93%	0.70%	0.53%	0.42%	0.54%	1.14%	1.29%	0.37%	0.71%	0.72%	1.00%	1.14%	1.22%	0.92%	0.81%	0.92%	0.79%	1.11%	0.65%	0.90%	0.86%	1.23%	1.09%	1.53%	0.89%	1.06%	0.82%	1.18%	1.17%	1.28%	0.71%	1.04%	1.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19461	312	349	353	357	420	215	68	288	216	365	279	32	360	279	290	63	122	204	370	374	334	348	369	285	293	263	371	332	329	322	337	355	337	385	262	242	249	282	285	393	339	307	284	288	330	300	329	265	321	339	330	319	268	276	285	68	328	357	284	300	187	246	261	204	234	280	309	134					
		26.12%	24.55%	26.08%	28.91%	27.42%	27.38%	27.22%	19.37%	27.30%	22.52%	27.20%	25.18%	12.90%	28.39%	23.31%	22.99%	24.05%	24.85%	26.91%	27.11%	28.35%	29.79%	26.77%	27.23%	23.59%	27.54%	25.53%	26.13%	24.29%	28.24%	28.05%	26.79%	29.46%	30.78%	29.66%	28.20%	22.39%	29.23%	25.02%	30.22%	26.31%	27.61%	26.42%	26.18%	25.42%	26.32%	27.30%	28.86%	24.84%	24.65%	25.02%	27.71%	27.86%	22.89%	25.46%	23.30%	19.48%	25.29%	27.89%	24.15%	24.15%	24.87%	22.42%	23.75%	29.78%	24.95%	24.78%	22.89%	22.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3468	71	54	34	65	66	46	9	26	25	26	23	3	44	27	35	1	25	47	53	48	49	67	46	60	64	71	52	64	48	71	79	63	46	62	41	74	46	49	48	54	61	50	56	57	53	53	40	45	62	69	56	83	51	53	61	9	63	76	56	78	41	67	73	31	59	68	77	38					
		4.65%	5.59%	4.04%	2.78%	4.99%	4.30%	5.82%	2.56%	2.46%	2.61%	1.94%	2.08%	1.21%	3.47%	2.26%	2.78%	0.38%	5.09%	6.20%	3.88%	3.64%	4.37%	5.15%	3.39%	4.97%	6.02%	6.89%	3.66%	4.68%	4.12%	6.18%	6.28%	5.23%	4.20%	4.78%	4.41%	6.85%	5.40%	4.35%	5.09%	3.61%	4.97%	4.30%	5.16%	5.03%	4.23%	4.82%	3.51%	4.22%	4.76%	5.09%	4.70%	7.25%	4.36%	4.89%	4.99%	2.58%	4.86%	5.94%	4.76%	6.28%	5.45%	6.11%	6.64%	4.53%	6.29%	6.02%	5.70%	6.50%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21278	371	364	365	397	430	230	148	305	304	389	368	107	389	370	427	112	146	215	409	322	285	360	374	346	268	262	380	381	319	325	336	301	307	348	261	325	219	292	250	460	320	341	310	340	351	287	313	291	377	388	328	307	336	302	346	98	394	317	416	334	206	336	289	171	263	344	419	187					
		28.55%	29.19%	27.20%	29.89%	30.49%	28.03%	29.11%	42.17%	28.91%	31.70%	28.99%	33.21%	43.15%	30.68%	30.91%	33.86%	42.75%	29.74%	28.36%	29.96%	24.41%	25.42%	27.69%	27.60%	28.64%	25.19%	25.44%	26.76%	27.87%	27.38%	28.31%	26.71%	24.98%	28.04%	26.81%	28.09%	30.06%	25.70%	25.91%	26.51%	30.79%	26.06%	29.35%	28.57%	30.01%	27.99%	26.11%	27.46%	27.27%	28.96%	28.63%	27.54%	26.81%	28.69%	27.86%	28.29%	28.08%	30.38%	24.77%	35.37%	26.89%	27.39%	30.63%	26.30%	24.96%	28.04%	30.44%	31.04%	31.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	491	5	2	11	10	12	7	2	6	6	7	7	0	6	1	5	1	2	5	7	8	8	10	14	9	8	8	14	9	7	9	3	6	8	7	3	11	2	9	7	8	4	3	8	4	7	7	7	10	11	13	8	10	4	4	7	2	11	8	5	14	7	8	10	5	7	14	19	4					
		0.66%	0.39%	0.15%	0.90%	0.77%	0.78%	0.89%	0.57%	0.57%	0.63%	0.52%	0.63%	0.00%	0.47%	0.08%	0.40%	0.38%	0.41%	0.66%	0.51%	0.61%	0.71%	0.77%	1.03%	0.75%	0.75%	0.78%	0.99%	0.66%	0.60%	0.78%	0.24%	0.50%	0.73%	0.54%	0.32%	1.02%	0.23%	0.80%	0.74%	0.54%	0.33%	0.26%	0.74%	0.35%	0.56%	0.64%	0.61%	0.94%	0.84%	0.96%	0.67%	0.87%	0.34%	0.37%	0.57%	0.57%	0.85%	0.63%	0.43%	1.13%	0.93%	0.73%	0.91%	0.73%	0.75%	1.24%	1.41%	0.68%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
