Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №27																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	669	26	11	13	13	12	2	22	26	11	23	17	9	4	11	19	5	22	9	10	34	5	7	6	12	14	12	7	8	16	14	9	23	18	2	18	17	15	14	11	4	22	10	5	10	5	8	2	48	28									
14	Число погашенных неиспользованных открепительных удостоверений	1086	22	23	29	21	22	26	28	28	19	35	18	19	28	25	22	20	10	26	33	19	27	30	34	18	17	19	31	25	24	23	25	13	20	29	18	21	18	14	23	21	19	29	21	27	36	31	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	3	2	1	4	3	2	1	0	1	2	1	0	3	2	3	0	0	0	2	0	0	0	5	0	0	1	4	2	2	0	1	0	1	4	2	0	3	2	3	5	2	0	2	1	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	751	20	19	20	12	24	12	9	12	20	10	10	18	14	12	23	25	17	11	8	15	5	18	24	32	30	12	5	13	8	9	8	26	6	16	6	12	21	22	17	23	24	13	34	21	8	7	8	1	11									
		2.71%	3.48%	2.83%	2.90%	2.10%	4.30%	2.61%	2.34%	3.21%	2.57%	2.59%	2.07%	2.84%	2.25%	2.26%	3.38%	3.67%	2.72%	2.17%	2.58%	2.37%	1.09%	3.40%	3.33%	4.23%	4.30%	2.06%	0.65%	2.05%	1.72%	2.19%	1.36%	3.29%	1.29%	3.40%	0.84%	1.60%	2.62%	2.49%	2.33%	3.46%	3.40%	2.95%	5.41%	3.66%	3.27%	1.79%	4.30%	1.45%	2.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	321	7	9	14	11	5	3	2	1	6	2	11	7	4	6	9	2	13	5	6	10	5	4	7	8	4	7	24	4	4	6	7	11	2	2	8	5	7	12	10	8	8	9	8	6	0	7	1	2	2									
		1.16%	1.22%	1.34%	2.03%	1.93%	0.90%	0.65%	0.52%	0.27%	0.77%	0.52%	2.27%	1.10%	0.64%	1.13%	1.32%	0.29%	2.08%	0.98%	1.94%	1.58%	1.09%	0.75%	0.97%	1.06%	0.57%	1.20%	3.11%	0.63%	0.86%	1.46%	1.19%	1.39%	0.43%	0.42%	1.11%	0.67%	0.87%	1.36%	1.37%	1.20%	1.13%	2.05%	1.27%	1.05%	0.00%	1.79%	0.54%	2.90%	0.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	662	9	21	12	16	7	17	8	10	21	17	10	14	0	13	9	18	18	7	3	12	9	14	17	26	8	15	16	18	10	10	11	19	12	8	20	21	22	23	18	11	15	14	29	16	9	16	4	0	9									
		2.38%	1.57%	3.13%	1.74%	2.80%	1.25%	3.70%	2.08%	2.67%	2.70%	4.40%	2.07%	2.21%	0.00%	2.45%	1.32%	2.64%	2.88%	1.38%	0.97%	1.89%	1.97%	2.64%	2.36%	3.43%	1.15%	2.58%	2.07%	2.84%	2.16%	2.43%	1.87%	2.40%	2.58%	1.70%	2.79%	2.81%	2.75%	2.61%	2.46%	1.66%	2.12%	3.18%	4.61%	2.79%	3.67%	4.09%	2.15%	0.00%	1.86%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9915	170	213	253	217	180	168	136	130	237	138	197	202	301	169	238	243	217	222	102	249	163	203	257	257	242	235	269	221	146	119	173	248	127	149	247	253	289	322	285	273	251	164	222	235	79	201	89	24	190									
		35.71%	29.62%	31.74%	36.72%	38.00%	32.26%	36.52%	35.32%	34.76%	30.50%	35.75%	40.70%	31.86%	48.47%	31.89%	35.00%	35.63%	34.66%	43.70%	32.90%	39.27%	35.59%	38.30%	35.64%	33.95%	34.67%	40.38%	34.84%	34.91%	31.47%	28.95%	29.47%	31.35%	27.25%	31.63%	34.40%	33.82%	36.08%	36.51%	38.99%	41.11%	35.55%	37.27%	35.29%	41.01%	32.24%	51.41%	47.85%	34.78%	39.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	474	12	14	13	14	8	11	4	7	21	6	9	14	0	13	10	14	9	7	2	13	11	7	11	10	6	8	12	6	11	5	15	9	10	7	9	16	17	16	8	10	12	4	9	6	8	6	3	2	19									
		1.71%	2.09%	2.09%	1.89%	2.45%	1.43%	2.39%	1.04%	1.87%	2.70%	1.55%	1.86%	2.21%	0.00%	2.45%	1.47%	2.05%	1.44%	1.38%	0.65%	2.05%	2.40%	1.32%	1.53%	1.32%	0.86%	1.37%	1.55%	0.95%	2.37%	1.22%	2.56%	1.14%	2.15%	1.49%	1.25%	2.14%	2.12%	1.81%	1.09%	1.51%	1.70%	0.91%	1.43%	1.05%	3.27%	1.53%	1.61%	2.90%	3.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	4	3	0	2	2	2	1	1	2	2	0	4	0	0	3	1	0	0	1	1	2	0	2	2	3	0	1	6	1	1	1	4	0	0	1	2	0	5	2	1	2	1	3	1	1	0	0	0	3									
		0.27%	0.70%	0.45%	0.00%	0.35%	0.36%	0.43%	0.26%	0.27%	0.26%	0.52%	0.00%	0.63%	0.00%	0.00%	0.44%	0.15%	0.00%	0.00%	0.32%	0.16%	0.44%	0.00%	0.28%	0.26%	0.43%	0.00%	0.13%	0.95%	0.22%	0.24%	0.17%	0.51%	0.00%	0.00%	0.14%	0.27%	0.00%	0.57%	0.27%	0.15%	0.28%	0.23%	0.48%	0.17%	0.41%	0.00%	0.00%	0.00%	0.62%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3105	59	65	71	64	66	54	46	43	115	36	46	66	65	77	70	73	68	87	44	83	54	77	93	87	87	77	73	61	39	31	44	67	51	48	75	60	73	110	70	79	85	54	67	67	14	63	31	11	59									
		11.18%	10.28%	9.69%	10.30%	11.21%	11.83%	11.74%	11.95%	11.50%	14.80%	9.33%	9.50%	10.41%	10.47%	14.53%	10.29%	10.70%	10.86%	17.13%	14.19%	13.09%	11.79%	14.53%	12.90%	11.49%	12.46%	13.23%	9.46%	9.64%	8.41%	7.54%	7.50%	8.47%	10.94%	10.19%	10.45%	8.02%	9.11%	12.47%	9.58%	11.90%	12.04%	12.27%	10.65%	11.69%	5.71%	16.11%	16.67%	15.94%	12.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	668	19	17	12	15	17	6	6	8	20	2	17	22	13	3	18	12	11	8	6	17	4	17	14	24	34	20	21	15	15	16	17	15	16	14	13	18	16	14	16	17	16	6	12	14	6	2	0	3	24									
		2.41%	3.31%	2.53%	1.74%	2.63%	3.05%	1.30%	1.56%	2.14%	2.57%	0.52%	3.51%	3.47%	2.09%	0.57%	2.65%	1.76%	1.76%	1.57%	1.94%	2.68%	0.87%	3.21%	1.94%	3.17%	4.87%	3.44%	2.72%	2.37%	3.23%	3.89%	2.90%	1.90%	3.43%	2.97%	1.81%	2.41%	1.99%	1.59%	2.19%	2.56%	2.27%	1.36%	1.91%	2.44%	2.45%	0.51%	0.00%	4.35%	4.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2540	50	63	62	54	57	42	28	27	80	28	34	83	23	57	60	59	50	38	26	43	47	32	66	75	69	57	81	66	57	63	79	93	45	42	70	81	87	63	64	55	63	31	44	41	37	19	12	6	31									
		9.15%	8.71%	9.39%	8.99%	9.46%	10.22%	9.13%	7.27%	7.22%	10.30%	7.25%	7.02%	13.09%	3.70%	10.75%	8.82%	8.65%	7.99%	7.48%	8.39%	6.78%	10.26%	6.04%	9.15%	9.91%	9.89%	9.79%	10.49%	10.43%	12.28%	15.33%	13.46%	11.76%	9.66%	8.92%	9.75%	10.83%	10.86%	7.14%	8.76%	8.28%	8.92%	7.05%	6.99%	7.16%	15.10%	4.86%	6.45%	8.70%	6.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	88	1	1	3	3	3	2	2	0	3	2	1	1	0	3	1	3	0	1	3	2	2	1	2	4	2	1	3	2	4	1	0	2	0	0	3	2	3	3	4	3	1	0	2	6	1	1	0	0	0									
		0.32%	0.17%	0.15%	0.44%	0.53%	0.54%	0.43%	0.52%	0.00%	0.39%	0.52%	0.21%	0.16%	0.00%	0.57%	0.15%	0.44%	0.00%	0.20%	0.97%	0.32%	0.44%	0.19%	0.28%	0.53%	0.29%	0.17%	0.39%	0.32%	0.86%	0.24%	0.00%	0.25%	0.00%	0.00%	0.42%	0.27%	0.37%	0.34%	0.55%	0.45%	0.14%	0.00%	0.32%	1.05%	0.41%	0.26%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2895	82	85	50	51	102	37	49	44	72	38	53	70	64	54	74	61	61	29	28	48	44	38	79	71	80	38	94	76	72	68	94	125	83	78	95	89	76	79	56	48	63	24	42	31	18	10	8	7	57									
		10.43%	14.29%	12.67%	7.26%	8.93%	18.28%	8.04%	12.73%	11.76%	9.27%	9.84%	10.95%	11.04%	10.31%	10.19%	10.88%	8.94%	9.74%	5.71%	9.03%	7.57%	9.61%	7.17%	10.96%	9.38%	11.46%	6.53%	12.18%	12.01%	15.52%	16.55%	16.01%	15.80%	17.81%	16.56%	13.23%	11.90%	9.49%	8.96%	7.66%	7.23%	8.92%	5.45%	6.68%	5.41%	7.35%	2.56%	4.30%	10.14%	11.78%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3410	65	88	75	53	39	55	55	57	84	59	57	82	78	60	84	89	90	40	28	88	43	54	94	95	75	62	105	79	62	44	97	104	63	63	108	100	97	107	112	83	90	59	93	63	38	34	17	7	36									
		12.28%	11.32%	13.11%	10.89%	9.28%	6.99%	11.96%	14.29%	15.24%	10.81%	15.28%	11.78%	12.93%	12.56%	11.32%	12.35%	13.05%	14.38%	7.87%	9.03%	13.88%	9.39%	10.19%	13.04%	12.55%	10.74%	10.65%	13.60%	12.48%	13.36%	10.71%	16.52%	13.15%	13.52%	13.38%	15.04%	13.37%	12.11%	12.13%	15.32%	12.50%	12.75%	13.41%	14.79%	10.99%	15.51%	8.70%	9.14%	10.14%	7.44%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	97	3	0	1	8	2	0	1	1	3	1	2	1	3	0	0	2	0	1	0	0	2	1	5	6	2	2	5	0	2	3	2	1	1	4	6	2	3	3	0	3	2	2	1	3	1	2	2	0	2									
		0.35%	0.52%	0.00%	0.15%	1.40%	0.36%	0.00%	0.26%	0.27%	0.39%	0.26%	0.41%	0.16%	0.48%	0.00%	0.00%	0.29%	0.00%	0.20%	0.00%	0.00%	0.44%	0.19%	0.69%	0.79%	0.29%	0.34%	0.65%	0.00%	0.43%	0.73%	0.34%	0.13%	0.21%	0.85%	0.84%	0.27%	0.37%	0.34%	0.00%	0.45%	0.28%	0.45%	0.16%	0.52%	0.41%	0.51%	1.08%	0.00%	0.41%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2187	52	59	83	42	37	43	32	25	72	39	28	42	51	53	67	63	60	41	39	41	52	55	39	47	44	31	49	54	25	26	31	55	42	31	45	71	67	82	51	43	55	46	49	45	19	16	11	5	32									
		7.88%	9.06%	8.79%	12.05%	7.36%	6.63%	9.35%	8.31%	6.68%	9.27%	10.10%	5.79%	6.62%	8.21%	10.00%	9.85%	9.24%	9.58%	8.07%	12.58%	6.47%	11.35%	10.38%	5.41%	6.21%	6.30%	5.33%	6.35%	8.53%	5.39%	6.33%	5.28%	6.95%	9.01%	6.58%	6.27%	9.49%	8.36%	9.30%	6.98%	6.48%	7.79%	10.45%	7.79%	7.85%	7.76%	4.09%	5.91%	7.25%	6.61%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
