Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Агаповская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №2320	УИК №2321									
		0.19%	0.00%	0.49%	0.31%	0.39%	0.44%	0.00%	0.00%	0.36%	0.00%	0.00%	0.92%	0.99%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	2.30%	0.00%	0.00%	0.28%	0.40%	0.35%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2811	185	126	197	58	18	146	80	67	20	13	45	38	106	67	28	53	87	20	14	19	20	3	156	23	114	74	37	56	171	78	69	81	67	24	10	14	8	24	12	5	44	23	99	60	126	26									
		16.93%	20.99%	15.40%	20.61%	22.48%	7.93%	23.78%	21.68%	24.10%	13.33%	8.78%	20.74%	18.91%	25.98%	15.30%	14.36%	11.65%	23.90%	12.74%	11.86%	9.55%	17.86%	3.23%	22.77%	12.64%	14.92%	16.59%	15.95%	21.46%	14.43%	25.83%	19.44%	32.02%	11.86%	11.43%	8.13%	10.07%	5.84%	10.53%	11.65%	5.88%	7.55%	16.31%	11.79%	16.85%	20.36%	16.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	52	8	2	6	0	2	3	1	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	6	0	2	2	0	2	1	1	1	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0									
		0.31%	0.91%	0.24%	0.63%	0.00%	0.88%	0.49%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.68%	0.00%	0.00%	0.00%	0.64%	0.00%	0.50%	0.00%	0.00%	0.88%	0.00%	0.26%	0.45%	0.00%	0.77%	0.08%	0.33%	0.28%	1.98%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	190	16	10	8	2	0	8	3	6	1	4	0	2	3	4	0	2	0	0	3	1	0	0	7	0	8	1	2	4	13	3	6	3	2	2	1	0	1	3	0	0	10	0	3	1	47	0									
		1.14%	1.82%	1.22%	0.84%	0.78%	0.00%	1.30%	0.81%	2.16%	0.67%	2.70%	0.00%	0.99%	0.74%	0.91%	0.00%	0.44%	0.00%	0.00%	2.54%	0.50%	0.00%	0.00%	1.02%	0.00%	1.05%	0.22%	0.86%	1.53%	1.10%	0.99%	1.69%	1.19%	0.35%	0.95%	0.81%	0.00%	0.73%	1.32%	0.00%	0.00%	1.72%	0.00%	0.36%	0.28%	7.59%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	1	3	2	0	1	0	3	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	2	3	0	2	0	0	1	0	0	0	0	0	3	0	1	0									
		0.19%	0.11%	0.37%	0.21%	0.00%	0.44%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.23%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.22%	0.00%	0.38%	0.17%	0.00%	0.56%	1.19%	0.00%	0.95%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	7	7	20	2	2	3	1	2	1	0	2	1	2	1	0	2	1	0	0	0	0	0	6	1	3	0	0	3	25	3	0	2	1	0	2	0	0	1	0	0	0	1	4	1	1	3									
		0.67%	0.79%	0.86%	2.09%	0.78%	0.88%	0.49%	0.27%	0.72%	0.67%	0.00%	0.92%	0.50%	0.49%	0.23%	0.00%	0.44%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.55%	0.39%	0.00%	0.00%	1.15%	2.11%	0.99%	0.00%	0.79%	0.18%	0.00%	1.63%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.71%	0.48%	0.28%	0.16%	1.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1797	123	130	107	35	39	66	44	41	14	7	8	13	33	30	67	64	33	48	14	41	13	0	108	14	57	59	28	18	110	20	25	16	15	25	8	2	9	32	11	8	39	16	101	21	75	10									
		10.82%	13.96%	15.89%	11.19%	13.57%	17.18%	10.75%	11.92%	14.75%	9.33%	4.73%	3.69%	6.47%	8.09%	6.85%	34.36%	14.07%	9.07%	30.57%	11.86%	20.60%	11.61%	0.00%	15.77%	7.69%	7.46%	13.23%	12.07%	6.90%	9.28%	6.62%	7.04%	6.32%	2.65%	11.90%	6.50%	1.44%	6.57%	14.04%	10.68%	9.41%	6.69%	11.35%	12.02%	5.90%	12.12%	6.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	9	4	4	1	0	2	0	0	1	0	0	1	1	1	2	1	1	1	0	0	0	0	4	1	1	5	2	1	4	1	4	1	0	0	0	0	0	1	0	0	1	0	2	1	3	2									
		0.38%	1.02%	0.49%	0.42%	0.39%	0.00%	0.33%	0.00%	0.00%	0.67%	0.00%	0.00%	0.50%	0.25%	0.23%	1.03%	0.22%	0.27%	0.64%	0.00%	0.00%	0.00%	0.00%	0.58%	0.55%	0.13%	1.12%	0.86%	0.38%	0.34%	0.33%	1.13%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.17%	0.00%	0.24%	0.28%	0.48%	1.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1322	96	125	90	13	21	67	18	24	10	12	9	9	31	56	2	36	18	4	4	13	12	2	55	20	35	40	13	31	79	35	61	16	61	54	9	1	0	5	6	13	14	2	54	16	26	4									
		7.96%	10.90%	15.28%	9.41%	5.04%	9.25%	10.91%	4.88%	8.63%	6.67%	8.11%	4.15%	4.48%	7.60%	12.79%	1.03%	7.91%	4.95%	2.55%	3.39%	6.53%	10.71%	2.15%	8.03%	10.99%	4.58%	8.97%	5.60%	11.88%	6.67%	11.59%	17.18%	6.32%	10.80%	25.71%	7.32%	0.72%	0.00%	2.19%	5.83%	15.29%	2.40%	1.42%	6.43%	4.49%	4.20%	2.53%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
