Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																	
Дата голосования: 04.12.2011																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																																	
																																																																																																																	
Сводная таблица результатов выборов																																																																																																																	
																																																																																																																	
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4951	0	0	0	0	0	0	40	60	50	40	60	76	30	40	40	63	65	65	40	44	89	35	10	50	33	43	40	21	30	30	10	45	35	30	50	70	50	60	73	60	10	65	40	40	70	50	15	5	20	80	40	50	70	60	50	30	35	70	40	10	60	75	5	56	150	35	48	75	60	80	80	85	20	50	40	40	50	74	70	35	60	30	60	30	40	60	38	60	249	90	85	40	85	80	80	35	54	95	30	35	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	4408	0	0	0	0	0	0	38	47	36	30	49	66	29	32	30	61	64	61	34	41	83	26	9	49	30	43	38	21	23	23	10	33	30	27	48	69	47	59	73	59	8	64	29	30	60	50	11	1	15	66	36	49	66	60	34	28	31	63	28	8	54	75	4	51	118	32	47	70	59	69	72	82	16	42	27	39	39	71	52	34	45	30	56	30	39	56	37	60	192	75	83	31	85	80	79	30	50	89	25	28	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3659	14	20	25	14	16	17	16	89	24	46	28	41	24	84	44	17	22	43	43	20	37	29	130	12	25	42	25	33	12	31	43	7	3	10	29	60	93	58	15	21	12	56	20	21	17	62	12	3	51	43	17	14	18	40	26	7	10	6	29	21	84	20	20	13	153	30	103	37	38	25	28	26	14	17	11	26	12	24	23	20	16	15	41	14	5	19	38	67	118	49	38	150	38	16	18	21	133	95	115	15	4	0	5	42	8	8					
14	Число погашенных неиспользованных открепительных удостоверений	543	0	0	0	0	0	0	2	13	14	10	11	10	1	8	10	2	1	4	6	3	6	9	1	1	3	0	2	0	7	7	0	12	5	3	2	1	3	1	0	1	2	1	11	10	10	0	4	4	5	14	4	1	4	0	16	2	4	7	12	2	6	0	1	5	32	3	1	5	1	11	8	3	4	8	13	1	11	3	18	1	15	0	4	0	1	4	1	0	57	15	2	9	0	0	1	5	4	6	5	7	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	917	0	0	0	0	0	0	1	6	2	1	10	27	7	4	12	21	10	16	3	13	14	3	2	13	16	6	5	10	4	5	6	4	15	10	7	5	14	9	22	11	5	15	16	20	16	8	2	0	5	11	9	7	18	4	16	1	1	12	0	1	46	19	0	14	31	1	15	15	18	20	5	13	0	5	3	4	6	5	8	9	7	7	8	14	4	9	13	8	8	20	8	8	24	19	7	5	5	11	7	7	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10207	2	1	4	1	10	28	79	77	47	80	162	127	70	118	68	131	171	166	97	134	117	52	24	166	127	108	71	35	92	111	41	115	75	102	170	187	129	204	174	163	70	230	97	155	166	81	42	25	38	130	113	73	154	127	71	49	57	175	67	58	113	192	12	129	170	60	173	131	109	104	101	150	65	106	78	55	99	81	87	113	114	57	82	74	50	122	64	156	144	130	134	79	77	169	120	74	183	214	52	52	15	26	1	49	19	8					
		11.89%	14.29%	5.00%	16.00%	7.14%	8.33%	11.20%	9.58%	9.27%	8.26%	11.73%	14.49%	10.60%	13.54%	12.58%	9.46%	12.86%	12.33%	13.41%	13.49%	14.38%	11.79%	10.20%	6.84%	14.14%	16.18%	11.16%	10.91%	7.63%	14.67%	11.86%	10.15%	12.30%	12.91%	13.62%	12.34%	13.83%	10.33%	13.98%	14.10%	15.01%	10.29%	15.85%	12.23%	11.14%	13.95%	10.90%	14.48%	11.79%	13.06%	11.68%	12.06%	10.69%	12.36%	8.82%	7.26%	11.11%	8.12%	14.86%	10.60%	11.58%	14.49%	13.25%	10.08%	12.52%	12.45%	11.13%	12.81%	10.70%	9.89%	9.20%	12.15%	11.65%	8.83%	13.15%	10.13%	9.70%	11.93%	9.56%	11.55%	13.03%	13.01%	10.94%	7.92%	12.91%	10.10%	10.23%	9.80%	14.04%	11.76%	12.37%	13.09%	10.56%	8.69%	12.53%	11.46%	13.26%	14.85%	15.55%	9.20%	12.29%	22.39%	3.37%	2.44%	11.56%	10.86%	7.27%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	20898	1	5	9	7	28	59	227	189	186	128	242	269	115	150	169	251	402	211	169	235	260	143	63	310	194	274	167	171	152	218	86	220	135	195	334	274	287	328	253	240	146	324	194	346	276	207	62	26	75	280	210	162	254	396	255	131	194	315	143	135	165	346	32	238	269	126	241	291	297	211	163	288	192	201	254	149	218	276	214	254	239	190	323	196	139	378	164	301	288	249	241	129	205	275	245	143	253	273	153	106	25	308	13	82	37	31					
		24.35%	7.14%	25.00%	36.00%	50.00%	23.33%	23.60%	27.52%	22.74%	32.69%	18.77%	21.65%	22.45%	22.24%	15.99%	23.50%	24.63%	28.98%	17.04%	23.50%	25.21%	26.21%	28.04%	17.95%	26.41%	24.71%	28.31%	25.65%	37.25%	24.24%	23.29%	21.29%	23.53%	23.24%	26.03%	24.24%	20.27%	22.98%	22.48%	20.50%	22.10%	21.47%	22.33%	24.46%	24.86%	23.19%	27.86%	21.38%	12.26%	25.77%	25.16%	22.41%	23.72%	20.39%	27.50%	26.07%	29.71%	27.64%	26.74%	22.63%	26.95%	21.15%	23.88%	26.89%	23.11%	19.69%	23.38%	17.85%	23.77%	26.95%	18.67%	19.61%	22.36%	26.09%	24.94%	32.99%	26.28%	26.27%	32.59%	28.42%	29.30%	27.28%	36.47%	31.21%	34.21%	28.08%	31.68%	25.11%	27.09%	23.51%	23.69%	23.54%	17.25%	23.14%	20.39%	23.40%	25.63%	20.54%	19.84%	27.08%	25.06%	37.31%	39.90%	31.71%	19.34%	21.14%	28.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1854	0	1	0	0	2	5	15	16	7	9	26	37	10	33	21	23	38	26	16	22	22	12	8	31	17	21	19	11	8	11	8	13	10	16	33	24	27	16	21	29	10	29	18	25	33	16	7	8	8	24	36	11	26	27	18	5	11	25	16	6	12	30	2	33	34	22	31	35	23	25	19	48	20	11	4	8	19	16	13	12	8	9	20	9	10	30	14	25	17	19	19	22	24	43	29	12	30	32	6	15	1	8	0	4	7	1					
		2.16%	0.00%	5.00%	0.00%	0.00%	1.67%	2.00%	1.82%	1.93%	1.23%	1.32%	2.33%	3.09%	1.93%	3.52%	2.92%	2.26%	2.74%	2.10%	2.23%	2.36%	2.22%	2.35%	2.28%	2.64%	2.17%	2.17%	2.92%	2.40%	1.28%	1.18%	1.98%	1.39%	1.72%	2.14%	2.39%	1.78%	2.16%	1.10%	1.70%	2.67%	1.47%	1.99%	2.27%	1.80%	2.77%	2.15%	2.41%	3.77%	2.75%	2.16%	3.84%	1.61%	2.09%	1.88%	1.84%	1.13%	1.57%	2.12%	2.53%	1.20%	1.54%	2.07%	1.68%	3.20%	2.49%	4.08%	2.30%	2.86%	2.09%	2.21%	2.29%	3.73%	2.72%	1.36%	0.52%	1.41%	2.29%	1.89%	1.73%	1.38%	0.91%	1.73%	1.93%	1.57%	2.02%	2.51%	2.14%	2.25%	1.39%	1.81%	1.86%	2.94%	2.71%	3.19%	2.77%	2.15%	2.44%	2.33%	1.06%	3.55%	1.49%	1.04%	0.00%	0.94%	4.00%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	20749	6	4	2	2	25	66	136	143	76	166	289	315	166	324	186	227	367	404	198	209	199	113	65	234	179	219	156	92	130	190	81	247	158	202	312	407	368	380	325	251	161	379	217	267	291	154	65	23	58	311	260	186	375	305	289	97	139	310	117	116	173	381	19	202	381	166	356	364	305	326	226	315	178	191	165	79	160	183	126	183	163	102	265	113	112	310	170	286	264	220	265	206	212	346	275	169	359	322	85	98	6	23	6	105	43	6					
		24.18%	42.86%	20.00%	8.00%	14.29%	20.83%	26.40%	16.48%	17.21%	13.36%	24.34%	25.85%	26.29%	32.11%	34.54%	25.87%	22.28%	26.46%	32.63%	27.54%	22.42%	20.06%	22.16%	18.52%	19.93%	22.80%	22.62%	23.96%	20.04%	20.73%	20.30%	20.05%	26.42%	27.19%	26.97%	22.64%	30.10%	29.46%	26.05%	26.34%	23.11%	23.68%	26.12%	27.36%	19.18%	24.45%	20.73%	22.41%	10.85%	19.93%	27.94%	27.75%	27.23%	30.10%	21.18%	29.55%	21.99%	19.80%	26.32%	18.51%	23.15%	22.18%	26.29%	15.97%	19.61%	27.89%	30.80%	26.37%	29.74%	27.68%	28.85%	27.20%	24.46%	24.18%	23.70%	21.43%	13.93%	19.28%	21.61%	16.73%	21.11%	18.61%	19.58%	25.60%	19.72%	22.63%	25.98%	26.03%	25.74%	21.55%	20.93%	25.88%	27.54%	23.93%	25.65%	26.27%	30.29%	29.14%	23.40%	15.04%	23.17%	8.96%	2.98%	14.63%	24.76%	24.57%	5.45%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2911	0	1	4	2	1	16	15	27	9	26	64	59	20	50	25	44	62	60	34	42	26	28	17	46	22	46	14	23	21	13	13	39	16	22	46	28	55	53	27	48	25	73	24	44	46	10	7	1	8	55	46	23	44	25	32	15	17	39	13	10	46	59	3	22	51	30	53	46	28	28	34	60	10	15	16	10	14	17	20	19	19	12	25	10	19	33	19	48	26	22	46	43	36	57	37	21	38	43	7	34	1	7	0	5	0	1					
		3.39%	0.00%	5.00%	16.00%	14.29%	0.83%	6.40%	1.82%	3.25%	1.58%	3.81%	5.72%	4.92%	3.87%	5.33%	3.48%	4.32%	4.47%	4.85%	4.73%	4.51%	2.62%	5.49%	4.84%	3.92%	2.80%	4.75%	2.15%	5.01%	3.35%	1.39%	3.22%	4.17%	2.75%	2.94%	3.34%	2.07%	4.40%	3.63%	2.19%	4.42%	3.68%	5.03%	3.03%	3.16%	3.87%	1.35%	2.41%	0.47%	2.75%	4.94%	4.91%	3.37%	3.53%	1.74%	3.27%	3.40%	2.42%	3.31%	2.06%	1.99%	5.90%	4.07%	2.52%	2.14%	3.73%	5.57%	3.93%	3.76%	2.54%	2.48%	4.09%	4.66%	1.36%	1.86%	2.08%	1.76%	1.69%	2.01%	2.66%	2.19%	2.17%	2.30%	2.42%	1.75%	3.84%	2.77%	2.91%	4.32%	2.12%	2.09%	4.49%	5.75%	4.06%	4.23%	3.53%	3.76%	3.08%	3.13%	1.24%	8.04%	1.49%	0.91%	0.00%	1.18%	0.00%	0.91%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26982	4	7	6	2	52	70	328	359	221	260	297	360	117	239	233	315	318	345	195	266	332	156	166	359	228	267	203	117	202	358	168	281	173	199	451	400	356	452	406	319	257	386	223	532	355	256	101	111	100	272	248	213	361	509	296	134	265	288	255	170	252	415	46	373	417	122	457	330	309	405	271	395	255	262	244	253	282	239	260	251	309	134	305	158	147	295	201	262	447	395	288	253	301	439	317	121	354	459	243	108	16	361	20	167	65	60					
		31.44%	28.57%	35.00%	24.00%	14.29%	43.33%	28.00%	39.76%	43.20%	38.84%	38.12%	26.57%	30.05%	22.63%	25.48%	32.41%	30.91%	22.93%	27.87%	27.12%	28.54%	33.47%	30.59%	47.29%	30.58%	29.04%	27.58%	31.18%	25.49%	32.22%	38.25%	41.58%	30.05%	29.78%	26.57%	32.73%	29.59%	28.50%	30.98%	32.90%	29.37%	37.79%	26.60%	28.12%	38.22%	29.83%	34.45%	34.83%	52.36%	34.36%	24.44%	26.47%	31.19%	28.97%	35.35%	30.27%	30.39%	37.75%	24.45%	40.35%	33.93%	32.31%	28.64%	38.66%	36.21%	30.53%	22.63%	33.85%	26.96%	28.04%	35.84%	32.61%	30.67%	34.65%	32.51%	31.69%	44.62%	33.98%	28.22%	34.53%	28.95%	35.27%	25.72%	29.47%	27.57%	29.70%	24.73%	30.78%	23.58%	36.49%	37.58%	28.13%	33.82%	33.97%	32.54%	30.28%	21.68%	28.73%	33.36%	43.01%	25.53%	23.88%	46.76%	48.78%	39.39%	37.14%	54.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	942	1	1	0	0	1	4	15	3	10	5	17	12	7	13	6	14	11	15	5	4	14	2	2	9	9	15	10	4	13	21	3	4	7	4	10	10	12	10	9	12	3	17	6	10	7	2	5	2	0	24	12	6	19	19	7	3	7	8	8	2	8	12	1	7	17	6	14	11	15	12	9	19	5	10	4	4	28	12	21	24	11	5	7	4	4	5	7	16	12	7	20	8	13	9	13	13	10	15	8	7	1	10	1	3	2	1					
		1.10%	7.14%	5.00%	0.00%	0.00%	0.83%	1.60%	1.82%	0.36%	1.76%	0.73%	1.52%	1.00%	1.35%	1.39%	0.83%	1.37%	0.79%	1.21%	0.70%	0.43%	1.41%	0.39%	0.57%	0.77%	1.15%	1.55%	1.54%	0.87%	2.07%	2.24%	0.74%	0.43%	1.20%	0.53%	0.73%	0.74%	0.96%	0.69%	0.73%	1.10%	0.44%	1.17%	0.76%	0.72%	0.59%	0.27%	1.72%	0.94%	0.00%	2.16%	1.28%	0.88%	1.52%	1.32%	0.72%	0.68%	0.99%	0.68%	1.27%	0.40%	1.03%	0.83%	0.84%	0.68%	1.24%	1.11%	1.04%	0.90%	1.36%	1.06%	1.08%	1.48%	0.68%	1.24%	0.52%	0.71%	3.37%	1.42%	2.79%	2.77%	1.26%	0.96%	0.68%	0.70%	0.81%	0.42%	1.07%	1.44%	0.98%	0.67%	1.95%	1.07%	1.47%	0.67%	1.24%	2.33%	0.81%	1.09%	1.42%	1.65%	1.49%	1.30%	2.44%	0.71%	1.14%	0.91%					
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
