Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1417	10	5	13	15	15	13	25	5	14	8	25	22	20	5	13	10	15	5	8	19	18	16	5	13	10	23	12	8	16	7	13	14	18	15	10	20	20	10	15	20	5	5	5	2	10	13	20	28	30	5	8	10	23	9	10	41	16	0	20	45	10	18	24	10	15	15	20	10	10	10	15	9	10	14	10	5	5	20	5	11	14	10	15	40	20	20	9	33	32	15	8	22	30	20	10	20	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1323	10	3	13	15	15	13	25	4	14	8	25	22	20	4	13	10	15	4	8	19	18	14	4	9	10	23	12	8	14	7	13	10	18	15	10	12	20	10	14	18	5	3	5	1	10	11	16	27	30	5	6	4	21	5	10	41	14	0	20	45	8	18	24	9	15	15	18	10	10	10	15	9	9	10	9	5	5	18	4	7	14	8	14	40	19	20	8	32	32	11	4	22	29	20	5	19	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1224	8	4	8	3	17	15	21	5	22	2	6	21	9	13	8	27	14	3	19	10	7	10	9	5	10	3	6	3	4	12	18	27	10	11	14	10	21	3	13	18	41	5	4	3	9	9	8	18	12	10	6	13	8	7	9	35	17	2	10	29	29	11	12	12	11	7	22	12	7	5	13	3	7	2	5	6	6	24	8	4	5	10	22	28	22	7	13	14	22	10	13	26	17	7	1	11	0	0	44	19	9	14					
14	Число погашенных неиспользованных открепительных удостоверений	94	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	4	0	0	0	0	2	0	0	4	0	0	0	8	0	0	1	2	0	2	0	1	0	2	4	1	0	0	2	6	2	4	0	0	2	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	4	1	0	0	2	1	4	0	2	1	0	1	0	1	1	0	4	4	0	1	0	5	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	1732	8	10	12	8	22	31	26	3	38	12	40	31	26	21	23	15	11	3	25	10	19	17	4	13	21	6	19	7	20	26	23	16	23	32	30	9	23	10	13	25	15	7	1	3	24	17	12	30	19	13	2	4	30	13	11	18	27	1	26	38	20	40	28	17	24	20	16	12	8	12	10	14	9	9	15	14	12	13	8	8	11	12	24	16	33	18	20	35	50	19	25	29	36	11	5	9	11	0	9	5	2	1					
		1.70%	0.92%	2.06%	1.41%	1.10%	1.56%	2.04%	1.56%	0.72%	3.44%	1.59%	2.80%	1.90%	1.86%	2.52%	2.06%	1.07%	1.51%	0.73%	1.77%	0.97%	1.75%	2.12%	0.73%	1.78%	1.96%	0.75%	1.60%	0.93%	2.07%	1.67%	1.48%	1.41%	1.41%	2.14%	2.26%	1.12%	1.36%	1.75%	1.36%	1.75%	2.61%	2.17%	0.41%	1.11%	2.24%	1.57%	1.15%	1.98%	1.01%	1.87%	0.36%	1.10%	1.96%	1.84%	1.62%	1.80%	2.03%	0.68%	1.79%	2.23%	1.81%	2.72%	1.68%	1.38%	1.74%	1.81%	1.09%	1.24%	0.67%	1.13%	1.04%	1.48%	1.03%	1.33%	1.38%	1.36%	1.98%	1.38%	1.06%	1.69%	1.13%	1.52%	1.92%	1.25%	2.59%	1.79%	2.77%	3.08%	3.00%	1.61%	3.32%	2.12%	2.15%	1.45%	1.35%	0.99%	0.99%	0.00%	1.67%	2.60%	1.16%	0.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1013	7	4	6	3	12	32	24	1	12	12	18	26	19	11	4	10	7	3	6	11	21	8	7	6	9	1	6	4	11	12	11	12	13	10	16	8	20	1	9	10	4	4	0	2	13	20	8	14	16	7	11	2	20	7	4	16	23	1	18	27	13	17	18	12	11	14	15	4	15	8	2	7	2	6	9	4	6	8	8	4	12	6	17	18	16	2	19	15	24	10	9	13	9	3	9	5	2	0	0	0	0	1					
		0.99%	0.80%	0.82%	0.70%	0.41%	0.85%	2.10%	1.44%	0.24%	1.09%	1.59%	1.26%	1.59%	1.36%	1.32%	0.36%	0.71%	0.96%	0.73%	0.43%	1.07%	1.94%	0.99%	1.28%	0.82%	0.84%	0.12%	0.51%	0.53%	1.14%	0.77%	0.71%	1.06%	0.80%	0.67%	1.21%	0.99%	1.18%	0.18%	0.94%	0.70%	0.70%	1.24%	0.00%	0.74%	1.21%	1.85%	0.77%	0.93%	0.85%	1.01%	1.99%	0.55%	1.31%	0.99%	0.59%	1.60%	1.73%	0.68%	1.24%	1.59%	1.18%	1.15%	1.08%	0.97%	0.80%	1.27%	1.02%	0.41%	1.25%	0.76%	0.21%	0.74%	0.23%	0.88%	0.83%	0.39%	0.99%	0.85%	1.06%	0.84%	1.23%	0.76%	1.36%	1.40%	1.26%	0.20%	2.64%	1.32%	1.44%	0.85%	1.19%	0.95%	0.54%	0.40%	2.43%	0.55%	0.18%	0.00%	0.00%	0.00%	0.00%	0.57%					
20	3.Политическая партия «Демократическая партия России»	124	0	0	0	0	2	2	1	1	1	2	0	3	2	1	1	4	1	0	1	3	1	2	0	0	2	1	0	3	0	3	0	1	2	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	1	3	4	0	1	0	1	2	3	3	1	1	7	0	1	1	1	1	0	0	1	1	0	2	0	1	1	2	1	3	3	3	1	1	0	2	1	0	1	12	0	1	1	1	1					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.13%	0.06%	0.24%	0.09%	0.27%	0.00%	0.18%	0.14%	0.12%	0.09%	0.29%	0.14%	0.00%	0.07%	0.29%	0.09%	0.25%	0.00%	0.00%	0.19%	0.12%	0.00%	0.40%	0.00%	0.19%	0.00%	0.09%	0.12%	0.07%	0.08%	0.12%	0.00%	0.18%	0.10%	0.00%	0.17%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.29%	0.20%	0.08%	0.68%	0.21%	0.24%	0.00%	0.07%	0.00%	0.08%	0.15%	0.27%	0.20%	0.10%	0.08%	0.66%	0.00%	0.11%	0.11%	0.15%	0.09%	0.00%	0.00%	0.11%	0.13%	0.00%	0.21%	0.00%	0.08%	0.08%	0.16%	0.10%	0.42%	0.26%	0.18%	0.08%	0.13%	0.00%	0.12%	0.13%	0.00%	0.11%	1.09%	0.00%	0.19%	0.52%	0.58%	0.57%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13189	89	48	94	60	228	186	205	75	266	138	187	215	266	140	122	143	71	31	159	149	117	84	45	66	121	71	155	130	125	232	261	145	183	220	189	92	222	102	90	180	56	52	7	34	172	183	191	288	139	69	46	51	224	76	76	90	164	9	142	293	203	260	288	175	256	161	198	156	127	150	50	102	111	57	99	130	60	118	72	47	118	115	145	121	125	128	125	81	237	177	124	245	261	66	23	81	25	1	52	25	29	1					
		12.96%	10.23%	9.88%	11.03%	8.25%	16.17%	12.21%	12.28%	18.03%	24.09%	18.33%	13.07%	13.18%	18.99%	16.79%	10.93%	10.21%	9.75%	7.56%	11.28%	14.51%	10.79%	10.46%	8.24%	9.04%	11.32%	8.85%	13.08%	17.24%	12.95%	14.87%	16.74%	12.82%	11.25%	14.70%	14.26%	11.44%	13.15%	17.86%	9.44%	12.61%	9.76%	16.10%	2.86%	12.59%	16.06%	16.94%	18.28%	19.04%	7.38%	9.93%	8.35%	14.01%	14.64%	10.78%	11.16%	9.01%	12.36%	6.12%	9.77%	17.23%	18.42%	17.65%	17.28%	14.18%	18.59%	14.56%	13.48%	16.10%	10.60%	14.16%	5.21%	10.78%	12.70%	8.41%	9.12%	12.66%	9.90%	12.55%	9.50%	9.92%	12.13%	14.61%	11.61%	9.42%	9.83%	12.76%	17.34%	7.13%	14.23%	14.97%	16.45%	17.94%	15.56%	8.70%	6.20%	8.90%	2.27%	1.41%	9.65%	13.02%	16.76%	0.57%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2866	13	20	17	8	16	77	67	23	44	14	31	63	36	27	32	27	19	10	45	31	33	19	14	9	15	12	33	18	37	48	44	57	45	66	45	22	83	20	24	34	6	19	0	5	48	44	20	37	28	29	6	4	30	13	4	206	55	0	18	53	45	51	39	27	26	27	41	10	17	11	8	11	22	12	7	18	15	16	12	11	32	11	53	45	29	29	31	45	41	22	26	43	51	12	15	15	6	1	3	4	3	0					
		2.82%	1.49%	4.12%	1.99%	1.10%	1.13%	5.06%	4.01%	5.53%	3.99%	1.86%	2.17%	3.86%	2.57%	3.24%	2.87%	1.93%	2.61%	2.44%	3.19%	3.02%	3.04%	2.37%	2.56%	1.23%	1.40%	1.50%	2.78%	2.39%	3.83%	3.08%	2.82%	5.04%	2.77%	4.41%	3.40%	2.74%	4.92%	3.50%	2.52%	2.38%	1.05%	5.88%	0.00%	1.85%	4.48%	4.07%	1.91%	2.45%	1.49%	4.17%	1.09%	1.10%	1.96%	1.84%	0.59%	20.62%	4.14%	0.00%	1.24%	3.12%	4.08%	3.46%	2.34%	2.19%	1.89%	2.44%	2.79%	1.03%	1.42%	1.04%	0.83%	1.16%	2.52%	1.77%	0.64%	1.75%	2.48%	1.70%	1.58%	2.32%	3.29%	1.40%	4.24%	3.50%	2.28%	2.89%	4.30%	3.96%	2.46%	1.86%	3.45%	3.15%	3.04%	1.58%	4.04%	1.65%	0.54%	1.41%	0.56%	2.08%	1.73%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	222	1	0	2	0	1	5	3	0	7	0	1	4	3	2	6	4	2	0	5	4	1	6	0	1	0	0	2	1	4	6	3	5	0	2	3	1	2	2	1	1	1	0	1	0	1	1	1	1	5	2	1	2	3	5	2	2	7	0	2	7	2	3	5	1	3	2	3	2	0	0	2	0	1	2	2	1	0	4	1	0	1	3	2	6	3	3	3	1	3	5	1	5	0	1	0	1	8	2	3	1	1	0					
		0.22%	0.11%	0.00%	0.23%	0.00%	0.07%	0.33%	0.18%	0.00%	0.63%	0.00%	0.07%	0.25%	0.21%	0.24%	0.54%	0.29%	0.27%	0.00%	0.35%	0.39%	0.09%	0.75%	0.00%	0.14%	0.00%	0.00%	0.17%	0.13%	0.41%	0.38%	0.19%	0.44%	0.00%	0.13%	0.23%	0.12%	0.12%	0.35%	0.10%	0.07%	0.17%	0.00%	0.41%	0.00%	0.09%	0.09%	0.10%	0.07%	0.27%	0.29%	0.18%	0.55%	0.20%	0.71%	0.29%	0.20%	0.53%	0.00%	0.14%	0.41%	0.18%	0.20%	0.30%	0.08%	0.22%	0.18%	0.20%	0.21%	0.00%	0.00%	0.21%	0.00%	0.11%	0.29%	0.18%	0.10%	0.00%	0.43%	0.13%	0.00%	0.10%	0.38%	0.16%	0.47%	0.24%	0.30%	0.42%	0.09%	0.18%	0.42%	0.13%	0.37%	0.00%	0.13%	0.00%	0.11%	0.73%	2.82%	0.56%	0.52%	0.58%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	12282	89	48	88	86	164	159	202	41	104	101	164	220	140	92	131	167	89	57	187	119	113	110	87	92	133	95	154	69	108	199	185	135	212	194	154	90	180	68	126	186	62	36	10	31	132	119	118	159	287	92	94	52	183	102	63	93	148	25	194	162	120	145	162	167	164	142	166	83	136	121	107	97	112	96	140	105	66	111	90	63	143	93	149	143	138	127	88	98	215	151	82	155	188	81	53	116	461	15	50	18	16	9					
		12.06%	10.23%	9.88%	10.33%	11.83%	11.63%	10.44%	12.10%	9.86%	9.42%	13.41%	11.46%	13.49%	9.99%	11.03%	11.74%	11.92%	12.23%	13.90%	13.26%	11.59%	10.42%	13.70%	15.93%	12.60%	12.44%	11.85%	12.99%	9.15%	11.19%	12.76%	11.87%	11.94%	13.04%	12.96%	11.62%	11.19%	10.66%	11.91%	13.22%	13.03%	10.80%	11.15%	4.08%	11.48%	12.32%	11.02%	11.29%	10.51%	15.24%	13.24%	17.06%	14.29%	11.96%	14.47%	9.25%	9.31%	11.15%	17.01%	13.34%	9.52%	10.89%	9.84%	9.72%	13.53%	11.91%	12.84%	11.30%	8.57%	11.35%	11.43%	11.16%	10.25%	12.81%	14.16%	12.89%	10.22%	10.89%	11.81%	11.87%	13.29%	14.70%	11.82%	11.93%	11.14%	10.85%	12.66%	12.21%	8.63%	12.91%	12.77%	10.88%	11.35%	11.21%	10.67%	14.29%	12.75%	41.87%	21.13%	9.28%	9.38%	9.25%	5.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4482	25	16	40	17	54	95	95	29	54	28	63	77	83	43	32	46	27	23	49	47	53	29	21	31	58	25	63	48	31	72	84	47	94	63	67	34	77	28	39	63	31	11	5	10	52	50	38	76	29	28	17	22	80	19	26	42	78	10	57	84	49	62	94	52	52	60	62	34	47	33	38	30	19	25	68	45	31	35	27	16	50	35	74	55	47	50	44	43	96	53	28	81	78	35	19	18	27	0	22	8	3	2					
		4.40%	2.87%	3.29%	4.69%	2.34%	3.83%	6.24%	5.69%	6.97%	4.89%	3.72%	4.40%	4.72%	5.92%	5.16%	2.87%	3.28%	3.71%	5.61%	3.48%	4.58%	4.89%	3.61%	3.85%	4.25%	5.43%	3.12%	5.32%	6.37%	3.21%	4.62%	5.39%	4.16%	5.78%	4.21%	5.06%	4.23%	4.56%	4.90%	4.09%	4.41%	5.40%	3.41%	2.04%	3.70%	4.86%	4.63%	3.64%	5.02%	1.54%	4.03%	3.09%	6.04%	5.23%	2.70%	3.82%	4.20%	5.88%	6.80%	3.92%	4.94%	4.45%	4.21%	5.64%	4.21%	3.78%	5.42%	4.22%	3.51%	3.92%	3.12%	3.96%	3.17%	2.17%	3.69%	6.26%	4.38%	5.12%	3.72%	3.56%	3.38%	5.14%	4.45%	5.92%	4.28%	3.69%	4.99%	6.10%	3.79%	5.76%	4.48%	3.71%	5.93%	4.65%	4.61%	5.12%	1.98%	2.45%	0.00%	4.08%	4.17%	1.73%	1.15%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	888	4	5	5	3	8	14	18	3	10	5	18	21	17	10	9	11	3	3	14	5	11	7	2	4	7	4	13	1	3	12	8	9	19	16	7	8	19	2	9	10	1	3	0	3	14	8	8	18	14	9	2	2	12	7	6	10	19	1	6	14	7	22	17	15	6	7	17	8	7	5	6	13	8	3	15	10	1	5	5	3	9	12	14	11	8	9	3	20	20	10	7	15	20	4	0	6	12	0	6	5	1	2					
		0.87%	0.46%	1.03%	0.59%	0.41%	0.57%	0.92%	1.08%	0.72%	0.91%	0.66%	1.26%	1.29%	1.21%	1.20%	0.81%	0.79%	0.41%	0.73%	0.99%	0.49%	1.01%	0.87%	0.37%	0.55%	0.65%	0.50%	1.10%	0.13%	0.31%	0.77%	0.51%	0.80%	1.17%	1.07%	0.53%	0.99%	1.13%	0.35%	0.94%	0.70%	0.17%	0.93%	0.00%	1.11%	1.31%	0.74%	0.77%	1.19%	0.74%	1.29%	0.36%	0.55%	0.78%	0.99%	0.88%	1.00%	1.43%	0.68%	0.41%	0.82%	0.64%	1.49%	1.02%	1.22%	0.44%	0.63%	1.16%	0.83%	0.58%	0.47%	0.63%	1.37%	0.92%	0.44%	1.38%	0.97%	0.17%	0.53%	0.66%	0.63%	0.92%	1.52%	1.12%	0.86%	0.63%	0.90%	0.42%	1.76%	1.20%	0.85%	0.93%	1.10%	1.19%	0.53%	0.00%	0.66%	1.09%	0.00%	1.11%	2.60%	0.58%	1.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	63006	615	325	575	524	882	879	983	233	546	415	888	934	782	469	733	955	484	278	879	634	688	510	360	500	694	560	711	459	605	923	905	683	1004	865	790	517	1021	323	622	892	387	180	218	175	585	615	627	854	1322	433	364	223	918	449	466	508	783	99	957	978	612	844	993	748	810	645	910	647	811	697	721	665	580	459	720	690	410	606	528	307	579	489	742	840	851	620	364	771	944	709	435	751	993	536	234	647	483	51	388	120	114	156					
		61.89%	70.69%	66.87%	67.49%	72.08%	62.55%	57.72%	58.90%	56.01%	49.46%	55.11%	62.05%	57.27%	55.82%	56.24%	65.68%	68.17%	66.48%	67.80%	62.34%	61.73%	63.47%	63.51%	65.93%	68.49%	64.92%	69.83%	60.00%	60.88%	62.69%	59.17%	58.05%	60.39%	61.75%	57.78%	59.62%	64.30%	60.49%	56.57%	65.27%	62.46%	67.42%	55.73%	88.98%	64.81%	54.62%	56.94%	60.00%	56.44%	70.21%	62.30%	66.06%	61.26%	60.00%	63.69%	68.43%	50.85%	59.01%	67.35%	65.82%	57.50%	55.54%	57.30%	59.57%	60.62%	58.82%	58.32%	61.95%	66.77%	67.70%	65.82%	75.18%	70.30%	66.36%	67.70%	66.30%	67.19%	67.66%	64.47%	69.66%	64.77%	59.51%	62.13%	59.41%	65.42%	66.90%	61.81%	50.49%	67.87%	56.66%	59.98%	57.69%	54.98%	59.21%	70.62%	63.07%	71.10%	43.87%	71.83%	71.99%	62.50%	65.90%	89.66%					
