Выборы Президента Российской Федерации																																																																														
																																																																														
"Наименование Избирательной комиссии:    Воронеж, Советская"																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1370	УИК №1371	УИК №1373					
11	Число полученных открепительных  удостоверений	1956	20	40	35	25	35	40	35	40	20	30	35	45	30	20	30	40	25	30	45	45	0	30	45	30	40	30	40	30	20	30	30	25	30	35	30	45	16	30	25	30	15	15	0	45	35	29	30	16	15	30	45	30	30	15	30	20	40	35	25	35	25	30	15	20	15	25	20	15	0	0	0					
12	Число выданных открепительных удостоверений	1297	10	26	28	25	24	27	24	28	13	17	23	33	16	7	19	26	16	18	28	24	0	18	28	22	32	22	36	19	8	16	19	17	17	31	23	31	7	21	13	25	9	9	0	31	19	25	19	10	10	19	29	26	22	13	20	14	24	29	13	20	15	17	9	17	14	10	6	11	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	980	14	17	15	22	8	7	11	15	12	22	14	23	12	6	13	12	11	18	20	23	107	9	13	16	9	5	7	6	10	10	16	6	10	21	15	13	4	10	7	10	5	10	42	12	22	4	17	6	7	11	14	6	13	12	15	8	10	1	11	16	11	7	3	7	14	7	3	2	45	24	16					
14	Число неиспользованных открепительных удостоверений	659	10	14	7	0	11	13	11	12	7	13	12	12	14	13	11	14	9	12	17	21	0	12	17	8	8	8	4	11	12	14	11	8	13	4	7	14	9	9	12	5	6	6	0	14	16	4	11	6	5	11	16	4	8	2	10	6	16	6	12	15	10	13	6	3	1	15	14	4	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																														
18	. Глазьев Сергей Юрьевич	4138	72	71	90	83	69	55	44	76	49	47	72	61	53	38	82	46	37	47	71	61	6	67	52	96	57	103	115	60	51	76	53	60	58	98	78	92	12	68	93	87	52	58	1	73	118	67	83	37	32	63	89	54	64	27	47	78	59	66	55	75	42	40	24	49	13	59	56	47	1	1	2					
		5.19%	5.21%	4.87%	5.78%	5.64%	5.11%	3.98%	4.67%	5.28%	4.52%	3.73%	5.63%	4.25%	4.13%	4.26%	6.24%	3.92%	4.79%	4.65%	4.88%	5.22%	5.61%	6.05%	5.19%	8.51%	4.25%	7.61%	7.71%	4.81%	4.53%	5.77%	5.05%	5.99%	4.54%	6.33%	5.22%	5.63%	3.73%	5.20%	6.99%	6.06%	5.18%	4.39%	2.38%	6.29%	8.19%	5.16%	5.72%	4.68%	4.55%	4.82%	6.04%	3.84%	5.30%	4.04%	3.86%	6.10%	4.48%	5.37%	5.80%	6.13%	4.10%	4.21%	3.23%	3.92%	1.70%	3.61%	4.54%	6.25%	2.22%	4.17%	2.90%					
19	. Малышкин Олег Александрович	1239	34	15	27	32	29	26	8	19	9	17	19	27	23	13	20	16	11	18	21	10	4	11	26	19	19	29	26	16	20	33	15	16	16	23	24	20	6	20	19	18	11	25	1	16	23	15	11	7	10	17	21	21	23	9	9	13	12	21	18	17	21	24	12	21	13	30	19	21	0	2	2					
		1.55%	2.46%	1.03%	1.73%	2.17%	2.15%	1.88%	0.85%	1.32%	0.83%	1.35%	1.49%	1.88%	1.79%	1.46%	1.52%	1.37%	1.42%	1.78%	1.44%	0.86%	3.74%	0.99%	2.59%	1.68%	1.42%	2.14%	1.74%	1.28%	1.78%	2.51%	1.43%	1.60%	1.25%	1.48%	1.61%	1.22%	1.86%	1.53%	1.43%	1.25%	1.10%	1.89%	2.38%	1.38%	1.60%	1.16%	0.76%	0.88%	1.42%	1.30%	1.43%	1.49%	1.90%	1.35%	0.74%	1.02%	0.91%	1.71%	1.90%	1.39%	2.05%	2.52%	1.62%	1.68%	1.70%	1.83%	1.54%	2.79%	0.00%	8.33%	2.90%					
20	. Миронов Сергей Михайлович	856	11	21	14	15	23	16	12	11	8	10	17	28	10	8	20	17	8	11	13	15	1	10	14	17	11	21	26	15	16	17	11	6	18	23	15	16	4	12	20	13	19	13	0	12	16	15	4	3	10	23	8	12	11	3	5	9	12	11	16	12	7	10	8	10	5	13	9	5	0	0	1					
		1.07%	0.80%	1.44%	0.90%	1.02%	1.70%	1.16%	1.27%	0.76%	0.74%	0.79%	1.33%	1.95%	0.78%	0.90%	1.52%	1.45%	1.03%	1.09%	0.89%	1.28%	0.93%	0.90%	1.40%	1.51%	0.82%	1.55%	1.74%	1.20%	1.42%	1.29%	1.05%	0.60%	1.41%	1.48%	1.00%	0.98%	1.24%	0.92%	1.50%	0.91%	1.89%	0.98%	0.00%	1.03%	1.11%	1.16%	0.28%	0.38%	1.42%	1.76%	0.54%	0.85%	0.91%	0.45%	0.41%	0.70%	0.91%	0.89%	1.69%	0.98%	0.68%	1.05%	1.08%	0.80%	0.65%	0.79%	0.73%	0.66%	0.00%	0.00%	1.45%					
21	. Путин Владимир Владимирович	48752	833	952	1006	943	874	884	600	857	672	788	743	874	822	559	781	698	476	591	867	699	81	684	635	674	818	774	864	730	673	729	661	612	786	906	908	943	219	750	746	841	582	878	30	684	861	772	854	473	441	730	852	858	700	437	757	697	768	701	543	695	685	573	544	883	541	1170	882	501	32	16	59					
		61.16%	60.27%	65.29%	64.61%	64.06%	64.69%	63.92%	63.63%	59.51%	61.99%	62.49%	58.14%	60.91%	64.12%	62.74%	59.44%	59.56%	61.58%	58.51%	59.63%	59.85%	75.70%	61.73%	63.37%	59.75%	60.95%	57.16%	57.95%	58.49%	59.77%	55.35%	63.01%	61.14%	61.50%	58.49%	60.78%	57.71%	68.01%	57.38%	56.09%	58.57%	58.03%	66.52%	71.43%	58.91%	59.79%	59.48%	58.82%	59.80%	62.64%	55.90%	57.84%	61.02%	57.95%	65.42%	62.15%	54.50%	58.27%	56.99%	57.28%	56.83%	66.89%	60.25%	73.32%	70.64%	70.81%	71.52%	71.47%	66.62%	71.11%	66.67%	85.51%					
22	. Хакамада Ирина Муцуовна	3681	48	58	45	62	45	63	33	52	29	54	51	55	48	40	51	68	27	56	81	65	1	38	41	67	72	66	60	63	47	72	49	37	61	108	74	75	4	72	86	89	48	54	2	60	73	57	90	36	45	56	72	78	65	38	66	79	60	67	66	71	42	30	25	52	16	62	26	30	1	1	0					
		4.62%	3.47%	3.98%	2.89%	4.21%	3.33%	4.56%	3.50%	3.61%	2.68%	4.28%	3.99%	3.83%	3.74%	4.49%	3.88%	5.80%	3.49%	5.54%	5.57%	5.57%	0.93%	3.43%	4.09%	5.94%	5.37%	4.87%	4.02%	5.05%	4.17%	5.47%	4.67%	3.70%	4.77%	6.97%	4.95%	4.59%	1.24%	5.51%	6.47%	6.20%	4.79%	4.09%	4.76%	5.17%	5.07%	4.39%	6.20%	4.55%	6.39%	4.29%	4.89%	5.55%	5.38%	5.69%	5.42%	6.18%	4.55%	5.45%	6.96%	5.81%	4.10%	3.15%	3.37%	4.16%	2.09%	3.79%	2.11%	3.99%	2.22%	4.17%	0.00%					
23	. Харитонов Николай Михайлович	18074	342	291	319	278	249	290	215	368	264	278	339	346	283	207	320	297	184	248	333	268	9	264	177	216	317	311	350	309	276	352	224	226	274	325	346	429	69	334	312	331	241	229	6	256	289	331	367	214	136	366	369	344	299	124	309	356	353	316	217	318	203	247	98	160	155	257	208	119	11	3	3					
		22.67%	24.75%	19.96%	20.49%	18.89%	18.43%	20.97%	22.80%	25.56%	24.35%	22.05%	26.53%	24.11%	22.07%	23.23%	24.35%	25.34%	23.80%	24.55%	22.90%	22.95%	8.41%	23.83%	17.66%	19.15%	23.62%	22.97%	23.47%	24.76%	24.51%	26.73%	21.35%	22.58%	21.44%	20.98%	23.16%	26.25%	21.43%	25.55%	23.46%	23.05%	24.03%	17.35%	14.29%	22.05%	20.07%	25.50%	25.28%	27.05%	19.32%	28.02%	25.05%	24.47%	24.75%	18.56%	25.37%	27.83%	26.78%	25.69%	22.89%	26.00%	19.82%	25.97%	13.21%	12.80%	20.29%	15.71%	16.86%	15.82%	24.44%	12.50%	4.35%					
																																																																														
24	Против всех	2554	34	42	41	48	56	41	23	48	48	58	28	37	43	22	28	26	26	31	62	48	5	30	51	37	45	36	44	48	38	33	31	38	60	60	39	54	8	44	50	57	47	58	2	50	55	28	38	18	26	45	55	35	30	25	22	42	45	43	28	29	24	20	28	60	18	41	14	27	0	1	2					
		3.20%	2.46%	2.88%	2.63%	3.26%	4.15%	2.96%	2.44%	3.33%	4.43%	4.60%	2.19%	2.58%	3.35%	2.47%	2.13%	2.22%	3.36%	3.07%	4.26%	4.11%	4.67%	2.71%	5.09%	3.28%	3.35%	2.66%	2.95%	3.85%	3.37%	2.51%	2.96%	3.80%	4.69%	3.87%	2.61%	3.30%	2.48%	3.37%	3.76%	3.97%	4.69%	4.39%	4.76%	4.31%	3.82%	2.16%	2.62%	2.28%	3.69%	3.45%	3.73%	2.49%	2.48%	3.74%	1.81%	3.28%	3.41%	3.50%	2.95%	2.37%	2.34%	2.10%	3.77%	4.80%	2.36%	2.51%	1.13%	3.59%	0.00%	4.17%	2.90%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
