Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №244	УИК №245	УИК №620	УИК №679	УИК №694	УИК №695	УИК №696	УИК №960	УИК №961	УИК №964	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3857	51	70	26	35	56	28	42	1	22	1	118	113	109	50	68	109	127	129	126	88	130	113	99	81	80	1	27	17	27	88	85	36	51	59	80	48	79	51	81	73	36	44	71	62	37	44	38	41	60	52	64	37	43	36	32	37	43	42	45	55	58	6	16	8	19	2	43	5	1	105					
		6.34%	5.48%	7.16%	6.25%	4.96%	6.07%	3.79%	5.28%	1.82%	4.11%	1.96%	10.80%	11.59%	12.81%	8.59%	10.90%	10.33%	13.86%	12.77%	13.67%	6.75%	9.31%	10.02%	7.96%	8.04%	7.19%	1.12%	3.95%	2.47%	3.28%	6.62%	7.20%	3.82%	5.40%	5.55%	7.67%	4.54%	6.19%	5.07%	7.48%	6.83%	3.18%	5.13%	6.19%	5.93%	3.83%	5.33%	3.96%	5.04%	5.44%	5.99%	6.35%	4.76%	4.55%	3.69%	3.62%	3.44%	3.82%	3.63%	4.26%	5.14%	5.42%	4.51%	4.86%	2.00%	2.25%	2.86%	4.12%	2.87%	0.33%	10.26%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16811	223	283	124	178	251	180	187	26	272	18	225	255	169	157	152	255	221	229	206	389	388	380	375	231	266	26	181	206	264	393	319	242	251	263	270	301	366	323	286	283	482	205	266	271	305	206	250	223	336	225	258	232	221	284	237	283	299	345	272	291	266	45	107	156	290	25	287	46	216	268					
		27.65%	23.98%	28.97%	29.81%	25.21%	27.22%	24.39%	23.52%	47.27%	50.84%	35.29%	20.59%	26.15%	19.86%	26.98%	24.36%	24.17%	24.13%	22.67%	22.34%	29.83%	27.79%	33.69%	30.17%	22.92%	23.90%	29.21%	26.50%	29.90%	32.08%	29.55%	27.03%	25.66%	26.56%	24.72%	25.89%	28.48%	28.68%	32.14%	26.41%	26.47%	42.62%	23.92%	23.19%	25.93%	31.57%	24.94%	26.07%	27.40%	30.46%	25.95%	25.60%	29.82%	23.36%	29.10%	26.81%	26.30%	26.55%	29.84%	25.73%	27.17%	24.86%	33.83%	32.52%	39.00%	34.28%	35.71%	27.52%	26.44%	72.00%	26.20%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	838	3	13	5	6	13	4	14	0	6	0	12	11	18	12	9	10	9	26	18	17	18	29	17	18	20	1	8	9	11	18	21	11	10	15	15	15	19	17	15	9	14	14	19	9	15	9	20	6	12	7	17	12	16	6	9	9	11	20	15	22	16	3	4	2	19	1	13	0	0	16					
		1.38%	0.32%	1.33%	1.20%	0.85%	1.41%	0.54%	1.76%	0.00%	1.12%	0.00%	1.10%	1.13%	2.12%	2.06%	1.44%	0.95%	0.98%	2.57%	1.95%	1.30%	1.29%	2.57%	1.37%	1.79%	1.80%	1.12%	1.17%	1.31%	1.34%	1.35%	1.78%	1.17%	1.06%	1.41%	1.44%	1.42%	1.49%	1.69%	1.39%	0.84%	1.24%	1.63%	1.66%	0.86%	1.55%	1.09%	2.09%	0.74%	1.09%	0.81%	1.69%	1.54%	1.69%	0.61%	1.02%	0.84%	0.98%	1.73%	1.42%	2.05%	1.50%	2.26%	1.22%	0.50%	2.25%	1.43%	1.25%	0.00%	0.00%	1.56%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
