Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																			
Дата голосования: 18.09.2016																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Симферополь, Киевская"																																																																																			
																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																			
																																																																																			
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2425	20	20	30	50	50	50	50	50	30	30	50	50	50	50	30	30	30	30	50	30	20	50	30	30	50	30	30	50	50	30	30	40	30	50	50	30	50	50	50	30	30	30	30	50	40	50	50	30	30	30	30	30	50	35	30	50	30	30	30	30	50	50	50	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	962	4	9	10	24	11	16	22	14	7	12	17	18	20	25	15	4	13	19	21	5	12	13	12	13	20	11	14	22	12	7	5	11	3	42	15	14	24	13	26	15	7	2	14	21	22	11	14	8	20	13	17	12	12	35	15	29	16	13	16	24	15	13	23	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1199	8	7	15	10	18	16	22	23	13	18	19	14	4	12	12	14	12	13	12	9	19	12	15	14	20	6	10	17	8	14	9	4	0	11	6	6	9	9	46	16	4	0	4	10	17	8	19	11	17	15	17	7	16	13	18	10	5	8	21	6	3	10	14	61	6	13	224	3	4	45	57	11									
14	Число погашенных неиспользованных открепительных удостоверений	1463	16	11	20	26	39	34	28	36	23	18	33	32	30	25	15	26	17	11	29	25	8	37	18	17	30	19	16	28	38	23	25	29	27	8	35	16	26	37	24	15	23	28	16	29	18	39	36	22	10	17	13	18	38	0	15	21	14	17	14	6	35	37	27	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	439	0	1	0	1	1	1	0	0	1	0	0	2	3	0	1	0	2	0	0	1	0	0	0	2	1	1	1	2	0	2	0	1	0	368	0	0	0	2	0	2	2	0	0	0	1	4	2	0	1	1	0	1	1	17	2	3	2	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	879	8	6	19	19	15	15	16	26	5	3	7	18	21	19	10	7	6	10	16	14	4	16	18	10	5	9	5	23	8	12	2	16	9	30	11	5	28	20	19	18	9	8	15	15	16	13	11	9	20	16	15	16	18	16	14	21	24	14	13	5	15	16	18	0	0	1	6	0	1	1	5	0									
		1.57%	1.60%	1.21%	2.50%	1.80%	1.97%	1.35%	1.51%	2.56%	0.90%	0.66%	0.61%	1.95%	1.95%	2.09%	1.38%	1.07%	0.59%	1.01%	1.75%	2.18%	1.13%	1.51%	2.92%	1.55%	0.59%	1.19%	0.65%	1.75%	1.24%	2.10%	1.22%	1.25%	1.15%	2.48%	1.04%	0.62%	1.74%	2.27%	1.65%	1.73%	1.60%	0.80%	1.41%	1.46%	1.53%	1.41%	1.23%	1.96%	2.10%	1.92%	1.75%	2.25%	1.59%	1.77%	1.97%	2.03%	2.95%	2.28%	1.78%	0.51%	1.84%	1.71%	1.19%	0.00%	0.00%	1.43%	0.94%	0.00%	3.85%	1.49%	1.51%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	618	10	9	9	8	2	10	17	18	13	6	9	9	16	10	4	12	11	14	15	8	13	10	10	5	11	13	4	15	8	9	0	7	13	11	13	2	6	9	18	5	8	3	3	5	12	10	7	7	9	8	6	7	21	12	3	12	6	5	22	10	10	12	9	0	0	1	6	0	0	2	10	0									
		1.10%	2.00%	1.82%	1.18%	0.76%	0.26%	0.90%	1.60%	1.77%	2.35%	1.32%	0.78%	0.98%	1.48%	1.10%	0.55%	1.83%	1.09%	1.41%	1.64%	1.25%	3.66%	0.94%	1.62%	0.77%	1.29%	1.72%	0.52%	1.14%	1.24%	1.58%	0.00%	0.55%	1.67%	0.91%	1.23%	0.25%	0.37%	1.02%	1.57%	0.48%	1.42%	0.30%	0.28%	0.49%	1.14%	1.09%	0.79%	1.52%	0.94%	0.96%	0.70%	0.98%	1.85%	1.33%	0.42%	1.16%	0.74%	0.81%	3.01%	1.02%	1.22%	1.28%	0.60%	0.00%	0.00%	1.43%	0.94%	0.00%	0.00%	2.99%	3.01%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	493	7	8	4	8	2	9	13	9	7	4	11	6	8	9	12	7	4	6	10	7	12	7	7	6	4	7	5	21	4	2	4	11	14	12	6	2	11	8	7	8	7	6	2	2	10	10	8	4	6	9	15	6	9	6	1	16	8	4	7	16	7	10	5	0	0	0	7	0	0	0	3	0									
		0.88%	1.40%	1.62%	0.53%	0.76%	0.26%	0.81%	1.22%	0.89%	1.26%	0.88%	0.95%	0.65%	0.74%	0.99%	1.65%	1.07%	0.39%	0.61%	1.10%	1.09%	3.38%	0.66%	1.13%	0.93%	0.47%	0.93%	0.65%	1.59%	0.62%	0.35%	2.44%	0.86%	1.79%	0.99%	0.57%	0.25%	0.68%	0.91%	0.61%	0.77%	1.24%	0.60%	0.19%	0.20%	0.95%	1.09%	0.90%	0.87%	0.63%	1.08%	1.75%	0.84%	0.79%	0.66%	0.14%	1.55%	0.98%	0.65%	0.96%	1.64%	0.86%	1.07%	0.33%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.90%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	40451	308	324	518	688	568	882	733	655	393	326	867	648	776	631	514	443	656	725	585	455	257	774	414	459	622	503	527	889	460	405	113	1053	595	818	812	657	1285	606	805	746	392	858	924	857	768	659	651	336	680	556	613	484	759	614	480	707	590	432	491	692	568	696	1234	121	7	54	423	20	18	37	223	12									
		72.03%	61.60%	65.59%	68.16%	65.28%	74.64%	79.10%	68.96%	64.47%	70.94%	71.96%	75.20%	70.28%	71.99%	69.34%	70.80%	67.74%	64.76%	73.23%	64.07%	70.98%	72.39%	72.81%	67.10%	71.05%	72.92%	66.62%	68.62%	67.50%	71.10%	70.93%	68.90%	82.46%	76.28%	67.72%	76.75%	81.92%	79.76%	68.86%	70.06%	71.80%	69.50%	85.71%	86.68%	83.69%	73.21%	71.55%	73.06%	73.04%	71.35%	66.59%	71.70%	68.07%	66.99%	67.85%	67.51%	68.31%	72.48%	70.24%	67.08%	70.90%	69.52%	74.20%	81.83%	100.00%	77.78%	77.14%	66.51%	71.43%	69.23%	55.22%	67.17%	54.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	421	8	4	4	10	5	7	7	10	2	3	13	6	2	10	3	7	12	6	10	4	4	6	2	3	8	3	4	12	4	2	5	7	15	5	3	0	14	3	9	9	10	1	4	9	6	6	7	0	8	7	5	8	14	12	4	5	8	3	5	8	6	5	11	0	0	2	7	0	0	5	3	1									
		0.75%	1.60%	0.81%	0.53%	0.95%	0.66%	0.63%	0.66%	0.98%	0.36%	0.66%	1.13%	0.65%	0.19%	1.10%	0.41%	1.07%	1.18%	0.61%	1.10%	0.62%	1.13%	0.56%	0.32%	0.46%	0.94%	0.40%	0.52%	0.91%	0.62%	0.35%	3.05%	0.55%	1.92%	0.41%	0.28%	0.00%	0.87%	0.34%	0.78%	0.87%	1.77%	0.10%	0.38%	0.88%	0.57%	0.65%	0.79%	0.00%	0.84%	0.84%	0.58%	1.13%	1.24%	1.33%	0.56%	0.48%	0.98%	0.49%	0.68%	0.82%	0.73%	0.53%	0.73%	0.00%	0.00%	2.86%	1.10%	0.00%	0.00%	7.46%	0.90%	4.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	1	0	0	1	0	1	2	2	0	0	0	0	1	1	0	0	0	1	2	0	2	0	1	0	0	0	1	0	1	1	1	0	7	1	1	1	0	0	0	1	0	0	0	2	2	0	1	1	0	0	0	0	1	1	0	1	2	1	0	1	0	1	1	0	0	0	1	0	0	1	2	0									
		0.09%	0.20%	0.00%	0.00%	0.09%	0.00%	0.09%	0.19%	0.20%	0.00%	0.00%	0.00%	0.00%	0.09%	0.11%	0.00%	0.00%	0.00%	0.10%	0.22%	0.00%	0.56%	0.00%	0.16%	0.00%	0.00%	0.00%	0.13%	0.00%	0.15%	0.18%	0.61%	0.00%	0.90%	0.08%	0.09%	0.12%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.20%	0.19%	0.00%	0.11%	0.22%	0.00%	0.00%	0.00%	0.00%	0.09%	0.11%	0.00%	0.10%	0.25%	0.16%	0.00%	0.10%	0.00%	0.11%	0.07%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	1.49%	0.60%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6626	68	60	95	142	69	105	122	154	65	64	120	126	134	126	99	82	220	123	138	78	28	145	88	68	124	97	104	163	67	69	15	33	43	210	94	85	146	119	145	122	67	65	59	73	136	115	98	60	128	101	99	87	129	124	82	133	77	68	104	91	133	127	152	0	2	9	88	4	3	13	42	2									
		11.80%	13.60%	12.15%	12.50%	13.47%	9.07%	9.42%	11.48%	15.16%	11.73%	14.13%	10.41%	13.67%	12.43%	13.85%	13.64%	12.54%	21.72%	12.42%	15.12%	12.17%	7.89%	13.64%	14.26%	10.53%	14.54%	12.85%	13.54%	12.38%	10.36%	12.08%	9.15%	2.58%	5.51%	17.38%	8.88%	10.60%	9.06%	13.52%	12.62%	11.74%	11.88%	6.49%	5.53%	7.13%	12.96%	12.49%	10.99%	13.04%	13.43%	12.10%	11.58%	12.24%	11.39%	13.70%	11.53%	12.85%	9.46%	11.06%	14.21%	9.32%	16.28%	13.54%	10.08%	0.00%	22.22%	12.86%	13.84%	14.29%	11.54%	19.40%	12.65%	9.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	293	3	6	9	6	5	4	2	6	4	2	4	6	5	6	2	2	3	7	2	4	0	4	3	1	9	6	1	7	7	3	5	3	14	6	8	0	5	10	5	12	2	3	4	3	1	3	4	0	4	2	4	2	2	1	6	6	2	5	8	8	1	4	3	0	0	0	14	0	0	0	4	0									
		0.52%	0.60%	1.21%	1.18%	0.57%	0.66%	0.36%	0.19%	0.59%	0.72%	0.44%	0.35%	0.65%	0.46%	0.66%	0.28%	0.31%	0.30%	0.71%	0.22%	0.62%	0.00%	0.38%	0.49%	0.15%	1.06%	0.79%	0.13%	0.53%	1.08%	0.53%	3.05%	0.23%	1.79%	0.50%	0.76%	0.00%	0.31%	1.14%	0.44%	1.15%	0.35%	0.30%	0.38%	0.29%	0.10%	0.33%	0.45%	0.00%	0.42%	0.24%	0.47%	0.28%	0.18%	0.11%	0.84%	0.58%	0.25%	0.81%	1.09%	0.82%	0.12%	0.43%	0.20%	0.00%	0.00%	0.00%	2.20%	0.00%	0.00%	0.00%	1.20%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	300	9	5	4	8	6	5	11	6	1	3	4	4	1	4	3	3	5	4	7	2	1	6	6	5	2	3	2	7	5	0	1	2	3	5	3	0	8	12	8	4	4	1	2	3	6	4	4	1	5	9	7	5	12	8	6	10	6	5	5	11	1	3	2	0	0	0	2	0	0	0	0	0									
		0.53%	1.80%	1.01%	0.53%	0.76%	0.79%	0.45%	1.03%	0.59%	0.18%	0.66%	0.35%	0.43%	0.09%	0.44%	0.41%	0.46%	0.49%	0.40%	0.77%	0.31%	0.28%	0.56%	0.97%	0.77%	0.23%	0.40%	0.26%	0.53%	0.77%	0.00%	0.61%	0.16%	0.38%	0.41%	0.28%	0.00%	0.50%	1.36%	0.70%	0.38%	0.71%	0.10%	0.19%	0.29%	0.57%	0.43%	0.45%	0.22%	0.52%	1.08%	0.82%	0.70%	1.06%	0.88%	0.84%	0.97%	0.74%	0.81%	0.68%	1.13%	0.12%	0.32%	0.13%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	31	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	1	1	0	0	0	0	1	2	0	0	0	1	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.13%	0.09%	0.00%	0.10%	0.18%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.64%	0.08%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.28%	0.10%	0.00%	0.00%	0.14%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	1.43%	0.31%	0.00%	0.00%	0.00%	0.30%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	385	8	9	5	8	5	2	6	10	3	1	5	10	9	5	1	9	7	4	6	3	0	4	6	3	3	9	4	14	10	1	4	11	17	3	8	0	6	6	6	3	4	0	6	6	7	0	7	2	7	5	3	6	10	7	5	8	5	3	10	12	2	3	10	0	0	0	13	0	0	4	6	0									
		0.69%	1.60%	1.82%	0.66%	0.76%	0.66%	0.18%	0.56%	0.98%	0.54%	0.22%	0.43%	1.08%	0.83%	0.55%	0.14%	1.38%	0.69%	0.40%	0.66%	0.47%	0.00%	0.38%	0.97%	0.46%	0.35%	1.19%	0.52%	1.06%	1.55%	0.18%	2.44%	0.86%	2.18%	0.25%	0.76%	0.00%	0.37%	0.68%	0.52%	0.29%	0.71%	0.00%	0.56%	0.59%	0.67%	0.00%	0.79%	0.43%	0.73%	0.60%	0.35%	0.84%	0.88%	0.77%	0.70%	0.77%	0.61%	0.49%	1.37%	1.23%	0.24%	0.32%	0.66%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	5.97%	1.81%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3362	46	28	47	87	56	38	65	55	37	24	52	55	59	59	41	53	50	63	68	33	22	44	34	51	40	57	61	91	38	31	8	119	20	66	70	33	61	64	81	84	36	40	33	37	51	62	42	23	56	74	62	49	94	64	60	72	60	52	44	86	55	40	36	0	0	0	22	2	3	1	14	1									
		5.99%	9.20%	5.67%	6.18%	8.25%	7.36%	3.41%	6.11%	5.41%	6.68%	5.30%	4.51%	5.97%	5.47%	6.48%	5.65%	8.10%	4.94%	6.36%	7.45%	5.15%	6.20%	4.14%	5.51%	7.89%	4.69%	7.55%	7.94%	6.91%	5.87%	5.43%	4.88%	9.32%	2.56%	5.46%	6.62%	4.11%	3.79%	7.27%	7.05%	8.08%	6.38%	3.99%	3.10%	3.61%	4.86%	6.73%	4.71%	5.00%	5.88%	8.86%	7.25%	6.89%	8.30%	7.07%	8.44%	6.96%	7.37%	8.46%	6.01%	8.81%	6.73%	4.26%	2.39%	0.00%	0.00%	0.00%	3.46%	7.14%	11.54%	1.49%	4.22%	4.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	136	0	2	1	2	2	3	7	5	0	0	3	1	6	4	0	2	1	3	0	2	1	3	6	2	1	1	2	4	5	0	0	4	3	4	0	0	3	1	2	4	0	2	1	0	4	2	1	3	3	0	1	2	1	2	4	4	1	4	1	1	2	5	1	0	0	0	0	0	0	0	1	0									
		0.24%	0.00%	0.40%	0.13%	0.19%	0.26%	0.27%	0.66%	0.49%	0.00%	0.00%	0.26%	0.11%	0.56%	0.44%	0.00%	0.31%	0.10%	0.30%	0.00%	0.31%	0.28%	0.28%	0.97%	0.31%	0.12%	0.13%	0.26%	0.30%	0.77%	0.00%	0.00%	0.31%	0.38%	0.33%	0.00%	0.00%	0.19%	0.11%	0.17%	0.38%	0.00%	0.20%	0.09%	0.00%	0.38%	0.22%	0.11%	0.65%	0.31%	0.00%	0.12%	0.28%	0.09%	0.22%	0.56%	0.39%	0.12%	0.65%	0.14%	0.10%	0.24%	0.53%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1458	11	23	36	53	22	19	44	41	14	11	45	27	34	21	28	23	26	20	42	19	1	25	8	22	18	32	41	46	18	29	1	11	6	19	24	12	25	12	35	17	15	14	7	6	14	22	31	8	16	34	15	28	51	31	34	26	14	16	16	28	8	11	19	0	0	1	18	2	1	1	8	2									
		2.60%	2.20%	4.66%	4.74%	5.03%	2.89%	1.70%	4.14%	4.04%	2.53%	2.43%	3.90%	2.93%	3.15%	2.31%	3.86%	3.52%	2.57%	2.02%	4.60%	2.96%	0.28%	2.35%	1.30%	3.41%	2.11%	4.24%	5.34%	3.49%	2.78%	5.08%	0.61%	0.86%	0.77%	1.57%	2.27%	1.50%	1.55%	1.36%	3.05%	1.64%	2.66%	1.40%	0.66%	0.59%	1.33%	2.39%	3.48%	1.74%	1.68%	4.07%	1.75%	3.94%	4.50%	3.43%	4.78%	2.51%	1.72%	2.60%	2.19%	2.87%	0.98%	1.17%	1.26%	0.00%	0.00%	1.43%	2.83%	7.14%	3.85%	1.49%	2.41%	9.09%									
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
