Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Красноармейская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017	УИК  1018	УИК  1019	УИК  1020	УИК  1021	УИК  1022	УИК  1023	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1032	УИК  1033	УИК  1034	УИК  1035	УИК  1036	УИК  1037	УИК  1038	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051					
		9.61%	10.61%	6.38%	0.0%	12.96%	6.21%	8.43%	8.84%	17.12%	9.62%	6.14%	4.96%	1.78%	19.38%	3.47%	8.26%	11.05%	6.48%	11.16%	6.31%	8.19%	5.16%	9.67%	6.97%	13.86%	6.79%	8.79%	11.62%	10.43%	14.81%	6.52%	8.64%	3.00%	9.26%	15.50%	11.00%	6.51%	31.47%	8.97%	6.86%	9.09%	9.65%	11.73%	6.49%	4.95%	7.40%	6.26%	4.25%	10.65%	5.74%	12.89%	4.70%	9.03%	7.2%	6.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	416	8	2	0	28	3	0	0	3	19	9	1	1	0	7	7	8	19	8	14	0	0	0	4	18	2	0	0	42	4	5	8	0	29	17	35	29	5	6	13	7	5	2	2	0	0	4	4	4	9	16	0	2	3	4					
		2.39%	2.12%	0.70%	0.0%	5.26%	1.86%	0.0%	0.0%	2.05%	2.28%	2.51%	0.62%	1.78%	0.0%	6.08%	2.89%	4.02%	2.79%	1.78%	3.05%	0.0%	0.0%	0.0%	2.32%	2.4%	1.23%	0.0%	0.0%	4.92%	1.85%	2.17%	1.68%	0.0%	2.48%	1.82%	3.08%	3.93%	2.53%	3.84%	1.94%	6.36%	3.44%	0.43%	1.29%	0.0%	0.0%	0.83%	2.12%	2.36%	2.71%	2.99%	0.0%	1.20%	2.4%	1.48%					
22	"5. ""За Русь Святую"""	57	1	2	2	1	0	2	1	0	2	0	0	2	0	0	2	0	1	3	2	0	0	0	0	0	0	0	1	8	1	0	2	0	5	2	0	2	2	0	0	0	0	5	0	0	0	0	1	2	1	2	0	2	0	0					
		0.32%	0.26%	0.70%	2.98%	0.18%	0.0%	2.40%	0.68%	0.0%	0.24%	0.0%	0.0%	3.57%	0.0%	0.0%	0.82%	0.0%	0.14%	0.66%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.93%	0.46%	0.0%	0.42%	0.0%	0.42%	0.21%	0.0%	0.27%	1.01%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.53%	1.18%	0.30%	0.37%	0.0%	1.20%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	0	0	0	0	1	1	0	1	2	1	0	0	0	0	1	1	0	3	0	2	0	1	1	1	0	0	0	0	1	1	0	3	0	1	2	0	2	0	3	1	2	1	0	0	0	2	0	0	0	2	0	0	0	0					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.62%	1.20%	0.0%	0.68%	0.24%	0.27%	0.0%	0.0%	0.0%	0.0%	0.41%	0.50%	0.0%	0.66%	0.0%	1.63%	0.0%	1.07%	0.58%	0.13%	0.0%	0.0%	0.0%	0.0%	0.46%	0.43%	0.0%	2.25%	0.0%	0.10%	0.17%	0.0%	1.01%	0.0%	0.44%	0.90%	1.37%	0.21%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	108	1	0	0	4	0	1	0	0	9	0	1	0	0	0	5	3	4	5	0	0	0	1	2	8	1	0	0	6	2	2	2	0	9	9	9	11	0	2	0	0	2	3	0	0	0	1	0	0	0	3	0	1	0	1					
		0.62%	0.26%	0.0%	0.0%	0.75%	0.0%	1.20%	0.0%	0.0%	1.08%	0.0%	0.62%	0.0%	0.0%	0.0%	2.06%	1.50%	0.58%	1.11%	0.0%	0.0%	0.0%	1.07%	1.16%	1.06%	0.61%	0.0%	0.0%	0.70%	0.92%	0.86%	0.42%	0.0%	0.77%	0.96%	0.79%	1.49%	0.0%	1.28%	0.0%	0.0%	1.37%	0.65%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.56%	0.0%	0.60%	0.0%	0.37%					
25	"8. ""Народно-республиканская партия России"""	25	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	2	0	0	1	2	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0					
		0.14%	0.26%	0.0%	0.0%	0.37%	0.0%	0.0%	0.68%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.43%	0.81%	0.0%	1.07%	0.0%	0.13%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.21%	0.0%	0.08%	0.0%	0.17%	0.0%	0.0%	0.64%	0.29%	0.0%	0.0%	0.21%	0.64%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	72	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	4	1	0	1	10	0	0	3	0	5	4	7	5	2	0	3	2	1	9	0	0	0	0	0	1	0	4	0	0	0	1					
		0.41%	0.26%	0.35%	0.0%	0.0%	0.62%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.00%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.53%	0.61%	0.0%	1.16%	1.17%	0.0%	0.0%	0.63%	0.0%	0.42%	0.43%	0.61%	0.67%	1.01%	0.0%	0.44%	1.81%	0.68%	1.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.74%	0.0%	0.0%	0.0%	0.37%					
27	"10. ""Аграрная партия России"""	916	35	35	3	23	4	5	20	12	32	15	18	2	6	11	11	7	33	20	17	5	13	1	14	35	2	1	4	24	31	15	34	9	27	33	35	33	4	7	28	4	11	20	13	2	0	54	19	1	24	45	0	10	6	43					
		5.28%	9.28%	12.41%	4.47%	4.32%	2.48%	6.02%	13.60%	8.21%	3.85%	4.18%	11.18%	3.57%	6.12%	9.56%	4.54%	3.51%	4.86%	4.46%	3.70%	4.09%	8.38%	1.07%	8.13%	4.66%	1.23%	1.09%	4.65%	2.81%	14.35%	6.52%	7.17%	6.76%	2.31%	3.55%	3.08%	4.47%	2.03%	4.48%	4.17%	3.63%	7.58%	4.34%	8.44%	1.98%	0.0%	11.27%	10.10%	0.59%	7.25%	8.41%	0.0%	6.02%	4.8%	15.98%					
28	"11. ""Истинные патриоты России"""	48	1	2	0	0	0	0	0	0	2	2	1	0	0	3	1	0	1	0	2	0	0	0	7	2	0	0	0	1	0	0	0	0	3	0	2	1	1	1	1	0	0	1	1	0	0	2	2	0	0	4	0	0	0	4					
		0.27%	0.26%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.55%	0.62%	0.0%	0.0%	2.60%	0.41%	0.0%	0.14%	0.0%	0.43%	0.0%	0.0%	0.0%	4.06%	0.26%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.17%	0.13%	0.50%	0.64%	0.14%	0.0%	0.0%	0.21%	0.64%	0.0%	0.0%	0.41%	1.06%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	1.48%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	262	7	1	0	13	3	0	6	5	9	3	7	0	1	0	4	4	7	6	4	5	3	0	2	12	4	2	1	18	5	1	4	1	21	12	25	7	6	1	17	1	4	6	2	1	0	9	1	2	2	3	2	1	0	1					
		1.51%	1.85%	0.35%	0.0%	2.44%	1.86%	0.0%	4.08%	3.42%	1.08%	0.83%	4.34%	0.0%	1.02%	0.0%	1.65%	2.01%	1.03%	1.33%	0.87%	4.09%	1.93%	0.0%	1.16%	1.6%	2.46%	2.19%	1.16%	2.11%	2.31%	0.43%	0.84%	0.75%	1.80%	1.29%	2.20%	0.94%	3.04%	0.64%	2.53%	0.90%	2.75%	1.30%	1.29%	0.99%	0.0%	1.87%	0.53%	1.18%	0.60%	0.56%	2.35%	0.60%	0.0%	0.37%					
30	"13. ""Демократическая партия России"""	40	0	0	0	1	1	0	0	1	4	1	0	0	0	6	0	0	2	2	0	1	0	0	1	0	0	0	0	1	2	0	0	0	2	1	3	1	1	0	1	0	1	2	0	0	0	3	0	0	1	0	0	0	0	1					
		0.23%	0.0%	0.0%	0.0%	0.18%	0.62%	0.0%	0.0%	0.68%	0.48%	0.27%	0.0%	0.0%	0.0%	5.21%	0.0%	0.0%	0.29%	0.44%	0.0%	0.81%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.11%	0.92%	0.0%	0.0%	0.0%	0.17%	0.10%	0.26%	0.13%	0.50%	0.0%	0.14%	0.0%	0.68%	0.43%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.37%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	1	0	0	0	0	1	0	2	0	2	0	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	1	0	2	1	0	0	2	0	3	0	2					
		0.18%	0.26%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	1.36%	0.0%	0.55%	0.0%	1.78%	1.02%	0.0%	0.0%	0.0%	0.29%	0.22%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.11%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.08%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.64%	0.99%	0.0%	0.41%	0.53%	0.0%	0.0%	0.37%	0.0%	1.80%	0.0%	0.74%					
32	"15. ""Партия СЛОН"""	26	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	2	0	1	3	0	1	1	1	3	0	1	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.64%	2.15%	0.58%	0.0%	0.0%	0.0%	1.16%	0.23%	0.0%	0.43%	0.63%	0.0%	0.08%	0.10%	0.08%	0.40%	0.0%	0.64%	0.14%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.37%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	635	30	16	1	25	1	3	5	1	15	16	8	12	2	5	19	4	24	17	23	3	2	2	4	28	2	3	3	48	11	10	14	1	39	37	51	42	4	3	30	0	4	13	1	1	0	6	6	0	10	13	3	6	2	6					
		3.66%	7.95%	5.67%	1.49%	4.69%	0.62%	3.61%	3.40%	0.68%	1.80%	4.46%	4.96%	21.42%	2.04%	4.34%	7.85%	2.01%	3.53%	3.79%	5.01%	2.45%	1.29%	2.15%	2.32%	3.73%	1.23%	3.29%	3.48%	5.62%	5.09%	4.34%	2.95%	0.75%	3.34%	3.98%	4.48%	5.69%	2.03%	1.92%	4.47%	0.0%	2.75%	2.82%	0.64%	0.99%	0.0%	1.25%	3.19%	0.0%	3.02%	2.42%	3.52%	3.61%	1.6%	2.23%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	46	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	4	1	0	2	1	4	3	4	1	0	1	2	0	1	3	0	1	0	0	1	1	1	2	0	0	1	1					
		0.26%	0.0%	0.35%	0.0%	0.18%	1.24%	0.0%	0.68%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.26%	0.61%	0.0%	0.0%	0.46%	0.46%	0.0%	0.42%	0.75%	0.34%	0.32%	0.35%	0.13%	0.0%	0.64%	0.29%	0.0%	0.68%	0.65%	0.0%	0.99%	0.0%	0.0%	0.53%	0.59%	0.30%	0.37%	0.0%	0.0%	0.8%	0.37%					
35	"18. ""ЛДПР"""	2036	30	18	5	62	12	12	18	34	140	58	10	1	7	15	33	28	43	62	58	12	8	12	3	65	18	23	10	66	34	52	36	13	147	97	127	90	24	19	90	16	17	72	20	31	8	47	31	20	35	74	6	29	21	17					
		11.74%	7.95%	6.38%	7.46%	11.65%	7.45%	14.45%	12.24%	23.28%	16.84%	16.20%	6.21%	1.78%	7.14%	13.04%	13.63%	14.07%	6.33%	13.83%	12.63%	9.83%	5.16%	12.90%	1.74%	8.66%	11.11%	25.27%	11.62%	7.73%	15.74%	22.60%	7.59%	9.77%	12.60%	10.44%	11.17%	12.21%	12.18%	12.17%	13.43%	14.54%	11.72%	15.65%	12.98%	30.69%	14.81%	9.81%	16.48%	11.83%	10.57%	13.83%	7.05%	17.46%	16.8%	6.31%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	286	4	8	1	11	4	2	2	1	14	5	4	3	5	2	4	6	6	0	10	4	1	2	3	15	6	7	1	13	3	3	6	1	16	21	10	5	0	4	10	0	1	17	4	14	1	3	1	6	5	6	0	1	2	2					
		1.64%	1.06%	2.83%	1.49%	2.06%	2.48%	2.40%	1.36%	0.68%	1.68%	1.39%	2.48%	5.35%	5.10%	1.73%	1.65%	3.01%	0.88%	0.0%	2.17%	3.27%	0.64%	2.15%	1.74%	2.0%	3.70%	7.69%	1.16%	1.52%	1.38%	1.30%	1.26%	0.75%	1.37%	2.26%	0.88%	0.67%	0.0%	2.56%	1.49%	0.0%	0.68%	3.69%	2.59%	13.86%	1.85%	0.62%	0.53%	3.55%	1.51%	1.12%	0.0%	0.60%	1.6%	0.74%					
37	"20. ""Политическая партия ""Единая Россия"""	6793	125	110	45	169	86	38	36	39	354	137	61	18	37	47	75	56	389	166	190	57	105	50	59	265	29	22	43	350	59	63	195	57	510	357	490	303	29	50	250	44	56	151	68	39	33	167	71	81	158	139	48	60	53	104					
		39.17%	33.15%	39.00%	67.16%	31.76%	53.41%	45.78%	24.48%	26.71%	42.59%	38.26%	37.88%	32.14%	37.75%	40.86%	30.99%	28.14%	57.29%	37.05%	41.39%	46.72%	67.74%	53.76%	34.30%	35.33%	17.90%	24.17%	50.0%	41.03%	27.31%	27.39%	41.13%	42.85%	43.73%	38.42%	43.13%	41.11%	14.72%	32.05%	37.31%	40.0%	38.62%	32.82%	44.15%	38.61%	61.11%	34.86%	37.76%	47.92%	47.73%	25.98%	56.47%	36.14%	42.4%	38.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	0	0	0	2	0	1	1	0	0	1	2	1	0	0	0	2	1	1	1	0	0	1	1	1	1	2	0	2	1	0	1	0	6	5	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	2	1					
		0.25%	0.0%	0.0%	0.0%	0.37%	0.0%	1.20%	0.68%	0.0%	0.0%	0.27%	1.24%	1.78%	0.0%	0.0%	0.0%	1.00%	0.14%	0.22%	0.21%	0.0%	0.0%	1.07%	0.58%	0.13%	0.61%	2.19%	0.0%	0.23%	0.46%	0.0%	0.21%	0.0%	0.51%	0.53%	0.08%	0.13%	0.0%	0.0%	0.0%	0.90%	0.68%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.30%	0.18%	0.0%	0.0%	1.6%	0.37%					
39	"22. ""Развитие предпринимательства"""	43	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	2	0	0	1	0	2	3	2	2	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.13%	0.61%	0.0%	1.16%	0.23%	0.0%	0.0%	0.21%	0.0%	0.17%	0.32%	0.17%	0.27%	11.16%	0.64%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1978	56	42	4	55	16	6	15	13	83	66	23	5	13	4	19	14	36	56	47	10	5	9	29	81	61	14	2	57	14	37	79	26	116	102	114	65	4	19	79	7	12	54	21	3	6	113	28	10	31	105	13	14	19	46					
		11.40%	14.85%	14.89%	5.97%	10.33%	9.93%	7.22%	10.20%	8.90%	9.98%	18.43%	14.28%	8.92%	13.26%	3.47%	7.85%	7.03%	5.30%	12.49%	10.23%	8.19%	3.22%	9.67%	16.86%	10.8%	37.65%	15.38%	2.32%	6.68%	6.48%	16.08%	16.66%	19.54%	9.94%	10.97%	10.03%	8.81%	2.03%	12.17%	11.79%	6.36%	8.27%	11.73%	13.63%	2.97%	11.11%	23.59%	14.89%	5.91%	9.36%	19.62%	15.29%	8.43%	15.2%	17.10%					
																																																													
41	Против всех	797	16	6	0	25	8	1	9	4	15	7	9	5	1	7	24	27	26	20	23	5	7	0	7	42	7	5	1	48	11	14	28	12	59	34	33	45	12	5	56	13	3	12	2	2	0	22	5	8	22	17	7	9	4	7					
		4.59%	4.24%	2.12%	0.0%	4.69%	4.96%	1.20%	6.12%	2.73%	1.80%	1.95%	5.59%	8.92%	1.02%	6.08%	9.91%	13.56%	3.82%	4.46%	5.01%	4.09%	4.51%	0.0%	4.06%	5.6%	4.32%	5.49%	1.16%	5.62%	5.09%	6.08%	5.90%	9.02%	5.06%	3.65%	2.90%	6.10%	6.09%	3.20%	8.35%	11.81%	2.06%	2.60%	1.29%	1.98%	0.0%	4.59%	2.65%	4.73%	6.64%	3.17%	8.23%	5.42%	3.2%	2.60%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
