Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Иркутская 																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1024	50	6	7	4	1	0	2	2	0	10	7	6	64	0	29	11	1	8	17	8	4	9	12	19	268	3	1	1	1	15	2	2	2	2	1	46	2	19	14	6	7	11	4	49	5	54	8	1	8	0	8	2	2	5	6	11	3	2	15	5	66	11	8	3	35	4	20	1	1	7					
14	Число погашенных неиспользованных открепительных удостоверений	373	12	16	0	10	2	4	5	3	3	9	19	11	3	3	0	0	0	6	14	1	1	5	3	14	5	5	3	3	3	21	3	2	5	3	3	8	3	0	6	3	5	28	0	0	5	0	0	7	9	2	3	1	3	3	0	0	4	5	8	6	9	0	8	7	3	12	8	9	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3114	170	73	30	23	7	10	9	1	1	102	122	57	56	2	49	85	18	20	118	122	97	39	69	49	217	45	15	4	11	133	18	25	13	4	4	15	4	44	29	26	10	112	49	47	28	10	3	21	60	8	12	3	7	34	70	136	22	19	26	15	104	163	68	21	29	27	47	17	0	10					
		11.02%	16.93%	14.26%	12.40%	8.49%	7.95%	7.35%	5.73%	2.86%	2.94%	14.35%	11.62%	17.59%	14.00%	11.11%	9.12%	10.19%	6.41%	10.87%	10.15%	15.29%	18.06%	14.94%	13.02%	14.08%	11.91%	9.57%	10.34%	5.41%	6.29%	14.30%	9.05%	14.62%	9.09%	4.40%	4.04%	5.05%	3.88%	12.72%	6.90%	9.15%	6.49%	8.38%	11.84%	5.85%	9.12%	3.45%	3.37%	8.79%	11.54%	7.21%	13.04%	3.00%	7.87%	12.73%	16.95%	11.60%	7.19%	13.10%	13.20%	13.51%	9.06%	13.66%	10.13%	12.96%	8.71%	13.17%	7.85%	6.46%	0.00%	5.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5087	156	121	36	54	8	26	12	13	2	130	180	34	73	3	114	175	48	51	176	123	65	56	76	53	314	54	24	20	40	157	51	23	26	15	19	101	16	87	56	30	23	173	74	125	57	67	13	44	149	40	7	16	12	40	78	227	100	25	37	35	244	226	136	31	72	56	78	38	23	23					
		18.01%	15.54%	23.63%	14.88%	19.93%	9.09%	19.12%	7.64%	37.14%	5.88%	18.28%	17.14%	10.49%	18.25%	16.67%	21.23%	20.98%	17.08%	27.72%	15.13%	15.41%	12.10%	21.46%	14.34%	15.23%	17.23%	11.49%	16.55%	27.03%	22.86%	16.88%	25.63%	13.45%	18.18%	16.48%	19.19%	34.01%	15.53%	25.14%	13.33%	10.56%	14.94%	12.95%	17.87%	15.57%	18.57%	23.10%	14.61%	18.41%	28.65%	36.04%	7.61%	16.00%	13.48%	14.98%	18.89%	19.37%	32.68%	17.24%	18.78%	31.53%	21.25%	18.94%	20.27%	19.14%	21.62%	27.32%	13.02%	14.45%	21.90%	11.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	361	14	3	2	2	3	1	1	0	2	11	6	5	4	0	5	8	7	1	25	12	12	3	7	4	19	3	2	1	1	6	3	4	3	0	0	2	6	8	8	4	1	8	4	7	3	4	3	0	3	3	1	1	1	5	8	23	0	3	5	0	14	16	14	3	7	9	2	3	0	2					
		1.28%	1.39%	0.59%	0.83%	0.74%	3.41%	0.74%	0.64%	0.00%	5.88%	1.55%	0.57%	1.54%	1.00%	0.00%	0.93%	0.96%	2.49%	0.54%	2.15%	1.50%	2.23%	1.15%	1.32%	1.15%	1.04%	0.64%	1.38%	1.35%	0.57%	0.65%	1.51%	2.34%	2.10%	0.00%	0.00%	0.67%	5.83%	2.31%	1.90%	1.41%	0.65%	0.60%	0.97%	0.87%	0.98%	1.38%	3.37%	0.00%	0.58%	2.70%	1.09%	1.00%	1.12%	1.87%	1.94%	1.96%	0.00%	2.07%	2.54%	0.00%	1.22%	1.34%	2.09%	1.85%	2.10%	4.39%	0.33%	1.14%	0.00%	1.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6020	305	94	47	60	39	24	36	7	2	206	159	113	106	2	149	172	60	55	272	247	119	63	158	90	481	45	14	1	57	226	39	19	31	6	13	29	10	62	48	10	25	228	64	125	65	31	4	30	118	17	26	23	21	68	104	383	30	30	54	24	228	274	122	36	52	51	75	19	4	13					
		21.31%	30.38%	18.36%	19.42%	22.14%	44.32%	17.65%	22.93%	20.00%	5.88%	28.97%	15.14%	34.88%	26.50%	11.11%	27.75%	20.62%	21.35%	29.89%	23.39%	30.95%	22.16%	24.14%	29.81%	25.86%	26.40%	9.57%	9.66%	1.35%	32.57%	24.30%	19.60%	11.11%	21.68%	6.59%	13.13%	9.76%	9.71%	17.92%	11.43%	3.52%	16.23%	17.07%	15.46%	15.57%	21.17%	10.69%	4.49%	12.55%	22.69%	15.32%	28.26%	23.00%	23.60%	25.47%	25.18%	32.68%	9.80%	20.69%	27.41%	21.62%	19.86%	22.97%	18.18%	22.22%	15.62%	24.88%	12.52%	7.22%	3.81%	6.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	873	24	5	11	2	1	1	0	0	0	27	15	15	16	0	8	26	7	10	33	60	25	15	72	17	73	4	3	1	7	27	3	2	0	2	0	5	0	2	11	1	2	22	7	19	9	6	2	4	14	0	2	0	0	5	21	79	8	4	12	4	12	56	19	2	14	4	9	3	0	3					
		3.09%	2.39%	0.98%	4.55%	0.74%	1.14%	0.74%	0.00%	0.00%	0.00%	3.80%	1.43%	4.63%	4.00%	0.00%	1.49%	3.12%	2.49%	5.43%	2.84%	7.52%	4.66%	5.75%	13.58%	4.89%	4.01%	0.85%	2.07%	1.35%	4.00%	2.90%	1.51%	1.17%	0.00%	2.20%	0.00%	1.68%	0.00%	0.58%	2.62%	0.35%	1.30%	1.65%	1.69%	2.37%	2.93%	2.07%	2.25%	1.67%	2.69%	0.00%	2.17%	0.00%	0.00%	1.87%	5.08%	6.74%	2.61%	2.76%	6.09%	3.60%	1.05%	4.69%	2.83%	1.23%	4.20%	1.95%	1.50%	1.14%	0.00%	1.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12235	321	206	109	129	29	74	99	13	26	221	544	91	137	11	203	351	139	43	498	210	193	75	137	130	676	314	84	47	56	370	84	95	67	64	62	139	65	130	256	210	92	770	201	475	139	166	63	137	167	43	44	57	48	106	120	308	140	63	58	30	519	432	297	67	150	55	383	181	77	139					
		43.31%	31.97%	40.23%	45.04%	47.60%	32.95%	54.41%	63.06%	37.14%	76.47%	31.08%	51.81%	28.09%	34.25%	61.11%	37.80%	42.09%	49.47%	23.37%	42.82%	26.32%	35.94%	28.74%	25.85%	37.36%	37.10%	66.81%	57.93%	63.51%	32.00%	39.78%	42.21%	55.56%	46.85%	70.33%	62.63%	46.80%	63.11%	37.57%	60.95%	73.94%	59.74%	57.63%	48.55%	59.15%	45.28%	57.24%	70.79%	57.32%	32.12%	38.74%	47.83%	57.00%	53.93%	39.70%	29.06%	26.28%	45.75%	43.45%	29.44%	27.03%	45.21%	36.21%	44.26%	41.36%	45.05%	26.83%	63.94%	68.82%	73.33%	71.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	186	3	1	0	0	0	0	0	0	0	7	5	4	3	0	5	11	0	1	11	8	10	6	4	3	18	1	1	0	0	4	1	1	0	0	0	4	2	5	1	1	0	6	8	0	1	1	0	1	2	0	0	0	0	3	3	9	2	0	4	1	6	5	8	0	0	1	1	0	0	3					
		0.66%	0.30%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.48%	1.23%	0.75%	0.00%	0.93%	1.32%	0.00%	0.54%	0.95%	1.00%	1.86%	2.30%	0.75%	0.86%	0.99%	0.21%	0.69%	0.00%	0.00%	0.43%	0.50%	0.58%	0.00%	0.00%	0.00%	1.35%	1.94%	1.45%	0.24%	0.35%	0.00%	0.45%	1.93%	0.00%	0.33%	0.34%	0.00%	0.42%	0.38%	0.00%	0.00%	0.00%	0.00%	1.12%	0.73%	0.77%	0.65%	0.00%	2.03%	0.90%	0.52%	0.42%	1.19%	0.00%	0.00%	0.49%	0.17%	0.00%	0.00%	1.54%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
