Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Рыбинская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №2290									
		2.54%	1.92%	2.78%	2.80%	1.64%	0.82%	4.02%	1.57%	1.90%	1.44%	2.51%	1.41%	1.15%	0.00%	2.86%	1.25%	5.00%	0.91%	0.72%	3.09%	1.10%	1.67%	4.39%	4.95%	3.17%	0.00%	2.33%	0.00%	2.63%	1.89%	0.00%	3.23%	0.00%	0.00%	0.00%	3.45%	1.09%	1.52%	1.46%	4.94%	6.27%	4.55%	8.00%	4.28%	1.20%	0.74%	2.41%	2.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3846	208	167	197	98	52	125	98	86	154	181	132	99	11	21	89	14	96	54	37	37	15	228	67	28	13	16	12	84	145	23	37	42	14	24	131	38	38	73	36	70	24	15	135	92	73	237	180									
		40.30%	36.36%	33.20%	36.75%	40.16%	42.62%	38.70%	30.82%	40.76%	37.02%	32.50%	46.64%	38.08%	30.56%	30.00%	55.63%	35.00%	43.64%	39.13%	38.14%	40.66%	25.00%	41.68%	36.81%	44.44%	48.15%	37.21%	48.00%	44.21%	54.72%	57.50%	59.68%	61.76%	50.00%	85.71%	37.64%	41.30%	57.58%	53.28%	44.44%	27.45%	54.55%	30.00%	41.28%	55.42%	54.07%	43.97%	37.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	2	5	4	2	0	3	4	1	1	1	1	2	0	0	0	0	1	1	3	4	0	6	0	0	0	0	0	0	1	1	0	2	0	1	1	1	1	0	0	1	0	0	2	0	0	2	2									
		0.59%	0.35%	0.99%	0.75%	0.82%	0.00%	0.93%	1.26%	0.47%	0.24%	0.18%	0.35%	0.77%	0.00%	0.00%	0.00%	0.00%	0.45%	0.72%	3.09%	4.40%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	2.50%	0.00%	2.94%	0.00%	3.57%	0.29%	1.09%	1.52%	0.00%	0.00%	0.39%	0.00%	0.00%	0.61%	0.00%	0.00%	0.37%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	2	2	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	1									
		0.18%	0.35%	0.40%	0.37%	0.00%	0.00%	0.31%	0.00%	0.47%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.78%	0.00%	2.00%	0.00%	0.00%	0.00%	0.19%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2491	186	150	140	73	35	76	100	59	137	154	61	77	10	19	24	6	57	43	29	29	18	109	49	17	8	19	5	28	59	6	10	17	8	1	84	20	9	25	21	77	10	9	86	45	33	125	128									
		26.10%	32.52%	29.82%	26.12%	29.92%	28.69%	23.53%	31.45%	27.96%	32.93%	27.65%	21.55%	29.62%	27.78%	27.14%	15.00%	15.00%	25.91%	31.16%	29.90%	31.87%	30.00%	19.93%	26.92%	26.98%	29.63%	44.19%	20.00%	14.74%	22.26%	15.00%	16.13%	25.00%	28.57%	3.57%	24.14%	21.74%	13.64%	18.25%	25.93%	30.20%	22.73%	18.00%	26.30%	27.11%	24.44%	23.19%	26.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	41	3	3	0	4	0	1	3	2	2	1	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	3	0	0	2	1	0	1	2									
		0.43%	0.52%	0.60%	0.00%	1.64%	0.00%	0.31%	0.94%	0.95%	0.48%	0.18%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.06%	2.20%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	3.23%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	1.46%	0.00%	1.18%	0.00%	0.00%	0.61%	0.60%	0.00%	0.19%	0.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	48	5	3	3	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	2	4	0	3	0	0	1	1	0	0	1	0	0	0	0	0	6	2	0	2	0	5	0	0	0	1	1	1	1									
		0.50%	0.87%	0.60%	0.56%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.36%	0.00%	0.38%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	2.06%	4.40%	0.00%	0.55%	0.00%	0.00%	3.70%	2.33%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.72%	2.17%	0.00%	1.46%	0.00%	1.96%	0.00%	0.00%	0.00%	0.60%	0.74%	0.19%	0.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	0	0	0	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	1	0	0	0	1	2	0	0	4	0	0	2	1	0	0	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.82%	0.31%	0.94%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.55%	0.00%	0.00%	0.00%	0.00%	0.53%	0.75%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	1.09%	3.03%	0.00%	0.00%	1.57%	0.00%	0.00%	0.61%	0.60%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	76	4	11	9	2	1	3	5	2	4	5	2	2	0	0	2	0	3	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0	0	2	1	0	4	1									
		0.80%	0.70%	2.19%	1.68%	0.82%	0.82%	0.93%	1.57%	0.95%	0.96%	0.90%	0.71%	0.77%	0.00%	0.00%	1.25%	0.00%	1.36%	0.72%	0.00%	0.00%	0.00%	0.18%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.61%	0.60%	0.00%	0.74%	0.21%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1626	59	81	96	37	20	43	48	30	68	143	52	52	10	21	24	14	41	22	14	5	22	98	26	8	1	5	4	57	28	9	7	5	5	2	66	24	13	14	11	44	3	17	60	16	15	90	96									
		17.04%	10.31%	16.10%	17.91%	15.16%	16.39%	13.31%	15.09%	14.22%	16.35%	25.67%	18.37%	20.00%	27.78%	30.00%	15.00%	35.00%	18.64%	15.94%	14.43%	5.49%	36.67%	17.92%	14.29%	12.70%	3.70%	11.63%	16.00%	30.00%	10.57%	22.50%	11.29%	7.35%	17.86%	7.14%	18.97%	26.09%	19.70%	10.22%	13.58%	17.25%	6.82%	34.00%	18.35%	9.64%	11.11%	16.70%	20.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	127	11	7	8	3	2	10	5	3	6	4	0	0	0	0	0	1	1	2	0	2	0	7	5	1	0	0	0	0	5	0	0	0	0	0	6	1	0	0	1	7	1	0	6	2	1	11	8									
		1.33%	1.92%	1.39%	1.49%	1.23%	1.64%	3.10%	1.57%	1.42%	1.44%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	0.45%	1.45%	0.00%	2.20%	0.00%	1.28%	2.75%	1.59%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	1.72%	1.09%	0.00%	0.00%	1.23%	2.75%	2.27%	0.00%	1.83%	1.20%	0.74%	2.04%	1.67%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	246	21	19	25	2	3	12	14	7	11	8	3	7	2	1	1	2	6	2	1	2	0	16	7	1	2	1	2	5	2	0	2	0	0	0	15	0	0	5	1	6	2	1	5	0	2	12	10									
		2.58%	3.67%	3.78%	4.66%	0.82%	2.46%	3.72%	4.40%	3.32%	2.64%	1.44%	1.06%	2.69%	5.56%	1.43%	0.63%	5.00%	2.73%	1.45%	1.03%	2.20%	0.00%	2.93%	3.85%	1.59%	7.41%	2.33%	8.00%	2.63%	0.75%	0.00%	3.23%	0.00%	0.00%	0.00%	4.31%	0.00%	0.00%	3.65%	1.23%	2.35%	4.55%	2.00%	1.53%	0.00%	1.48%	2.23%	2.09%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
