Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2537	40	40	30	40	20	30	40	30	40	40	40	40	30	30	25	40	40	40	40	30	25	30	20	40	30	40	40	40	40	40	40	30	30	25	40	30	30	30	30	25	40	30	30	25	25	40	25	0	30	30	30	30	30	30	0	0	20	25	20	30	25	40	25	40	40	25	25	30	30	25	0	30	30	25	30	25	30	5	5	25	20	40	25	10	10	37	25	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	537	4	8	3	4	4	8	7	3	7	1	5	4	6	7	8	6	13	5	3	3	5	4	0	7	3	5	36	14	14	14	8	9	2	9	9	9	7	7	12	6	7	6	3	8	10	16	11	0	9	13	10	9	6	8	0	0	5	3	6	6	8	4	1	5	6	3	6	7	4	5	0	1	5	6	3	8	7	0	0	3	6	2	9	4	0	6	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	476	3	0	7	3	1	6	8	4	4	7	1	6	1	11	2	9	0	10	7	6	1	3	1	4	7	11	11	7	1	4	3	1	4	2	5	3	21	13	7	9	3	6	6	3	8	9	24	3	3	6	12	2	5	10	9	25	9	8	6	12	3	7	0	4	5	0	0	4	3	1	26	1	2	3	2	1	10	0	1	2	6	3	0	3	1	3	1	1					
14	Число погашенных открепительных удостоверений	2000	36	32	27	36	16	22	33	27	33	39	35	36	24	23	17	34	27	35	37	27	20	26	20	33	27	35	4	26	26	26	32	21	28	16	31	21	23	23	18	19	33	24	27	17	15	24	14	0	21	17	20	21	24	22	0	0	15	22	14	24	17	36	24	35	34	22	19	23	26	20	0	29	25	19	27	17	23	5	5	22	14	38	16	6	10	31	23	9					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																															
18	"1. ""ЕДИНЕНИЕ"""	1041	18	14	12	16	3	14	6	15	9	10	16	17	9	9	13	15	8	18	11	9	9	17	5	20	19	10	17	8	18	29	16	15	8	15	17	15	16	6	22	14	21	15	11	9	6	20	5	1	12	13	15	14	17	14	7	1	6	7	10	11	8	18	8	10	8	8	12	10	17	11	2	6	9	11	16	9	23	7	0	5	6	8	14	10	10	20	13	9					
		1.24%	1.46%	1.13%	1.38%	1.18%	0.43%	1.15%	0.44%	1.49%	0.74%	0.71%	1.39%	1.28%	1.58%	0.85%	1.65%	1.15%	0.81%	1.32%	1.42%	0.81%	1.05%	1.69%	1.00%	1.52%	1.68%	0.76%	1.24%	0.59%	1.32%	2.05%	1.23%	1.25%	0.81%	2.11%	1.27%	1.36%	1.46%	0.50%	1.82%	1.42%	1.60%	1.38%	0.95%	0.90%	0.52%	1.50%	0.59%	2.22%	1.09%	1.14%	1.10%	1.31%	1.57%	1.41%	2.56%	0.96%	0.99%	0.71%	1.22%	1.05%	0.90%	1.60%	1.97%	0.79%	0.67%	1.06%	1.97%	1.02%	1.76%	1.28%	2.70%	0.77%	0.95%	1.54%	1.46%	0.94%	2.42%	4.66%	0.0%	0.54%	0.70%	1.22%	2.30%	1.87%	4.92%	1.79%	1.71%	2.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3400	45	43	30	62	51	58	47	33	61	46	54	53	24	76	56	39	22	50	27	40	28	38	34	50	66	67	80	49	103	71	68	85	39	25	56	42	53	64	49	43	68	42	50	51	40	64	54	2	49	53	62	56	45	30	4	2	23	47	60	73	31	47	5	40	38	16	17	22	14	12	1	9	22	16	30	25	13	3	1	16	29	17	14	16	2	17	5	20					
		4.05%	3.66%	3.49%	3.46%	4.57%	7.42%	4.79%	3.49%	3.29%	5.04%	3.28%	4.71%	4.01%	4.23%	7.18%	7.14%	3.01%	2.25%	3.67%	3.50%	3.63%	3.27%	3.78%	6.81%	3.81%	5.85%	5.13%	5.84%	3.65%	7.56%	5.02%	5.23%	7.09%	3.97%	3.52%	4.21%	3.82%	4.86%	5.40%	4.06%	4.36%	5.21%	3.88%	4.33%	5.12%	3.48%	4.82%	6.47%	4.44%	4.46%	4.66%	4.56%	5.27%	4.18%	3.03%	1.46%	1.92%	3.82%	4.80%	7.36%	6.98%	3.49%	4.20%	1.23%	3.18%	3.22%	2.13%	2.79%	2.24%	1.45%	1.40%	1.35%	1.16%	2.32%	2.24%	2.74%	2.63%	1.37%	2.0%	1.14%	1.73%	3.38%	2.60%	2.30%	2.99%	0.98%	1.52%	0.65%	5.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1780	20	26	16	22	5	13	23	18	14	28	13	29	11	12	3	27	9	24	16	27	30	23	14	38	24	28	19	33	18	16	22	16	26	25	26	37	26	35	27	20	15	33	32	24	32	32	11	4	34	40	24	28	28	15	12	4	6	26	21	24	14	22	7	17	26	22	10	18	24	33	4	23	31	17	30	19	28	3	6	20	20	14	11	9	6	15	21	6					
		2.12%	1.62%	2.11%	1.84%	1.62%	0.72%	1.07%	1.71%	1.79%	1.15%	1.99%	1.13%	2.19%	1.94%	1.13%	0.38%	2.08%	0.92%	1.76%	2.07%	2.45%	3.50%	2.29%	2.80%	2.90%	2.12%	2.14%	1.38%	2.45%	1.32%	1.13%	1.69%	1.33%	2.65%	3.52%	1.95%	3.37%	2.38%	2.95%	2.24%	2.03%	1.14%	3.04%	2.77%	2.40%	2.78%	2.41%	1.31%	8.88%	3.09%	3.52%	1.76%	2.63%	2.60%	1.51%	4.39%	3.84%	0.99%	2.65%	2.57%	2.29%	1.57%	1.96%	1.72%	1.35%	2.20%	2.94%	1.64%	1.84%	2.49%	3.86%	5.40%	2.97%	3.28%	2.38%	2.74%	2.0%	2.95%	2.0%	6.89%	2.16%	2.33%	2.14%	1.80%	1.68%	2.95%	1.34%	2.76%	1.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3699	34	39	24	64	31	48	57	51	58	63	48	67	23	67	32	65	26	59	32	49	36	43	28	55	61	55	86	71	71	67	72	63	62	14	65	49	46	48	70	39	77	45	68	51	55	82	53	4	58	54	84	62	71	46	8	3	25	62	57	61	42	39	6	49	43	25	15	17	29	27	3	15	19	18	39	24	21	2	3	45	47	14	16	14	2	26	23	12					
		4.41%	2.77%	3.17%	2.77%	4.72%	4.51%	3.97%	4.24%	5.08%	4.79%	4.49%	4.19%	5.07%	4.05%	6.33%	4.08%	5.01%	2.66%	4.33%	4.15%	4.45%	4.21%	4.28%	5.61%	4.19%	5.41%	4.21%	6.28%	5.29%	5.21%	4.73%	5.54%	5.25%	6.32%	1.97%	4.88%	4.46%	4.22%	4.05%	5.81%	3.96%	5.90%	4.15%	5.89%	5.12%	4.79%	6.18%	6.35%	8.88%	5.28%	4.75%	6.18%	5.84%	6.59%	4.65%	2.93%	2.88%	4.15%	6.33%	6.99%	5.83%	4.72%	3.48%	1.47%	3.89%	3.64%	3.34%	2.46%	1.73%	3.01%	3.16%	4.05%	1.93%	2.01%	2.52%	3.57%	2.52%	2.21%	1.33%	3.44%	4.87%	5.49%	2.14%	2.63%	2.62%	0.98%	2.32%	3.02%	3.03%					
22	"5. ""За Русь Святую"""	283	6	0	3	3	1	1	3	2	5	3	1	1	2	6	0	5	4	6	1	1	4	3	3	3	5	2	6	1	2	5	3	4	5	2	2	4	5	3	3	2	2	5	3	3	3	8	0	2	8	2	7	10	2	1	0	0	0	4	1	2	2	3	3	3	5	6	5	3	4	7	1	5	7	1	4	4	5	2	0	5	5	0	3	4	3	4	2	3					
		0.33%	0.48%	0.0%	0.34%	0.22%	0.14%	0.08%	0.22%	0.19%	0.41%	0.21%	0.08%	0.07%	0.35%	0.56%	0.0%	0.38%	0.40%	0.44%	0.12%	0.09%	0.46%	0.29%	0.60%	0.22%	0.44%	0.15%	0.43%	0.07%	0.14%	0.35%	0.23%	0.33%	0.50%	0.28%	0.15%	0.36%	0.45%	0.25%	0.24%	0.20%	0.15%	0.46%	0.25%	0.30%	0.26%	0.60%	0.0%	4.44%	0.72%	0.17%	0.51%	0.94%	0.18%	0.10%	0.0%	0.0%	0.0%	0.40%	0.12%	0.19%	0.22%	0.26%	0.73%	0.23%	0.42%	0.80%	0.82%	0.30%	0.41%	0.82%	1.35%	0.64%	0.74%	0.14%	0.36%	0.42%	0.52%	1.33%	0.0%	0.54%	0.58%	0.0%	0.49%	0.74%	1.47%	0.35%	0.26%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	200	4	0	1	0	1	2	2	3	2	5	4	2	0	1	2	0	0	4	3	2	7	2	2	2	0	2	1	4	5	3	2	4	0	4	3	1	3	0	1	1	1	3	1	3	5	3	3	0	2	3	2	2	3	1	1	0	2	3	3	4	1	1	0	6	3	3	4	3	4	3	1	3	0	0	3	7	3	1	0	0	1	1	6	5	2	2	5	2					
		0.23%	0.32%	0.0%	0.11%	0.0%	0.14%	0.16%	0.14%	0.29%	0.16%	0.35%	0.34%	0.15%	0.0%	0.09%	0.25%	0.0%	0.0%	0.29%	0.38%	0.18%	0.81%	0.19%	0.40%	0.15%	0.0%	0.15%	0.07%	0.29%	0.36%	0.21%	0.15%	0.33%	0.0%	0.56%	0.22%	0.09%	0.27%	0.0%	0.08%	0.10%	0.07%	0.27%	0.08%	0.30%	0.43%	0.22%	0.35%	0.0%	0.18%	0.26%	0.14%	0.18%	0.27%	0.10%	0.36%	0.0%	0.33%	0.30%	0.36%	0.38%	0.11%	0.08%	0.0%	0.47%	0.25%	0.40%	0.65%	0.30%	0.41%	0.35%	1.35%	0.38%	0.0%	0.0%	0.27%	0.73%	0.31%	0.66%	0.0%	0.0%	0.11%	0.15%	0.98%	0.93%	0.98%	0.17%	0.65%	0.50%					
24	"7. ""Новый курс - Автомобильная Россия"""	549	4	6	4	14	1	6	4	6	14	7	3	10	6	9	14	7	2	11	5	3	8	7	1	10	5	5	12	11	10	5	7	10	7	2	13	11	3	4	6	7	14	3	8	4	8	12	2	0	10	4	14	3	1	3	1	0	5	4	5	6	3	12	1	7	12	3	4	8	4	4	0	7	6	7	4	15	7	0	0	7	9	3	3	14	5	5	6	6					
		0.65%	0.32%	0.48%	0.46%	1.03%	0.14%	0.49%	0.29%	0.59%	1.15%	0.49%	0.26%	0.75%	1.05%	0.85%	1.78%	0.54%	0.20%	0.80%	0.64%	0.27%	0.93%	0.69%	0.20%	0.76%	0.44%	0.38%	0.87%	0.81%	0.73%	0.35%	0.53%	0.83%	0.71%	0.28%	0.97%	1.00%	0.27%	0.33%	0.49%	0.71%	1.07%	0.27%	0.69%	0.40%	0.69%	0.90%	0.23%	0.0%	0.91%	0.35%	1.03%	0.28%	0.09%	0.30%	0.36%	0.0%	0.83%	0.40%	0.61%	0.57%	0.33%	1.07%	0.24%	0.55%	1.01%	0.40%	0.65%	0.81%	0.41%	0.46%	0.0%	0.90%	0.63%	0.98%	0.36%	1.57%	0.73%	0.0%	0.0%	0.75%	1.05%	0.46%	0.49%	2.62%	2.46%	0.44%	0.78%	1.51%					
25	"8. ""Народно-республиканская партия России"""	57	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	3	1	0	1	1	2	0	1	3	1	6	0	1	1	0	1	0	1	2	0	0	0	1	0					
		0.06%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.08%	0.0%	0.17%	0.09%	0.12%	0.07%	0.10%	0.0%	0.12%	0.0%	0.11%	0.0%	0.20%	0.15%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.18%	0.0%	0.08%	0.16%	0.10%	0.0%	0.0%	0.08%	0.0%	0.0%	0.07%	0.0%	0.0%	0.09%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.07%	0.25%	0.13%	0.0%	0.10%	0.10%	0.23%	0.0%	0.12%	0.31%	0.14%	0.54%	0.0%	0.10%	0.66%	0.0%	0.10%	0.0%	0.15%	0.32%	0.0%	0.0%	0.0%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	417	4	2	2	8	3	2	10	4	4	8	5	13	4	18	2	2	5	14	0	2	2	7	3	6	8	8	10	9	12	5	10	8	4	3	7	4	2	7	3	6	5	10	4	5	3	8	6	0	1	8	10	6	8	9	0	1	7	4	3	10	4	5	2	8	4	1	2	2	4	0	0	1	2	1	5	4	2	1	0	3	2	3	3	5	1	1	1	6					
		0.49%	0.32%	0.16%	0.23%	0.59%	0.43%	0.16%	0.74%	0.39%	0.33%	0.57%	0.43%	0.98%	0.70%	1.70%	0.25%	0.15%	0.51%	1.02%	0.0%	0.18%	0.23%	0.69%	0.60%	0.45%	0.70%	0.61%	0.73%	0.67%	0.88%	0.35%	0.76%	0.66%	0.40%	0.42%	0.52%	0.36%	0.18%	0.59%	0.24%	0.60%	0.38%	0.92%	0.34%	0.50%	0.26%	0.60%	0.71%	0.0%	0.09%	0.70%	0.73%	0.56%	0.74%	0.91%	0.0%	0.96%	1.16%	0.40%	0.36%	0.95%	0.45%	0.44%	0.49%	0.63%	0.33%	0.13%	0.32%	0.20%	0.41%	0.0%	0.0%	0.12%	0.21%	0.14%	0.45%	0.42%	0.21%	0.66%	0.0%	0.32%	0.23%	0.46%	0.49%	0.93%	0.49%	0.08%	0.13%	1.51%					
27	"10. ""Аграрная партия России"""	1287	18	17	16	19	13	16	11	13	10	17	16	22	7	12	10	15	7	22	8	19	11	12	2	14	14	10	10	15	12	15	16	10	17	12	37	24	27	24	36	16	19	23	22	20	19	21	10	1	16	31	23	17	14	12	4	7	3	15	9	14	23	20	4	11	13	6	4	8	14	11	0	16	13	11	18	13	15	2	1	15	9	5	9	6	3	89	26	0					
		1.53%	1.46%	1.38%	1.84%	1.40%	1.89%	1.32%	0.81%	1.29%	0.82%	1.21%	1.39%	1.66%	1.23%	1.13%	1.27%	1.15%	0.71%	1.61%	1.03%	1.72%	1.28%	1.19%	0.40%	1.06%	1.24%	0.76%	0.73%	1.11%	0.88%	1.06%	1.23%	0.83%	1.73%	1.69%	2.78%	2.18%	2.47%	2.02%	2.99%	1.62%	1.45%	2.12%	1.90%	2.00%	1.65%	1.58%	1.19%	2.22%	1.45%	2.73%	1.69%	1.60%	1.30%	1.21%	1.46%	6.73%	0.49%	1.53%	1.10%	1.33%	2.59%	1.78%	0.98%	0.87%	1.10%	0.80%	0.65%	0.81%	1.45%	1.28%	0.0%	2.06%	1.37%	1.54%	1.64%	1.36%	1.58%	1.33%	1.14%	1.62%	1.05%	0.76%	1.48%	1.12%	1.47%	7.97%	3.42%	0.0%					
28	"11. ""Истинные патриоты России"""	109	1	0	1	1	0	2	4	1	3	0	1	2	0	0	6	2	0	0	1	3	1	1	0	1	0	0	0	1	3	3	0	2	2	0	1	0	0	0	0	1	0	4	2	1	3	2	0	0	0	1	1	1	0	6	0	1	1	1	1	1	0	4	3	0	0	4	2	0	2	0	0	1	6	0	3	0	1	1	0	4	0	0	0	6	0	1	0	1					
		0.13%	0.08%	0.0%	0.11%	0.07%	0.0%	0.16%	0.29%	0.09%	0.24%	0.0%	0.08%	0.15%	0.0%	0.0%	0.76%	0.15%	0.0%	0.0%	0.12%	0.27%	0.11%	0.09%	0.0%	0.07%	0.0%	0.0%	0.0%	0.07%	0.22%	0.21%	0.0%	0.16%	0.20%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.36%	0.17%	0.10%	0.26%	0.15%	0.0%	0.0%	0.0%	0.08%	0.07%	0.09%	0.0%	0.60%	0.0%	0.96%	0.16%	0.10%	0.12%	0.09%	0.0%	0.35%	0.73%	0.0%	0.0%	0.53%	0.32%	0.0%	0.20%	0.0%	0.0%	0.12%	0.63%	0.0%	0.27%	0.0%	0.10%	0.66%	0.0%	0.43%	0.0%	0.0%	0.0%	1.12%	0.0%	0.08%	0.0%	0.25%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	3896	54	39	60	50	36	67	99	87	64	61	53	69	25	38	35	64	39	83	31	60	43	50	23	55	35	73	56	74	47	57	30	30	50	34	52	60	45	55	59	56	50	80	56	48	59	87	32	0	55	51	46	42	46	34	14	1	17	56	21	28	36	57	17	56	42	28	23	62	38	34	3	48	56	37	46	52	52	7	3	44	60	22	30	18	8	39	36	21					
		4.65%	4.40%	3.17%	6.92%	3.69%	5.24%	5.54%	7.37%	8.67%	5.29%	4.35%	4.62%	5.22%	4.40%	3.59%	4.46%	4.94%	3.99%	6.09%	4.02%	5.45%	5.02%	4.98%	4.60%	4.19%	3.10%	5.58%	4.09%	5.51%	3.45%	4.03%	2.30%	2.50%	5.09%	4.78%	3.90%	5.46%	4.12%	4.64%	4.90%	5.69%	3.83%	7.39%	4.85%	4.81%	5.14%	6.56%	3.83%	0.0%	5.00%	4.49%	3.38%	3.95%	4.27%	3.43%	5.12%	0.96%	2.82%	5.72%	2.57%	2.67%	4.05%	5.09%	4.18%	4.45%	3.55%	3.74%	3.78%	6.33%	3.95%	3.98%	4.05%	6.20%	5.92%	5.19%	4.21%	5.47%	5.48%	4.66%	3.44%	4.76%	7.00%	3.37%	4.93%	3.37%	3.94%	3.49%	4.73%	5.31%					
30	"13. ""Демократическая партия России"""	175	3	1	2	2	1	1	3	1	4	3	9	0	1	5	0	3	2	2	1	0	3	6	0	1	0	3	1	2	4	1	3	3	2	3	4	0	4	0	3	5	1	3	3	0	4	3	3	2	1	2	2	1	1	0	0	0	0	1	3	1	3	3	0	1	3	2	2	3	2	2	0	1	0	1	3	0	5	3	3	1	5	2	0	1	0	3	1	2					
		0.20%	0.24%	0.08%	0.23%	0.14%	0.14%	0.08%	0.22%	0.09%	0.33%	0.21%	0.78%	0.0%	0.17%	0.47%	0.0%	0.23%	0.20%	0.14%	0.12%	0.0%	0.35%	0.59%	0.0%	0.07%	0.0%	0.22%	0.07%	0.14%	0.29%	0.07%	0.23%	0.25%	0.20%	0.42%	0.30%	0.0%	0.36%	0.0%	0.24%	0.50%	0.07%	0.27%	0.25%	0.0%	0.34%	0.22%	0.35%	4.44%	0.09%	0.17%	0.14%	0.09%	0.09%	0.0%	0.0%	0.0%	0.0%	0.10%	0.36%	0.09%	0.33%	0.26%	0.0%	0.07%	0.25%	0.26%	0.32%	0.30%	0.20%	0.23%	0.0%	0.12%	0.0%	0.14%	0.27%	0.0%	0.52%	2.0%	3.44%	0.10%	0.58%	0.30%	0.0%	0.18%	0.0%	0.26%	0.13%	0.50%					
31	"14. ""Великая Россия - Евразийский Союз"""	217	5	14	0	1	0	4	4	3	4	0	3	2	1	6	1	4	1	2	4	7	1	3	0	2	2	1	1	3	5	4	2	1	3	0	6	2	1	3	3	2	4	2	5	0	0	4	2	1	2	7	6	1	1	0	0	1	4	3	8	3	0	1	2	1	0	3	0	2	1	2	0	0	0	3	3	5	13	0	2	1	1	1	2	2	0	2	1	4					
