Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Ильинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	234	24	32	29	7	7	7	12	5	2	4	4	2	10	4	13	4	0	4	8	2	5	33	14	2					
		2.20%	2.67%	4.09%	2.53%	2.27%	2.66%	2.33%	2.63%	2.07%	1.20%	2.55%	1.12%	0.81%	2.46%	1.06%	1.54%	1.64%	0.00%	1.49%	1.98%	1.65%	3.68%	3.18%	1.33%	0.96%					
19	. Малышкин Олег Александрович	281	23	16	24	12	10	7	28	6	3	2	4	8	12	5	22	8	5	5	12	5	7	17	36	4					
		2.64%	2.56%	2.05%	2.09%	3.90%	3.80%	2.33%	6.13%	2.48%	1.81%	1.27%	1.12%	3.23%	2.96%	1.33%	2.60%	3.28%	2.18%	1.86%	2.97%	4.13%	5.15%	1.64%	3.42%	1.91%					
20	. Миронов Сергей Михайлович	91	8	8	9	0	3	0	4	4	1	0	5	3	0	1	14	0	2	0	0	0	5	17	5	2					
		0.85%	0.89%	1.02%	0.78%	0.00%	1.14%	0.00%	0.88%	1.65%	0.60%	0.00%	1.40%	1.21%	0.00%	0.27%	1.66%	0.00%	0.87%	0.00%	0.00%	0.00%	3.68%	1.64%	0.47%	0.96%					
21	. Путин Владимир Владимирович	8232	669	565	870	258	210	229	338	194	129	128	287	196	302	322	655	190	206	229	341	90	102	763	794	165					
		77.22%	74.33%	72.25%	75.85%	83.77%	79.85%	76.08%	73.96%	80.17%	77.71%	81.53%	80.39%	79.03%	74.38%	85.64%	77.51%	77.87%	89.96%	85.13%	84.41%	74.38%	75.00%	73.44%	75.33%	78.95%					
22	. Хакамада Ирина Муцуовна	267	31	26	39	7	5	3	9	5	3	3	10	2	9	5	35	4	2	3	8	1	6	24	19	8					
		2.50%	3.44%	3.32%	3.40%	2.27%	1.90%	1.00%	1.97%	2.07%	1.81%	1.91%	2.80%	0.81%	2.22%	1.33%	4.14%	1.64%	0.87%	1.12%	1.98%	0.83%	4.41%	2.31%	1.80%	3.83%					
23	. Харитонов Николай Михайлович	1221	107	98	131	18	18	43	53	15	23	13	37	32	61	30	75	34	12	16	26	21	8	163	165	22					
		11.45%	11.89%	12.53%	11.42%	5.84%	6.84%	14.29%	11.60%	6.20%	13.86%	8.28%	10.36%	12.90%	15.02%	7.98%	8.88%	13.93%	5.24%	5.95%	6.44%	17.36%	5.88%	15.69%	15.65%	10.53%					
																															
24	Против всех	233	33	30	30	4	5	9	6	9	4	2	7	4	9	7	18	2	0	7	5	1	0	17	18	6					
		2.19%	3.67%	3.84%	2.62%	1.30%	1.90%	2.99%	1.31%	3.72%	2.41%	1.27%	1.96%	1.61%	2.22%	1.86%	2.13%	0.82%	0.00%	2.60%	1.24%	0.83%	0.00%	1.64%	1.71%	2.87%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
