Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Кемерово, Заводская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №1765									
		0.49%	0.10%	0.63%	1.63%	0.00%	0.00%	0.00%	0.00%	0.45%	1.99%	0.56%	0.62%	0.66%	1.56%	0.34%	0.73%	0.07%	0.13%	0.94%	1.00%	0.10%	0.24%	1.01%	1.18%	0.84%	0.00%	0.92%	0.09%	0.16%	0.15%	0.12%	0.10%	1.01%	0.10%	1.84%	1.66%	0.39%	0.05%	0.04%	0.13%	0.10%	1.15%	0.92%	0.18%	1.25%	0.04%	1.62%	0.00%	0.00%	0.00%	0.51%	0.12%	0.95%	0.16%	0.15%	0.07%	0.16%	0.99%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	71138	1766	1116	789	1682	1768	1547	1613	350	830	870	695	1688	1046	778	1283	1317	1196	874	1099	1556	622	1195	364	1322	1359	778	1950	1117	1118	1260	1538	1051	1408	361	1608	214	1851	2112	1730	1606	2066	1226	1297	1651	2226	1330	1304	1486	409	375	1117	1309	1398	1574	1029	1485	1010	419									
		78.16%	90.24%	70.72%	67.55%	70.70%	81.44%	87.75%	87.43%	78.83%	68.82%	80.71%	72.17%	86.30%	70.92%	89.22%	77.95%	88.27%	79.95%	68.28%	73.32%	76.27%	75.85%	75.39%	61.59%	69.62%	93.02%	71.57%	89.78%	86.59%	81.78%	74.96%	80.02%	70.92%	70.68%	73.67%	68.37%	83.59%	84.14%	88.29%	75.22%	78.30%	74.53%	70.66%	79.91%	71.41%	92.37%	67.34%	84.40%	88.09%	83.64%	95.91%	69.55%	73.17%	72.51%	78.90%	75.22%	77.83%	76.98%	87.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	324	0	9	15	4	2	2	1	1	13	6	3	11	9	3	21	1	0	9	18	2	2	8	3	8	1	13	2	0	2	2	2	12	0	2	22	0	3	4	6	2	21	11	3	24	0	29	2	1	0	0	0	0	0	0	3	3	3	0									
		0.36%	0.00%	0.57%	1.28%	0.17%	0.09%	0.11%	0.05%	0.23%	1.08%	0.56%	0.31%	0.56%	0.61%	0.34%	1.28%	0.07%	0.00%	0.70%	1.20%	0.10%	0.24%	0.50%	0.51%	0.42%	0.07%	1.20%	0.09%	0.00%	0.15%	0.12%	0.10%	0.81%	0.00%	0.41%	0.94%	0.00%	0.14%	0.17%	0.26%	0.10%	0.76%	0.63%	0.18%	1.04%	0.00%	1.47%	0.13%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.16%	0.23%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	129	0	0	2	1	0	2	2	1	0	3	1	0	1	1	15	0	0	0	3	1	2	2	2	7	0	7	3	1	2	2	2	1	1	0	16	1	1	2	3	2	1	5	1	3	0	12	2	2	2	0	2	1	2	2	1	2	1	0									
		0.14%	0.00%	0.00%	0.17%	0.04%	0.00%	0.11%	0.11%	0.23%	0.00%	0.28%	0.10%	0.00%	0.07%	0.11%	0.91%	0.00%	0.00%	0.00%	0.20%	0.05%	0.24%	0.13%	0.34%	0.37%	0.00%	0.64%	0.14%	0.08%	0.15%	0.12%	0.10%	0.07%	0.05%	0.00%	0.68%	0.39%	0.05%	0.08%	0.13%	0.10%	0.04%	0.29%	0.06%	0.13%	0.00%	0.61%	0.13%	0.12%	0.41%	0.00%	0.12%	0.06%	0.10%	0.10%	0.07%	0.10%	0.08%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6581	64	187	138	176	105	74	126	39	146	84	139	56	178	22	49	25	52	168	132	113	65	95	96	223	26	161	72	71	75	116	118	140	125	56	264	15	159	115	200	113	161	152	97	212	36	232	49	65	14	0	110	243	190	137	114	194	168	29									
		7.23%	3.27%	11.85%	11.82%	7.40%	4.84%	4.20%	6.83%	8.78%	12.11%	7.79%	14.43%	2.86%	12.07%	2.52%	2.98%	1.68%	3.48%	13.13%	8.81%	5.54%	7.93%	5.99%	16.24%	11.74%	1.78%	14.81%	3.31%	5.50%	5.49%	6.90%	6.14%	9.45%	6.28%	11.43%	11.22%	5.86%	7.23%	4.81%	8.70%	5.51%	5.81%	8.76%	5.98%	9.17%	1.49%	11.75%	3.17%	3.85%	2.86%	0.00%	6.85%	13.58%	9.85%	6.87%	8.33%	10.17%	12.80%	6.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	338	2	6	5	8	8	2	2	2	13	7	8	11	13	3	20	0	0	5	3	2	2	10	1	25	2	10	6	0	2	2	2	12	0	1	20	1	6	6	6	2	18	12	6	18	2	12	2	2	0	0	2	9	4	4	3	4	4	0									
		0.37%	0.10%	0.38%	0.43%	0.34%	0.37%	0.11%	0.11%	0.45%	1.08%	0.65%	0.83%	0.56%	0.88%	0.34%	1.22%	0.00%	0.00%	0.39%	0.20%	0.10%	0.24%	0.63%	0.17%	1.32%	0.14%	0.92%	0.28%	0.00%	0.15%	0.12%	0.10%	0.81%	0.00%	0.20%	0.85%	0.39%	0.27%	0.25%	0.26%	0.10%	0.65%	0.69%	0.37%	0.78%	0.08%	0.61%	0.13%	0.12%	0.00%	0.00%	0.12%	0.50%	0.21%	0.20%	0.22%	0.21%	0.30%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	286	2	6	4	4	2	2	0	0	11	3	3	7	7	2	19	3	2	2	3	2	2	10	0	17	2	1	1	0	2	2	2	18	0	2	19	2	2	3	6	2	34	14	0	19	1	22	0	1	0	0	2	5	3	3	2	2	1	0									
		0.31%	0.10%	0.38%	0.34%	0.17%	0.09%	0.11%	0.00%	0.00%	0.91%	0.28%	0.31%	0.36%	0.47%	0.23%	1.15%	0.20%	0.13%	0.16%	0.20%	0.10%	0.24%	0.63%	0.00%	0.90%	0.14%	0.09%	0.05%	0.00%	0.15%	0.12%	0.10%	1.21%	0.00%	0.41%	0.81%	0.78%	0.09%	0.13%	0.26%	0.10%	1.23%	0.81%	0.00%	0.82%	0.04%	1.11%	0.00%	0.06%	0.00%	0.00%	0.12%	0.28%	0.16%	0.15%	0.15%	0.10%	0.08%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	117	0	0	0	0	3	2	2	0	3	1	0	0	1	1	28	0	2	0	6	0	2	2	1	6	1	0	2	0	2	2	2	0	0	0	2	3	3	1	7	1	1	15	1	1	0	0	0	0	0	0	1	2	3	3	2	2	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.14%	0.11%	0.11%	0.00%	0.25%	0.09%	0.00%	0.00%	0.07%	0.11%	1.70%	0.00%	0.13%	0.00%	0.40%	0.00%	0.24%	0.13%	0.17%	0.32%	0.07%	0.00%	0.09%	0.00%	0.15%	0.12%	0.10%	0.00%	0.00%	0.00%	0.09%	1.17%	0.14%	0.04%	0.30%	0.05%	0.04%	0.86%	0.06%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.11%	0.16%	0.15%	0.15%	0.10%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	609	2	12	12	17	4	6	6	2	10	5	7	11	10	6	19	2	2	6	15	3	3	18	4	13	32	7	5	4	6	6	6	24	2	2	51	2	6	7	17	5	37	35	46	35	2	41	0	0	0	0	3	5	5	6	4	5	7	1									
		0.67%	0.10%	0.76%	1.03%	0.71%	0.18%	0.34%	0.33%	0.45%	0.83%	0.46%	0.73%	0.56%	0.68%	0.69%	1.15%	0.13%	0.13%	0.47%	1.00%	0.15%	0.37%	1.14%	0.68%	0.68%	2.19%	0.64%	0.23%	0.31%	0.44%	0.36%	0.31%	1.62%	0.10%	0.41%	2.17%	0.78%	0.27%	0.29%	0.74%	0.24%	1.33%	2.02%	2.83%	1.51%	0.08%	2.08%	0.00%	0.00%	0.00%	0.00%	0.19%	0.28%	0.26%	0.30%	0.29%	0.26%	0.53%	0.21%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5341	71	137	110	198	163	10	21	25	92	29	47	89	83	14	49	83	78	65	67	178	55	94	60	88	13	53	87	78	72	162	132	100	165	34	168	2	98	67	180	122	187	148	112	177	55	139	61	98	31	4	170	118	183	107	119	101	66	26									
		5.87%	3.63%	8.68%	9.42%	8.32%	7.51%	0.57%	1.14%	5.63%	7.63%	2.69%	4.88%	4.55%	5.63%	1.61%	2.98%	5.56%	5.21%	5.08%	4.47%	8.73%	6.71%	5.93%	10.15%	4.63%	0.89%	4.88%	4.01%	6.05%	5.27%	9.64%	6.87%	6.75%	8.28%	6.94%	7.14%	0.78%	4.45%	2.80%	7.83%	5.95%	6.75%	8.53%	6.90%	7.66%	2.28%	7.04%	3.95%	5.81%	6.34%	1.02%	10.59%	6.60%	9.49%	5.36%	8.70%	5.29%	5.03%	5.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	387	5	9	3	4	11	5	6	3	4	6	8	10	5	6	20	7	6	2	19	2	2	15	6	19	3	3	8	3	6	9	7	7	2	4	16	1	10	6	11	9	8	8	2	10	2	3	5	3	0	0	7	15	8	8	5	8	7	0									
		0.43%	0.26%	0.57%	0.26%	0.17%	0.51%	0.28%	0.33%	0.68%	0.33%	0.56%	0.83%	0.51%	0.34%	0.69%	1.22%	0.47%	0.40%	0.16%	1.27%	0.10%	0.24%	0.95%	1.02%	1.00%	0.21%	0.28%	0.37%	0.23%	0.44%	0.54%	0.36%	0.47%	0.10%	0.82%	0.68%	0.39%	0.45%	0.25%	0.48%	0.44%	0.29%	0.46%	0.12%	0.43%	0.08%	0.15%	0.32%	0.18%	0.00%	0.00%	0.44%	0.84%	0.41%	0.40%	0.37%	0.42%	0.53%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3916	32	49	38	272	95	102	55	4	37	23	29	30	45	18	86	45	151	115	81	171	43	80	18	87	21	20	21	10	68	96	95	46	284	9	67	8	53	58	120	176	78	31	51	59	82	45	55	19	26	1	176	25	112	127	64	81	24	2									
		4.30%	1.64%	3.11%	3.25%	11.43%	4.38%	5.79%	2.98%	0.90%	3.07%	2.13%	3.01%	1.53%	3.05%	2.06%	5.22%	3.02%	10.09%	8.98%	5.40%	8.38%	5.24%	5.05%	3.05%	4.58%	1.44%	1.84%	0.97%	0.78%	4.97%	5.71%	4.94%	3.10%	14.26%	1.84%	2.85%	3.13%	2.41%	2.42%	5.22%	8.58%	2.81%	1.79%	3.14%	2.55%	3.40%	2.28%	3.56%	1.13%	5.32%	0.26%	10.96%	1.40%	5.81%	6.37%	4.68%	4.25%	1.83%	0.42%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
