Выборы Президента Российской Федерации																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Омск, Кировская"																																																																																													
																																																																																													
Итоги голосования 																																																																																													
																																																																																													
		Сумма	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521					
11	Число полученных открепительных  удостоверений	3455	40	17	30	30	14	30	18	15	90	35	45	38	26	25	40	25	31	35	35	35	35	35	88	35	35	30	35	35	40	43	50	50	55	45	55	53	35	35	35	35	35	55	55	35	40	45	45	35	30	42	40	42	35	45	65	35	35	100	60	55	54	35	45	35	35	45	45	50	40	51	39	40	35	55	41	40	53	60	35	50	45	35	50	0	0	0					
12	Число выданных открепительных удостоверений	3049	38	13	25	23	12	26	17	13	85	34	42	37	23	14	32	23	31	27	21	33	22	20	87	35	30	28	33	27	37	35	45	44	48	42	55	53	35	33	33	29	35	43	37	27	40	35	44	33	27	39	32	37	28	44	63	34	30	58	54	52	50	35	41	27	35	39	44	41	39	51	38	33	30	55	33	33	47	53	28	44	39	32	50	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2758	20	25	18	27	35	18	15	13	27	22	17	10	13	15	13	17	15	11	18	8	29	8	38	10	15	7	59	63	18	38	21	17	16	18	25	21	20	51	37	24	16	19	9	13	22	24	14	16	20	9	21	15	23	27	17	24	23	67	9	10	27	15	16	24	18	13	26	21	27	17	11	16	17	27	22	25	19	24	15	16	19	18	38	50	434	513					
14	Число неиспользованных открепительных удостоверений	406	2	4	5	7	2	4	1	2	5	1	3	1	3	11	8	2	0	8	14	2	13	15	1	0	5	2	2	8	3	8	5	6	7	3	0	0	0	2	2	6	0	12	18	8	0	10	1	2	3	3	8	5	7	1	2	1	5	42	6	3	4	0	4	8	0	6	1	9	1	0	1	7	5	0	8	7	6	7	7	6	6	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																													
18	. Глазьев Сергей Юрьевич	5758	70	54	45	28	39	43	27	18	53	26	43	28	27	22	32	38	38	38	40	53	48	63	75	68	41	39	53	65	70	53	85	89	92	64	80	106	79	61	67	102	75	86	45	49	61	66	69	72	55	55	75	83	56	74	77	97	106	122	87	93	85	89	54	58	79	121	97	106	73	81	93	83	48	69	107	119	82	109	99	85	82	88	93	9	45	39					
		5.23%	4.69%	5.45%	4.19%	2.76%	4.79%	3.22%	2.91%	2.02%	2.90%	2.36%	3.39%	2.21%	2.90%	2.95%	2.66%	3.80%	4.06%	3.19%	3.90%	5.97%	4.13%	6.19%	5.81%	5.58%	3.22%	4.72%	3.81%	5.09%	5.79%	3.73%	5.43%	5.66%	5.67%	5.67%	5.97%	6.53%	5.65%	4.23%	4.47%	7.43%	5.65%	6.79%	4.10%	4.78%	4.70%	4.52%	5.83%	5.25%	4.22%	5.41%	6.44%	6.35%	5.74%	4.96%	4.70%	6.25%	6.60%	5.73%	5.42%	5.86%	4.64%	6.74%	5.53%	7.37%	6.98%	8.30%	6.90%	6.81%	4.71%	6.23%	7.60%	5.96%	3.97%	4.63%	8.81%	7.75%	6.74%	7.32%	7.30%	5.61%	5.12%	6.04%	5.78%	4.84%	3.56%	3.95%					
19	. Малышкин Олег Александрович	2828	41	38	43	17	25	43	24	21	35	32	31	28	30	30	27	40	28	31	61	25	25	23	31	23	30	23	51	37	33	53	54	37	55	45	37	52	28	26	51	21	24	43	24	30	27	45	36	38	23	23	32	28	31	36	40	39	39	36	42	43	37	25	18	16	23	18	28	33	45	25	23	32	35	41	15	27	33	38	33	51	40	37	46	2	28	15					
		2.57%	2.75%	3.84%	4.00%	1.67%	3.07%	3.22%	2.59%	2.36%	1.91%	2.90%	2.44%	2.21%	3.23%	4.02%	2.24%	4.00%	2.99%	2.61%	5.95%	2.82%	2.15%	2.26%	2.40%	1.89%	2.35%	2.78%	3.67%	2.90%	2.73%	3.73%	3.45%	2.35%	3.39%	3.99%	2.76%	3.20%	2.00%	1.80%	3.40%	1.53%	1.81%	3.39%	2.19%	2.93%	2.08%	3.08%	3.04%	2.77%	1.77%	2.26%	2.75%	2.14%	3.18%	2.41%	2.44%	2.51%	2.43%	1.69%	2.62%	2.71%	2.02%	1.89%	1.84%	2.03%	2.03%	1.24%	1.99%	2.12%	2.91%	1.92%	1.88%	2.30%	2.89%	2.75%	1.23%	1.76%	2.71%	2.55%	2.43%	3.37%	2.50%	2.54%	2.86%	1.08%	2.22%	1.52%					
20	. Миронов Сергей Михайлович	1057	24	14	7	13	14	8	4	5	11	6	25	11	9	4	11	5	8	8	8	9	7	7	6	10	5	8	13	12	16	11	16	19	15	12	14	19	12	6	18	11	11	13	14	12	21	18	18	13	18	11	14	15	11	12	29	13	15	14	16	16	17	12	9	7	7	18	17	9	18	14	14	14	15	10	7	12	17	10	11	9	10	17	17	1	7	13					
		0.96%	1.61%	1.41%	0.65%	1.28%	1.72%	0.60%	0.43%	0.56%	0.60%	0.54%	1.97%	0.87%	0.97%	0.54%	0.91%	0.50%	0.85%	0.67%	0.78%	1.01%	0.60%	0.69%	0.46%	0.82%	0.39%	0.97%	0.93%	0.94%	1.32%	0.77%	1.02%	1.21%	0.92%	1.06%	1.04%	1.17%	0.86%	0.42%	1.20%	0.80%	0.83%	1.03%	1.28%	1.17%	1.62%	1.23%	1.52%	0.95%	1.38%	1.08%	1.20%	1.15%	1.13%	0.80%	1.77%	0.84%	0.93%	0.66%	1.00%	1.01%	0.93%	0.91%	0.92%	0.89%	0.62%	1.24%	1.21%	0.58%	1.16%	1.08%	1.14%	1.01%	1.24%	0.67%	0.58%	0.78%	1.40%	0.67%	0.81%	0.59%	0.62%	1.17%	1.06%	0.54%	0.55%	1.32%					
21	. Путин Владимир Владимирович	71913	935	627	710	663	508	896	674	625	1389	790	825	833	611	437	846	671	621	815	696	586	767	658	821	768	881	549	925	800	816	945	1033	1069	1092	751	900	1032	882	879	931	870	857	774	705	701	843	927	759	909	857	635	720	794	630	978	1021	1017	965	1521	1066	1021	1156	858	591	519	746	895	861	1000	992	823	746	892	785	1008	795	985	774	986	907	996	1062	941	1044	118	893	713					
		65.35%	62.71%	63.33%	66.11%	65.26%	62.33%	67.02%	72.63%	70.22%	75.90%	71.62%	64.96%	65.85%	65.70%	58.50%	70.21%	67.17%	66.35%	68.49%	67.90%	65.99%	66.01%	64.70%	63.59%	63.00%	69.10%	66.46%	66.50%	62.60%	67.44%	66.46%	65.96%	67.96%	67.32%	66.58%	67.16%	63.59%	63.09%	60.91%	62.07%	63.41%	64.53%	61.09%	64.21%	68.39%	65.00%	63.54%	64.16%	66.30%	65.82%	62.44%	61.80%	60.75%	64.55%	65.55%	62.37%	65.53%	60.12%	71.37%	66.46%	64.38%	63.10%	65.00%	60.49%	65.95%	65.96%	61.43%	61.28%	64.23%	64.04%	63.31%	60.95%	64.08%	64.88%	67.65%	65.43%	64.13%	63.65%	66.17%	66.84%	65.79%	66.38%	64.54%	64.93%	63.44%	70.65%	72.24%					
22	. Хакамада Ирина Муцуовна	6473	67	54	39	70	31	47	28	23	49	52	69	36	35	44	67	60	45	48	36	40	78	47	72	81	45	32	89	60	51	66	89	54	77	65	78	131	86	77	82	81	72	90	102	55	96	90	64	86	73	60	69	71	52	102	95	86	128	119	94	125	143	78	82	45	59	101	106	118	116	87	88	93	97	80	96	143	104	92	72	118	109	106	102	7	67	54					
		5.88%	4.49%	5.45%	3.63%	6.89%	3.80%	3.52%	3.02%	2.58%	2.68%	4.71%	5.43%	2.85%	3.76%	5.89%	5.56%	6.01%	4.81%	4.03%	3.51%	4.50%	6.71%	4.62%	5.58%	6.64%	3.53%	3.87%	6.40%	4.69%	4.21%	4.64%	5.68%	3.43%	4.75%	5.76%	5.82%	8.07%	6.15%	5.34%	5.47%	5.90%	5.42%	7.10%	9.29%	5.37%	7.40%	6.17%	5.41%	6.27%	5.61%	5.90%	5.92%	5.43%	5.33%	6.84%	5.80%	5.54%	7.98%	5.58%	5.86%	7.88%	7.81%	5.91%	8.39%	5.72%	5.22%	6.93%	7.54%	7.58%	7.49%	6.69%	7.19%	6.68%	8.02%	5.37%	7.90%	9.31%	8.55%	6.17%	5.31%	7.79%	6.81%	7.27%	6.34%	3.76%	5.30%	5.47%					
23	. Харитонов Николай Михайлович	16442	270	154	177	178	142	251	140	156	222	164	219	289	189	162	167	175	135	200	142	145	165	153	222	205	220	144	188	243	168	222	189	203	222	148	171	180	235	318	269	246	229	179	144	139	171	217	184	178	212	179	203	256	155	215	293	242	282	232	232	224	284	178	183	102	162	211	203	203	234	210	200	206	169	195	126	160	118	157	162	199	192	179	212	41	115	87					
		14.94%	18.11%	15.56%	16.48%	17.52%	17.42%	18.77%	15.09%	17.53%	12.13%	14.87%	17.24%	22.85%	20.32%	21.69%	13.86%	17.52%	14.42%	16.81%	13.85%	16.33%	14.20%	15.04%	17.20%	16.82%	17.25%	17.43%	13.52%	19.01%	13.88%	15.61%	12.07%	12.91%	13.69%	13.12%	12.76%	11.09%	16.81%	22.04%	17.93%	17.93%	17.24%	14.13%	13.11%	13.56%	13.18%	14.87%	15.55%	12.98%	16.28%	17.60%	17.42%	19.59%	15.88%	14.41%	17.90%	15.59%	17.57%	10.89%	14.46%	14.12%	15.50%	13.48%	18.73%	12.96%	14.32%	14.48%	14.45%	13.04%	15.11%	16.15%	16.34%	14.80%	13.97%	13.09%	10.37%	10.42%	9.70%	10.54%	11.94%	13.14%	12.00%	12.28%	13.18%	22.04%	9.10%	8.81%					
																																																																																													
24	Против всех	4736	62	42	42	32	42	31	26	23	55	19	40	26	24	29	48	5	49	35	26	22	58	52	55	57	36	19	61	54	38	58	90	89	61	43	60	91	66	60	74	36	50	76	62	36	73	82	46	65	47	46	47	54	33	56	76	49	61	81	58	56	102	75	39	36	51	84	88	75	58	53	55	63	53	68	66	86	79	81	68	51	98	87	78	6	89	57					
		4.30%	4.16%	4.24%	3.91%	3.15%	5.15%	2.32%	2.80%	2.58%	3.01%	1.72%	3.15%	2.06%	2.58%	3.88%	3.98%	0.50%	5.24%	2.94%	2.54%	2.48%	4.99%	5.11%	4.26%	4.68%	2.82%	2.30%	4.39%	4.23%	3.14%	4.08%	5.75%	5.66%	3.76%	3.81%	4.48%	5.61%	4.72%	4.16%	4.93%	2.62%	3.77%	6.00%	5.65%	3.51%	5.63%	5.62%	3.89%	4.74%	3.61%	4.52%	4.03%	4.13%	3.38%	3.75%	4.64%	3.16%	3.80%	3.80%	3.62%	3.53%	5.57%	5.68%	3.99%	4.57%	4.51%	5.77%	6.26%	4.82%	3.74%	4.08%	4.49%	4.53%	4.38%	4.56%	5.43%	5.60%	6.50%	5.44%	5.01%	3.37%	6.12%	5.97%	4.85%	3.23%	7.04%	5.78%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
