Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Тарская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214					
		2.89%	4.96%	3.84%	1.98%	2.48%	3.14%	5.03%	2.64%	2.59%	2.41%	0.00%	4.56%	4.03%	5.33%	4.44%	1.53%	4.61%	4.41%	3.14%	3.14%	4.77%	2.91%	1.65%	1.38%	1.06%	3.33%	1.96%	0.00%	2.66%	2.04%	0.00%	0.00%	1.02%	2.38%	3.64%	1.94%	0.55%	2.56%	3.19%	1.47%	0.00%	2.04%	2.99%	1.91%	0.69%	0.00%	4.17%	2.61%	0.00%	4.61%	3.42%	3.52%	0.85%	0.67%	2.83%	2.63%	1.02%	3.66%	0.62%	3.75%	9.76%	0.37%	5.36%	3.98%	1.71%	1.55%	0.00%	6.58%	0.68%	4.29%	2.21%	1.11%	2.57%	1.74%	2.67%	3.54%	1.37%	4.01%	1.91%	1.03%	4.66%	1.64%					
19	. Малышкин Олег Александрович	980	16	22	35	5	39	25	9	18	6	8	35	15	11	32	13	23	45	29	26	35	33	18	5	6	3	1	0	6	0	0	2	24	5	2	29	13	19	6	20	2	37	13	13	15	9	0	33	4	2	0	10	2	1	8	31	5	6	6	5	2	3	5	10	1	9	0	1	15	6	7	4	17	2	4	9	7	19	6	4	3	5					
		3.74%	4.66%	4.97%	4.34%	4.13%	4.70%	3.70%	1.98%	2.91%	3.61%	7.48%	3.71%	2.24%	1.50%	3.46%	3.32%	3.42%	4.84%	3.79%	3.55%	5.76%	4.80%	4.26%	1.73%	3.17%	5.00%	1.96%	0.00%	2.28%	0.00%	0.00%	11.11%	6.09%	3.97%	3.64%	4.68%	7.14%	8.12%	2.13%	3.68%	1.53%	4.72%	3.88%	3.54%	5.21%	9.68%	0.00%	6.15%	2.44%	0.71%	0.00%	7.04%	1.71%	0.67%	7.55%	7.42%	5.10%	3.66%	1.88%	3.12%	4.88%	1.10%	8.93%	3.98%	0.85%	4.64%	0.00%	1.32%	3.39%	4.29%	1.93%	4.44%	3.36%	1.74%	1.19%	7.96%	1.20%	4.48%	2.29%	4.12%	1.55%	8.20%					
20	. Миронов Сергей Михайлович	203	3	3	6	0	3	6	4	2	2	2	7	2	6	4	2	5	4	4	2	5	6	11	0	0	0	0	1	2	0	0	0	0	0	0	5	2	1	2	3	0	8	0	11	8	2	0	3	0	4	0	7	0	1	0	4	1	0	0	1	0	1	0	4	1	4	0	1	1	1	1	1	8	2	1	1	7	2	7	3	1	1					
		0.77%	0.87%	0.68%	0.74%	0.00%	0.36%	0.89%	0.88%	0.32%	1.20%	1.87%	0.74%	0.30%	0.82%	0.43%	0.51%	0.74%	0.43%	0.52%	0.27%	0.82%	0.87%	2.60%	0.00%	0.00%	0.00%	0.00%	1.02%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	1.10%	0.43%	0.71%	0.55%	0.00%	1.02%	0.00%	3.00%	2.78%	2.15%	0.00%	0.56%	0.00%	1.42%	0.00%	4.93%	0.00%	0.67%	0.00%	0.96%	1.02%	0.00%	0.00%	0.62%	0.00%	0.37%	0.00%	1.59%	0.85%	2.06%	0.00%	1.32%	0.23%	0.71%	0.28%	1.11%	1.58%	1.74%	0.30%	0.88%	1.20%	0.47%	2.67%	3.09%	0.52%	1.64%					
21	. Путин Владимир Владимирович	17701	233	268	539	80	548	433	282	428	110	92	680	470	485	548	268	455	596	523	524	357	460	288	210	162	46	17	81	165	61	34	13	265	92	35	338	125	168	186	350	105	591	248	281	176	62	14	346	122	217	97	95	80	83	52	304	58	120	246	122	23	236	45	163	97	136	82	46	254	93	221	42	349	84	227	85	302	325	172	82	161	42					
		67.55%	67.93%	60.50%	66.79%	66.12%	66.10%	64.05%	62.11%	69.26%	66.27%	85.98%	72.03%	70.15%	66.26%	59.31%	68.37%	67.71%	64.09%	68.37%	71.58%	58.72%	66.96%	68.09%	72.66%	85.71%	76.67%	33.33%	82.65%	62.74%	62.24%	97.14%	72.22%	67.26%	73.02%	63.64%	54.52%	68.68%	71.79%	65.96%	64.46%	80.15%	75.38%	74.03%	76.57%	61.11%	66.67%	58.33%	64.43%	74.39%	76.95%	82.91%	66.90%	68.38%	55.70%	49.06%	72.73%	59.18%	73.17%	76.88%	76.25%	56.10%	86.76%	80.36%	64.94%	82.91%	70.10%	83.67%	60.53%	57.47%	66.43%	61.05%	46.67%	68.97%	73.04%	67.36%	75.22%	51.89%	76.65%	65.65%	84.54%	83.42%	68.85%					
22	. Хакамада Ирина Муцуовна	742	4	12	22	3	32	25	16	15	7	3	33	16	24	47	12	14	32	25	13	28	27	6	7	2	1	1	1	3	3	0	0	4	4	1	10	6	4	9	16	2	16	9	9	2	1	1	5	0	5	0	8	1	9	4	7	8	8	7	2	0	8	1	7	2	4	7	2	7	11	20	3	22	7	5	0	14	9	14	1	4	2					
		2.83%	1.17%	2.71%	2.73%	2.48%	3.86%	3.70%	3.52%	2.43%	4.22%	2.80%	3.50%	2.39%	3.28%	5.09%	3.06%	2.08%	3.44%	3.27%	1.78%	4.61%	3.93%	1.42%	2.42%	1.06%	1.67%	1.96%	1.02%	1.14%	3.06%	0.00%	0.00%	1.02%	3.17%	1.82%	1.61%	3.30%	1.71%	3.19%	2.95%	1.53%	2.04%	2.69%	2.45%	0.69%	1.08%	4.17%	0.93%	0.00%	1.77%	0.00%	5.63%	0.85%	6.04%	3.77%	1.67%	8.16%	4.88%	2.19%	1.25%	0.00%	2.94%	1.79%	2.79%	1.71%	2.06%	7.14%	2.63%	1.58%	7.86%	5.52%	3.33%	4.35%	6.09%	1.48%	0.00%	2.41%	2.12%	5.34%	1.03%	2.07%	3.28%					
23	. Харитонов Николай Михайлович	5063	60	112	168	25	153	128	116	116	29	1	121	118	150	220	81	127	179	133	119	132	110	76	60	13	6	31	11	71	31	1	3	92	16	13	204	27	30	66	142	20	90	51	20	78	16	8	122	29	38	13	13	32	52	37	49	22	22	55	13	9	14	2	50	12	33	8	21	141	19	92	39	81	11	78	11	237	49	55	6	14	10					
		19.32%	17.49%	25.28%	20.82%	20.66%	18.46%	18.93%	25.55%	18.77%	17.47%	0.93%	12.82%	17.61%	20.49%	23.81%	20.66%	18.90%	19.25%	17.39%	16.26%	21.71%	16.01%	17.97%	20.76%	6.88%	10.00%	60.78%	11.22%	27.00%	31.63%	2.86%	16.67%	23.35%	12.70%	23.64%	32.90%	14.84%	12.82%	23.40%	26.15%	15.27%	11.48%	15.22%	5.45%	27.08%	17.20%	33.33%	22.72%	17.68%	13.48%	11.11%	9.15%	27.35%	34.90%	34.91%	11.72%	22.45%	13.41%	17.19%	8.12%	21.95%	5.15%	3.57%	19.92%	10.26%	17.01%	8.16%	27.63%	31.90%	13.57%	25.41%	43.33%	16.01%	9.57%	23.15%	9.73%	40.72%	11.56%	20.99%	6.19%	7.25%	16.39%					
																																																																																								
24	Против всех	588	6	3	13	3	24	19	10	19	7	1	21	18	17	30	7	16	26	19	21	19	29	16	3	3	1	0	4	7	0	0	0	5	6	1	20	6	4	2	3	2	26	4	9	6	2	0	12	5	1	1	4	0	2	2	9	3	2	2	7	3	3	0	4	0	4	1	0	15	2	11	0	15	7	6	3	2	0	3	0	1	0					
		2.24%	1.75%	0.68%	1.61%	2.48%	2.90%	2.81%	2.20%	3.07%	4.22%	0.93%	2.22%	2.69%	2.32%	3.25%	1.79%	2.38%	2.80%	2.48%	2.87%	3.12%	4.22%	3.78%	1.04%	1.59%	1.67%	0.00%	4.08%	2.66%	0.00%	0.00%	0.00%	1.27%	4.76%	1.82%	3.23%	3.30%	1.71%	0.71%	0.55%	1.53%	3.32%	1.19%	2.45%	2.08%	2.15%	0.00%	2.23%	3.05%	0.35%	0.85%	2.82%	0.00%	1.34%	1.89%	2.15%	3.06%	1.22%	0.62%	4.38%	7.32%	1.10%	0.00%	1.59%	0.00%	2.06%	1.02%	0.00%	3.39%	1.43%	3.04%	0.00%	2.96%	6.09%	1.78%	2.65%	0.34%	0.00%	1.15%	0.00%	0.52%	0.00%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
