Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Ивановская - 92																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464									
		0.87%	0.70%	1.54%	0.74%	1.93%	0.00%	1.59%	0.50%	0.00%	2.31%	0.99%	0.00%	0.65%	0.37%	0.50%	0.48%	0.77%	0.67%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	569	13	39	93	39	11	29	38	14	19	11	7	11	26	41	66	48	19	23	22									
		8.66%	3.02%	10.03%	13.70%	5.01%	7.05%	9.21%	18.91%	12.28%	6.27%	10.89%	2.38%	3.55%	9.59%	6.77%	10.65%	9.28%	12.67%	15.13%	12.15%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	2	0	5	1	0	2	2	0	2	0	0	3	1	2	1	1	0	0	2									
		0.37%	0.46%	0.00%	0.74%	0.13%	0.00%	0.63%	0.99%	0.00%	0.66%	0.00%	0.00%	0.97%	0.37%	0.33%	0.16%	0.19%	0.00%	0.00%	1.10%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	656	7	21	43	64	22	12	5	12	15	10	20	23	33	119	91	146	1	6	6									
		9.99%	1.62%	5.40%	6.33%	8.23%	14.10%	3.81%	2.49%	10.53%	4.95%	9.90%	6.80%	7.42%	12.18%	19.64%	14.68%	28.24%	0.67%	3.95%	3.31%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
