Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Пенза, Первомайская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №404	УИК №718	УИК №737	УИК №817	УИК №818	УИК №1010									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2363	70	30	30	40	45	40	40	40	30	30	30	20	60	30	90	85	20	40	30	40	20	40	40	20	20	55	50	50	120	40	75	30	30	50	45	50	85	20	20	50	40	30	40	53	40	40	50	40	20	30	70	30	60	60	10	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1735	51	18	21	35	34	22	26	25	25	26	25	20	42	28	79	67	10	26	15	17	16	20	32	16	13	47	43	41	80	30	59	26	19	38	41	49	55	15	15	34	24	25	35	37	24	31	28	27	17	27	70	24	29	31	5	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1822	77	50	60	45	32	64	33	52	20	27	43	14	188	11	27	55	9	5	8	7	9	2	16	30	24	44	61	43	34	96	101	60	14	10	9	62	57	17	14	18	23	0	39	11	13	21	24	15	10	4	4	0	7	15	19	42	4	0	7	0	16									
14	Число погашенных неиспользованных открепительных удостоверений	628	19	12	9	5	11	18	14	15	5	4	5	0	18	2	11	18	10	14	15	23	4	20	8	4	7	8	7	9	40	10	16	4	11	12	4	1	30	5	5	16	16	5	5	16	16	9	22	13	3	3	0	6	31	29	5	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	137	4	4	1	4	4	2	2	2	4	1	1	8	2	1	5	4	0	2	0	1	0	5	1	2	2	2	5	2	3	2	4	1	0	6	0	2	8	1	1	1	3	4	2	2	4	3	3	0	1	2	4	4	4	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	720	17	14	6	17	23	11	18	14	11	18	9	18	19	20	23	20	2	15	12	30	3	8	14	9	12	10	6	22	6	15	13	9	18	13	11	19	15	4	9	23	12	7	14	10	10	8	23	1	11	12	17	11	10	11	2	3	2	0	0	0	0									
		1.46%	1.71%	1.49%	0.60%	1.87%	2.78%	1.62%	2.72%	2.10%	0.79%	1.32%	1.14%	3.13%	1.88%	2.80%	2.20%	1.86%	0.71%	2.03%	1.88%	4.25%	0.83%	1.23%	1.72%	1.09%	1.38%	1.34%	0.64%	1.95%	0.63%	1.49%	1.09%	1.62%	2.67%	1.88%	1.74%	1.92%	1.19%	0.85%	1.64%	1.95%	1.56%	0.63%	1.37%	1.36%	1.27%	0.91%	2.86%	0.15%	1.69%	1.45%	1.59%	0.79%	0.96%	1.15%	0.55%	0.28%	0.26%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1368	39	22	12	34	22	25	20	19	18	33	22	13	36	23	38	40	13	24	16	19	17	21	26	17	31	25	18	30	18	35	30	19	20	27	20	29	27	15	16	35	30	23	34	24	22	24	29	17	23	25	29	29	37	30	13	2	1	8	0	3	1									
		2.78%	3.93%	2.34%	1.19%	3.75%	2.66%	3.69%	3.02%	2.84%	1.29%	2.42%	2.78%	2.26%	3.55%	3.22%	3.64%	3.71%	4.64%	3.24%	2.50%	2.69%	4.70%	3.23%	3.20%	2.05%	3.56%	3.35%	1.93%	2.66%	1.88%	3.48%	2.52%	3.41%	2.97%	3.91%	3.17%	2.93%	2.14%	3.17%	2.92%	2.97%	3.89%	2.07%	3.33%	3.27%	2.78%	2.73%	3.61%	2.60%	3.54%	3.01%	2.71%	2.07%	3.55%	3.14%	3.58%	0.19%	0.13%	2.45%	0.00%	1.99%	1.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	912	23	18	9	21	21	15	16	11	18	14	17	19	25	13	32	24	6	7	13	12	9	14	16	11	18	14	10	12	6	24	21	7	18	19	19	19	28	11	12	24	19	13	30	15	19	4	21	13	29	22	13	14	17	19	11	4	1	0	0	2	0									
		1.85%	2.32%	1.92%	0.89%	2.32%	2.54%	2.22%	2.42%	1.65%	1.29%	1.03%	2.15%	3.30%	2.47%	1.82%	3.06%	2.23%	2.14%	0.95%	2.03%	1.70%	2.49%	2.15%	1.97%	1.33%	2.07%	1.88%	1.07%	1.06%	0.63%	2.39%	1.76%	1.26%	2.67%	2.75%	3.01%	1.92%	2.22%	2.33%	2.19%	2.04%	2.46%	1.17%	2.94%	2.04%	2.41%	0.46%	2.62%	1.98%	4.46%	2.65%	1.21%	1.00%	1.63%	1.99%	3.03%	0.37%	0.13%	0.00%	0.00%	1.32%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23603	390	515	567	313	291	227	266	238	970	798	304	208	421	308	392	411	107	294	296	308	170	266	349	464	391	326	447	472	489	460	486	211	253	251	226	411	569	221	245	529	358	633	457	314	283	446	296	302	246	400	543	968	482	412	148	985	729	314	234	104	89									
		47.93%	39.27%	54.85%	56.31%	34.51%	35.23%	33.53%	40.18%	35.63%	69.53%	58.63%	38.43%	36.11%	41.56%	43.08%	37.51%	38.13%	38.21%	39.73%	46.25%	43.63%	46.96%	40.86%	42.93%	56.04%	44.89%	43.70%	47.81%	41.84%	50.99%	45.73%	40.77%	37.88%	37.59%	36.38%	35.82%	41.47%	45.16%	46.72%	44.71%	44.94%	46.43%	56.87%	44.80%	42.72%	35.82%	50.74%	36.86%	46.11%	37.85%	48.19%	50.70%	69.19%	46.26%	43.14%	40.77%	92.31%	93.10%	96.02%	97.50%	68.87%	97.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	416	9	11	6	8	9	11	12	15	8	15	12	13	10	12	12	8	3	5	5	4	4	4	5	1	5	7	3	14	5	6	12	2	8	6	5	14	19	3	5	12	6	7	8	8	8	2	9	6	2	2	6	5	5	4	2	3	4	0	0	1	0									
		0.84%	0.91%	1.17%	0.60%	0.88%	1.09%	1.62%	1.81%	2.25%	0.57%	1.10%	1.52%	2.26%	0.99%	1.68%	1.15%	0.74%	1.07%	0.68%	0.78%	0.57%	1.10%	0.61%	0.62%	0.12%	0.57%	0.94%	0.32%	1.24%	0.52%	0.60%	1.01%	0.36%	1.19%	0.87%	0.79%	1.41%	1.51%	0.63%	0.91%	1.02%	0.78%	0.63%	0.78%	1.09%	1.01%	0.23%	1.12%	0.92%	0.31%	0.24%	0.56%	0.36%	0.48%	0.42%	0.55%	0.28%	0.51%	0.00%	0.00%	0.66%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	54	1	1	0	0	1	0	0	3	0	2	1	0	3	1	2	0	0	1	2	2	1	3	2	0	1	1	0	0	0	2	1	1	2	4	0	2	1	1	1	0	1	0	1	0	0	1	1	1	0	2	0	2	1	1	0	0	0	0	0	0	0									
		0.11%	0.10%	0.11%	0.00%	0.00%	0.12%	0.00%	0.00%	0.45%	0.00%	0.15%	0.13%	0.00%	0.30%	0.14%	0.19%	0.00%	0.00%	0.14%	0.31%	0.28%	0.28%	0.46%	0.25%	0.00%	0.11%	0.13%	0.00%	0.00%	0.00%	0.20%	0.08%	0.18%	0.30%	0.58%	0.00%	0.20%	0.08%	0.21%	0.18%	0.00%	0.13%	0.00%	0.10%	0.00%	0.00%	0.11%	0.12%	0.15%	0.00%	0.24%	0.00%	0.14%	0.10%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6551	110	83	101	134	108	79	82	92	117	208	97	70	111	103	136	144	54	135	105	126	57	102	163	112	167	141	122	124	93	98	186	112	94	113	111	146	143	50	97	186	150	185	196	120	127	109	119	77	101	154	116	103	122	136	58	16	17	5	3	25	0									
		13.30%	11.08%	8.84%	10.03%	14.77%	13.08%	11.67%	12.39%	13.77%	8.39%	15.28%	12.26%	12.15%	10.96%	14.41%	13.01%	13.36%	19.29%	18.24%	16.41%	17.85%	15.75%	15.67%	20.05%	13.53%	19.17%	18.90%	13.05%	10.99%	9.70%	9.74%	15.60%	20.11%	13.97%	16.38%	17.59%	14.73%	11.35%	10.57%	17.70%	15.80%	19.46%	16.62%	19.22%	16.33%	16.08%	12.40%	14.82%	11.76%	15.54%	18.55%	10.83%	7.36%	11.71%	14.24%	15.98%	1.50%	2.17%	1.53%	1.25%	16.56%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	401	11	6	7	3	6	10	4	7	11	15	16	5	12	2	14	10	1	3	10	6	0	10	5	3	4	11	8	12	6	12	17	1	6	2	3	14	16	9	4	7	6	6	5	7	8	5	6	10	5	7	3	3	10	4	3	3	0	0	0	1	0									
		0.81%	1.11%	0.64%	0.70%	0.33%	0.73%	1.48%	0.60%	1.05%	0.79%	1.10%	2.02%	0.87%	1.18%	0.28%	1.34%	0.93%	0.36%	0.41%	1.56%	0.85%	0.00%	1.54%	0.62%	0.36%	0.46%	1.47%	0.86%	1.06%	0.63%	1.19%	1.43%	0.18%	0.89%	0.29%	0.48%	1.41%	1.27%	1.90%	0.73%	0.59%	0.78%	0.54%	0.49%	0.95%	1.01%	0.57%	0.75%	1.53%	0.77%	0.84%	0.28%	0.21%	0.96%	0.42%	0.83%	0.28%	0.00%	0.00%	0.00%	0.66%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	515	15	11	10	11	11	11	13	10	8	10	19	7	6	7	11	12	2	9	19	14	5	8	3	3	5	9	9	7	6	13	12	11	8	12	12	13	20	5	7	13	11	3	9	10	14	12	17	5	2	6	6	7	6	3	4	2	0	0	0	1	0									
		1.05%	1.51%	1.17%	0.99%	1.21%	1.33%	1.62%	1.96%	1.50%	0.57%	0.73%	2.40%	1.22%	0.59%	0.98%	1.05%	1.11%	0.71%	1.22%	2.97%	1.98%	1.38%	1.23%	0.37%	0.36%	0.57%	1.21%	0.96%	0.62%	0.63%	1.29%	1.01%	1.97%	1.19%	1.74%	1.90%	1.31%	1.59%	1.06%	1.28%	1.10%	1.43%	0.27%	0.88%	1.36%	1.77%	1.37%	2.12%	0.76%	0.31%	0.72%	0.56%	0.50%	0.58%	0.31%	1.10%	0.19%	0.00%	0.00%	0.00%	0.66%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	2	2	3	1	0	2	0	0	0	0	0	4	1	0	2	1	0	3	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.15%	0.07%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.14%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.11%	0.09%	0.21%	0.20%	0.25%	0.18%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.13%	0.00%	0.20%	0.14%	0.00%	0.34%	0.12%	0.00%	0.00%	0.00%	0.09%	0.00%	0.19%	0.10%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1028	25	22	20	29	22	33	17	27	22	15	48	17	33	14	31	19	2	20	10	12	4	4	7	8	7	11	18	30	5	22	30	8	28	25	17	21	34	9	16	31	15	10	25	15	23	17	20	16	9	11	25	15	14	23	9	4	2	0	0	1	1									
		2.09%	2.52%	2.34%	1.99%	3.20%	2.66%	4.87%	2.57%	4.04%	1.58%	1.10%	6.07%	2.95%	3.26%	1.96%	2.97%	1.76%	0.71%	2.70%	1.56%	1.70%	1.10%	0.61%	0.86%	0.97%	0.80%	1.47%	1.93%	2.66%	0.52%	2.19%	2.52%	1.44%	4.16%	3.62%	2.69%	2.12%	2.70%	1.90%	2.92%	2.63%	1.95%	0.90%	2.45%	2.04%	2.91%	1.93%	2.49%	2.44%	1.38%	1.33%	2.33%	1.07%	1.34%	2.41%	2.48%	0.37%	0.26%	0.00%	0.00%	0.66%	1.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8783	215	146	161	231	185	161	125	142	160	145	178	122	196	145	227	262	65	146	103	119	69	135	125	122	165	140	218	224	217	173	235	108	120	123	132	185	231	82	91	214	110	165	156	132	182	165	179	142	144	135	223	154	232	198	72	28	15	0	2	6	0									
		17.84%	21.65%	15.55%	15.99%	25.47%	22.40%	23.78%	18.88%	21.26%	11.47%	10.65%	22.50%	21.18%	19.35%	20.28%	21.72%	24.30%	23.21%	19.73%	16.09%	16.86%	19.06%	20.74%	15.38%	14.73%	18.94%	18.77%	23.32%	19.86%	22.63%	17.20%	19.71%	19.39%	17.83%	17.83%	20.92%	18.67%	18.33%	17.34%	16.61%	18.18%	14.27%	14.82%	15.29%	17.96%	23.04%	18.77%	22.29%	21.68%	22.15%	16.27%	20.82%	11.01%	22.26%	20.73%	19.83%	2.62%	1.92%	0.00%	0.83%	3.97%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	215	6	3	5	10	6	2	3	3	4	3	3	0	7	5	4	11	0	1	1	3	1	2	3	2	3	1	2	6	2	8	12	7	6	4	2	3	6	3	2	4	5	3	5	6	4	3	4	1	2	3	0	5	5	6	3	1	0	0	0	0	0									
		0.44%	0.60%	0.32%	0.50%	1.10%	0.73%	0.30%	0.45%	0.45%	0.29%	0.22%	0.38%	0.00%	0.69%	0.70%	0.38%	1.02%	0.00%	0.14%	0.16%	0.42%	0.28%	0.31%	0.37%	0.24%	0.34%	0.13%	0.21%	0.53%	0.21%	0.80%	1.01%	1.26%	0.89%	0.58%	0.32%	0.30%	0.48%	0.63%	0.36%	0.34%	0.65%	0.27%	0.49%	0.82%	0.51%	0.34%	0.50%	0.15%	0.31%	0.36%	0.00%	0.36%	0.48%	0.63%	0.83%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3854	116	76	87	78	107	79	74	73	24	61	51	73	107	47	102	102	22	58	36	37	19	61	73	68	44	31	61	159	96	123	117	55	76	76	57	95	132	54	24	74	35	54	51	61	76	74	67	57	63	42	81	78	73	87	29	13	6	0	1	1	0									
		7.83%	11.68%	8.09%	8.64%	8.60%	12.95%	11.67%	11.18%	10.93%	1.72%	4.48%	6.45%	12.67%	10.56%	6.57%	9.76%	9.46%	7.86%	7.84%	5.63%	5.24%	5.25%	9.37%	8.98%	8.21%	5.05%	4.16%	6.52%	14.10%	10.01%	12.23%	9.82%	9.87%	11.29%	11.01%	9.03%	9.59%	10.48%	11.42%	4.38%	6.29%	4.54%	4.85%	5.00%	8.30%	9.62%	8.42%	8.34%	8.70%	9.69%	5.06%	7.56%	5.58%	7.01%	9.11%	7.99%	1.22%	0.77%	0.00%	0.42%	0.66%	0.00%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
