Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Белорецкая городская																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659					
11	Число полученных открепительных  удостоверений	864	20	25	40	40	20	15	20	15	15	15	10	15	40	20	15	20	20	20	15	13	14	15	15	15	12	30	10	30	10	10	10	10	24	20	5	5	8	5	5	5	5	2	2	2	5	5	2	8	5	8	2	5	8	5	2	3	3	3	3	1	3	5	3	2	2	2	3	1	5	3	2	2	2	5	3	5	3	4	1	2	2	10	2	10	2	2	1	2	5	10	3	3	2	2					
12	Число выданных открепительных удостоверений	333	20	10	11	19	8	10	8	10	8	5	8	6	17	6	4	2	4	12	3	1	4	15	5	10	4	6	7	2	4	3	1	3	18	3	1	0	5	1	1	3	0	0	2	1	1	2	0	0	1	1	1	0	4	1	0	0	0	1	2	0	3	2	2	0	0	1	3	0	1	0	0	0	0	0	0	1	1	3	0	0	0	10	0	4	0	0	0	0	0	10	3	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	372	0	35	13	7	1	3	2	5	2	4	6	2	0	4	4	2	3	10	6	6	4	8	6	3	5	5	4	7	3	2	1	1	2	3	3	1	2	3	3	0	2	3	1	2	3	2	1	9	3	5	1	3	0	13	1	56	0	3	0	1	1	16	2	1	1	2	5	1	6	3	0	0	0	3	2	3	1	2	0	1	5	10	4	0	0	2	1	0	0	2	3	2	2	1					
14	Число неиспользованных открепительных удостоверений	531	0	15	29	21	12	5	12	5	7	10	2	9	23	14	11	18	16	8	12	12	10	0	10	5	8	24	3	28	6	7	9	7	6	17	4	5	3	4	4	2	5	2	0	1	4	3	2	8	4	7	1	5	4	4	2	3	3	2	1	1	0	3	1	2	2	1	0	1	4	3	2	2	2	5	3	4	2	1	1	2	2	0	2	6	2	2	1	2	5	0	0	0	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	80	4	3	2	0	4	2	2	0	2	0	2	1	2	2	0	2	2	1	1	1	5	1	0	1	4	4	1	2	1	2	1	2	1	1	2	0	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	27	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																					
18	. Глазьев Сергей Юрьевич	1034	30	26	17	12	45	10	30	17	25	32	31	20	30	28	27	45	29	16	17	35	26	36	16	17	23	17	14	11	8	12	9	15	21	30	13	2	13	11	4	4	12	5	1	5	3	5	1	10	7	10	8	15	16	10	1	1	3	2	7	3	2	2	1	0	0	1	6	1	0	1	0	0	0	4	7	2	2	2	2	1	4	15	0	5	3	0	1	0	9	4	3	2	5	0					
		1.51%	1.77%	1.72%	0.96%	1.10%	3.22%	0.59%	2.93%	1.08%	2.85%	2.36%	3.12%	1.58%	2.82%	1.86%	1.79%	4.42%	2.44%	1.80%	1.06%	2.88%	1.44%	2.07%	1.08%	1.11%	1.48%	1.22%	0.94%	0.65%	1.02%	1.48%	1.29%	1.56%	1.42%	1.91%	1.58%	0.22%	2.81%	1.85%	0.67%	0.87%	2.26%	1.60%	0.57%	2.29%	0.46%	0.73%	1.09%	1.25%	1.22%	1.33%	2.80%	2.11%	1.47%	1.30%	0.62%	0.34%	1.33%	0.66%	4.46%	4.29%	0.50%	0.54%	0.60%	0.00%	0.00%	0.81%	0.98%	1.15%	0.00%	0.36%	0.00%	0.00%	0.00%	0.90%	1.86%	0.24%	1.05%	2.67%	2.08%	0.75%	1.70%	1.25%	0.00%	1.09%	3.53%	0.00%	1.05%	0.00%	1.06%	1.26%	0.83%	0.46%	1.96%	0.00%					
19	. Малышкин Олег Александрович	696	14	19	18	9	14	10	17	6	9	10	15	15	12	15	8	16	15	13	10	13	11	12	12	11	17	12	19	10	10	11	8	6	12	33	12	2	2	11	2	3	6	0	5	0	16	8	1	13	10	12	6	34	13	0	0	6	0	3	4	1	4	0	0	0	0	0	7	0	0	0	0	2	0	5	4	12	1	2	0	1	2	6	0	5	1	1	1	2	10	4	6	3	4	1					
		1.02%	0.83%	1.25%	1.02%	0.82%	1.00%	0.59%	1.66%	0.38%	1.03%	0.74%	1.51%	1.18%	1.13%	0.99%	0.53%	1.57%	1.26%	1.46%	0.63%	1.07%	0.61%	0.69%	0.81%	0.72%	1.09%	0.86%	1.28%	0.59%	1.28%	1.35%	1.15%	0.63%	0.81%	2.10%	1.46%	0.22%	0.43%	1.85%	0.33%	0.65%	1.13%	0.00%	2.86%	0.00%	2.45%	1.17%	1.09%	1.62%	1.74%	1.60%	2.10%	4.78%	1.19%	0.00%	0.00%	2.05%	0.00%	0.99%	2.55%	1.43%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	1.36%	0.00%	1.13%	1.06%	1.46%	0.53%	2.67%	0.00%	0.75%	0.85%	0.50%	0.00%	1.09%	1.18%	1.09%	1.05%	0.97%	1.18%	1.26%	1.65%	0.69%	1.57%	0.56%					
20	. Миронов Сергей Михайлович	283	5	13	9	3	6	2	5	3	2	2	4	4	3	3	3	3	4	9	1	2	4	3	2	4	0	3	9	4	0	1	3	4	17	14	0	1	0	1	2	7	5	5	1	3	14	7	3	7	2	3	2	3	8	3	0	2	2	0	0	0	3	3	1	0	0	6	10	2	1	0	0	0	0	3	0	1	2	1	0	0	0	4	1	3	0	0	2	0	4	1	0	0	0	0					
		0.41%	0.30%	0.86%	0.51%	0.27%	0.43%	0.12%	0.49%	0.19%	0.23%	0.15%	0.40%	0.32%	0.28%	0.20%	0.20%	0.29%	0.34%	1.01%	0.06%	0.16%	0.22%	0.17%	0.13%	0.26%	0.00%	0.22%	0.60%	0.24%	0.00%	0.12%	0.43%	0.42%	1.15%	0.89%	0.00%	0.11%	0.00%	0.17%	0.33%	1.52%	0.94%	1.60%	0.57%	1.38%	2.14%	1.03%	3.26%	0.88%	0.35%	0.40%	0.70%	0.42%	0.73%	0.39%	0.00%	0.68%	0.89%	0.00%	0.00%	0.00%	0.74%	0.82%	0.60%	0.00%	0.00%	4.88%	1.63%	2.30%	0.19%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.12%	1.05%	1.33%	0.00%	0.00%	0.00%	0.33%	0.56%	0.65%	0.00%	0.00%	2.11%	0.00%	0.47%	0.31%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	59756	1558	1304	1592	939	1181	1525	842	1431	711	1141	789	1097	960	1341	1357	788	966	741	1460	1082	1659	1568	1328	1377	1406	1243	1345	1546	706	739	622	837	1284	1343	729	861	398	480	508	415	441	259	128	183	574	594	75	658	488	639	240	555	909	693	138	250	198	254	135	56	349	332	151	119	108	105	523	79	466	271	135	133	186	399	309	723	145	57	89	125	221	1029	155	411	76	80	85	182	720	254	316	374	227	156					
		87.48%	92.13%	86.07%	89.99%	85.99%	84.48%	90.02%	82.15%	91.26%	81.16%	84.14%	79.30%	86.58%	90.23%	88.87%	90.05%	77.33%	81.31%	83.35%	91.31%	88.98%	91.66%	90.37%	89.25%	89.71%	90.30%	89.49%	90.27%	91.91%	90.28%	91.01%	89.50%	87.28%	86.58%	85.65%	88.69%	93.08%	85.96%	80.54%	84.53%	90.22%	82.89%	83.01%	73.14%	83.94%	87.90%	87.22%	81.52%	82.25%	84.87%	84.97%	83.92%	77.95%	83.32%	90.00%	86.25%	85.32%	88.00%	83.55%	85.99%	80.00%	86.60%	90.22%	90.96%	95.97%	94.74%	85.37%	85.46%	90.80%	89.27%	96.44%	96.43%	90.48%	96.37%	90.27%	82.18%	87.96%	76.32%	76.00%	92.71%	93.28%	94.04%	85.96%	86.59%	89.54%	89.41%	86.96%	89.47%	88.35%	85.11%	79.87%	87.05%	85.78%	89.02%	88.14%					
22	. Хакамада Ирина Муцуовна	940	23	28	28	23	22	40	21	19	12	30	21	15	17	28	17	20	28	17	21	14	8	17	31	26	9	6	26	11	8	10	1	8	17	23	6	1	13	14	5	3	2	12	4	0	4	10	0	11	3	1	8	3	9	17	0	10	5	8	1	3	9	4	2	0	1	0	3	1	9	1	2	2	0	4	10	7	8	1	1	0	2	21	5	4	1	0	1	5	14	4	2	5	10	3					
		1.38%	1.36%	1.85%	1.58%	2.11%	1.57%	2.36%	2.05%	1.21%	1.37%	2.21%	2.11%	1.18%	1.60%	1.86%	1.13%	1.96%	2.36%	1.91%	1.31%	1.15%	0.44%	0.98%	2.08%	1.69%	0.58%	0.43%	1.74%	0.65%	1.02%	1.23%	0.14%	0.83%	1.15%	1.47%	0.73%	0.11%	2.81%	2.35%	0.83%	0.65%	0.38%	3.85%	2.29%	0.00%	0.61%	1.47%	0.00%	1.38%	0.52%	0.13%	2.80%	0.42%	0.82%	2.21%	0.00%	3.41%	2.22%	2.63%	0.64%	4.29%	2.23%	1.09%	1.20%	0.00%	0.88%	0.00%	0.49%	1.15%	1.72%	0.36%	1.43%	1.36%	0.00%	0.90%	2.66%	0.85%	4.21%	1.33%	1.04%	0.00%	0.85%	1.75%	2.79%	0.87%	1.18%	0.00%	1.05%	2.43%	1.65%	1.26%	0.55%	1.15%	3.92%	1.69%					
23	. Харитонов Николай Михайлович	4490	39	73	84	89	99	97	94	90	97	103	111	96	27	79	80	128	119	63	85	52	86	76	76	96	80	98	51	83	50	31	39	76	79	114	32	5	32	69	72	21	56	15	33	24	33	48	12	84	54	79	12	69	122	30	11	21	10	35	8	5	36	23	8	3	3	11	51	1	26	6	0	8	6	22	40	66	25	11	4	6	5	109	16	21	3	7	2	16	83	46	22	50	7	15					
		6.57%	2.31%	4.82%	4.75%	8.15%	7.08%	5.73%	9.17%	5.74%	11.07%	7.60%	11.16%	7.58%	2.54%	5.24%	5.31%	12.56%	10.02%	7.09%	5.32%	4.28%	4.75%	4.38%	5.11%	6.25%	5.14%	7.06%	3.42%	4.93%	6.39%	3.82%	5.61%	7.92%	5.33%	7.27%	3.89%	0.54%	6.91%	11.58%	11.98%	4.57%	10.53%	4.81%	18.86%	11.01%	5.05%	7.05%	13.04%	10.50%	9.39%	10.51%	4.20%	9.69%	11.18%	3.90%	6.88%	7.17%	4.44%	11.51%	5.10%	7.14%	8.93%	6.25%	4.82%	2.42%	2.63%	8.94%	8.33%	1.15%	4.98%	2.14%	0.00%	5.44%	3.11%	4.98%	10.64%	8.03%	13.16%	14.67%	4.17%	4.48%	2.13%	9.11%	8.94%	4.58%	3.53%	7.61%	2.11%	7.77%	9.81%	14.47%	6.06%	11.47%	2.75%	8.47%					
																																																																																																					
24	Против всех	548	9	30	14	10	18	5	10	2	10	26	16	12	14	12	9	8	20	18	0	8	11	21	13	3	11	0	18	7	0	3	4	6	27	7	5	8	3	6	6	2	2	8	3	1	1	1	0	14	4	4	2	27	6	5	0	3	1	2	2	2	0	4	0	0	2	0	4	0	3	2	3	1	0	3	2	4	1	1	0	1	1	5	1	3	0	0	1	0	0	2	4	0	0	0					
		0.80%	0.53%	1.98%	0.79%	0.92%	1.29%	0.30%	0.98%	0.13%	1.14%	1.92%	1.61%	0.95%	1.32%	0.80%	0.60%	0.79%	1.68%	2.02%	0.00%	0.66%	0.61%	1.21%	0.87%	0.20%	0.71%	0.00%	1.21%	0.42%	0.00%	0.37%	0.58%	0.63%	1.82%	0.45%	0.61%	0.86%	0.65%	1.01%	1.00%	0.43%	0.38%	2.56%	1.71%	0.46%	0.15%	0.15%	0.00%	1.75%	0.70%	0.53%	0.70%	3.79%	0.55%	0.65%	0.00%	1.02%	0.44%	0.66%	1.27%	2.86%	0.00%	1.09%	0.00%	0.00%	1.75%	0.00%	0.65%	0.00%	0.57%	0.71%	2.14%	0.68%	0.00%	0.68%	0.53%	0.49%	0.53%	1.33%	0.00%	0.75%	0.43%	0.42%	0.56%	0.65%	0.00%	0.00%	1.05%	0.00%	0.00%	0.63%	1.10%	0.00%	0.00%	0.00%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
