Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																																	
																																																																																																																																	
Наименование Избирательной комиссии:    Якутская городская																																																																																																																																	
																																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																	
																																																																																																																																	
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2408	20	20	20	20	20	20	23	20	37	20	20	20	20	20	20	25	25	10	15	25	50	30	20	23	25	20	30	20	20	20	15	20	30	20	30	20	25	30	20	10	10	20	20	10	20	20	30	10	20	20	25	20	25	20	25	21	20	20	10	35	20	20	40	20	30	20	30	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	30	10	10	20	30	20	30	28	30	20	10	10	10	20	20	20	10	25	20	25	15	10	20	15	10	20	15	10	22	10	11	13	20	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1503	20	13	7	10	15	17	23	14	36	14	17	8	20	10	15	19	20	7	15	23	35	29	14	21	23	18	17	8	19	20	14	15	14	18	23	10	20	9	12	2	7	13	16	7	7	7	27	10	16	17	18	9	24	15	16	21	8	9	4	32	3	8	8	8	4	11	18	7	9	3	6	10	20	8	6	7	9	16	13	10	8	6	14	23	3	3	7	15	6	16	22	28	13	3	1	3	9	15	12	2	20	10	18	10	2	5	10	3	8	12	6	14	9	11	9	6	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2802	16	14	48	19	20	33	15	15	12	24	16	18	32	9	18	15	32	87	33	8	44	47	12	44	16	28	19	79	35	31	2	31	46	59	14	19	29	14	12	201	14	13	69	8	11	25	33	9	145	32	11	23	30	20	36	22	25	14	26	19	8	6	11	15	7	14	16	12	17	11	5	6	14	29	6	7	18	6	13	5	5	10	4	21	4	4	1	33	12	17	17	20	22	49	49	96	18	23	8	20	43	21	19	17	6	8	8	11	18	17	17	9	13	2	17	8	25	33									
14	Число погашенных неиспользованных открепительных удостоверений	905	0	7	13	10	5	3	0	6	1	6	3	12	0	10	5	6	5	3	0	2	15	1	6	2	2	2	13	12	1	0	1	5	16	2	7	10	5	21	8	8	3	7	4	3	13	13	3	0	4	3	7	11	1	5	9	0	12	11	6	3	17	12	32	12	26	9	12	13	11	17	14	10	10	12	14	13	11	4	7	10	12	14	6	7	7	7	13	15	14	14	6	2	7	7	9	7	11	5	8	8	5	10	7	5	8	15	5	7	12	3	4	8	1	0	4	14	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	257	2	4	0	1	2	8	1	3	1	4	0	5	2	3	2	1	3	0	2	1	9	10	1	6	3	9	4	2	4	7	0	0	8	1	2	1	0	0	3	0	1	3	8	3	1	0	5	3	3	3	4	3	3	5	0	2	5	2	4	3	2	2	3	0	1	2	2	0	4	0	0	0	2	1	2	2	1	0	3	0	2	1	1	1	0	0	1	3	0	1	5	2	2	1	0	0	1	3	2	2	6	2	0	1	0	1	0	0	0	5	0	4	0	0	2	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1402	19	14	11	9	15	14	12	12	16	15	7	8	7	12	11	14	18	8	13	23	14	22	4	14	19	5	17	5	19	8	10	7	16	13	12	16	18	6	14	11	8	15	22	4	8	3	8	7	13	7	19	17	13	20	22	55	35	18	13	34	5	14	33	4	10	10	26	14	14	5	5	7	7	9	9	13	17	6	2	5	10	12	9	6	10	1	9	10	9	15	11	13	16	5	7	11	10	11	14	3	16	15	3	12	2	9	10	7	3	19	3	16	5	2	8	9	5	2									
		1.93%	2.69%	2.58%	1.25%	2.41%	3.36%	1.90%	1.54%	1.79%	2.36%	2.24%	1.11%	1.44%	0.97%	2.42%	1.47%	1.89%	1.99%	0.84%	1.87%	2.47%	1.27%	1.85%	1.47%	1.45%	2.59%	0.55%	2.34%	1.33%	1.81%	0.95%	1.91%	1.18%	1.65%	1.37%	1.45%	2.26%	2.70%	1.08%	2.34%	1.05%	1.78%	3.28%	2.42%	1.83%	1.66%	0.65%	0.84%	1.83%	1.30%	1.44%	2.67%	3.34%	1.43%	2.66%	2.81%	6.00%	3.48%	2.83%	2.73%	3.86%	1.61%	3.89%	5.47%	1.63%	2.28%	2.50%	3.16%	2.46%	2.68%	3.45%	3.36%	1.35%	0.74%	1.52%	2.07%	2.81%	2.54%	1.28%	0.38%	0.90%	2.14%	1.79%	1.32%	0.69%	3.45%	1.04%	2.29%	1.23%	1.78%	2.31%	1.05%	1.90%	1.91%	1.20%	1.32%	1.00%	2.23%	2.02%	2.24%	1.14%	1.40%	2.66%	0.44%	2.12%	2.47%	3.40%	3.25%	2.02%	0.91%	3.26%	1.13%	2.31%	1.80%	0.74%	1.48%	3.21%	0.95%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2219	26	17	23	16	15	28	37	14	17	27	20	13	22	18	26	18	24	16	23	30	28	38	7	32	36	32	26	17	33	35	15	10	21	29	22	17	16	29	19	21	12	11	25	9	16	9	39	10	29	10	23	14	36	23	18	30	28	14	13	15	5	8	20	6	16	13	20	15	17	7	2	11	43	20	11	15	19	11	18	16	21	19	18	34	13	4	11	20	18	20	35	26	20	12	6	18	13	15	34	7	33	26	22	11	4	9	5	10	11	16	10	23	23	11	17	6	16	12									
		3.06%	3.68%	3.14%	2.61%	4.29%	3.36%	3.81%	4.74%	2.09%	2.50%	4.02%	3.18%	2.34%	3.05%	3.64%	3.47%	2.43%	2.65%	1.67%	3.31%	3.22%	2.54%	3.20%	2.56%	3.32%	4.90%	3.53%	3.58%	4.52%	3.15%	4.18%	2.86%	1.68%	2.17%	3.06%	2.65%	2.40%	2.40%	5.21%	3.18%	2.00%	2.67%	2.41%	2.75%	4.13%	3.31%	1.94%	4.08%	2.62%	2.89%	2.05%	3.23%	2.75%	3.96%	3.06%	2.30%	3.28%	2.78%	2.20%	2.73%	1.70%	1.61%	2.22%	3.32%	2.45%	3.64%	3.25%	2.43%	2.63%	3.25%	4.83%	1.34%	2.12%	4.57%	3.37%	2.53%	3.25%	2.84%	2.34%	3.43%	2.88%	4.49%	2.83%	2.64%	3.93%	4.48%	4.17%	2.80%	2.47%	3.56%	3.08%	3.35%	3.80%	2.39%	2.87%	1.13%	1.64%	2.90%	2.76%	5.44%	2.66%	2.88%	4.61%	3.23%	1.94%	4.94%	3.40%	1.62%	2.89%	3.32%	2.75%	3.76%	3.32%	8.27%	4.09%	3.15%	2.14%	3.05%	3.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2010	16	9	15	11	18	28	23	29	25	22	31	18	16	19	34	19	23	10	16	30	37	26	7	24	25	30	31	15	34	15	16	18	32	24	23	24	28	19	23	24	11	15	23	3	7	16	28	8	16	15	22	20	35	24	26	26	40	15	11	21	9	11	19	4	5	11	23	20	6	1	0	14	21	24	12	16	14	11	13	12	13	16	12	14	11	0	11	18	20	13	33	16	29	14	0	11	13	10	24	4	17	15	14	16	2	12	7	9	13	18	7	15	11	8	20	5	18	6									
		2.77%	2.27%	1.66%	1.70%	2.95%	4.03%	3.81%	2.94%	4.32%	3.68%	3.28%	4.94%	3.24%	2.22%	3.84%	4.53%	2.56%	2.54%	1.05%	2.31%	3.22%	3.36%	2.19%	2.56%	2.49%	3.40%	3.31%	4.26%	3.99%	3.24%	1.79%	3.05%	3.03%	3.31%	2.53%	2.77%	3.39%	4.20%	3.41%	3.85%	2.29%	2.45%	3.28%	2.53%	1.38%	1.45%	3.44%	2.93%	2.09%	1.60%	3.08%	3.09%	3.93%	3.85%	3.19%	3.32%	2.84%	3.98%	2.36%	2.31%	2.38%	2.90%	3.06%	3.15%	1.63%	1.14%	2.75%	2.80%	3.51%	1.15%	0.69%	0.00%	2.69%	2.23%	4.05%	2.76%	3.46%	2.09%	2.34%	2.48%	2.16%	2.78%	2.38%	1.76%	1.62%	3.79%	0.00%	2.80%	2.22%	3.95%	2.00%	3.15%	2.34%	3.47%	3.35%	0.00%	1.00%	2.90%	1.84%	3.84%	1.52%	1.49%	2.66%	2.06%	2.83%	2.47%	4.53%	2.27%	2.60%	3.93%	3.09%	2.63%	2.16%	3.96%	2.97%	3.71%	1.79%	3.44%	1.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28269	299	172	519	134	167	277	270	249	218	242	206	201	298	175	271	279	296	559	245	328	397	444	99	356	248	323	247	123	379	333	192	291	360	393	305	245	235	176	222	551	169	171	343	86	188	179	378	137	454	191	267	179	297	246	298	310	348	255	155	343	132	143	223	124	167	132	281	220	181	45	87	285	371	278	143	157	216	196	185	243	190	305	330	443	146	61	150	322	183	262	386	227	312	179	327	627	154	203	223	97	480	201	256	217	33	91	110	132	131	186	103	212	79	106	207	117	196	158									
		38.93%	42.35%	31.73%	58.91%	35.92%	37.36%	37.69%	34.57%	37.11%	32.11%	36.07%	32.80%	36.15%	41.27%	35.35%	36.13%	37.65%	32.67%	58.47%	35.30%	35.19%	36.06%	37.41%	36.26%	36.97%	33.74%	35.65%	33.98%	32.71%	36.16%	39.74%	36.64%	48.99%	37.23%	41.41%	36.75%	34.60%	35.29%	31.60%	37.12%	52.53%	37.64%	37.42%	37.69%	39.45%	38.92%	38.49%	39.54%	35.86%	45.31%	39.22%	37.55%	35.17%	32.64%	32.71%	38.06%	33.84%	34.59%	40.16%	32.56%	38.93%	42.58%	39.72%	36.98%	50.61%	38.04%	33.00%	34.18%	38.60%	34.61%	31.03%	58.39%	54.81%	39.47%	46.88%	32.87%	33.98%	32.29%	41.70%	35.24%	43.71%	40.60%	45.39%	48.39%	51.15%	50.34%	63.54%	38.17%	39.70%	36.17%	40.31%	36.90%	33.14%	37.32%	42.82%	61.70%	57.00%	34.30%	37.32%	35.68%	36.88%	41.96%	35.64%	37.59%	38.34%	40.74%	34.34%	35.71%	38.15%	39.58%	31.96%	38.72%	30.59%	28.42%	39.41%	38.40%	41.79%	37.40%	42.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1157	8	7	6	9	9	12	14	18	13	11	7	5	5	6	9	8	24	13	20	22	22	33	5	18	10	25	7	8	26	14	28	7	18	14	10	11	13	11	11	11	6	9	15	3	2	11	15	3	16	13	14	7	18	10	15	12	12	9	5	22	3	3	2	6	8	8	16	7	4	0	0	3	4	6	5	5	8	2	11	4	3	5	1	7	3	0	2	5	9	11	25	22	19	7	6	17	11	10	11	0	33	16	8	10	1	3	8	0	3	7	7	6	1	1	6	3	13	7									
		1.59%	1.13%	1.29%	0.68%	2.41%	2.01%	1.63%	1.79%	2.68%	1.91%	1.64%	1.11%	0.90%	0.69%	1.21%	1.20%	1.08%	2.65%	1.36%	2.88%	2.36%	1.99%	2.78%	1.83%	1.87%	1.36%	2.76%	0.96%	2.13%	2.48%	1.67%	5.34%	1.18%	1.86%	1.48%	1.20%	1.55%	1.95%	1.97%	1.84%	1.05%	1.34%	1.97%	1.65%	1.38%	0.41%	2.37%	1.57%	0.79%	1.60%	2.67%	1.97%	1.38%	1.98%	1.33%	1.92%	1.31%	1.19%	1.42%	1.05%	2.50%	0.97%	0.83%	0.33%	2.45%	1.82%	2.00%	1.95%	1.23%	0.76%	0.00%	0.00%	0.58%	0.43%	1.01%	1.15%	1.08%	1.20%	0.43%	2.10%	0.72%	0.64%	0.74%	0.15%	0.81%	1.03%	0.00%	0.51%	0.62%	1.78%	1.69%	2.39%	3.21%	2.27%	1.67%	1.13%	1.55%	2.45%	1.84%	1.76%	0.00%	2.88%	2.84%	1.17%	1.77%	1.23%	1.13%	2.60%	0.00%	0.91%	1.20%	2.63%	0.87%	0.36%	0.37%	1.11%	1.07%	2.48%	1.88%									
24	"6. Политическая партия ""Гражданская Платформа"""	1118	8	12	12	9	13	12	9	10	12	11	12	8	16	10	18	13	21	5	13	16	19	19	3	17	15	16	14	8	10	19	2	3	14	23	12	17	14	6	6	8	5	5	20	6	8	3	24	2	18	7	18	6	16	13	14	14	13	8	10	18	2	5	4	1	6	1	18	5	7	0	0	3	18	8	4	9	10	1	10	8	8	5	0	10	2	0	4	14	6	13	20	12	17	9	1	9	10	17	11	10	25	10	10	5	2	2	3	3	4	11	3	9	1	0	4	3	8	4									
		1.54%	1.13%	2.21%	1.36%	2.41%	2.91%	1.63%	1.15%	1.49%	1.77%	1.64%	1.91%	1.44%	2.22%	2.02%	2.40%	1.75%	2.32%	0.52%	1.87%	1.72%	1.73%	1.60%	1.10%	1.77%	2.04%	1.77%	1.93%	2.13%	0.95%	2.27%	0.38%	0.51%	1.45%	2.42%	1.45%	2.40%	2.10%	1.08%	1.00%	0.76%	1.11%	1.09%	2.20%	2.75%	1.66%	0.65%	2.51%	0.52%	1.80%	1.44%	2.53%	1.18%	1.76%	1.73%	1.79%	1.53%	1.29%	1.26%	2.10%	2.04%	0.65%	1.39%	0.66%	0.41%	1.37%	0.25%	2.19%	0.88%	1.34%	0.00%	0.00%	0.58%	1.91%	1.35%	0.92%	1.95%	1.49%	0.21%	1.90%	1.44%	1.71%	0.74%	0.00%	1.15%	0.69%	0.00%	1.02%	1.73%	1.19%	2.00%	1.91%	1.75%	2.03%	2.15%	0.19%	0.82%	2.23%	3.13%	1.76%	3.80%	2.19%	1.77%	1.47%	0.88%	2.47%	0.75%	0.97%	0.87%	1.21%	1.89%	1.13%	1.30%	0.36%	0.00%	0.74%	1.07%	1.53%	1.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6776	81	60	21	37	40	48	62	79	73	55	47	75	46	34	70	51	44	10	21	66	68	50	24	71	49	44	66	31	76	79	48	32	79	45	66	68	57	38	50	52	57	48	76	35	49	52	72	78	81	45	72	62	65	92	108	116	103	92	72	109	50	47	120	21	55	85	144	86	83	38	20	93	33	37	63	85	122	85	46	90	93	135	153	51	25	4	63	96	45	49	71	18	59	39	7	40	48	37	28	33	43	63	25	76	3	50	52	34	33	49	23	45	35	39	55	15	17	25									
		9.33%	11.47%	11.07%	2.38%	9.92%	8.95%	6.53%	7.94%	11.77%	10.75%	8.20%	7.48%	13.49%	6.37%	6.87%	9.33%	6.88%	4.86%	1.05%	3.03%	7.08%	6.18%	4.21%	8.79%	7.37%	6.67%	4.86%	9.08%	8.24%	7.25%	9.43%	9.16%	5.39%	8.17%	4.74%	7.95%	9.60%	8.56%	6.82%	8.36%	4.96%	12.69%	10.50%	8.35%	16.06%	10.14%	11.18%	7.53%	20.42%	8.08%	9.24%	10.13%	12.18%	7.14%	12.23%	13.79%	12.66%	10.24%	14.49%	15.13%	12.37%	16.13%	13.06%	19.90%	8.57%	12.53%	21.25%	17.52%	15.09%	15.87%	26.21%	13.42%	17.88%	3.51%	6.24%	14.48%	18.40%	18.24%	18.09%	8.76%	16.19%	19.87%	20.09%	22.43%	5.89%	8.62%	4.17%	16.03%	11.84%	8.89%	7.54%	6.79%	2.63%	7.06%	9.33%	1.32%	3.64%	10.69%	6.80%	4.48%	12.55%	3.76%	11.17%	3.67%	13.43%	3.70%	18.87%	16.88%	9.83%	9.97%	8.42%	8.65%	6.49%	12.59%	14.50%	10.20%	5.36%	3.24%	6.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	760	4	2	4	4	3	10	8	4	10	1	9	3	6	7	13	6	10	8	12	12	22	26	2	7	6	10	10	6	9	7	6	4	17	11	11	9	8	2	6	4	10	4	8	2	4	5	2	3	5	2	8	6	10	10	4	10	17	8	7	8	5	7	7	1	4	5	8	11	6	2	0	2	2	5	8	6	8	4	1	3	8	1	2	7	1	0	2	9	8	6	21	12	9	1	3	7	4	6	10	2	18	8	3	8	0	1	3	3	1	13	4	14	2	0	3	8	3	2									
		1.05%	0.57%	0.37%	0.45%	1.07%	0.67%	1.36%	1.02%	0.60%	1.47%	0.15%	1.43%	0.54%	0.83%	1.41%	1.73%	0.81%	1.10%	0.84%	1.73%	1.29%	1.99%	2.19%	0.73%	0.73%	0.82%	1.10%	1.38%	1.60%	0.86%	0.84%	1.15%	0.67%	1.76%	1.16%	1.33%	1.27%	1.20%	0.36%	1.00%	0.38%	2.23%	0.88%	0.88%	0.92%	0.83%	1.08%	0.21%	0.79%	0.50%	0.41%	1.13%	1.18%	1.10%	1.33%	0.51%	1.09%	1.69%	1.26%	1.47%	0.91%	1.61%	1.94%	1.16%	0.41%	0.91%	1.25%	0.97%	1.93%	1.15%	1.38%	0.00%	0.38%	0.21%	0.84%	1.84%	1.30%	1.20%	0.85%	0.19%	0.54%	1.71%	0.15%	0.29%	0.81%	0.34%	0.00%	0.51%	1.11%	1.58%	0.92%	2.01%	1.75%	1.08%	0.24%	0.57%	0.64%	0.89%	1.10%	1.60%	0.76%	1.57%	1.42%	0.44%	1.41%	0.00%	0.38%	0.97%	0.87%	0.30%	2.23%	1.50%	2.02%	0.72%	0.00%	0.56%	2.86%	0.57%	0.54%									
