Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Мамадышская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	583	5	10	5	5	5	5	8	5	5	5	20	5	5	5	20	10	10	20	10	15	10	25	25	25	20	15	25	25	30	10	10	10	10	10	5	10	5	10	5	10	10	5	5	15	10	10	10	5	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	330	2	6	4	3	5	4	7	0	0	3	9	1	2	0	12	8	5	1	7	3	6	21	16	17	17	13	25	14	24	8	9	7	4	4	0	6	3	2	0	9	6	0	0	9	1	5	6	0	3	0	6	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	126	0	4	1	1	3	1	0	3	0	2	4	2	5	0	3	2	1	4	2	1	2	2	3	5	4	3	3	6	4	2	0	2	3	0	0	4	2	5	6	0	3	3	0	2	11	3	0	0	0	1	3	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	253	3	4	1	2	0	1	1	5	5	2	11	4	3	5	8	2	5	19	3	12	4	4	9	8	3	2	0	11	6	2	1	3	6	6	5	4	2	8	5	1	4	5	5	6	9	5	4	5	2	5	4	4	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	1	0	0	0	1	2	0	0	1	0	1	2	0	0	0	3	0	0	1	0	0	0	13	0	0	0	1	1	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	124	0	2	1	1	0	2	0	0	4	3	4	0	0	4	0	2	0	8	0	0	1	6	10	6	6	7	8	5	9	5	0	0	0	0	0	2	1	0	1	0	5	0	0	8	2	1	0	1	0	0	1	7	1									
		0.38%	0.00%	0.41%	0.40%	0.47%	0.00%	0.35%	0.00%	0.00%	3.36%	0.65%	0.47%	0.00%	0.00%	1.19%	0.00%	0.32%	0.00%	0.72%	0.00%	0.00%	0.23%	0.66%	0.58%	0.37%	0.39%	0.51%	0.57%	0.36%	0.65%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.27%	0.00%	0.40%	0.00%	1.44%	0.00%	0.00%	0.52%	0.38%	0.25%	0.00%	0.33%	0.00%	0.00%	0.20%	0.73%	0.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	134	0	3	1	0	0	2	3	0	0	5	0	0	5	0	3	0	0	0	6	0	0	10	3	3	2	5	4	1	3	0	0	3	0	0	0	18	7	0	2	0	10	0	4	11	0	2	4	5	4	1	3	0	1									
		0.41%	0.00%	0.61%	0.40%	0.00%	0.00%	0.35%	0.83%	0.00%	0.00%	1.08%	0.00%	0.00%	0.92%	0.00%	0.32%	0.00%	0.00%	0.00%	1.36%	0.00%	0.00%	1.11%	0.18%	0.19%	0.13%	0.36%	0.28%	0.07%	0.22%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	2.04%	1.88%	0.00%	0.81%	0.00%	2.87%	0.00%	2.34%	0.71%	0.00%	0.49%	1.25%	1.64%	1.36%	0.44%	0.59%	0.00%	0.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	78	0	2	0	0	1	1	2	0	0	0	0	0	5	0	0	1	0	0	4	0	1	5	4	2	0	13	4	2	0	4	0	4	0	0	1	6	1	2	0	0	2	0	0	1	1	1	3	1	1	1	1	0	1									
		0.24%	0.00%	0.41%	0.00%	0.00%	0.30%	0.17%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.16%	0.00%	0.00%	0.90%	0.00%	0.23%	0.55%	0.23%	0.12%	0.00%	0.94%	0.28%	0.14%	0.00%	0.50%	0.00%	0.44%	0.00%	0.00%	0.30%	0.68%	0.27%	0.56%	0.00%	0.00%	0.57%	0.00%	0.00%	0.06%	0.19%	0.25%	0.94%	0.33%	0.34%	0.44%	0.20%	0.00%	0.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31147	279	466	234	199	322	557	334	168	103	430	842	208	490	316	905	595	598	1085	370	437	407	858	1626	1543	1443	1310	1338	1346	1356	763	530	874	233	396	326	773	346	333	233	497	275	85	159	1489	505	381	304	284	263	217	431	918	367									
		94.64%	94.26%	94.72%	92.49%	93.87%	96.99%	96.87%	92.27%	96.00%	86.55%	93.28%	98.02%	93.69%	90.07%	94.33%	96.69%	94.90%	95.68%	97.57%	83.71%	93.98%	95.32%	94.91%	95.09%	96.38%	94.81%	94.86%	94.83%	96.14%	97.41%	95.02%	95.50%	95.94%	97.90%	95.88%	99.09%	87.54%	92.76%	93.80%	94.33%	95.39%	79.02%	93.41%	92.98%	96.19%	94.75%	93.84%	95.00%	93.42%	89.15%	95.18%	84.34%	95.92%	96.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	1	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.45%	0.00%	0.00%	0.44%	0.06%	0.00%	0.00%	0.14%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.39%	0.00%	0.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	3	1	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	1	0	1	0	0	0	0	1	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.06%	0.06%	0.00%	0.14%	0.21%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	1.44%	0.00%	0.00%	0.06%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	299	4	5	5	4	3	5	7	1	3	6	1	5	2	5	6	5	7	4	8	8	5	5	11	9	8	5	11	7	6	9	2	8	2	5	0	14	5	7	5	3	11	3	5	13	15	3	3	6	4	0	6	9	0									
		0.91%	1.35%	1.02%	1.98%	1.89%	0.90%	0.87%	1.93%	0.57%	2.52%	1.30%	0.12%	2.25%	0.37%	1.49%	0.64%	0.80%	1.12%	0.36%	1.81%	1.72%	1.17%	0.55%	0.64%	0.56%	0.53%	0.36%	0.78%	0.50%	0.43%	1.12%	0.36%	0.88%	0.84%	1.21%	0.00%	1.59%	1.34%	1.97%	2.02%	0.58%	3.16%	3.30%	2.92%	0.84%	2.81%	0.74%	0.94%	1.97%	1.36%	0.00%	1.17%	0.94%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	1	0	0	0	2	1	0	1	5	1	0	0	0	2	0	0	0	6	0	0	0	0	0	1	0	1	1	1	0	0	0	0	3	0	0									
		0.11%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.32%	0.48%	0.00%	0.23%	0.00%	0.00%	0.00%	0.12%	0.06%	0.00%	0.07%	0.35%	0.07%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.06%	0.19%	0.25%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.06%	0.00%	0.07%	0.14%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.07%	0.21%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	45	0	1	0	0	0	0	3	0	0	3	0	1	0	0	3	2	0	0	0	2	0	0	4	1	3	4	4	3	1	3	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0									
		0.14%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.65%	0.00%	0.45%	0.00%	0.00%	0.32%	0.32%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.23%	0.06%	0.20%	0.29%	0.28%	0.21%	0.07%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.27%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	600	7	8	8	7	5	3	5	5	9	9	4	4	41	5	8	11	10	7	38	15	8	0	24	20	34	15	12	13	9	11	15	16	3	8	2	41	8	9	5	15	31	2	1	6	6	14	5	4	18	9	5	17	5									
		1.82%	2.36%	1.63%	3.16%	3.30%	1.51%	0.52%	1.38%	2.86%	7.56%	1.95%	0.47%	1.80%	7.54%	1.49%	0.85%	1.75%	1.60%	0.63%	8.60%	3.23%	1.87%	0.00%	1.40%	1.25%	2.23%	1.09%	0.85%	0.93%	0.65%	1.37%	2.70%	1.76%	1.26%	1.94%	0.61%	4.64%	2.14%	2.54%	2.02%	2.88%	8.91%	2.20%	0.58%	0.39%	1.13%	3.45%	1.56%	1.32%	6.10%	3.95%	0.98%	1.78%	1.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.07%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	238	6	3	3	1	1	2	3	1	0	5	5	0	1	5	7	8	7	7	1	3	1	6	22	3	15	14	11	9	8	8	8	4	0	4	0	10	1	1	1	4	7	0	0	13	2	2	0	2	2	0	3	6	2									
		0.72%	2.03%	0.61%	1.19%	0.47%	0.30%	0.35%	0.83%	0.57%	0.00%	1.08%	0.58%	0.00%	0.18%	1.49%	0.75%	1.28%	1.12%	0.63%	0.23%	0.65%	0.23%	0.66%	1.29%	0.19%	0.99%	1.01%	0.78%	0.64%	0.57%	0.99%	1.44%	0.44%	0.00%	0.97%	0.00%	1.13%	0.27%	0.28%	0.40%	0.77%	2.01%	0.00%	0.00%	0.84%	0.38%	0.49%	0.00%	0.66%	0.68%	0.00%	0.59%	0.63%	0.53%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
