7	Число избирательных бюллетеней в переносных ящиках для голосования	5793	58	44	55	55	67	40	26	39	37	40	73	61	73	44	115	12	35	11	42	78	77	80	91	39	33	41	51	58	39	33	69	55	51	34	65	15	43	3	33	28	20	70	34	68	62	67	70	26	85	66	54	65	62	82	53	59	27	142	48	55	33	16	18	47	26	61	43	41	42	39	22	47	61	50	71	84	88	73	74	90	36	37	46	59	28	42	33	42	46	172	34	50	64	48	34	69	26	8	213	47	106	49	38	17	83	62	4	116					
8	Число бюллетеней в стационарных ящиках для голосования	135941	1069	355	856	1102	1055	1319	1124	1123	1308	1472	996	769	2146	1309	1447	1610	1305	352	750	1312	1661	1534	1618	695	1706	1703	1743	1506	1407	1648	1518	1397	387	911	753	145	19	588	1450	1543	1614	1603	1400	1237	1377	1820	1781	1706	1701	1135	1699	1503	1587	930	1476	1090	967	1297	1691	881	1291	1164	954	1441	1089	1398	1720	1003	1574	1229	1982	1435	1349	1480	1623	1916	1481	1842	1627	1358	1760	1313	1076	1664	1643	1527	1553	1446	1794	1723	1733	1543	1779	1661	880	163	797	167	330	212	1148	858	1422	282	444	1548	1313	0					
9	Число недействительных избирательных бюллетеней	2208	13	6	20	12	16	17	25	14	23	22	10	8	20	22	15	17	23	1	15	23	29	22	19	12	29	16	27	19	14	19	23	28	19	12	13	4	1	9	28	37	30	28	29	22	16	17	44	32	30	21	23	36	34	16	28	21	14	33	23	14	25	20	12	26	22	20	33	14	34	26	43	26	28	29	20	28	31	18	30	19	19	12	14	28	24	24	24	20	18	18	18	28	34	31	13	2	9	4	13	2	18	7	26	4	33	28	20	0					
10	Число действительных избирательных бюллетеней	139526	1114	393	891	1145	1106	1342	1125	1148	1322	1490	1059	822	2199	1331	1547	1605	1317	362	777	1367	1709	1592	1690	722	1710	1728	1767	1545	1432	1662	1564	1424	419	933	805	156	61	582	1455	1534	1604	1645	1405	1283	1423	1870	1807	1700	1756	1180	1730	1532	1615	996	1501	1128	980	1406	1716	922	1299	1160	960	1462	1093	1439	1730	1030	1582	1242	1961	1456	1382	1501	1674	1972	1538	1897	1671	1429	1777	1338	1108	1695	1647	1545	1562	1468	1822	1877	1749	1565	1809	1678	901	230	814	171	530	257	1236	900	1434	295	494	1582	1297	116					
11	Число полученных открепительных  удостоверений	2911	30	6	25	25	19	30	25	20	25	35	15	10	30	15	21	25	25	15	15	15	25	20	25	15	25	25	35	25	20	35	25	33	2	15	16	2	0	30	30	45	42	35	40	25	35	50	37	35	45	28	40	25	40	25	36	28	20	26	40	25	30	32	24	40	35	38	36	20	26	30	30	29	34	25	35	40	25	49	35	27	44	27	20	35	35	30	40	32	33	36	30	62	40	35	35	3	15	2	5	3	20	18	30	10	0	40	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2696	30	6	15	19	19	30	14	14	25	28	14	8	25	15	21	25	21	12	9	15	25	17	24	8	25	25	32	19	20	25	23	32	0	8	15	1	0	25	29	40	40	32	38	23	30	45	31	35	44	27	37	24	39	24	34	26	20	26	34	24	30	31	23	40	31	38	34	20	26	24	30	28	30	25	35	39	25	49	34	26	42	27	20	35	35	26	40	31	33	36	26	59	40	35	27	3	14	0	5	3	16	18	30	7	0	39	40	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1907	7	10	7	10	10	11	17	5	15	9	9	5	13	11	29	18	8	18	0	3	12	24	12	7	11	15	17	14	11	5	17	12	4	6	8	3	12	30	24	18	16	27	11	14	19	27	20	13	15	18	37	16	13	16	23	20	9	14	11	25	10	35	17	40	8	30	21	20	20	18	52	52	30	21	34	58	27	23	25	40	24	8	8	25	8	29	23	20	20	16	20	6	38	15	12	9	10	43	21	4	23	10	25	8	8	11	25	16					
14	Число неиспользованных открепительных удостоверений	215	0	0	10	6	0	0	11	6	0	7	1	2	5	0	0	0	4	3	6	0	0	3	1	7	0	0	3	6	0	10	2	1	2	7	1	1	0	5	1	5	2	3	2	2	5	5	6	0	1	1	3	1	1	1	2	2	0	0	6	1	0	1	1	0	4	0	2	0	0	6	0	1	4	0	0	1	0	0	1	1	2	0	0	0	0	4	0	1	0	0	4	3	0	0	8	0	1	2	0	0	4	0	0	3	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	67	1	0	0	0	0	0	0	0	3	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	1	0	2	1	0	1	0	0	1	0	2	2	3	4	1	3	1	1	1	0	1	2	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	8	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																			
18	Богданов Андрей Владимирович	2894	28	6	17	19	18	35	19	17	19	27	18	12	38	22	43	34	32	10	25	26	31	31	33	6	47	41	31	12	29	45	24	30	15	18	12	0	1	5	32	25	36	30	28	29	36	34	36	42	29	38	39	27	53	19	43	20	16	28	32	13	44	28	25	48	18	41	43	24	40	22	47	35	50	33	36	45	7	36	40	24	27	20	16	42	34	36	21	33	34	41	47	40	42	39	15	5	16	1	14	1	18	11	29	7	12	32	13	1					
		2.04%	2.48%	1.50%	1.87%	1.64%	1.60%	2.58%	1.65%	1.46%	1.41%	1.79%	1.68%	1.45%	1.71%	1.63%	2.75%	2.10%	2.39%	2.75%	3.16%	1.87%	1.78%	1.92%	1.93%	0.82%	2.70%	2.35%	1.73%	0.77%	2.01%	2.68%	1.51%	2.07%	3.42%	1.90%	1.47%	0.00%	1.61%	0.85%	2.16%	1.59%	2.20%	1.79%	1.95%	2.22%	2.50%	1.80%	1.94%	2.42%	1.62%	3.16%	2.22%	1.72%	3.21%	1.88%	2.81%	1.74%	1.61%	1.95%	1.84%	1.39%	3.32%	2.37%	2.57%	3.23%	1.61%	2.81%	2.44%	2.30%	2.48%	1.74%	2.35%	2.36%	3.55%	2.16%	2.13%	2.25%	0.45%	1.88%	2.35%	1.66%	1.50%	1.48%	1.43%	2.44%	2.03%	2.29%	1.32%	2.22%	1.85%	2.16%	2.66%	2.51%	2.28%	2.28%	1.64%	2.16%	1.94%	0.57%	2.58%	0.39%	1.44%	1.21%	1.99%	2.34%	2.28%	1.99%	0.99%	0.86%					
19	Жириновский Владимир Вольфович	19082	118	66	160	169	164	197	184	184	225	192	156	110	467	171	198	230	196	69	108	186	236	213	226	105	255	270	280	53	173	240	208	213	68	178	136	30	11	101	177	196	242	181	183	134	202	192	232	237	181	124	189	172	161	129	151	97	116	163	265	105	185	157	128	176	108	154	239	135	233	206	265	169	169	206	212	231	58	195	208	178	219	171	154	213	244	274	273	221	253	260	248	231	273	250	141	35	142	34	72	47	201	144	196	39	247	239	263	11					
		13.46%	10.47%	16.54%	17.56%	14.61%	14.62%	14.50%	16.00%	15.83%	16.73%	12.70%	14.59%	13.25%	21.05%	12.64%	12.68%	14.18%	14.63%	19.01%	13.64%	13.38%	13.58%	13.20%	13.22%	14.31%	14.66%	15.48%	15.61%	3.39%	11.96%	14.28%	13.11%	14.67%	15.53%	18.84%	16.63%	18.75%	17.74%	17.09%	11.94%	12.48%	14.81%	10.82%	12.76%	10.27%	14.04%	10.17%	12.53%	13.68%	10.13%	10.32%	10.78%	10.97%	9.76%	12.75%	9.88%	8.44%	11.67%	11.33%	15.24%	11.22%	13.97%	13.31%	13.17%	11.83%	9.69%	10.56%	13.56%	12.93%	14.42%	16.25%	13.22%	11.40%	11.99%	13.46%	12.51%	11.55%	3.70%	10.18%	12.23%	12.29%	12.19%	12.67%	13.73%	12.36%	14.60%	17.46%	17.21%	14.85%	13.75%	13.72%	14.04%	14.50%	14.81%	14.63%	15.43%	15.09%	17.25%	19.43%	13.26%	18.15%	16.03%	15.88%	13.42%	13.04%	46.87%	14.84%	19.97%	9.48%					
20	Зюганов Геннадий Андреевич	32356	239	86	188	271	285	321	253	283	264	321	284	200	228	318	405	350	266	77	195	373	470	423	441	118	364	349	355	389	369	365	373	278	51	229	203	17	6	65	377	362	338	460	363	361	380	516	512	350	462	284	502	456	473	268	460	332	253	320	450	268	308	250	217	385	242	397	394	266	369	309	472	320	327	389	513	486	371	438	410	346	483	336	256	368	360	257	260	267	294	341	379	320	377	380	164	52	201	47	93	46	278	151	235	66	13	284	193	27					
		22.83%	21.21%	21.55%	20.64%	23.42%	25.40%	23.62%	22.00%	24.35%	19.63%	21.23%	26.57%	24.10%	10.27%	23.50%	25.93%	21.58%	19.85%	21.21%	24.62%	26.83%	27.04%	26.21%	25.80%	16.08%	20.93%	20.01%	19.79%	24.87%	25.52%	21.71%	23.50%	19.15%	11.64%	24.23%	24.82%	10.63%	9.68%	10.99%	25.42%	23.04%	20.69%	27.50%	25.31%	27.66%	26.41%	27.34%	27.66%	20.21%	25.87%	23.65%	28.64%	29.08%	28.68%	26.48%	30.09%	28.89%	25.45%	22.24%	25.88%	28.63%	23.26%	21.19%	22.33%	25.87%	21.70%	27.21%	22.35%	25.48%	22.83%	24.37%	23.55%	21.59%	23.19%	25.42%	30.28%	24.30%	23.65%	22.87%	24.10%	23.90%	26.89%	24.89%	22.82%	21.36%	21.54%	16.38%	16.39%	17.94%	15.98%	17.99%	21.45%	20.09%	20.46%	22.24%	17.94%	22.41%	24.42%	26.86%	17.13%	17.76%	22.17%	16.65%	16.10%	22.07%	2.47%	17.64%	14.65%	23.28%					
21	Медведев Дмитрий Анатольевич	85194	729	235	526	686	639	789	669	664	814	950	601	500	1466	820	901	991	823	206	449	782	972	925	990	493	1044	1068	1101	1091	861	1012	959	903	285	508	454	109	43	411	869	951	988	974	831	759	805	1128	1027	1071	1084	734	1000	877	928	580	847	679	595	895	969	536	762	725	590	853	725	847	1054	605	940	705	1177	932	836	873	913	1210	1102	1228	1013	881	1048	811	682	1072	1009	978	1008	947	1241	1235	1075	974	1117	1009	581	138	455	89	351	163	739	594	974	183	222	1027	828	77					
		60.11%	64.69%	58.90%	57.74%	59.29%	56.95%	58.06%	58.17%	57.14%	60.52%	62.83%	56.22%	60.24%	66.07%	60.61%	57.68%	61.10%	61.42%	56.75%	56.69%	56.26%	55.93%	57.31%	57.93%	67.17%	60.03%	61.24%	61.37%	69.76%	59.54%	60.20%	60.43%	62.19%	65.07%	53.76%	55.50%	68.13%	69.35%	69.54%	58.60%	60.53%	60.47%	58.22%	57.95%	58.16%	55.94%	59.78%	55.48%	61.84%	60.69%	61.12%	57.05%	55.93%	56.28%	57.31%	55.40%	59.09%	59.86%	62.20%	55.72%	57.26%	57.55%	61.44%	60.70%	57.33%	65.02%	58.05%	59.78%	57.95%	58.17%	55.60%	58.73%	62.89%	59.29%	57.06%	53.90%	60.50%	70.24%	64.13%	59.55%	60.84%	58.35%	60.07%	60.78%	62.22%	60.38%	62.33%	63.56%	63.64%	67.45%	65.17%	60.84%	61.14%	60.61%	59.04%	63.57%	59.48%	55.29%	50.86%	64.64%	62.93%	58.93%	65.49%	66.71%	61.20%	42.13%	63.79%	62.87%	66.38%					
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
