Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Черепановская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259									
		0.12%	0.00%	0.00%	0.15%	0.00%	0.30%	0.13%	0.00%	0.24%	0.00%	0.32%	0.00%	0.00%	0.11%	0.00%	0.15%	0.27%	0.00%	0.31%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	1.08%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	92	1	8	4	6	4	4	6	5	2	2	3	3	5	0	4	0	1	1	0	0	2	0	0	0	1	0	1	0	0	0	4	0	0	9	0	1	3	0	0	0	2	0	1	0	0	4	1	0	1	1	1	1	0	0									
		0.49%	0.17%	1.01%	0.60%	0.94%	0.60%	0.54%	0.86%	1.21%	0.34%	0.65%	0.75%	0.33%	0.54%	0.00%	0.61%	0.00%	0.25%	0.16%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.58%	0.00%	0.24%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	6.98%	0.00%	0.16%	0.54%	0.00%	0.00%	0.00%	0.72%	0.00%	0.21%	0.00%	0.00%	0.77%	0.60%	0.00%	0.27%	1.75%	0.47%	0.31%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2048	59	121	74	87	62	72	74	30	105	38	45	57	99	20	85	46	55	65	3	4	53	0	23	5	13	55	52	1	9	30	60	11	5	0	35	83	33	8	3	46	27	5	23	7	26	54	35	3	37	7	26	44	23	5									
		10.88%	10.26%	15.26%	11.14%	13.57%	9.35%	9.70%	10.57%	7.26%	17.65%	12.30%	11.25%	6.34%	10.77%	11.24%	12.99%	12.53%	13.58%	10.24%	11.11%	8.70%	12.13%	0.00%	29.87%	8.47%	7.60%	20.60%	12.65%	1.43%	12.33%	11.49%	6.88%	9.40%	9.43%	0.00%	10.84%	13.32%	5.98%	9.30%	2.94%	11.86%	9.68%	4.13%	4.86%	6.67%	16.77%	10.44%	20.96%	8.82%	9.89%	12.28%	12.21%	13.46%	15.13%	5.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	1	1	2	0	2	3	1	0	1	0	3	4	1	0	1	0	0	2	1	0	1	0	0	0	0	1	2	0	0	1	1	2	0	3	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	1	1	0	1									
		0.23%	0.17%	0.13%	0.30%	0.00%	0.30%	0.40%	0.14%	0.00%	0.17%	0.00%	0.75%	0.44%	0.11%	0.00%	0.15%	0.00%	0.00%	0.31%	3.70%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.37%	0.49%	0.00%	0.00%	0.38%	0.11%	1.71%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.63%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.47%	0.31%	0.00%	1.09%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	304	5	15	9	10	7	14	19	8	11	7	8	16	13	3	25	17	28	10	0	1	7	0	1	0	0	3	8	1	0	5	15	0	0	0	3	7	2	0	0	3	2	1	2	0	0	2	3	0	2	0	2	6	3	0									
		1.61%	0.87%	1.89%	1.36%	1.56%	1.06%	1.89%	2.71%	1.94%	1.85%	2.27%	2.00%	1.78%	1.41%	1.69%	3.82%	4.63%	6.91%	1.57%	0.00%	2.17%	1.60%	0.00%	1.30%	0.00%	0.00%	1.12%	1.95%	1.43%	0.00%	1.92%	1.72%	0.00%	0.00%	0.00%	0.93%	1.12%	0.36%	0.00%	0.00%	0.77%	0.72%	0.83%	0.42%	0.00%	0.00%	0.39%	1.80%	0.00%	0.53%	0.00%	0.94%	1.83%	1.97%	0.00%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
