Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Россошанская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	371	78	1	10	5	13	22	13	7	7	4	7	10	1	6	20	8	7	15	8	3	7	8	6	5	3	2	0	2	2	3	2	1	3	1	1	3	2	1	4	3	2	2	5	6	1	6	1	1	1	2	1	2	2	2	5	3	3	1	8	0	2	1	5	2	3					
14	Число неиспользованных открепительных удостоверений	85	5	0	5	0	0	3	3	0	0	0	4	7	0	4	4	2	0	0	0	0	1	0	5	1	7	2	0	0	0	0	0	2	3	2	2	1	0	0	0	0	0	0	0	3	1	0	2	1	2	0	1	0	1	1	0	0	4	0	4	0	0	0	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	1559	49	51	53	37	50	54	82	59	48	59	59	81	62	48	38	37	48	45	43	55	50	34	61	5	13	4	18	13	1	16	16	6	13	1	0	8	5	2	10	1	1	3	24	7	3	32	7	5	0	1	14	7	6	5	5	37	24	4	19	1	2	5	9	1	2					
		3.32%	3.65%	3.84%	4.02%	2.95%	3.75%	4.30%	5.97%	4.92%	4.16%	5.13%	4.57%	6.42%	5.21%	3.93%	3.41%	3.32%	4.16%	3.88%	3.79%	4.39%	3.95%	2.80%	4.63%	1.48%	3.32%	1.32%	2.25%	1.56%	0.26%	1.78%	2.83%	1.82%	3.01%	0.81%	0.00%	1.19%	0.81%	0.60%	1.58%	0.68%	0.71%	1.11%	3.29%	1.73%	1.76%	2.36%	4.43%	1.89%	0.00%	0.79%	1.53%	3.02%	3.47%	3.31%	2.19%	3.04%	1.81%	4.44%	2.33%	0.76%	0.61%	2.21%	1.74%	0.38%	0.88%					
19	. Малышкин Олег Александрович	1619	39	52	52	50	53	40	45	31	23	46	36	57	49	35	53	51	43	42	32	51	53	40	44	11	7	17	27	38	9	24	19	5	12	7	2	15	9	7	14	4	7	8	23	9	5	40	5	16	12	6	32	6	12	5	10	45	45	1	39	6	17	6	9	7	4					
		3.45%	2.90%	3.91%	3.95%	3.98%	3.97%	3.18%	3.28%	2.59%	1.99%	4.00%	2.79%	4.52%	4.12%	2.86%	4.75%	4.57%	3.73%	3.62%	2.82%	4.07%	4.18%	3.29%	3.34%	3.26%	1.79%	5.63%	3.38%	4.56%	2.36%	2.67%	3.36%	1.52%	2.78%	5.65%	1.60%	2.22%	1.46%	2.11%	2.22%	2.74%	5.00%	2.95%	3.16%	2.23%	2.94%	2.95%	3.16%	6.06%	8.11%	4.72%	3.50%	2.59%	6.94%	3.31%	4.39%	3.70%	3.40%	1.11%	4.79%	4.58%	5.21%	2.65%	1.74%	2.68%	1.77%					
20	. Миронов Сергей Михайлович	397	7	17	14	11	13	19	9	10	17	13	17	13	10	5	11	8	16	8	7	16	8	17	8	1	2	3	4	6	0	7	1	2	3	2	1	1	7	3	1	1	1	1	8	1	1	12	0	2	0	3	11	0	0	1	0	10	10	3	4	1	4	0	2	0	3					
		0.85%	0.52%	1.28%	1.06%	0.88%	0.97%	1.51%	0.66%	0.83%	1.47%	1.13%	1.32%	1.03%	0.84%	0.41%	0.99%	0.72%	1.39%	0.69%	0.62%	1.28%	0.63%	1.40%	0.61%	0.30%	0.51%	0.99%	0.50%	0.72%	0.00%	0.78%	0.18%	0.61%	0.69%	1.61%	0.80%	0.15%	1.13%	0.91%	0.16%	0.68%	0.71%	0.37%	1.10%	0.25%	0.59%	0.89%	0.00%	0.76%	0.00%	2.36%	1.20%	0.00%	0.00%	0.66%	0.00%	0.82%	0.76%	3.33%	0.49%	0.76%	1.23%	0.00%	0.39%	0.00%	1.33%					
21	. Путин Владимир Владимирович	29459	864	785	787	835	770	749	825	760	743	703	807	773	764	849	617	719	666	629	680	769	663	720	697	200	240	186	514	555	271	635	425	189	346	81	81	438	408	235	420	115	105	212	430	298	83	735	84	176	100	68	592	190	82	81	174	742	958	64	507	80	216	164	401	217	187					
		62.78%	64.33%	59.07%	59.71%	66.48%	57.72%	59.59%	60.04%	63.39%	64.33%	61.13%	62.51%	61.30%	64.20%	69.48%	55.34%	64.43%	57.71%	54.27%	59.91%	61.32%	52.33%	59.31%	52.92%	59.35%	61.38%	61.59%	64.25%	66.55%	71.13%	70.56%	75.22%	57.27%	80.09%	65.32%	64.80%	64.89%	66.13%	71.00%	66.56%	78.77%	75.00%	78.23%	58.98%	73.76%	48.82%	54.28%	53.16%	66.67%	67.57%	53.54%	64.77%	81.90%	47.40%	53.64%	76.32%	60.97%	72.36%	71.11%	62.21%	61.07%	66.26%	72.57%	77.56%	83.14%	82.74%					
22	. Хакамада Ирина Муцуовна	1020	31	24	18	20	33	30	57	28	28	33	47	86	45	25	24	36	32	30	39	37	36	26	31	8	8	4	10	17	4	10	9	2	3	0	0	5	7	0	12	0	1	7	10	6	2	23	5	1	1	3	8	0	2	1	8	19	10	0	5	1	5	1	3	1	2					
		2.17%	2.31%	1.81%	1.37%	1.59%	2.47%	2.39%	4.15%	2.34%	2.42%	2.87%	3.64%	6.82%	3.78%	2.05%	2.15%	3.23%	2.77%	2.59%	3.44%	2.95%	2.84%	2.14%	2.35%	2.37%	2.05%	1.32%	1.25%	2.04%	1.05%	1.11%	1.59%	0.61%	0.69%	0.00%	0.00%	0.74%	1.13%	0.00%	1.90%	0.00%	0.71%	2.58%	1.37%	1.49%	1.18%	1.70%	3.16%	0.38%	0.68%	2.36%	0.88%	0.00%	1.16%	0.66%	3.51%	1.56%	0.76%	0.00%	0.61%	0.76%	1.53%	0.44%	0.58%	0.38%	0.88%					
23	. Харитонов Николай Михайлович	10709	275	357	333	265	358	297	276	262	229	220	255	173	177	203	316	183	296	358	270	248	391	311	410	109	107	1	208	175	83	180	80	122	39	33	34	206	169	79	151	19	22	35	206	69	71	449	53	57	34	45	199	26	65	45	16	305	238	17	217	41	72	49	65	32	23					
		22.82%	20.48%	26.86%	25.27%	21.10%	26.84%	23.63%	20.09%	21.85%	19.83%	19.13%	19.75%	13.72%	14.87%	16.61%	28.34%	16.40%	25.65%	30.89%	23.79%	19.78%	30.86%	25.62%	31.13%	32.34%	27.37%	0.33%	26.00%	20.98%	21.78%	20.00%	14.16%	36.97%	9.03%	26.61%	27.20%	30.52%	27.39%	23.87%	23.93%	13.01%	15.71%	12.92%	28.26%	17.08%	41.76%	33.16%	33.54%	21.59%	22.97%	35.43%	21.77%	11.21%	37.57%	29.80%	7.02%	25.06%	17.98%	18.89%	26.63%	31.30%	22.09%	21.68%	12.57%	12.26%	10.18%					
																																																																								
24	Против всех	1843	66	41	51	34	49	63	74	40	60	69	64	71	79	56	51	71	53	38	54	70	47	49	55	3	12	83	9	22	12	25	11	2	12	0	7	2	10	4	16	4	0	3	17	10	3	56	4	3	1	0	42	3	5	12	12	47	26	0	23	1	8	1	19	3	5					
		3.93%	4.91%	3.09%	3.87%	2.71%	3.67%	5.01%	5.39%	3.34%	5.19%	6.00%	4.96%	5.63%	6.64%	4.58%	4.57%	6.36%	4.59%	3.28%	4.76%	5.58%	3.71%	4.04%	4.18%	0.89%	3.07%	27.48%	1.12%	2.64%	3.15%	2.78%	1.95%	0.61%	2.78%	0.00%	5.60%	0.30%	1.62%	1.21%	2.54%	2.74%	0.00%	1.11%	2.33%	2.48%	1.76%	4.14%	2.53%	1.14%	0.68%	0.00%	4.60%	1.29%	2.89%	7.95%	5.26%	3.86%	1.96%	0.00%	2.82%	0.76%	2.45%	0.44%	3.68%	1.15%	2.21%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
