Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Батайская городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №2631									
		0.25%	0.08%	0.00%	0.00%	0.09%	0.67%	0.17%	0.00%	0.09%	0.00%	0.11%	0.00%	0.09%	0.10%	0.24%	0.23%	0.48%	1.18%	0.54%	0.47%	0.10%	0.11%	0.52%	0.24%	0.22%	0.00%	0.83%	0.41%	0.00%	0.00%	0.08%	0.27%	0.70%	0.21%	0.10%	0.69%	0.79%	0.13%	0.14%	0.99%	0.33%	0.60%	0.14%	0.00%	0.34%	0.00%	0.23%	0.26%	0.16%	0.35%	0.14%	0.00%	0.60%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3990	118	77	79	98	64	75	103	70	71	56	101	59	12	72	64	101	9	55	12	74	102	141	107	59	111	73	100	121	84	87	78	27	129	87	91	70	52	128	86	115	62	26	104	18	49	108	10	88	172	12	69	54									
		8.27%	9.37%	5.66%	15.46%	8.35%	14.35%	6.56%	9.63%	6.07%	8.82%	6.38%	7.37%	5.42%	1.18%	17.14%	14.95%	6.90%	1.52%	4.98%	1.40%	7.39%	11.20%	18.31%	12.62%	12.85%	15.66%	8.61%	8.14%	11.52%	8.85%	7.37%	6.93%	2.11%	8.96%	8.67%	20.92%	11.04%	6.60%	8.98%	9.44%	19.01%	7.44%	1.83%	12.59%	2.05%	9.02%	8.45%	0.85%	13.73%	19.98%	1.70%	12.61%	6.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	204	2	1	3	4	5	6	5	9	5	2	4	8	0	2	6	5	2	3	21	1	3	7	3	3	8	12	2	2	0	3	4	4	7	4	3	2	1	0	5	4	5	3	0	0	1	2	2	6	3	0	4	7									
		0.42%	0.16%	0.07%	0.59%	0.34%	1.12%	0.52%	0.47%	0.78%	0.62%	0.23%	0.29%	0.73%	0.00%	0.48%	1.40%	0.34%	0.34%	0.27%	2.45%	0.10%	0.33%	0.91%	0.35%	0.65%	1.13%	1.42%	0.16%	0.19%	0.00%	0.25%	0.36%	0.31%	0.49%	0.40%	0.69%	0.32%	0.13%	0.00%	0.55%	0.66%	0.60%	0.21%	0.00%	0.00%	0.18%	0.16%	0.17%	0.94%	0.35%	0.00%	0.73%	0.84%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	507	7	8	4	9	3	6	11	6	8	3	11	6	8	8	11	2	10	66	17	14	12	24	22	3	15	12	9	19	3	15	7	2	10	9	3	0	4	9	21	9	10	2	17	8	2	3	2	17	7	4	3	6									
		1.05%	0.56%	0.59%	0.78%	0.77%	0.67%	0.52%	1.03%	0.52%	0.99%	0.34%	0.80%	0.55%	0.79%	1.90%	2.57%	0.14%	1.69%	5.98%	1.98%	1.40%	1.32%	3.12%	2.59%	0.65%	2.12%	1.42%	0.73%	1.81%	0.32%	1.27%	0.62%	0.16%	0.69%	0.90%	0.69%	0.00%	0.51%	0.63%	2.31%	1.49%	1.20%	0.14%	2.06%	0.91%	0.37%	0.23%	0.17%	2.65%	0.81%	0.57%	0.55%	0.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	72	0	1	0	1	0	0	0	1	0	1	2	0	0	0	0	11	5	2	4	2	0	3	2	0	2	5	1	0	0	0	0	2	3	1	0	4	1	0	1	1	1	1	1	0	0	4	1	2	1	0	1	4									
		0.15%	0.00%	0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.09%	0.00%	0.11%	0.15%	0.00%	0.00%	0.00%	0.00%	0.75%	0.84%	0.18%	0.47%	0.20%	0.00%	0.39%	0.24%	0.00%	0.28%	0.59%	0.08%	0.00%	0.00%	0.00%	0.00%	0.16%	0.21%	0.10%	0.00%	0.63%	0.13%	0.00%	0.11%	0.17%	0.12%	0.07%	0.12%	0.00%	0.00%	0.31%	0.09%	0.31%	0.12%	0.00%	0.18%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	522	2	5	4	4	3	7	3	2	3	1	8	10	5	11	8	60	5	5	42	25	22	22	26	13	7	11	14	8	6	9	7	7	17	6	11	0	5	4	13	7	8	4	21	5	1	3	3	19	11	8	7	4									
		1.08%	0.16%	0.37%	0.78%	0.34%	0.67%	0.61%	0.28%	0.17%	0.37%	0.11%	0.58%	0.92%	0.49%	2.62%	1.87%	4.10%	0.84%	0.45%	4.90%	2.50%	2.41%	2.86%	3.07%	2.83%	0.99%	1.30%	1.14%	0.76%	0.63%	0.76%	0.62%	0.55%	1.18%	0.60%	2.53%	0.00%	0.63%	0.28%	1.43%	1.16%	0.96%	0.28%	2.54%	0.57%	0.18%	0.23%	0.26%	2.96%	1.28%	1.13%	1.28%	0.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5414	75	64	90	84	64	79	68	82	62	69	84	79	62	75	81	140	72	110	119	91	77	105	112	79	96	135	126	145	158	147	87	96	155	256	93	69	59	81	94	115	112	287	99	174	56	201	121	126	91	83	82	47									
		11.22%	5.96%	4.71%	17.61%	7.16%	14.35%	6.91%	6.36%	7.11%	7.70%	7.86%	6.13%	7.25%	6.11%	17.86%	18.93%	9.56%	12.14%	9.96%	13.89%	9.08%	8.45%	13.64%	13.21%	17.21%	13.54%	15.92%	10.26%	13.81%	16.65%	12.45%	7.73%	7.49%	10.76%	25.50%	21.38%	10.88%	7.49%	5.68%	10.32%	19.01%	13.45%	20.24%	11.99%	19.84%	10.31%	15.73%	10.33%	19.66%	10.57%	11.74%	14.99%	5.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	207	2	2	2	0	1	0	17	1	2	0	1	0	3	1	2	10	11	2	6	2	1	6	2	4	0	5	2	4	0	1	10	12	4	2	4	4	1	1	21	5	18	3	4	2	1	4	2	4	5	4	5	1									
		0.43%	0.16%	0.15%	0.39%	0.00%	0.22%	0.00%	1.59%	0.09%	0.25%	0.00%	0.07%	0.00%	0.30%	0.24%	0.47%	0.68%	1.85%	0.18%	0.70%	0.20%	0.11%	0.78%	0.24%	0.87%	0.00%	0.59%	0.16%	0.38%	0.00%	0.08%	0.89%	0.94%	0.28%	0.20%	0.92%	0.63%	0.13%	0.07%	2.31%	0.83%	2.16%	0.21%	0.48%	0.23%	0.18%	0.31%	0.17%	0.62%	0.58%	0.57%	0.91%	0.12%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2271	10	12	16	28	14	22	6	13	13	15	28	19	185	21	31	77	91	110	161	117	15	50	39	26	52	10	39	42	17	21	27	104	36	23	23	9	7	25	69	33	29	147	27	102	15	42	117	33	41	21	24	17									
		4.70%	0.79%	0.88%	3.13%	2.39%	3.14%	1.92%	0.56%	1.13%	1.61%	1.71%	2.04%	1.74%	18.24%	5.00%	7.24%	5.26%	15.35%	9.96%	18.79%	11.68%	1.65%	6.49%	4.60%	5.66%	7.33%	1.18%	3.18%	4.00%	1.79%	1.78%	2.40%	8.12%	2.50%	2.29%	5.29%	1.42%	0.89%	1.75%	7.57%	5.45%	3.48%	10.37%	3.27%	11.63%	2.76%	3.29%	9.99%	5.15%	4.76%	2.97%	4.39%	2.05%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
