Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	707	6	6	6	6	6	6	6	6	9	11	6	6	6	8	6	11	6	6	12	10	6	6	19	20	6	6	6	6	16	6	6	6	14	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	10	6	6	6	6	10	6	6	6	6	6	11	6	6	6	6	6	6	6	6	6	6	6	11	6	6	6	6	6	6	6	6	6	11	6	6	6	6	6	6	6	6	6	6	6	6	7	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	412	6	1	3	3	1	2	6	3	7	9	1	4	2	8	5	10	6	6	12	7	3	5	17	13	0	5	5	6	13	0	6	6	11	4	0	6	3	0	0	6	2	6	1	1	0	0	0	2	2	7	1	1	0	1	8	2	2	6	1	7	4	5	5	2	5	11	6	6	4	6	5	4	1	1	2	2	0	7	0	1	1	4	3	4	1	3	3	9	6	5	5	5	0	1	4	5	1	5	1	1	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	254	1	0	0	2	0	0	2	0	4	2	1	0	1	1	1	2	1	1	6	2	2	4	3	3	1	0	0	0	4	1	0	3	4	4	0	2	6	3	0	3	0	2	4	0	0	1	4	0	4	0	0	0	15	6	2	0	4	0	95	0	5	2	0	2	0	3	1	3	1	0	1	5	1	2	1	1	1	1	1	1	0	1	2	1	0	0	0	1	3	0	3	0	1	1	0	0	0	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	295	0	5	3	3	5	4	0	3	2	2	5	2	4	0	1	1	0	0	0	3	3	1	2	7	6	1	1	0	3	6	0	0	3	2	6	0	3	6	6	0	4	0	5	5	6	6	6	4	4	0	5	5	6	5	2	4	4	0	5	3	2	1	1	4	1	0	0	0	2	0	1	2	5	5	4	4	6	4	6	5	5	2	3	2	5	3	3	2	0	1	1	1	6	5	2	1	5	1	5	5	0	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	"1. ""ЕДИНЕНИЕ"""	595	3	3	4	2	3	2	1	11	3	1	0	2	2	7	0	3	4	5	10	2	2	7	5	0	2	11	0	5	11	13	0	11	5	6	5	11	13	6	1	14	18	15	1	4	2	1	8	3	24	2	16	2	17	0	3	4	2	2	3	0	3	0	0	3	1	2	1	4	2	0	9	1	3	5	1	11	6	12	0	4	21	9	10	61	11	2	7	2	2	19	13	1	8	4	5	4	1	0	6	2	16	0					
		0.74%	0.28%	0.37%	0.62%	0.29%	0.48%	0.51%	0.13%	0.91%	0.37%	0.21%	0.0%	0.26%	0.31%	0.69%	0.0%	0.27%	0.62%	0.90%	1.37%	0.21%	0.27%	0.62%	0.66%	0.0%	0.38%	1.47%	0.0%	0.40%	1.37%	2.6%	0.0%	1.46%	0.53%	1.21%	0.85%	1.25%	2.71%	0.63%	0.22%	1.03%	1.61%	1.74%	0.11%	0.50%	0.25%	0.10%	0.81%	0.38%	2.11%	0.14%	2.30%	0.61%	2.79%	0.0%	0.36%	0.82%	0.27%	0.21%	0.58%	0.0%	0.70%	0.0%	0.0%	0.35%	0.14%	0.25%	0.09%	0.48%	0.19%	0.0%	1.23%	0.08%	0.35%	0.87%	0.14%	1.80%	1.40%	2.5%	0.0%	0.51%	3.29%	1.40%	0.74%	8.89%	1.25%	0.21%	0.70%	0.25%	0.22%	2.76%	2.17%	0.10%	1.43%	0.39%	0.70%	0.81%	0.17%	0.0%	1.13%	0.30%	1.90%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1715	26	22	3	18	7	5	0	72	33	8	15	12	22	17	0	32	18	21	25	12	17	3	25	13	12	19	20	8	31	10	32	27	30	9	5	32	19	10	18	27	14	16	15	10	14	28	23	16	19	19	25	12	13	3	23	23	15	8	11	31	18	21	0	22	25	18	21	17	13	11	6	25	20	10	3	10	10	9	0	24	24	8	32	5	12	16	20	6	11	13	6	20	7	22	12	9	17	55	12	11	39	2					
		2.16%	2.50%	2.74%	0.47%	2.65%	1.13%	1.29%	0.0%	6.0%	4.13%	1.69%	1.30%	1.60%	3.41%	1.68%	0.0%	2.93%	2.83%	3.79%	3.43%	1.29%	2.32%	0.26%	3.31%	1.54%	2.32%	2.54%	3.26%	0.64%	3.87%	2.0%	3.52%	3.58%	3.18%	1.81%	0.85%	3.65%	3.97%	1.05%	4.06%	1.98%	1.25%	1.86%	1.67%	1.27%	1.78%	2.83%	2.34%	2.06%	1.67%	1.42%	3.59%	3.66%	2.13%	0.34%	2.78%	4.76%	2.07%	0.87%	2.15%	3.70%	4.25%	2.35%	0.0%	2.63%	3.67%	2.26%	2.08%	2.05%	1.26%	1.40%	0.82%	2.02%	2.37%	1.75%	0.44%	1.63%	2.34%	1.87%	0.0%	3.06%	3.76%	1.25%	2.37%	0.72%	1.36%	1.70%	2.01%	0.75%	1.26%	1.89%	1.00%	2.11%	1.25%	2.17%	1.69%	1.83%	3.00%	5.78%	2.27%	1.70%	4.65%	0.46%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3027	150	33	17	36	51	7	33	21	40	12	102	11	53	27	46	73	29	16	28	12	12	5	26	32	22	27	11	12	32	13	31	42	44	14	8	32	18	23	16	62	42	36	37	15	30	24	45	27	36	46	15	22	16	1	37	18	42	33	19	8	18	49	1	50	37	39	53	32	26	33	27	34	24	23	28	16	17	17	0	31	29	18	52	31	28	29	50	43	36	29	31	33	23	34	21	18	15	29	17	23	40	15					
		3.81%	14.46%	4.11%	2.67%	5.30%	8.23%	1.80%	4.36%	1.75%	5.00%	2.53%	8.85%	1.47%	8.21%	2.67%	5.28%	6.69%	4.56%	2.89%	3.85%	1.29%	1.64%	0.44%	3.44%	3.80%	4.25%	3.60%	1.79%	0.97%	4.0%	2.6%	3.41%	5.57%	4.66%	2.82%	1.37%	3.65%	3.76%	2.42%	3.61%	4.56%	3.77%	4.19%	4.13%	1.90%	3.81%	2.42%	4.59%	3.48%	3.17%	3.43%	2.15%	6.72%	2.62%	0.11%	4.48%	3.72%	5.80%	3.60%	3.72%	0.95%	4.25%	5.49%	0.13%	5.99%	5.44%	4.90%	5.25%	3.87%	2.52%	4.22%	3.70%	2.75%	2.85%	4.03%	4.17%	2.61%	3.99%	3.54%	0.0%	3.96%	4.55%	2.81%	3.86%	4.51%	3.18%	3.08%	5.04%	5.42%	4.13%	4.22%	5.18%	3.48%	4.11%	3.35%	2.96%	3.67%	2.65%	3.05%	3.22%	3.56%	4.77%	3.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1368	12	2	2	2	2	4	2	18	2	15	3	1	3	25	4	3	32	3	41	10	1	2	41	2	3	39	3	3	51	7	55	34	61	22	2	30	34	18	4	29	16	26	4	4	2	3	26	4	28	3	18	15	15	2	36	3	5	2	2	2	18	32	3	4	32	5	3	8	4	3	18	5	4	12	14	25	9	22	21	3	14	15	28	13	11	4	21	24	5	16	12	2	13	5	17	21	2	20	16	3	16	2					
		1.72%	1.15%	0.24%	0.31%	0.29%	0.32%	1.03%	0.26%	1.5%	0.25%	3.17%	0.26%	0.13%	0.46%	2.47%	0.45%	0.27%	5.03%	0.54%	5.63%	1.07%	0.13%	0.17%	5.43%	0.23%	0.58%	5.21%	0.49%	0.24%	6.37%	1.4%	6.05%	4.51%	6.46%	4.44%	0.34%	3.42%	7.11%	1.89%	0.90%	2.13%	1.43%	3.03%	0.44%	0.50%	0.25%	0.30%	2.65%	0.51%	2.47%	0.22%	2.58%	4.58%	2.46%	0.22%	4.36%	0.62%	0.69%	0.21%	0.39%	0.23%	4.25%	3.58%	0.41%	0.47%	4.70%	0.62%	0.29%	0.96%	0.38%	0.38%	2.46%	0.40%	0.47%	2.10%	2.08%	4.09%	2.11%	4.58%	4.43%	0.38%	2.19%	2.34%	2.08%	1.89%	1.25%	0.42%	2.11%	3.02%	0.57%	2.33%	2.00%	0.21%	2.32%	0.49%	2.39%	4.28%	0.35%	2.10%	3.03%	0.46%	1.90%	0.46%					
22	"5. ""За Русь Святую"""	228	0	2	0	1	0	3	1	0	3	0	1	0	0	1	5	1	2	2	4	0	2	5	0	0	0	8	0	2	7	1	17	4	4	0	4	2	2	4	1	7	4	2	0	1	0	0	2	2	2	3	2	2	0	0	3	2	2	2	2	1	6	2	0	2	2	1	3	4	3	0	0	0	0	5	1	3	3	1	2	1	5	1	4	1	3	1	3	6	0	6	5	3	3	1	4	6	1	0	5	3	0	0					
		0.28%	0.0%	0.24%	0.0%	0.14%	0.0%	0.77%	0.13%	0.0%	0.37%	0.0%	0.08%	0.0%	0.0%	0.09%	0.57%	0.09%	0.31%	0.36%	0.55%	0.0%	0.27%	0.44%	0.0%	0.0%	0.0%	1.06%	0.0%	0.16%	0.87%	0.2%	1.87%	0.53%	0.42%	0.0%	0.68%	0.22%	0.41%	0.42%	0.22%	0.51%	0.35%	0.23%	0.0%	0.12%	0.0%	0.0%	0.20%	0.25%	0.17%	0.22%	0.28%	0.61%	0.0%	0.0%	0.36%	0.41%	0.27%	0.21%	0.39%	0.11%	1.41%	0.22%	0.0%	0.23%	0.29%	0.12%	0.29%	0.48%	0.29%	0.0%	0.0%	0.0%	0.0%	0.87%	0.14%	0.49%	0.70%	0.20%	0.42%	0.12%	0.78%	0.15%	0.29%	0.14%	0.34%	0.10%	0.30%	0.75%	0.0%	0.87%	0.83%	0.31%	0.53%	0.09%	0.56%	1.22%	0.17%	0.0%	0.94%	0.46%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	158	5	3	3	1	0	1	0	0	1	2	3	0	0	1	2	4	3	0	1	0	0	6	1	0	0	5	1	0	13	0	0	2	4	3	1	1	2	0	1	2	1	4	2	3	0	2	8	1	3	1	1	0	0	0	0	0	0	2	0	0	1	1	0	2	2	0	2	1	3	2	0	2	2	2	0	1	3	0	2	0	2	0	5	0	3	4	0	1	1	0	2	2	1	3	1	0	0	0	0	3	4	0					
		0.19%	0.48%	0.37%	0.47%	0.14%	0.0%	0.25%	0.0%	0.0%	0.12%	0.42%	0.26%	0.0%	0.0%	0.09%	0.22%	0.36%	0.47%	0.0%	0.13%	0.0%	0.0%	0.53%	0.13%	0.0%	0.0%	0.66%	0.16%	0.0%	1.62%	0.0%	0.0%	0.26%	0.42%	0.60%	0.17%	0.11%	0.41%	0.0%	0.22%	0.14%	0.08%	0.46%	0.22%	0.38%	0.0%	0.20%	0.81%	0.12%	0.26%	0.07%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.23%	0.11%	0.0%	0.23%	0.29%	0.0%	0.19%	0.12%	0.29%	0.25%	0.0%	0.16%	0.23%	0.35%	0.0%	0.16%	0.70%	0.0%	0.42%	0.0%	0.31%	0.0%	0.37%	0.0%	0.34%	0.42%	0.0%	0.12%	0.11%	0.0%	0.33%	0.21%	0.17%	0.29%	0.14%	0.0%	0.0%	0.0%	0.0%	0.46%	0.47%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	423	1	1	1	2	2	4	0	0	2	8	0	2	4	12	4	2	2	3	12	1	3	2	3	1	1	11	0	1	6	5	10	0	9	11	1	12	4	15	1	7	4	8	2	0	1	2	16	2	13	1	4	1	3	0	8	4	3	1	1	0	1	14	0	3	7	2	2	1	2	2	2	3	2	6	0	4	8	7	6	3	8	9	10	1	10	1	8	7	3	6	10	3	7	2	10	6	2	0	0	2	2	1					
		0.53%	0.09%	0.12%	0.15%	0.29%	0.32%	1.03%	0.0%	0.0%	0.25%	1.69%	0.0%	0.26%	0.62%	1.18%	0.45%	0.18%	0.31%	0.54%	1.65%	0.10%	0.41%	0.17%	0.39%	0.11%	0.19%	1.47%	0.0%	0.08%	0.75%	1.0%	1.10%	0.0%	0.95%	2.22%	0.17%	1.36%	0.83%	1.58%	0.22%	0.51%	0.35%	0.93%	0.22%	0.0%	0.12%	0.20%	1.63%	0.25%	1.14%	0.07%	0.57%	0.30%	0.49%	0.0%	0.96%	0.82%	0.41%	0.10%	0.19%	0.0%	0.23%	1.56%	0.0%	0.35%	1.02%	0.25%	0.19%	0.12%	0.19%	0.25%	0.27%	0.24%	0.23%	1.05%	0.0%	0.65%	1.87%	1.45%	1.26%	0.38%	1.25%	1.40%	0.74%	0.14%	1.13%	0.10%	0.80%	0.88%	0.34%	0.87%	1.67%	0.31%	1.25%	0.19%	1.41%	1.22%	0.35%	0.0%	0.0%	0.30%	0.23%	0.23%					
25	"8. ""Народно-республиканская партия России"""	110	6	0	3	0	0	0	1	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	1	2	2	0	2	2	4	0	3	1	0	1	2	2	0	4	2	0	0	0	0	1	0	3	1	3	1	2	0	0	1	0	3	1	4	4	1	1	4	0	4	1	1	0	2	0	1	0	1	1	0	0	1	0	0	0	4	5	3	1	3	0	1	0	0	0	1	0	0					
		0.13%	0.57%	0.0%	0.47%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.19%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.31%	0.20%	0.34%	0.22%	0.0%	0.21%	0.45%	0.29%	0.0%	0.34%	0.11%	0.0%	0.12%	0.20%	0.20%	0.0%	0.35%	0.14%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.41%	0.10%	0.58%	0.11%	0.47%	0.0%	0.0%	0.11%	0.0%	0.37%	0.09%	0.48%	0.38%	0.12%	0.13%	0.32%	0.0%	0.70%	0.14%	0.16%	0.0%	0.41%	0.0%	0.12%	0.0%	0.15%	0.07%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.58%	0.83%	0.31%	0.17%	0.29%	0.0%	0.20%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	214	1	2	3	0	0	2	1	0	1	4	2	4	5	1	1	3	7	3	5	1	0	0	3	3	4	1	1	1	0	0	0	5	7	4	0	5	0	0	0	5	1	7	5	1	0	0	8	0	1	3	6	3	0	0	5	1	2	1	1	2	2	4	0	2	3	0	3	0	0	1	4	4	2	2	0	0	2	4	2	2	3	5	3	0	5	6	1	3	0	4	0	3	1	1	3	0	3	0	0	2	1	1					
		0.26%	0.09%	0.24%	0.47%	0.0%	0.0%	0.51%	0.13%	0.0%	0.12%	0.84%	0.17%	0.53%	0.77%	0.09%	0.11%	0.27%	1.10%	0.54%	0.68%	0.10%	0.0%	0.0%	0.39%	0.35%	0.77%	0.13%	0.16%	0.08%	0.0%	0.0%	0.0%	0.66%	0.74%	0.80%	0.0%	0.57%	0.0%	0.0%	0.0%	0.36%	0.08%	0.81%	0.55%	0.12%	0.0%	0.0%	0.81%	0.0%	0.08%	0.22%	0.86%	0.91%	0.0%	0.0%	0.60%	0.20%	0.27%	0.10%	0.19%	0.23%	0.47%	0.44%	0.0%	0.23%	0.44%	0.0%	0.29%	0.0%	0.0%	0.12%	0.54%	0.32%	0.23%	0.35%	0.0%	0.0%	0.46%	0.83%	0.42%	0.25%	0.47%	0.78%	0.22%	0.0%	0.56%	0.63%	0.10%	0.37%	0.0%	0.58%	0.0%	0.31%	0.17%	0.09%	0.42%	0.0%	0.53%	0.0%	0.0%	0.30%	0.11%	0.23%					
27	"10. ""Аграрная партия России"""	1725	67	33	19	27	9	10	1	36	21	15	67	0	24	13	10	40	11	10	16	18	16	0	8	22	10	22	16	5	17	16	8	30	26	15	9	4	5	12	11	12	17	18	9	8	11	1	41	49	31	13	9	7	12	5	23	10	16	15	6	17	10	24	1	12	10	12	17	24	30	33	28	18	27	11	14	21	13	14	13	10	12	45	15	18	1	25	23	18	16	10	7	12	11	24	19	9	21	0	0	11	51	6					
		2.17%	6.46%	4.11%	2.99%	3.98%	1.45%	2.58%	0.13%	3.0%	2.62%	3.17%	5.81%	0.0%	3.72%	1.28%	1.14%	3.66%	1.73%	1.80%	2.20%	1.93%	2.19%	0.0%	1.06%	2.61%	1.93%	2.94%	2.61%	0.40%	2.12%	3.2%	0.88%	3.98%	2.75%	3.03%	1.54%	0.45%	1.04%	1.26%	2.48%	0.88%	1.52%	2.09%	1.00%	1.01%	1.39%	0.10%	4.18%	6.33%	2.73%	0.97%	1.29%	2.14%	1.97%	0.57%	2.78%	2.07%	2.20%	1.63%	1.17%	2.03%	2.36%	2.69%	0.13%	1.43%	1.47%	1.50%	1.68%	2.90%	2.91%	4.22%	3.84%	1.45%	3.21%	1.92%	2.08%	3.43%	3.05%	2.91%	2.74%	1.27%	1.88%	7.04%	1.11%	2.62%	0.11%	2.65%	2.31%	2.26%	1.83%	1.45%	1.17%	1.26%	1.96%	2.37%	2.67%	1.83%	3.71%	0.0%	0.0%	1.70%	6.08%	1.40%					
28	"11. ""Истинные патриоты России"""	577	18	6	5	21	5	5	8	2	6	7	0	4	11	9	0	7	3	2	5	0	2	0	12	4	5	5	2	2	3	3	18	9	3	6	4	2	1	1	0	12	7	11	17	0	11	11	0	12	9	7	5	5	4	0	6	6	4	18	14	5	4	6	0	8	7	8	5	1	2	2	3	13	7	2	6	3	2	2	0	6	2	3	9	0	2	11	0	1	3	5	3	9	6	11	8	7	3	15	0	11	5	6					
