Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Невская № 5																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК  1219					
		3.63%	2.40%	4.37%	4.57%	3.76%	4.24%	4.52%	2.35%	3.00%	4.04%	4.10%	3.10%	4.11%	4.34%	3.97%	3.79%	5.91%	6.42%	5.29%	3.76%	2.74%	5.94%	4.12%	5.20%	3.94%	4.84%	4.24%	3.44%	5.29%	4.75%	2.32%	4.04%	2.63%	4.92%	3.21%	3.77%	3.72%	4.00%	3.40%	4.30%	4.85%	3.21%	2.83%	3.11%	3.04%	2.84%	2.91%	3.34%	2.92%	3.55%	4.04%	5.85%	4.53%	2.50%	3.75%	2.10%	4.84%	4.13%	3.44%	4.56%	4.76%	3.89%	4.11%	3.28%	2.65%	3.43%	3.76%	3.31%	2.37%	2.73%	2.13%	2.64%	3.14%	2.33%	2.10%	2.63%	2.21%	3.33%	2.15%	1.92%	2.99%	6.06%	5.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6336	76	47	74	71	69	83	79	73	72	66	58	58	58	90	78	88	79	73	85	112	65	87	91	101	61	102	57	63	65	55	62	50	60	66	60	102	67	68	74	100	121	108	63	76	103	55	60	63	58	80	67	96	125	79	115	85	93	85	62	64	53	68	65	63	79	70	88	49	74	136	103	101	91	103	98	135	100	90	79	80	7	1	0					
		7.92%	9.12%	6.23%	6.77%	7.02%	6.80%	7.51%	7.45%	8.42%	8.83%	7.51%	6.43%	6.82%	6.45%	9.17%	7.21%	8.39%	8.74%	8.41%	8.90%	10.58%	7.02%	8.15%	9.29%	9.97%	6.57%	10.82%	7.55%	7.75%	7.19%	6.73%	7.82%	5.49%	6.71%	7.56%	6.47%	9.05%	5.96%	8.57%	7.77%	9.52%	9.26%	9.87%	6.14%	7.23%	8.87%	6.97%	6.69%	7.36%	7.36%	8.09%	6.53%	9.06%	10.11%	8.24%	10.07%	8.76%	8.95%	7.90%	6.73%	6.92%	5.03%	6.66%	7.11%	7.59%	6.46%	6.27%	8.56%	6.46%	10.66%	11.18%	8.01%	8.58%	8.16%	8.04%	8.89%	9.95%	7.75%	8.83%	6.09%	10.43%	1.92%	5.0%	0.0%					
22	"5. ""За Русь Святую"""	434	3	2	3	10	6	7	5	7	7	6	5	1	2	2	6	4	4	7	4	7	13	5	3	4	6	4	8	4	5	7	0	9	4	7	4	7	14	2	8	9	3	6	2	3	3	2	3	2	10	2	4	4	8	4	4	5	2	3	2	3	11	7	3	5	4	6	5	7	7	12	10	7	7	7	10	2	12	5	5	1	5	0	0					
		0.54%	0.36%	0.26%	0.27%	0.99%	0.59%	0.63%	0.47%	0.80%	0.85%	0.68%	0.55%	0.11%	0.22%	0.20%	0.55%	0.38%	0.44%	0.80%	0.41%	0.66%	1.40%	0.46%	0.30%	0.39%	0.64%	0.42%	1.06%	0.49%	0.55%	0.85%	0.0%	0.98%	0.44%	0.80%	0.43%	0.62%	1.24%	0.25%	0.84%	0.85%	0.22%	0.54%	0.19%	0.28%	0.25%	0.25%	0.33%	0.23%	1.26%	0.20%	0.39%	0.37%	0.64%	0.41%	0.35%	0.51%	0.19%	0.27%	0.21%	0.32%	1.04%	0.68%	0.32%	0.60%	0.32%	0.53%	0.48%	0.92%	1.00%	0.98%	0.77%	0.59%	0.62%	0.54%	0.90%	0.14%	0.93%	0.49%	0.38%	0.13%	1.37%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	136	1	2	0	2	0	2	1	1	2	1	1	1	4	2	1	3	1	0	0	3	0	4	1	2	1	1	3	2	0	2	1	1	0	1	2	1	4	0	4	2	1	2	2	0	1	0	0	3	2	2	2	0	1	1	2	2	1	3	3	2	3	0	3	2	0	1	0	3	1	2	2	3	3	0	2	1	4	7	2	0	5	0	2					
		0.17%	0.12%	0.26%	0.0%	0.19%	0.0%	0.18%	0.09%	0.11%	0.24%	0.11%	0.11%	0.11%	0.44%	0.20%	0.09%	0.28%	0.11%	0.0%	0.0%	0.28%	0.0%	0.37%	0.10%	0.19%	0.10%	0.10%	0.39%	0.24%	0.0%	0.24%	0.12%	0.10%	0.0%	0.11%	0.21%	0.08%	0.35%	0.0%	0.42%	0.19%	0.07%	0.18%	0.19%	0.0%	0.08%	0.0%	0.0%	0.35%	0.25%	0.20%	0.19%	0.0%	0.08%	0.10%	0.17%	0.20%	0.09%	0.27%	0.32%	0.21%	0.28%	0.0%	0.32%	0.24%	0.0%	0.08%	0.0%	0.39%	0.14%	0.16%	0.15%	0.25%	0.26%	0.0%	0.18%	0.07%	0.31%	0.68%	0.15%	0.0%	1.37%	0.0%	1.04%					
24	"7. ""Новый курс - Автомобильная Россия"""	606	9	6	6	8	5	8	5	5	3	10	5	10	8	4	5	10	5	8	4	2	7	14	5	8	6	3	5	5	4	3	1	10	9	8	9	11	8	8	5	2	16	5	10	13	10	4	4	7	3	9	5	5	9	5	11	7	9	6	11	7	3	7	4	11	10	10	10	3	12	8	14	7	13	9	14	20	13	4	11	7	3	0	0					
		0.75%	1.08%	0.79%	0.54%	0.79%	0.49%	0.72%	0.47%	0.57%	0.36%	1.13%	0.55%	1.17%	0.89%	0.40%	0.46%	0.95%	0.55%	0.92%	0.41%	0.18%	0.75%	1.31%	0.51%	0.78%	0.64%	0.31%	0.66%	0.61%	0.44%	0.36%	0.12%	1.09%	1.00%	0.91%	0.97%	0.97%	0.71%	1.00%	0.52%	0.19%	1.22%	0.45%	0.97%	1.23%	0.86%	0.50%	0.44%	0.81%	0.38%	0.91%	0.48%	0.47%	0.72%	0.52%	0.96%	0.72%	0.86%	0.55%	1.19%	0.75%	0.28%	0.68%	0.43%	1.32%	0.81%	0.89%	0.97%	0.39%	1.72%	0.65%	1.08%	0.59%	1.16%	0.70%	1.27%	1.47%	1.00%	0.39%	0.84%	0.91%	0.82%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	58	0	0	0	2	0	1	0	0	1	0	0	1	0	1	1	2	0	1	0	0	0	3	2	1	0	0	1	1	0	0	1	0	1	2	0	0	1	0	3	2	0	0	0	0	2	3	1	1	0	0	0	1	4	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	1	2	5	0	0					
		0.07%	0.0%	0.0%	0.0%	0.19%	0.0%	0.09%	0.0%	0.0%	0.12%	0.0%	0.0%	0.11%	0.0%	0.10%	0.09%	0.19%	0.0%	0.11%	0.0%	0.0%	0.0%	0.28%	0.20%	0.09%	0.0%	0.0%	0.13%	0.12%	0.0%	0.0%	0.12%	0.0%	0.11%	0.22%	0.0%	0.0%	0.08%	0.0%	0.31%	0.19%	0.0%	0.0%	0.0%	0.0%	0.17%	0.38%	0.11%	0.11%	0.0%	0.0%	0.0%	0.09%	0.32%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.21%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.25%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.07%	0.26%	1.37%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	450	5	6	3	6	6	9	5	2	4	4	5	6	2	9	11	10	5	4	1	6	3	7	4	9	7	4	3	3	4	3	2	12	8	4	4	4	7	8	2	5	9	6	9	3	8	8	7	3	5	5	6	1	7	3	13	3	4	2	12	2	4	3	5	8	7	6	3	5	1	3	8	7	5	8	3	13	5	8	14	6	0	0	0					
		0.56%	0.60%	0.79%	0.27%	0.59%	0.59%	0.81%	0.47%	0.23%	0.49%	0.45%	0.55%	0.70%	0.22%	0.91%	1.01%	0.95%	0.55%	0.46%	0.10%	0.56%	0.32%	0.65%	0.40%	0.88%	0.75%	0.42%	0.39%	0.36%	0.44%	0.36%	0.25%	1.31%	0.89%	0.45%	0.43%	0.35%	0.62%	1.00%	0.21%	0.47%	0.68%	0.54%	0.87%	0.28%	0.68%	1.01%	0.78%	0.35%	0.63%	0.50%	0.58%	0.09%	0.56%	0.31%	1.13%	0.30%	0.38%	0.18%	1.30%	0.21%	0.38%	0.29%	0.54%	0.96%	0.57%	0.53%	0.29%	0.65%	0.14%	0.24%	0.62%	0.59%	0.44%	0.62%	0.27%	0.95%	0.38%	0.78%	1.07%	0.78%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1317	14	13	16	17	9	15	11	13	17	21	11	17	11	16	20	13	19	19	7	16	20	12	12	19	24	19	10	13	28	14	22	14	26	12	11	18	19	11	14	10	25	17	16	12	15	13	20	22	13	14	22	14	16	13	32	14	22	20	14	9	20	18	11	14	18	18	15	7	12	16	25	16	20	15	21	20	34	15	17	10	9	0	0					
		1.64%	1.68%	1.72%	1.46%	1.68%	0.88%	1.35%	1.03%	1.50%	2.08%	2.39%	1.21%	2.0%	1.22%	1.63%	1.85%	1.24%	2.10%	2.18%	0.73%	1.51%	2.16%	1.12%	1.22%	1.87%	2.58%	2.01%	1.32%	1.60%	3.09%	1.71%	2.77%	1.53%	2.91%	1.37%	1.18%	1.59%	1.69%	1.38%	1.47%	0.95%	1.91%	1.55%	1.55%	1.14%	1.29%	1.64%	2.23%	2.57%	1.64%	1.41%	2.14%	1.32%	1.29%	1.35%	2.80%	1.44%	2.11%	1.86%	1.52%	0.97%	1.90%	1.76%	1.20%	1.68%	1.47%	1.61%	1.46%	0.92%	1.72%	1.31%	1.94%	1.36%	1.79%	1.17%	1.90%	1.47%	2.63%	1.47%	1.31%	1.30%	2.47%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	59	0	2	0	0	0	0	0	0	0	1	1	0	3	0	0	0	2	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	11	0	0	0	0	0	0	1	1	0	0	0	1	1	1	11	0	3	1	0	0	0	2	0	0	0	0	3	0	0	1	2	1	0	0	2	0	0					
		0.07%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.11%	0.0%	0.33%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.10%	0.09%	0.0%	0.19%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.09%	0.0%	1.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.10%	0.0%	0.0%	0.0%	0.09%	0.10%	0.10%	1.04%	0.0%	0.32%	0.12%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.07%	0.15%	0.09%	0.0%	0.0%	0.55%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	924	14	7	7	10	15	15	14	12	8	10	11	7	10	6	11	17	5	11	15	8	12	7	9	24	10	10	14	10	8	11	5	12	15	11	18	14	13	7	0	12	19	7	18	14	13	7	13	13	14	12	13	16	17	6	17	8	8	5	16	9	9	14	13	6	14	18	6	4	10	14	10	7	10	23	16	15	18	10	13	8	6	0	0					
		1.15%	1.68%	0.92%	0.64%	0.99%	1.47%	1.35%	1.32%	1.38%	0.98%	1.13%	1.21%	0.82%	1.11%	0.61%	1.01%	1.62%	0.55%	1.26%	1.57%	0.75%	1.29%	0.65%	0.91%	2.36%	1.07%	1.06%	1.85%	1.23%	0.88%	1.34%	0.63%	1.31%	1.67%	1.26%	1.94%	1.24%	1.15%	0.88%	0.0%	1.14%	1.45%	0.63%	1.75%	1.33%	1.11%	0.88%	1.45%	1.52%	1.77%	1.21%	1.26%	1.51%	1.37%	0.62%	1.48%	0.82%	0.76%	0.46%	1.73%	0.97%	0.85%	1.37%	1.42%	0.72%	1.14%	1.61%	0.58%	0.52%	1.44%	1.15%	0.77%	0.59%	0.89%	1.79%	1.45%	1.10%	1.39%	0.98%	1.00%	1.04%	1.65%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	118	1	1	1	0	1	2	6	4	0	1	1	2	0	3	3	2	1	0	2	0	0	0	1	1	0	1	2	0	1	1	4	1	0	1	2	2	2	27	0	0	1	0	0	2	1	1	0	1	4	3	0	1	2	0	1	0	0	2	0	1	2	1	1	2	0	0	1	1	1	2	0	3	0	1	0	2	0	1	0	0	3	0	0					
		0.14%	0.12%	0.13%	0.09%	0.0%	0.09%	0.18%	0.56%	0.46%	0.0%	0.11%	0.11%	0.23%	0.0%	0.30%	0.27%	0.19%	0.11%	0.0%	0.20%	0.0%	0.0%	0.0%	0.10%	0.09%	0.0%	0.10%	0.26%	0.0%	0.11%	0.12%	0.50%	0.10%	0.0%	0.11%	0.21%	0.17%	0.17%	3.40%	0.0%	0.0%	0.07%	0.0%	0.0%	0.19%	0.08%	0.12%	0.0%	0.11%	0.50%	0.30%	0.0%	0.09%	0.16%	0.0%	0.08%	0.0%	0.0%	0.18%	0.0%	0.10%	0.19%	0.09%	0.10%	0.24%	0.0%	0.0%	0.09%	0.13%	0.14%	0.16%	0.0%	0.25%	0.0%	0.07%	0.0%	0.14%	0.0%	0.09%	0.0%	0.0%	0.82%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	172	1	0	3	3	3	4	5	1	4	1	1	3	8	0	0	4	1	0	0	2	2	2	2	4	3	2	2	2	0	3	0	1	4	4	3	5	1	2	0	5	5	3	3	3	4	1	3	0	0	2	1	0	0	2	2	1	2	2	2	3	3	1	2	1	7	2	1	1	0	1	2	0	1	1	0	2	3	3	8	1	2	0	0					
		0.21%	0.12%	0.0%	0.27%	0.29%	0.29%	0.36%	0.47%	0.11%	0.49%	0.11%	0.11%	0.35%	0.89%	0.0%	0.0%	0.38%	0.11%	0.0%	0.0%	0.18%	0.21%	0.18%	0.20%	0.39%	0.32%	0.21%	0.26%	0.24%	0.0%	0.36%	0.0%	0.10%	0.44%	0.45%	0.32%	0.44%	0.08%	0.25%	0.0%	0.47%	0.38%	0.27%	0.29%	0.28%	0.34%	0.12%	0.33%	0.0%	0.0%	0.20%	0.09%	0.0%	0.0%	0.20%	0.17%	0.10%	0.19%	0.18%	0.21%	0.32%	0.28%	0.09%	0.21%	0.12%	0.57%	0.17%	0.09%	0.13%	0.0%	0.08%	0.15%	0.0%	0.08%	0.07%	0.0%	0.14%	0.23%	0.29%	0.61%	0.13%	0.55%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	109	2	0	2	0	2	1	0	2	2	3	1	2	1	2	2	3	0	0	0	3	0	2	1	0	1	1	0	2	0	2	0	2	0	7	0	0	5	0	0	2	1	3	1	1	5	0	1	1	0	0	1	0	0	2	1	4	1	0	2	1	0	0	1	2	1	2	2	2	1	0	0	0	1	3	1	4	0	7	2	1	1	0	0					
