Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Котовская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	5	0	3	0	3	1	4	1	0	5	1	3									
		0.20%	0.37%	0.00%	0.45%	0.00%	0.31%	0.13%	0.38%	0.08%	0.00%	0.34%	0.07%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	2	0	1	1	0	0	0	2	1	2									
		0.08%	0.07%	0.00%	0.30%	0.00%	0.10%	0.13%	0.00%	0.00%	0.00%	0.14%	0.07%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	440	41	25	4	18	12	33	62	41	13	64	88	39									
		3.33%	2.99%	3.81%	0.61%	1.41%	1.25%	4.17%	5.82%	3.38%	1.21%	4.32%	6.11%	3.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	2	1	1	0	1	5	2	0	0	1	2	1									
		0.12%	0.15%	0.15%	0.15%	0.00%	0.10%	0.63%	0.19%	0.00%	0.00%	0.07%	0.14%	0.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	2	1	1	1	1	2	1	0	0	4	3	3									
		0.14%	0.15%	0.15%	0.15%	0.08%	0.10%	0.25%	0.09%	0.00%	0.00%	0.27%	0.21%	0.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	3	0	2	0	1	2	1	0	0	1	0	3									
		0.10%	0.22%	0.00%	0.30%	0.00%	0.10%	0.25%	0.09%	0.00%	0.00%	0.07%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	4	1	1	2	1	2	2	0	1	3	4	4									
		0.19%	0.29%	0.15%	0.15%	0.16%	0.10%	0.25%	0.19%	0.00%	0.09%	0.20%	0.28%	0.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1058	99	66	54	55	93	62	103	83	108	154	100	81									
		7.99%	7.24%	10.06%	8.18%	4.30%	9.71%	7.83%	9.67%	6.84%	10.07%	10.40%	6.94%	6.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	4	1	0	0	1	0	1	0	0	2	3	4									
		0.12%	0.29%	0.15%	0.00%	0.00%	0.10%	0.00%	0.09%	0.00%	0.00%	0.14%	0.21%	0.32%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	369	22	16	26	85	48	25	9	39	24	18	27	30									
		2.79%	1.61%	2.44%	3.94%	6.65%	5.01%	3.16%	0.85%	3.21%	2.24%	1.22%	1.87%	2.41%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
