Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Белореченская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №699					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	930	10	20	30	20	25	15	10	25	20	20	20	20	20	20	20	20	20	10	20	20	20	10	10	15	10	15	10	10	10	10	10	10	10	10	10	5	10	15	15	15	10	10	10	5	10	5	10	15	15	15	10	10	10	10	5	10	15	10	10	10	10	10	10	15	10	5	15	15	10	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	392	3	8	28	18	17	14	9	20	18	18	15	10	10	10	19	8	15	2	3	9	20	2	1	7	2	12	0	4	0	0	0	0	0	0	0	0	2	4	9	4	3	0	0	0	0	0	1	15	3	5	0	2	10	1	0	0	6	0	0	1	0	1	3	6	1	0	5	1	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	264	4	1	1	4	7	4	11	8	5	9	2	5	2	7	1	5	12	6	3	2	5	1	1	2	2	2	3	3	2	3	0	2	2	1	3	0	2	2	3	10	2	1	4	1	2	0	1	3	3	2	0	4	4	2	3	8	0	2	3	0	32	0	5	4	2	0	5	3	2	2	16					
14	Число погашенных неиспользованных открепительных удостоверений	538	7	12	2	2	8	1	1	5	2	2	5	10	10	10	1	12	5	8	17	11	0	8	9	8	8	3	10	6	10	10	10	10	10	10	10	5	8	11	6	11	7	10	10	5	10	5	9	0	12	10	10	8	0	9	5	10	9	10	10	9	10	9	7	9	9	5	10	14	10	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	5	1	1	1	2	0	4	2	3	1	1	1	0	1	1	0	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	5	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	1160	7	21	25	39	29	18	22	43	50	31	44	36	32	49	31	30	0	25	26	23	47	10	15	22	15	20	11	13	6	8	5	10	8	23	9	2	4	9	25	32	8	4	11	4	9	3	2	21	15	27	3	8	4	1	4	16	0	10	1	9	5	1	3	47	1	5	19	17	7	14	6					
		1.81%	0.74%	1.07%	1.45%	3.39%	1.84%	0.99%	3.59%	4.59%	2.67%	1.62%	2.19%	1.61%	2.75%	2.60%	1.48%	1.42%	0.00%	4.15%	1.42%	1.31%	2.58%	1.88%	2.12%	1.91%	4.35%	1.30%	1.77%	1.41%	1.11%	2.11%	2.03%	3.07%	1.26%	3.03%	1.41%	1.21%	1.76%	0.70%	1.80%	3.21%	2.30%	1.48%	1.41%	2.37%	2.78%	3.13%	0.60%	1.80%	1.39%	2.21%	1.17%	1.41%	0.52%	0.37%	2.20%	1.95%	0.00%	2.36%	0.39%	3.37%	1.14%	0.36%	0.83%	5.28%	0.58%	3.65%	1.21%	1.51%	1.32%	2.76%	2.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	257	4	5	7	4	10	13	5	4	18	15	12	12	5	4	13	11	0	5	8	8	5	1	1	2	2	0	2	3	0	2	1	0	1	3	0	0	0	2	2	4	2	1	4	1	6	0	3	3	2	4	0	1	4	2	0	2	0	4	1	3	4	1	3	3	1	0	3	1	1	3	0					
		0.40%	0.42%	0.26%	0.40%	0.35%	0.63%	0.72%	0.82%	0.43%	0.96%	0.78%	0.60%	0.54%	0.43%	0.21%	0.62%	0.52%	0.00%	0.83%	0.44%	0.46%	0.27%	0.19%	0.14%	0.17%	0.58%	0.00%	0.32%	0.33%	0.00%	0.53%	0.41%	0.00%	0.16%	0.40%	0.00%	0.00%	0.00%	0.15%	0.14%	0.40%	0.57%	0.37%	0.51%	0.59%	1.85%	0.00%	0.90%	0.26%	0.19%	0.33%	0.00%	0.18%	0.52%	0.75%	0.00%	0.24%	0.00%	0.94%	0.39%	1.12%	0.91%	0.36%	0.83%	0.34%	0.58%	0.00%	0.19%	0.09%	0.19%	0.59%	0.00%					
20	3.Политическая партия «Демократическая партия России»	86	0	1	1	2	0	0	2	1	5	2	1	1	2	5	3	0	0	2	2	0	0	1	2	0	3	1	0	1	0	0	1	0	0	0	0	0	1	1	1	2	0	0	1	0	2	0	2	0	0	1	0	0	2	0	0	1	0	0	1	1	1	0	2	2	0	0	1	24	0	0	1					
		0.13%	0.00%	0.05%	0.06%	0.17%	0.00%	0.00%	0.33%	0.11%	0.27%	0.10%	0.05%	0.04%	0.17%	0.27%	0.14%	0.00%	0.00%	0.33%	0.11%	0.00%	0.00%	0.19%	0.28%	0.00%	0.87%	0.06%	0.00%	0.11%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.08%	0.07%	0.20%	0.00%	0.00%	0.13%	0.00%	0.62%	0.00%	0.60%	0.00%	0.00%	0.08%	0.00%	0.00%	0.26%	0.00%	0.00%	0.12%	0.00%	0.00%	0.39%	0.37%	0.23%	0.00%	0.56%	0.22%	0.00%	0.00%	0.06%	2.13%	0.00%	0.00%	0.36%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7106	93	188	209	188	132	158	101	155	225	233	226	263	201	143	150	159	450	102	126	142	185	48	60	167	20	163	68	52	40	15	21	67	73	174	54	16	22	133	155	151	37	29	116	14	40	8	37	179	122	169	18	2	15	13	16	102	119	25	28	20	36	27	61	83	1	45	124	105	55	96	36					
		11.08%	9.86%	9.62%	12.08%	16.35%	8.37%	8.71%	16.50%	16.56%	11.99%	12.17%	11.27%	11.79%	17.30%	7.59%	7.18%	7.52%	24.83%	16.94%	6.90%	8.11%	10.15%	9.01%	8.47%	14.52%	5.80%	10.56%	10.95%	5.65%	7.41%	3.96%	8.54%	20.55%	11.48%	22.96%	8.44%	9.70%	9.69%	10.28%	11.17%	15.16%	10.63%	10.70%	14.85%	8.28%	12.35%	8.33%	11.11%	15.33%	11.30%	13.83%	7.00%	0.35%	1.94%	4.85%	8.79%	12.41%	11.50%	5.90%	10.85%	7.49%	8.20%	9.75%	16.94%	9.33%	0.58%	32.85%	7.88%	9.30%	10.40%	18.93%	13.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	254	4	2	8	13	5	6	3	13	14	19	8	9	7	6	5	9	0	8	5	4	6	1	1	8	1	5	0	3	1	1	1	0	2	6	0	0	0	4	7	3	0	0	8	0	2	0	0	0	5	1	0	3	2	0	1	4	0	1	4	2	3	1	1	2	0	0	5	5	3	2	1					
		0.40%	0.42%	0.10%	0.46%	1.13%	0.32%	0.33%	0.49%	1.39%	0.75%	0.99%	0.40%	0.40%	0.60%	0.32%	0.24%	0.43%	0.00%	1.33%	0.27%	0.23%	0.33%	0.19%	0.14%	0.70%	0.29%	0.32%	0.00%	0.33%	0.19%	0.26%	0.41%	0.00%	0.31%	0.79%	0.00%	0.00%	0.00%	0.31%	0.50%	0.30%	0.00%	0.00%	1.02%	0.00%	0.62%	0.00%	0.00%	0.00%	0.46%	0.08%	0.00%	0.53%	0.26%	0.00%	0.55%	0.49%	0.00%	0.24%	1.55%	0.75%	0.68%	0.36%	0.28%	0.22%	0.00%	0.00%	0.32%	0.44%	0.57%	0.39%	0.36%					
23	6.Политическая партия «Партия социальной справедливости»	147	0	0	0	4	1	3	4	2	3	0	4	2	1	2	79	0	0	0	2	0	4	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	2	0	2	0	0	1	3	1	0	1	0	0	0	4	0	3	1	1	0	0	1	2	0	0	0	0	2	1	0					
		0.23%	0.00%	0.00%	0.00%	0.35%	0.06%	0.17%	0.65%	0.21%	0.16%	0.00%	0.20%	0.09%	0.09%	0.11%	3.78%	0.00%	0.00%	0.00%	0.11%	0.00%	0.22%	0.00%	0.14%	0.00%	0.00%	0.06%	0.16%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.26%	0.00%	0.62%	0.00%	0.00%	0.09%	0.28%	0.08%	0.00%	0.18%	0.00%	0.00%	0.00%	0.49%	0.00%	0.71%	0.39%	0.37%	0.00%	0.00%	0.28%	0.22%	0.00%	0.00%	0.00%	0.00%	0.38%	0.20%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3132	39	104	97	99	88	91	50	62	90	98	107	106	112	68	61	78	45	44	86	70	113	36	28	81	27	98	57	36	22	27	18	15	33	54	31	12	10	50	47	43	23	11	40	5	25	7	6	46	40	36	3	3	11	6	4	35	100	13	3	14	16	13	26	62	3	10	51	36	22	2	27					
		4.88%	4.14%	5.32%	5.61%	8.61%	5.58%	5.02%	8.17%	6.62%	4.80%	5.12%	5.33%	4.75%	9.64%	3.61%	2.92%	3.69%	2.48%	7.31%	4.71%	3.99%	6.20%	6.75%	3.95%	7.04%	7.83%	6.35%	9.18%	3.91%	4.07%	7.12%	7.32%	4.60%	5.19%	7.12%	4.84%	7.27%	4.41%	3.86%	3.39%	4.32%	6.61%	4.06%	5.12%	2.96%	7.72%	7.29%	1.80%	3.94%	3.70%	2.95%	1.17%	0.53%	1.42%	2.24%	2.20%	4.26%	9.66%	3.07%	1.16%	5.24%	3.64%	4.69%	7.22%	6.97%	1.75%	7.30%	3.24%	3.19%	4.16%	0.39%	9.85%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3713	45	95	116	121	97	89	59	93	77	124	99	115	80	82	4	71	5	60	74	61	107	37	52	75	44	115	46	55	30	43	32	37	76	47	76	11	17	43	69	54	22	37	69	35	42	10	19	82	52	58	23	4	53	32	19	31	0	28	16	35	54	15	30	76	4	11	72	46	41	38	26					
		5.79%	4.77%	4.86%	6.71%	10.52%	6.15%	4.91%	9.64%	9.94%	4.10%	6.48%	4.94%	5.15%	6.88%	4.35%	0.19%	3.36%	0.28%	9.97%	4.05%	3.48%	5.87%	6.94%	7.34%	6.52%	12.75%	7.45%	7.41%	5.98%	5.56%	11.35%	13.01%	11.35%	11.95%	6.20%	11.88%	6.67%	7.49%	3.32%	4.97%	5.42%	6.32%	13.65%	8.83%	20.71%	12.96%	10.42%	5.71%	7.02%	4.81%	4.75%	8.95%	0.70%	6.85%	11.94%	10.44%	3.77%	0.00%	6.60%	6.20%	13.11%	12.30%	5.42%	8.33%	8.54%	2.34%	8.03%	4.58%	4.07%	7.75%	7.50%	9.49%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	846	5	3	5	8	0	6	3	5	2	6	3	6	4	6	613	8	0	3	6	9	6	1	4	7	1	4	5	4	2	1	2	1	2	5	6	0	1	7	2	6	2	0	2	0	3	0	0	0	9	7	0	4	4	0	0	4	0	4	2	1	4	0	7	7	1	2	7	4	1	2	1					
		1.32%	0.53%	0.15%	0.29%	0.70%	0.00%	0.33%	0.49%	0.53%	0.11%	0.31%	0.15%	0.27%	0.34%	0.32%	29.36%	0.38%	0.00%	0.50%	0.33%	0.51%	0.33%	0.19%	0.56%	0.61%	0.29%	0.26%	0.81%	0.43%	0.37%	0.26%	0.81%	0.31%	0.31%	0.66%	0.94%	0.00%	0.44%	0.54%	0.14%	0.60%	0.57%	0.00%	0.26%	0.00%	0.93%	0.00%	0.00%	0.00%	0.83%	0.57%	0.00%	0.70%	0.52%	0.00%	0.00%	0.49%	0.00%	0.94%	0.78%	0.37%	0.91%	0.00%	1.94%	0.79%	0.58%	1.46%	0.45%	0.35%	0.19%	0.39%	0.36%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46297	745	1518	1233	640	1188	1404	336	533	1362	1353	1459	1631	686	1493	1106	1729	1300	335	1463	1423	1311	391	519	779	215	1111	413	750	437	280	156	171	436	405	449	123	171	1030	1061	666	250	186	517	104	180	62	257	811	799	911	204	539	672	212	137	614	801	328	177	175	307	199	204	588	150	56	1268	883	385	334	176					
		72.16%	79.00%	77.69%	71.27%	55.65%	75.33%	77.40%	54.90%	56.94%	72.60%	70.65%	72.73%	73.11%	59.04%	79.20%	52.97%	81.79%	71.74%	55.65%	80.16%	81.22%	71.91%	73.36%	73.31%	67.74%	62.32%	71.96%	66.51%	81.52%	80.93%	73.88%	63.41%	52.45%	68.55%	53.43%	70.16%	74.55%	75.33%	79.60%	76.44%	66.87%	71.84%	68.63%	66.20%	61.54%	55.56%	64.58%	77.18%	69.43%	73.98%	74.55%	79.38%	94.73%	86.82%	79.10%	75.27%	74.70%	77.39%	77.36%	68.60%	65.54%	69.93%	71.84%	56.67%	66.07%	87.72%	40.88%	80.61%	78.21%	72.78%	65.88%	64.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	276	0	7	13	10	12	23	11	6	9	15	10	12	3	10	0	14	0	4	6	3	5	2	1	6	1	5	7	3	1	0	0	0	5	1	4	0	0	5	5	3	4	1	2	1	2	1	3	2	4	0	0	1	2	0	0	5	0	0	3	0	0	0	3	2	5	1	4	4	3	1	0					
		0.43%	0.00%	0.36%	0.75%	0.87%	0.76%	1.27%	1.80%	0.64%	0.48%	0.78%	0.50%	0.54%	0.26%	0.53%	0.00%	0.66%	0.00%	0.66%	0.33%	0.17%	0.27%	0.38%	0.14%	0.52%	0.29%	0.32%	1.13%	0.33%	0.19%	0.00%	0.00%	0.00%	0.79%	0.13%	0.63%	0.00%	0.00%	0.39%	0.36%	0.30%	1.15%	0.37%	0.26%	0.59%	0.62%	1.04%	0.90%	0.17%	0.37%	0.00%	0.00%	0.18%	0.26%	0.00%	0.00%	0.61%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.83%	0.22%	2.92%	0.73%	0.25%	0.35%	0.57%	0.20%	0.00%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
