Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Ершовская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	15	5	5	10	10	10	20	15	10	10	5	10	5	5	5	10	10	10	5	10	10	15	20	5	5	15	10	25	10	10	10	10	25	10	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	443	18	10	20	9	11	11	12	12	9	12	19	8	6	8	20	4	0	2	10	6	10	14	15	4	7	5	6	5	0	2	1	10	4	1	2	10	7	20	5	5	15	10	25	2	3	3	3	25	0	14	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	162	2	10	6	4	4	6	4	3	2	5	5	6	4	2	0	2	2	3	2	2	2	6	0	4	2	0	0	0	1	0	1	2	1	0	1	1	4	28	5	1	4	0	6	2	2	0	0	2	2	1	9	1									
14	Число погашенных неиспользованных открепительных удостоверений	262	2	10	0	11	9	9	8	8	11	8	1	12	14	12	0	11	5	3	0	4	0	6	0	6	3	0	4	0	5	3	9	0	6	4	8	0	8	0	0	0	0	0	0	8	7	7	7	0	10	1	12	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	180	3	12	10	7	7	2	7	7	4	13	0	4	1	6	11	8	2	0	2	1	1	12	0	1	2	0	0	1	2	1	0	0	2	4	0	5	3	6	0	2	5	2	1	1	5	1	7	3	1	5	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	4	1	1	3	8	6	2	3	7	9	9	3	3	5	8	1	2	2	1	1	1	3	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	5	0	0	0	1	1	1	0	0	2	4	0	2	1	2									
		0.61%	0.68%	0.14%	0.22%	0.71%	1.26%	1.30%	0.36%	0.47%	1.11%	1.23%	1.33%	0.69%	0.82%	0.95%	1.29%	0.42%	1.56%	1.23%	0.33%	0.66%	0.69%	0.67%	0.44%	0.00%	0.59%	0.00%	0.00%	0.00%	0.71%	0.49%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.60%	0.28%	0.38%	0.00%	0.00%	0.93%	1.06%	0.00%	0.65%	0.40%	0.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	529	27	1	14	12	23	19	17	15	14	10	22	15	19	24	19	9	12	3	10	10	0	26	4	6	7	2	12	0	0	4	10	8	5	8	5	6	11	1	7	10	9	6	3	7	7	11	8	15	9	6	5	16									
		3.01%	4.61%	0.14%	3.14%	2.85%	3.62%	4.12%	3.07%	2.37%	2.22%	1.37%	3.24%	3.44%	5.19%	4.54%	3.05%	3.75%	9.38%	1.84%	3.31%	6.62%	0.00%	5.80%	1.77%	3.13%	4.12%	1.65%	4.48%	0.00%	0.00%	1.94%	4.41%	3.03%	2.39%	4.42%	3.07%	2.87%	3.04%	0.13%	3.72%	6.58%	2.69%	3.57%	0.85%	2.69%	3.15%	3.85%	3.74%	3.96%	2.93%	1.96%	1.98%	7.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	206	9	2	0	10	10	9	7	12	5	5	12	4	3	8	8	5	2	3	7	3	2	2	0	1	5	0	0	0	0	6	3	2	2	3	2	0	2	2	0	2	2	5	1	3	3	3	3	12	5	7	1	3									
		1.17%	1.54%	0.27%	0.00%	2.38%	1.57%	1.95%	1.26%	1.89%	0.79%	0.68%	1.77%	0.92%	0.82%	1.51%	1.29%	2.08%	1.56%	1.84%	2.32%	1.99%	1.39%	0.45%	0.00%	0.52%	2.94%	0.00%	0.00%	0.00%	0.00%	2.91%	1.32%	0.76%	0.96%	1.66%	1.23%	0.00%	0.55%	0.25%	0.00%	1.32%	0.60%	2.98%	0.28%	1.15%	1.35%	1.05%	1.40%	3.17%	1.63%	2.29%	0.40%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10627	301	562	267	240	322	218	310	366	317	479	365	215	200	277	341	130	63	120	205	111	82	247	147	124	101	82	188	131	122	139	147	171	144	119	125	162	267	494	118	107	198	98	192	189	143	166	121	212	215	172	180	115									
		60.44%	51.37%	76.36%	59.87%	57.01%	50.63%	47.29%	55.96%	57.73%	50.16%	65.44%	53.76%	49.31%	54.64%	52.36%	54.82%	54.17%	49.22%	73.62%	67.88%	73.51%	56.94%	55.13%	65.04%	64.58%	59.41%	67.77%	70.15%	75.29%	86.52%	67.48%	64.76%	64.77%	68.90%	65.75%	76.69%	77.51%	73.76%	61.90%	62.77%	70.39%	59.28%	58.33%	54.24%	72.69%	64.41%	58.04%	56.54%	55.94%	70.03%	56.21%	71.15%	56.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	0	0	0	1	1	5	1	5	5	2	4	4	2	3	2	3	1	0	0	0	0	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	6	1	0	3	0	2	0	0									
		0.34%	0.00%	0.00%	0.00%	0.24%	0.16%	1.08%	0.18%	0.79%	0.79%	0.27%	0.59%	0.92%	0.55%	0.57%	0.32%	1.25%	0.78%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.52%	0.59%	0.00%	0.00%	0.00%	0.00%	0.49%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.38%	2.70%	0.35%	0.00%	0.79%	0.00%	0.65%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	0	1	1	0	3	0	0	0	0	0									
		0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.23%	0.00%	0.19%	0.00%	0.42%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.66%	1.20%	0.60%	0.00%	0.38%	0.45%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2414	88	97	59	67	119	92	75	113	133	67	101	85	56	94	111	57	13	17	41	13	18	49	17	16	34	11	24	21	12	16	14	36	33	5	6	20	38	116	22	18	31	9	59	20	21	37	31	52	30	52	25	23									
		13.73%	15.02%	13.18%	13.23%	15.91%	18.71%	19.96%	13.54%	17.82%	21.04%	9.15%	14.87%	19.50%	15.30%	17.77%	17.85%	23.75%	10.16%	10.43%	13.58%	8.61%	12.50%	10.94%	7.52%	8.33%	20.00%	9.09%	8.96%	12.07%	8.51%	7.77%	6.17%	13.64%	15.79%	2.76%	3.68%	9.57%	10.50%	14.54%	11.70%	11.84%	9.28%	5.36%	16.67%	7.69%	9.46%	12.94%	14.49%	13.72%	9.77%	16.99%	9.88%	11.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	61	9	0	0	1	7	1	1	4	0	1	1	4	3	5	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	5	2	1	0									
		0.35%	1.54%	0.00%	0.00%	0.24%	1.10%	0.22%	0.18%	0.63%	0.00%	0.14%	0.15%	0.92%	0.82%	0.95%	0.64%	0.00%	0.00%	0.00%	0.33%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.60%	0.28%	0.38%	0.00%	0.00%	0.00%	0.00%	1.63%	0.65%	0.40%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	62	12	0	2	2	2	4	4	5	5	2	1	3	2	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	1	0	0									
		0.35%	2.05%	0.00%	0.45%	0.48%	0.31%	0.87%	0.72%	0.79%	0.79%	0.27%	0.15%	0.69%	0.55%	0.00%	0.32%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.44%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.30%	1.19%	0.00%	0.00%	0.00%	0.35%	0.47%	0.00%	0.00%	0.33%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	1	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	2	0	1									
		0.09%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.23%	0.00%	0.38%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.38%	0.45%	0.00%	0.00%	0.53%	0.00%	0.65%	0.00%	0.49%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	9	1	6	3	1	6	5	7	12	10	6	1	3	4	6	0	0	0	0	2	0	0	1	0	1	0	0	0	0	3	1	1	2	0	0	0	1	1	0	0	1	0	4	0	2	1	1	3	0	4	0	2									
		0.63%	1.54%	0.14%	1.35%	0.71%	0.16%	1.30%	0.90%	1.10%	1.90%	1.37%	0.88%	0.23%	0.82%	0.76%	0.96%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.44%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	1.46%	0.44%	0.38%	0.96%	0.00%	0.00%	0.00%	0.28%	0.13%	0.00%	0.00%	0.30%	0.00%	1.13%	0.00%	0.90%	0.35%	0.47%	0.79%	0.00%	1.31%	0.00%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2471	79	67	75	58	99	56	79	74	76	87	108	68	51	69	93	23	34	11	24	10	35	99	38	36	16	21	38	22	5	32	38	39	17	40	21	17	37	119	35	7	78	31	81	32	23	52	16	59	38	45	34	29									
		14.05%	13.48%	9.10%	16.82%	13.78%	15.57%	12.15%	14.26%	11.67%	12.03%	11.89%	15.91%	15.60%	13.93%	13.04%	14.95%	9.58%	26.56%	6.75%	7.95%	6.62%	24.31%	22.10%	16.81%	18.75%	9.41%	17.36%	14.18%	12.64%	3.55%	15.53%	16.74%	14.77%	8.13%	22.10%	12.88%	8.13%	10.22%	14.91%	18.62%	4.61%	23.35%	18.45%	22.88%	12.31%	10.36%	18.18%	7.48%	15.57%	12.38%	14.71%	13.44%	14.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	1	0	1	1	2	0	1	2	3	4	0	0	2	3	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	1	2	1	0	0	0	1									
		0.20%	0.17%	0.00%	0.22%	0.24%	0.31%	0.00%	0.18%	0.32%	0.47%	0.55%	0.00%	0.00%	0.55%	0.57%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	1.32%	0.30%	0.00%	0.28%	0.00%	0.00%	0.35%	0.93%	0.26%	0.00%	0.00%	0.00%	0.49%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	699	33	3	16	20	33	39	47	21	46	45	45	24	21	29	19	8	0	6	12	0	1	14	12	7	3	5	5	0	0	4	4	2	1	6	4	4	1	54	5	4	9	5	10	4	6	8	20	8	5	6	4	11									
		3.98%	5.63%	0.41%	3.59%	4.75%	5.19%	8.46%	8.48%	3.31%	7.28%	6.15%	6.63%	5.50%	5.74%	5.48%	3.05%	3.33%	0.00%	3.68%	3.97%	0.00%	0.69%	3.13%	5.31%	3.65%	1.76%	4.13%	1.87%	0.00%	0.00%	1.94%	1.76%	0.76%	0.48%	3.31%	2.45%	1.91%	0.28%	6.77%	2.66%	2.63%	2.69%	2.98%	2.82%	1.54%	2.70%	2.80%	9.35%	2.11%	1.63%	1.96%	1.58%	5.39%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
