Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Щелковская																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172					
11	Число полученных открепительных  удостоверений	3491	80	80	80	40	40	40	40	40	40	40	40	40	40	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	20	20	20	40	80	80	80	80	40	40	40	40	40	80	80	40	40	40	80	80	80	80	80	40	50	30	31	20	20	20	20	20	30	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	1400	33	22	47	6	12	15	12	11	8	12	23	12	14	2	11	16	7	8	14	9	17	14	13	12	21	12	10	6	22	18	0	4	3	23	28	42	52	32	31	31	39	24	21	56	41	5	5	2	52	44	44	31	18	25	10	16	16	10	4	8	9	7	21	28	18	3	6	11	6	6	5	5	0	9	2	2	15	1	8	27	2	4	0	17	5	8	0	4	4	8	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1139	18	10	9	19	17	10	9	0	8	10	7	8	8	7	14	15	7	11	10	20	16	23	32	14	23	10	9	9	24	9	19	17	5	7	11	9	13	13	10	17	9	7	13	32	0	62	26	24	26	13	25	11	49	13	11	17	5	25	14	17	7	4	6	2	3	1	13	3	18	1	7	3	8	4	9	4	11	7	8	34	17	7	7	6	6	10	5	4	2	7	7	2					
14	Число неиспользованных открепительных удостоверений	2091	47	58	33	34	28	25	28	29	32	28	17	28	26	18	29	24	33	32	26	31	23	26	27	28	19	28	30	34	18	22	20	16	17	17	52	38	28	48	9	9	1	16	19	24	39	35	35	38	28	36	36	49	62	15	40	14	15	10	16	12	11	13	9	2	2	17	14	9	14	14	15	15	20	11	18	18	5	19	12	13	18	16	20	3	15	12	20	16	16	12	20	17					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	48	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																			
18	. Глазьев Сергей Юрьевич	5916	129	117	78	43	56	83	64	80	98	58	70	55	75	19	58	59	56	34	75	58	59	59	84	52	90	69	42	42	104	77	14	10	5	95	144	186	198	150	169	138	140	115	87	137	121	26	18	21	116	87	110	108	63	142	46	47	64	38	69	86	43	48	37	45	37	41	59	81	56	46	11	17	79	9	24	23	62	26	57	82	18	43	10	17	30	20	8	3	18	51	13	9					
		6.43%	10.32%	7.98%	4.37%	5.91%	4.71%	6.19%	6.95%	6.49%	6.01%	5.39%	5.50%	4.94%	5.69%	4.76%	4.00%	5.67%	5.72%	3.91%	8.52%	5.65%	6.08%	5.28%	5.64%	4.72%	5.41%	5.88%	4.86%	4.54%	7.22%	5.15%	4.86%	3.02%	4.03%	8.50%	10.27%	13.23%	9.55%	8.98%	11.44%	9.77%	9.43%	7.77%	5.68%	9.63%	6.99%	7.28%	6.36%	11.05%	6.67%	3.17%	6.73%	6.68%	6.69%	10.15%	4.20%	4.69%	5.59%	4.40%	6.14%	6.40%	6.73%	3.83%	3.88%	3.77%	4.64%	8.84%	5.79%	8.04%	6.95%	8.36%	4.53%	6.18%	9.24%	2.47%	6.69%	8.36%	5.13%	5.54%	5.98%	4.71%	6.55%	5.13%	4.85%	5.12%	9.77%	7.22%	2.78%	1.38%	3.39%	4.72%	5.33%	2.87%					
19	. Малышкин Олег Александрович	1383	13	22	42	9	14	21	11	16	20	12	26	16	14	5	20	15	15	14	11	13	12	12	20	17	16	13	14	13	11	27	2	6	4	10	10	22	28	30	19	19	24	25	34	5	22	9	2	4	30	45	26	31	15	10	11	14	28	8	24	39	6	24	11	25	19	8	10	23	12	8	4	4	19	8	2	3	19	9	11	26	4	10	5	6	4	9	3	3	12	17	7	12					
		1.50%	1.04%	1.50%	2.35%	1.24%	1.18%	1.57%	1.19%	1.30%	1.23%	1.11%	2.04%	1.44%	1.06%	1.25%	1.38%	1.44%	1.53%	1.61%	1.25%	1.27%	1.24%	1.07%	1.34%	1.54%	0.96%	1.11%	1.62%	1.40%	0.76%	1.80%	0.69%	1.81%	3.23%	0.90%	0.71%	1.56%	1.35%	1.80%	1.29%	1.34%	1.62%	1.69%	2.22%	0.35%	1.27%	2.52%	0.71%	2.11%	1.73%	1.64%	1.59%	1.92%	1.59%	0.71%	1.01%	1.40%	2.45%	0.93%	2.14%	2.90%	0.94%	1.92%	1.15%	2.09%	2.38%	1.72%	0.98%	2.28%	1.49%	1.45%	1.65%	1.45%	2.22%	2.20%	0.56%	1.09%	1.57%	1.92%	1.15%	1.49%	1.45%	1.19%	2.43%	1.81%	1.30%	3.25%	1.04%	1.38%	2.26%	1.57%	2.87%	3.82%					
20	. Миронов Сергей Михайлович	578	6	11	16	6	9	12	4	10	8	5	22	6	6	3	8	6	6	8	3	3	7	6	5	4	9	2	9	10	8	8	1	0	0	8	4	8	13	15	9	5	6	6	9	14	17	0	1	0	9	18	13	7	6	7	7	4	6	7	10	10	2	9	2	13	3	2	13	4	7	6	1	0	5	2	7	3	5	1	9	9	2	3	2	1	0	1	2	2	8	5	2	1					
		0.63%	0.48%	0.75%	0.90%	0.83%	0.76%	0.90%	0.43%	0.81%	0.49%	0.46%	1.73%	0.54%	0.45%	0.75%	0.55%	0.58%	0.61%	0.92%	0.34%	0.29%	0.72%	0.54%	0.34%	0.36%	0.54%	0.17%	1.04%	1.08%	0.56%	0.53%	0.35%	0.00%	0.00%	0.72%	0.29%	0.57%	0.63%	0.90%	0.61%	0.35%	0.40%	0.41%	0.59%	0.98%	0.98%	0.00%	0.35%	0.00%	0.52%	0.66%	0.80%	0.43%	0.64%	0.50%	0.64%	0.40%	0.52%	0.81%	0.89%	0.74%	0.31%	0.72%	0.21%	1.09%	0.38%	0.43%	1.28%	0.40%	0.87%	1.09%	0.41%	0.00%	0.58%	0.55%	1.95%	1.09%	0.41%	0.21%	0.94%	0.52%	0.73%	0.36%	0.97%	0.30%	0.00%	0.36%	0.69%	0.92%	1.51%	0.46%	0.82%	0.32%					
21	. Путин Владимир Владимирович	65071	794	935	1358	504	893	984	674	917	1176	779	879	852	972	300	1104	749	699	666	597	711	699	805	1075	806	1175	853	634	675	994	1048	204	238	87	722	838	807	1400	1088	956	908	1016	1053	1101	876	1167	236	198	127	1261	2247	991	1075	611	850	845	742	823	596	793	967	456	927	758	929	606	329	709	673	563	393	192	212	581	241	281	211	847	299	700	1397	212	584	162	248	222	173	227	158	425	805	175	246					
		70.75%	63.52%	63.74%	76.08%	69.33%	75.17%	73.43%	73.18%	74.37%	72.15%	72.33%	69.05%	76.48%	73.69%	75.19%	76.14%	71.95%	71.40%	76.64%	67.84%	69.23%	72.06%	72.07%	72.20%	73.21%	70.66%	72.66%	73.38%	72.89%	69.03%	70.05%	70.83%	71.90%	70.16%	64.64%	59.77%	57.40%	67.50%	65.11%	64.73%	64.26%	68.42%	71.15%	71.87%	61.60%	67.42%	66.11%	69.96%	66.84%	72.55%	81.95%	60.61%	66.48%	64.86%	60.76%	77.24%	73.98%	71.88%	68.98%	70.61%	72.00%	71.36%	73.98%	79.45%	77.81%	75.94%	70.91%	69.58%	66.83%	69.85%	71.45%	79.01%	77.09%	67.95%	66.21%	78.27%	76.73%	70.12%	63.75%	73.45%	80.24%	77.09%	69.61%	78.64%	74.70%	72.31%	62.45%	78.82%	72.48%	80.04%	74.54%	71.72%	78.34%					
22	. Хакамада Ирина Муцуовна	4217	66	83	93	46	45	59	36	44	108	35	58	47	59	10	77	52	55	33	57	55	55	61	77	54	127	58	32	45	83	63	8	11	4	68	124	76	91	120	100	87	59	63	67	87	105	17	25	14	66	73	104	75	58	74	35	37	52	31	34	49	16	33	16	26	10	13	67	45	40	18	3	4	31	7	12	8	44	36	28	45	10	40	4	2	7	13	4	7	10	18	8	5					
		4.58%	5.28%	5.66%	5.21%	6.33%	3.79%	4.40%	3.91%	3.57%	6.63%	3.25%	4.56%	4.22%	4.47%	2.51%	5.31%	5.00%	5.62%	3.80%	6.48%	5.36%	5.67%	5.46%	5.17%	4.90%	7.64%	4.94%	3.70%	4.86%	5.76%	4.21%	2.78%	3.32%	3.23%	6.09%	8.84%	5.41%	4.39%	7.18%	6.77%	6.16%	3.97%	4.26%	4.37%	6.12%	6.07%	4.76%	8.83%	7.37%	3.80%	2.66%	6.36%	4.64%	6.16%	5.29%	3.20%	3.69%	4.54%	3.59%	3.03%	3.65%	2.50%	2.63%	1.68%	2.18%	1.25%	2.80%	6.58%	4.47%	4.96%	3.27%	1.23%	1.45%	3.63%	1.92%	3.34%	2.91%	3.64%	7.68%	2.94%	2.58%	3.64%	4.77%	1.94%	0.60%	2.28%	4.69%	1.39%	3.21%	1.88%	1.67%	3.28%	1.59%					
23	. Харитонов Николай Михайлович	9630	168	205	82	93	107	116	92	114	142	130	150	96	125	39	110	93	98	72	83	115	98	127	152	124	162	119	80	80	163	204	42	47	16	149	191	226	198	150	142	173	154	140	118	205	141	43	31	19	152	155	299	174	113	216	91	95	111	116	131	120	98	127	82	106	79	49	93	133	70	58	15	32	94	84	19	15	162	56	88	119	25	108	19	34	36	44	35	37	40	135	23	18					
		10.47%	13.44%	13.97%	4.59%	12.79%	9.01%	8.66%	9.99%	9.25%	8.71%	12.07%	11.78%	8.62%	9.48%	9.77%	7.59%	8.93%	10.01%	8.29%	9.43%	11.20%	10.10%	11.37%	10.21%	11.26%	9.74%	10.14%	9.26%	8.64%	11.32%	13.64%	14.58%	14.20%	12.90%	13.34%	13.62%	16.07%	9.55%	8.98%	9.61%	12.24%	10.37%	9.46%	7.70%	14.42%	8.15%	12.04%	10.95%	10.00%	8.75%	5.65%	18.29%	10.76%	12.00%	15.44%	8.32%	9.47%	9.69%	13.43%	11.67%	8.94%	15.34%	10.14%	8.60%	8.88%	9.90%	10.56%	9.13%	13.21%	8.68%	10.55%	6.17%	11.64%	10.99%	23.08%	5.29%	5.45%	13.41%	11.94%	9.23%	6.84%	9.09%	12.87%	9.22%	10.24%	11.73%	15.88%	12.15%	16.97%	7.53%	12.50%	9.43%	5.73%					
																																																																																																			
24	Против всех	4353	65	80	110	21	49	62	34	45	68	44	53	32	61	14	63	56	47	36	44	59	36	37	67	36	80	52	30	52	66	53	15	13	8	61	90	74	146	112	77	78	76	66	91	92	152	22	8	3	97	103	87	124	74	97	53	55	50	51	43	50	12	48	32	35	29	19	52	35	44	12	12	3	34	4	14	9	49	38	43	54	4	32	4	13	7	11	3	5	13	30	10	23					
		4.73%	5.20%	5.45%	6.16%	2.89%	4.12%	4.63%	3.69%	3.65%	4.17%	4.09%	4.16%	2.87%	4.62%	3.51%	4.34%	5.38%	4.80%	4.14%	5.00%	5.74%	3.71%	3.31%	4.50%	3.27%	4.81%	4.43%	3.47%	5.62%	4.58%	3.54%	5.21%	3.93%	6.45%	5.46%	6.42%	5.26%	7.04%	6.70%	5.21%	5.52%	5.12%	4.46%	5.94%	6.47%	8.78%	6.16%	2.83%	1.58%	5.58%	3.76%	5.32%	7.67%	7.86%	6.93%	4.84%	5.48%	4.37%	5.90%	3.83%	3.72%	1.88%	3.83%	3.35%	2.93%	3.63%	4.09%	5.10%	3.48%	5.46%	2.18%	4.94%	1.09%	3.98%	1.10%	3.90%	3.27%	4.06%	8.10%	4.51%	3.10%	1.45%	3.81%	1.94%	3.92%	2.28%	3.97%	1.04%	2.29%	2.45%	2.78%	4.10%	7.32%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
