Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Каменск-Уральская городская 																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2389	5	35	20	20	40	35	35	40	25	34	30	30	40	25	50	25	35	25	25	45	45	35	45	30	25	25	25	50	30	40	30	10	30	50	40	30	40	50	50	50	50	50	30	30	50	40	30	30	40	50	40	30	30	30	40	30	30	40	25	25	50	50	25	40	25	40	25	25	10	0	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1862	5	27	14	12	24	29	25	34	16	27	28	18	30	20	44	25	28	23	23	35	39	25	33	27	12	16	12	41	24	30	28	8	26	44	32	15	32	45	44	41	45	42	25	25	40	38	25	19	31	38	17	16	15	30	31	15	28	33	25	16	37	40	20	26	23	33	25	12	4	0	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1298	2	14	11	12	14	9	15	21	13	17	22	20	13	14	14	12	10	13	13	58	7	19	18	54	18	15	19	24	19	25	31	8	26	22	25	34	14	10	14	9	21	23	17	14	18	18	22	14	9	15	17	18	19	16	17	16	14	17	30	25	19	9	34	20	16	12	8	23	12	9	48					
14	Число погашенных неиспользованных открепительных удостоверений	527	0	8	6	8	16	6	10	6	9	7	2	12	10	5	6	0	7	2	2	10	6	10	12	3	13	9	13	9	6	10	2	2	4	6	8	15	8	5	6	9	5	8	5	5	10	2	5	11	9	12	23	14	15	0	9	15	2	7	0	9	13	10	5	14	2	7	0	13	6	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	193	0	4	2	1	6	0	0	3	3	2	2	1	2	1	1	3	0	4	6	2	8	3	0	5	6	6	2	6	3	5	1	0	4	4	4	4	1	3	4	2	2	7	2	3	4	3	3	1	6	1	6	3	1	2	6	1	0	5	3	1	5	2	1	3	1	2	3	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18865	38	124	138	104	374	284	240	383	147	105	205	201	256	246	328	355	284	232	349	364	297	286	338	302	174	203	249	345	334	328	268	92	338	341	390	230	314	400	304	385	367	330	248	232	330	401	311	351	379	359	346	239	215	283	311	244	280	334	207	249	316	272	148	412	241	176	147	21	90	39	312					
		25.88%	16.38%	23.48%	21.73%	22.76%	28.55%	28.26%	23.81%	25.02%	23.75%	21.78%	30.83%	28.43%	22.42%	25.20%	21.90%	29.34%	23.87%	21.21%	33.02%	28.55%	26.38%	24.78%	27.77%	27.63%	22.03%	26.33%	26.95%	26.91%	25.11%	21.91%	21.02%	13.35%	24.74%	22.90%	28.82%	24.49%	26.28%	29.59%	24.54%	29.41%	26.65%	24.61%	26.13%	22.24%	25.82%	27.43%	26.56%	29.18%	29.49%	27.68%	24.89%	24.77%	22.97%	31.73%	26.33%	26.70%	26.95%	27.11%	24.53%	22.17%	24.73%	28.84%	26.71%	33.63%	27.14%	26.07%	23.08%	18.42%	25.79%	12.34%	31.61%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10513	43	80	120	66	178	134	150	263	91	94	79	86	161	167	206	148	162	192	145	198	139	173	147	130	122	121	122	181	192	237	195	152	226	244	159	129	197	169	179	164	187	213	143	146	178	222	188	176	192	162	213	161	170	99	163	117	136	159	107	167	193	132	85	149	113	74	84	21	55	30	137					
		14.42%	18.53%	15.15%	18.90%	14.44%	13.59%	13.33%	14.88%	17.18%	14.70%	19.50%	11.88%	12.16%	14.10%	17.11%	13.75%	12.23%	13.61%	17.55%	13.72%	15.53%	12.34%	14.99%	12.08%	11.89%	15.44%	15.69%	13.20%	14.12%	14.44%	15.83%	15.29%	22.06%	16.54%	16.39%	11.75%	13.74%	16.49%	12.50%	14.45%	12.53%	13.58%	15.88%	15.07%	13.99%	13.93%	15.18%	16.05%	14.63%	14.94%	12.49%	15.32%	16.68%	18.16%	11.10%	13.80%	12.80%	13.09%	12.91%	12.68%	14.87%	15.10%	13.99%	15.34%	12.16%	12.73%	10.96%	13.19%	18.42%	15.76%	9.49%	13.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	551	0	5	4	3	11	6	10	12	3	4	4	4	9	9	17	10	9	15	6	12	5	13	7	7	10	9	7	3	14	11	5	9	11	20	14	9	12	4	12	8	14	15	6	6	7	14	7	5	10	6	9	9	2	3	6	6	15	12	8	6	5	9	1	6	5	6	1	0	3	2	4					
		0.76%	0.00%	0.95%	0.63%	0.66%	0.84%	0.60%	0.99%	0.78%	0.48%	0.83%	0.60%	0.57%	0.79%	0.92%	1.13%	0.83%	0.76%	1.37%	0.57%	0.94%	0.44%	1.13%	0.58%	0.64%	1.27%	1.17%	0.76%	0.23%	1.05%	0.73%	0.39%	1.31%	0.81%	1.34%	1.03%	0.96%	1.00%	0.30%	0.97%	0.61%	1.02%	1.12%	0.63%	0.58%	0.55%	0.96%	0.60%	0.42%	0.78%	0.46%	0.65%	0.93%	0.21%	0.34%	0.51%	0.66%	1.44%	0.97%	0.95%	0.53%	0.39%	0.95%	0.18%	0.49%	0.56%	0.89%	0.16%	0.00%	0.86%	0.63%	0.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13100	44	62	108	78	258	174	157	275	102	63	109	114	213	159	266	195	209	183	170	247	250	224	211	198	125	139	155	233	239	239	232	87	265	299	234	182	200	265	282	211	244	273	187	236	206	265	164	242	224	238	258	179	153	165	224	189	212	238	195	241	221	159	75	202	153	108	103	27	52	29	182					
		17.97%	18.97%	11.74%	17.01%	17.07%	19.69%	17.31%	15.58%	17.96%	16.48%	13.07%	16.39%	16.12%	18.65%	16.29%	17.76%	16.12%	17.56%	16.73%	16.08%	19.37%	22.20%	19.41%	17.34%	18.12%	15.82%	18.03%	16.77%	18.17%	17.97%	15.97%	18.20%	12.63%	19.40%	20.08%	17.29%	19.38%	16.74%	19.60%	22.76%	16.12%	17.72%	20.36%	19.70%	22.63%	16.12%	18.13%	14.01%	20.12%	17.43%	18.35%	18.56%	18.55%	16.35%	18.50%	18.97%	20.68%	20.40%	19.32%	23.10%	21.46%	17.29%	16.86%	13.54%	16.49%	17.23%	16.00%	16.17%	23.68%	14.90%	9.18%	18.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2177	3	12	12	13	37	32	49	38	11	18	21	21	54	31	47	51	41	34	31	41	56	30	42	26	16	13	39	37	42	27	29	16	45	46	45	31	33	42	34	30	48	68	27	39	49	38	27	25	33	36	53	22	12	33	39	35	46	40	30	41	64	19	5	17	11	5	9	0	4	3	23					
		2.99%	1.29%	2.27%	1.89%	2.84%	2.82%	3.18%	4.86%	2.48%	1.78%	3.73%	3.16%	2.97%	4.73%	3.18%	3.14%	4.21%	3.45%	3.11%	2.93%	3.22%	4.97%	2.60%	3.45%	2.38%	2.03%	1.69%	4.22%	2.89%	3.16%	1.80%	2.27%	2.32%	3.29%	3.09%	3.33%	3.30%	2.76%	3.11%	2.74%	2.29%	3.49%	5.07%	2.85%	3.74%	3.83%	2.60%	2.31%	2.08%	2.57%	2.78%	3.81%	2.28%	1.28%	3.70%	3.30%	3.83%	4.43%	3.25%	3.55%	3.65%	5.01%	2.01%	0.90%	1.39%	1.24%	0.74%	1.41%	0.00%	1.15%	0.95%	2.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24355	95	184	217	154	402	327	355	503	239	163	189	229	414	336	579	401	435	379	317	368	319	383	415	371	304	256	306	435	461	587	498	256	437	489	463	322	384	419	379	455	458	377	300	344	461	441	438	363	393	422	450	316	337	260	396	279	286	394	262	368	439	319	215	392	284	251	230	42	128	196	289					
		33.41%	40.95%	34.85%	34.17%	33.70%	30.69%	32.54%	35.22%	32.85%	38.61%	33.82%	28.42%	32.39%	36.25%	34.43%	38.65%	33.14%	36.55%	34.64%	29.99%	28.86%	28.33%	33.19%	34.10%	33.94%	38.48%	33.20%	33.12%	33.93%	34.66%	39.21%	39.06%	37.16%	31.99%	32.84%	34.22%	34.29%	32.13%	30.99%	30.59%	34.76%	33.26%	28.11%	31.61%	32.98%	36.07%	30.16%	37.40%	30.17%	30.58%	32.54%	32.37%	32.75%	36.00%	29.15%	33.53%	30.53%	27.53%	31.98%	31.04%	32.77%	34.35%	33.83%	38.81%	32.00%	31.98%	37.19%	36.11%	36.84%	36.68%	62.03%	29.28%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1641	2	40	16	23	22	19	20	34	15	22	33	31	19	12	21	17	23	27	21	17	33	21	29	28	17	13	20	28	17	27	16	58	23	17	25	18	19	20	31	33	24	36	21	24	26	39	8	19	25	25	25	15	16	32	20	28	31	27	21	23	22	20	13	21	43	43	40	1	4	2	20					
		2.25%	0.86%	7.58%	2.52%	5.03%	1.68%	1.89%	1.98%	2.22%	2.42%	4.56%	4.96%	4.38%	1.66%	1.23%	1.40%	1.40%	1.93%	2.47%	1.99%	1.33%	2.93%	1.82%	2.38%	2.56%	2.15%	1.69%	2.16%	2.18%	1.28%	1.80%	1.25%	8.42%	1.68%	1.14%	1.85%	1.92%	1.59%	1.48%	2.50%	2.52%	1.74%	2.68%	2.21%	2.30%	2.03%	2.67%	0.68%	1.58%	1.95%	1.93%	1.80%	1.55%	1.71%	3.59%	1.69%	3.06%	2.98%	2.19%	2.49%	2.05%	1.72%	2.12%	2.35%	1.71%	4.84%	6.37%	6.28%	0.88%	1.15%	0.63%	2.03%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
