Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Тула, Центральная"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	913	13	14	6	15	16	19	11	23	10	15	11	23	5	24	23	18	31	14	11	11	11	14	11	23	16	13	271	12	15	14	7	5	27	12	10	15	11	19	6	6	14	13	9	17	11	18									
14	Число погашенных неиспользованных открепительных удостоверений	162	1	0	6	6	6	2	0	10	7	4	2	3	8	2	2	4	4	5	4	2	4	6	21	1	1	2	1	0	0	4	11	4	4	2	1	3	3	0	1	5	0	4	0	4	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	0	6	5	8	3	3	6	3	0	1	3	0	1	4	4	1	3	4	3	1	3	4	1	3	1	2	1	3	1	11	2	0	3	0	4	4	1	3	0	1	3	3	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	701	20	14	28	24	22	24	20	21	21	16	9	4	10	14	16	18	20	18	38	12	5	21	28	16	13	12	22	19	12	11	10	15	22	21	6	18	11	20	2	2	9	8	3	10	11	5									
		2.34%	2.82%	1.62%	3.92%	2.94%	2.62%	2.63%	2.45%	2.57%	2.21%	3.02%	1.72%	1.24%	2.36%	2.79%	2.10%	3.61%	2.22%	3.39%	3.70%	1.93%	1.26%	3.80%	2.70%	2.77%	2.00%	1.43%	3.51%	3.10%	1.72%	1.78%	1.63%	2.00%	2.50%	3.54%	1.37%	1.95%	1.40%	2.86%	1.49%	0.59%	1.44%	2.08%	0.91%	1.43%	1.44%	1.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	591	18	12	23	18	13	16	19	15	16	10	4	6	6	7	21	8	15	7	18	7	4	12	13	4	18	18	10	9	15	16	8	15	26	16	8	25	22	12	3	6	16	7	9	17	21	2									
		1.97%	2.54%	1.39%	3.22%	2.21%	1.55%	1.75%	2.33%	1.83%	1.69%	1.89%	0.76%	1.86%	1.42%	1.39%	2.76%	1.60%	1.66%	1.32%	1.75%	1.13%	1.01%	2.17%	1.25%	0.69%	2.77%	2.15%	1.59%	1.47%	2.15%	2.59%	1.31%	2.00%	2.96%	2.70%	1.82%	2.71%	2.80%	1.72%	2.24%	1.78%	2.55%	1.82%	2.74%	2.43%	2.75%	0.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1009	23	32	22	21	39	40	21	25	29	19	26	18	10	8	25	12	30	20	21	25	6	14	49	25	22	46	12	23	22	15	25	28	30	21	23	28	36	23	1	9	14	7	8	31	24	1									
		3.36%	3.24%	3.71%	3.08%	2.58%	4.64%	4.39%	2.58%	3.06%	3.06%	3.58%	4.96%	5.57%	2.36%	1.59%	3.28%	2.40%	3.33%	3.77%	2.04%	4.03%	1.51%	2.54%	4.73%	4.33%	3.38%	5.50%	1.91%	3.76%	3.15%	2.43%	4.08%	3.74%	3.41%	3.54%	5.24%	3.03%	4.57%	3.29%	0.75%	2.66%	2.23%	1.82%	2.43%	4.42%	3.14%	0.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13616	297	368	296	387	353	400	372	348	422	248	224	144	188	264	300	205	389	281	502	258	174	249	415	222	278	308	325	262	269	288	256	307	371	247	256	461	372	328	81	190	356	203	167	369	379	237									
		45.39%	41.83%	42.69%	41.40%	47.48%	41.97%	43.86%	45.64%	42.54%	44.47%	46.79%	42.75%	44.58%	44.34%	52.59%	39.37%	41.08%	43.13%	52.92%	48.83%	41.55%	43.72%	45.11%	40.02%	38.47%	42.77%	36.80%	51.83%	42.81%	38.54%	46.60%	41.76%	40.99%	42.21%	41.65%	58.31%	49.95%	47.27%	46.92%	60.45%	56.21%	56.78%	52.86%	50.76%	52.64%	49.54%	67.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	517	19	12	8	20	12	12	16	15	13	11	10	7	5	14	12	15	12	8	22	12	7	8	17	16	16	17	18	8	14	7	7	13	20	15	6	5	13	14	1	5	8	1	5	10	9	2									
		1.72%	2.68%	1.39%	1.12%	2.45%	1.43%	1.32%	1.96%	1.83%	1.37%	2.08%	1.91%	2.17%	1.18%	2.79%	1.57%	3.01%	1.33%	1.51%	2.14%	1.93%	1.76%	1.45%	1.64%	2.77%	2.46%	2.03%	2.87%	1.31%	2.01%	1.13%	1.14%	1.74%	2.28%	2.53%	1.37%	0.54%	1.65%	2.00%	0.75%	1.48%	1.28%	0.26%	1.52%	1.43%	1.18%	0.57%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	2	3	2	3	2	1	4	0	1	1	2	1	0	0	6	0	2	1	0	2	2	2	0	1	0	2	1	1	2	1	0	2	0	1	0	0	3	0	0	1	4	0	2	0	1	2									
		0.20%	0.28%	0.35%	0.28%	0.37%	0.24%	0.11%	0.49%	0.00%	0.11%	0.19%	0.38%	0.31%	0.00%	0.00%	0.79%	0.00%	0.22%	0.19%	0.00%	0.32%	0.50%	0.36%	0.00%	0.17%	0.00%	0.24%	0.16%	0.16%	0.29%	0.16%	0.00%	0.27%	0.00%	0.17%	0.00%	0.00%	0.38%	0.00%	0.00%	0.30%	0.64%	0.00%	0.61%	0.00%	0.13%	0.57%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4214	115	145	101	117	106	122	119	115	143	76	10	48	65	89	78	60	109	80	129	79	62	87	145	76	89	119	97	96	101	101	98	86	122	61	67	142	130	100	12	44	102	45	52	97	117	60									
		14.05%	16.20%	16.82%	14.13%	14.36%	12.60%	13.38%	14.60%	14.06%	15.07%	14.34%	1.91%	14.86%	15.33%	17.73%	10.24%	12.02%	12.08%	15.07%	12.55%	12.72%	15.58%	15.76%	13.98%	13.17%	13.69%	14.22%	15.47%	15.69%	14.47%	16.34%	15.99%	11.48%	13.88%	10.29%	15.26%	15.38%	16.52%	14.31%	8.96%	13.02%	16.27%	11.72%	15.81%	13.84%	15.29%	17.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	441	9	15	8	12	14	8	13	11	13	7	11	7	0	4	24	7	28	4	13	16	16	7	22	8	5	7	12	11	16	14	19	9	8	5	0	2	7	4	1	2	4	4	6	4	5	19									
		1.47%	1.27%	1.74%	1.12%	1.47%	1.66%	0.88%	1.60%	1.34%	1.37%	1.32%	2.10%	2.17%	0.00%	0.80%	3.15%	1.40%	3.10%	0.75%	1.26%	2.58%	4.02%	1.27%	2.12%	1.39%	0.77%	0.84%	1.91%	1.80%	2.29%	2.27%	3.10%	1.20%	0.91%	0.84%	0.00%	0.22%	0.89%	0.57%	0.75%	0.59%	0.64%	1.04%	1.82%	0.57%	0.65%	5.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	545	6	17	17	17	9	13	12	14	15	4	13	5	13	8	13	10	13	10	17	20	17	11	19	19	14	30	8	13	10	8	21	21	11	7	2	19	10	12	0	4	6	6	3	10	15	3									
		1.82%	0.85%	1.97%	2.38%	2.09%	1.07%	1.43%	1.47%	1.71%	1.58%	0.75%	2.48%	1.55%	3.07%	1.59%	1.71%	2.00%	1.44%	1.88%	1.65%	3.22%	4.27%	1.99%	1.83%	3.29%	2.15%	3.58%	1.28%	2.12%	1.43%	1.29%	3.43%	2.80%	1.25%	1.18%	0.46%	2.06%	1.27%	1.72%	0.00%	1.18%	0.96%	1.56%	0.91%	1.43%	1.96%	0.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	4	1	0	0	0	5	0	2	0	1	0	0	0	0	2	1	3	0	1	3	1	1	2	2	0	1	0	0	0	0	0	1	3	0	0	0	1	1	1	0	4	2	1	0	1	1									
		0.15%	0.56%	0.12%	0.00%	0.00%	0.00%	0.55%	0.00%	0.24%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.26%	0.20%	0.33%	0.00%	0.10%	0.48%	0.25%	0.18%	0.19%	0.35%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.34%	0.00%	0.00%	0.00%	0.13%	0.14%	0.75%	0.00%	0.64%	0.52%	0.30%	0.00%	0.13%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1084	21	31	32	20	22	30	22	26	21	19	23	17	19	14	42	45	43	28	47	38	21	25	59	36	18	36	15	26	37	17	23	27	35	28	6	23	16	22	1	8	9	7	7	7	13	2									
		3.61%	2.96%	3.60%	4.48%	2.45%	2.62%	3.29%	2.70%	3.18%	2.21%	3.58%	4.39%	5.26%	4.48%	2.79%	5.51%	9.02%	4.77%	5.27%	4.57%	6.12%	5.28%	4.53%	5.69%	6.24%	2.77%	4.30%	2.39%	4.25%	5.30%	2.75%	3.75%	3.60%	3.98%	4.72%	1.37%	2.49%	2.03%	3.15%	0.75%	2.37%	1.44%	1.82%	2.13%	0.99%	1.70%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4411	102	127	112	105	123	125	110	135	152	69	154	45	52	38	137	87	122	48	120	92	46	70	178	98	114	142	57	82	141	72	85	145	148	123	46	147	101	116	18	50	59	59	40	95	117	7									
		14.70%	14.37%	14.73%	15.66%	12.88%	14.63%	13.71%	13.50%	16.50%	16.02%	13.02%	29.39%	13.93%	12.26%	7.57%	17.98%	17.43%	13.53%	9.04%	11.67%	14.81%	11.56%	12.68%	17.16%	16.98%	17.54%	16.97%	9.09%	13.40%	20.20%	11.65%	13.87%	19.36%	16.84%	20.74%	10.48%	15.93%	12.83%	16.60%	13.43%	14.79%	9.41%	15.36%	12.16%	13.55%	15.29%	2.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	0	3	1	4	6	7	2	10	4	6	0	1	2	1	3	2	6	0	5	0	1	2	2	4	1	2	5	1	4	3	3	3	1	1	4	3	0	2	3	0	1	2	3	5	3	0									
		0.41%	0.00%	0.35%	0.14%	0.49%	0.71%	0.77%	0.25%	1.22%	0.42%	1.13%	0.00%	0.31%	0.47%	0.20%	0.39%	0.40%	0.67%	0.00%	0.49%	0.00%	0.25%	0.36%	0.19%	0.69%	0.15%	0.24%	0.80%	0.16%	0.57%	0.49%	0.49%	0.40%	0.11%	0.17%	0.91%	0.33%	0.00%	0.29%	2.24%	0.00%	0.16%	0.52%	0.91%	0.71%	0.39%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1967	53	59	52	54	95	88	70	66	81	25	28	13	29	22	62	18	89	20	73	51	23	21	67	41	51	78	37	41	40	51	48	61	58	39	10	43	44	32	7	13	17	22	14	29	32	0									
		6.56%	7.46%	6.84%	7.27%	6.63%	11.30%	9.65%	8.59%	8.07%	8.54%	4.72%	5.34%	4.02%	6.84%	4.38%	8.14%	3.61%	9.87%	3.77%	7.10%	8.21%	5.78%	3.80%	6.46%	7.11%	7.85%	9.32%	5.90%	6.70%	5.73%	8.25%	7.83%	8.14%	6.60%	6.58%	2.28%	4.66%	5.59%	4.58%	5.22%	3.85%	2.71%	5.73%	4.26%	4.14%	4.18%	0.00%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
