Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Щучанская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	143	3	2	3	10	2	9	4	4	8	4	12	2	0	1	2	5	1	2	3	1	2	1	3	1	5	0	8	0	2	0	1	0	5	3	3	2	5	0	2	1	2	0	0	4	0	1	5	1	0	8	0					
		1.14%	0.70%	0.57%	0.70%	2.94%	0.61%	1.82%	1.19%	1.48%	1.61%	1.36%	1.44%	0.54%	0.0%	0.82%	0.84%	1.21%	0.62%	1.88%	0.93%	0.32%	2.04%	0.66%	1.44%	0.72%	1.85%	0.0%	1.47%	0.0%	0.63%	0.0%	0.80%	0.0%	2.26%	1.63%	2.91%	2.63%	1.35%	0.0%	0.80%	1.14%	2.89%	0.0%	0.0%	2.33%	0.0%	1.85%	2.09%	1.29%	0.0%	1.25%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	134	5	7	3	5	1	4	3	2	5	2	20	5	0	0	3	5	3	0	1	2	0	0	6	5	2	0	0	0	1	1	1	0	3	2	1	0	9	1	6	0	1	3	0	1	3	0	3	2	0	7	0					
		1.07%	1.17%	2.01%	0.70%	1.47%	0.30%	0.81%	0.89%	0.74%	1.01%	0.68%	2.40%	1.36%	0.0%	0.0%	1.27%	1.21%	1.87%	0.0%	0.31%	0.64%	0.0%	0.0%	2.88%	3.64%	0.74%	0.0%	0.0%	0.0%	0.31%	0.65%	0.80%	0.0%	1.35%	1.09%	0.97%	0.0%	2.43%	3.12%	2.42%	0.0%	1.44%	0.91%	0.0%	0.58%	2.34%	0.0%	1.25%	2.59%	0.0%	1.10%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	437	18	14	3	11	16	12	12	12	17	13	15	4	11	5	3	11	7	4	9	12	8	1	9	2	4	2	20	2	6	4	9	3	16	12	5	8	49	2	10	8	2	6	0	2	6	4	11	3	1	11	2					
		3.50%	4.23%	4.02%	0.70%	3.24%	4.90%	2.43%	3.58%	4.46%	3.43%	4.45%	1.80%	1.09%	5.09%	4.13%	1.27%	2.67%	4.37%	3.77%	2.79%	3.88%	8.16%	0.66%	4.32%	1.45%	1.48%	2.19%	3.69%	1.21%	1.89%	2.61%	7.25%	4.22%	7.23%	6.55%	4.85%	10.52%	13.24%	6.25%	4.04%	9.19%	2.89%	1.83%	0.0%	1.16%	4.68%	7.40%	4.60%	3.89%	1.66%	1.72%	1.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	187	9	4	9	5	2	13	8	9	5	5	20	2	2	0	1	4	4	0	7	4	0	1	1	0	13	0	8	0	3	3	0	1	3	2	2	0	7	0	5	1	0	4	0	2	2	0	1	2	0	9	4					
		1.50%	2.11%	1.14%	2.12%	1.47%	0.61%	2.64%	2.38%	3.34%	1.01%	1.71%	2.40%	0.54%	0.92%	0.0%	0.42%	0.97%	2.5%	0.0%	2.17%	1.29%	0.0%	0.66%	0.48%	0.0%	4.83%	0.0%	1.47%	0.0%	0.94%	1.96%	0.0%	1.40%	1.35%	1.09%	1.94%	0.0%	1.89%	0.0%	2.02%	1.14%	0.0%	1.22%	0.0%	1.16%	1.56%	0.0%	0.41%	2.59%	0.0%	1.41%	2.39%					
22	"5. ""За Русь Святую"""	37	0	2	0	0	1	0	0	1	1	0	6	1	0	0	0	0	2	0	0	0	4	0	0	1	1	0	3	0	2	0	0	2	1	1	0	0	3	0	3	0	0	0	1	0	0	1	0	0	0	0	0					
		0.29%	0.0%	0.57%	0.0%	0.0%	0.30%	0.0%	0.0%	0.37%	0.20%	0.0%	0.72%	0.27%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	4.08%	0.0%	0.0%	0.72%	0.37%	0.0%	0.55%	0.0%	0.63%	0.0%	0.0%	2.81%	0.45%	0.54%	0.0%	0.0%	0.81%	0.0%	1.21%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	0	2	1	2	1	1	1	1	1	0	2	1	1	0	0	1	0	0	0	2	1	0	0	2	2	0	2	4	1	1	1	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	1	0	2	0					
		0.31%	0.0%	0.57%	0.23%	0.58%	0.30%	0.20%	0.29%	0.37%	0.20%	0.0%	0.24%	0.27%	0.46%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.64%	1.02%	0.0%	0.0%	1.45%	0.74%	0.0%	0.36%	2.42%	0.31%	0.65%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.40%	1.14%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	1.29%	0.0%	0.31%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	78	6	1	2	3	5	7	0	3	6	3	13	0	0	0	1	3	0	0	0	4	0	0	0	0	0	1	2	0	1	0	1	0	1	4	0	0	2	0	0	0	0	1	0	0	0	1	4	0	0	2	1					
		0.62%	1.41%	0.28%	0.47%	0.88%	1.53%	1.42%	0.0%	1.11%	1.21%	1.02%	1.56%	0.0%	0.0%	0.0%	0.42%	0.72%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.36%	0.0%	0.31%	0.0%	0.80%	0.0%	0.45%	2.18%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	1.85%	1.67%	0.0%	0.0%	0.31%	0.59%					
25	"8. ""Народно-республиканская партия России"""	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	1.27%	0.24%	0.62%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.37%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	1	0	0	2	2	1	1	0	0	1	5	0	0	0	0	2	0	1	2	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	2	0	0	2	0					
		0.27%	0.23%	0.0%	0.0%	0.58%	0.61%	0.20%	0.29%	0.0%	0.0%	0.34%	0.60%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.94%	0.62%	0.64%	0.0%	0.0%	0.48%	0.0%	0.0%	1.09%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.27%	0.0%	0.0%	0.0%	1.44%	0.30%	0.0%	0.0%	0.0%	3.70%	0.83%	0.0%	0.0%	0.31%	0.0%					
27	"10. ""Аграрная партия России"""	765	18	6	8	10	5	26	16	9	17	10	17	21	14	11	32	37	8	13	53	17	12	10	13	8	5	4	41	14	24	15	17	10	18	7	4	2	12	2	15	2	3	31	3	16	14	2	19	2	8	46	38					
		6.14%	4.23%	1.72%	1.88%	2.94%	1.53%	5.28%	4.77%	3.34%	3.43%	3.42%	2.04%	5.73%	6.48%	9.09%	13.55%	9.00%	5.0%	12.26%	16.45%	5.50%	12.24%	6.66%	6.25%	5.83%	1.85%	4.39%	7.57%	8.48%	7.59%	9.80%	13.70%	14.08%	8.14%	3.82%	3.88%	2.63%	3.24%	6.25%	6.07%	2.29%	4.34%	9.48%	4.76%	9.35%	10.93%	3.70%	7.94%	2.59%	13.33%	7.23%	22.75%					
28	"11. ""Истинные патриоты России"""	16	0	0	2	1	0	1	0	0	2	1	0	1	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0					
		0.12%	0.0%	0.0%	0.47%	0.29%	0.0%	0.20%	0.0%	0.0%	0.40%	0.34%	0.0%	0.27%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.72%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	143	4	4	4	1	3	3	2	0	4	7	11	2	5	0	3	1	4	0	6	1	1	4	2	2	1	1	11	1	0	0	2	0	4	3	3	1	9	1	2	0	1	7	0	3	1	0	6	0	1	10	1					
		1.14%	0.94%	1.14%	0.94%	0.29%	0.92%	0.60%	0.59%	0.0%	0.80%	2.39%	1.32%	0.54%	2.31%	0.0%	1.27%	0.24%	2.5%	0.0%	1.86%	0.32%	1.02%	2.66%	0.96%	1.45%	0.37%	1.09%	2.03%	0.60%	0.0%	0.0%	1.61%	0.0%	1.80%	1.63%	2.91%	1.31%	2.43%	3.12%	0.80%	0.0%	1.44%	2.14%	0.0%	1.75%	0.78%	0.0%	2.51%	0.0%	1.66%	1.57%	0.59%					
30	"13. ""Демократическая партия России"""	32	0	1	3	0	0	0	0	0	2	2	0	0	0	1	3	0	0	0	1	2	0	1	1	3	0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	1					
		0.25%	0.0%	0.28%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.68%	0.0%	0.0%	0.0%	0.82%	1.27%	0.0%	0.0%	0.0%	0.31%	0.64%	0.0%	0.66%	0.48%	2.18%	0.0%	0.0%	0.36%	0.60%	0.31%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.47%	0.59%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	0	0	0	0	0	0	0	0	1	1	9	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.34%	1.08%	1.36%	0.46%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.45%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	19	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	3	0	1	1	0	1	0	0	0	0	0	0	0	3	0					
		0.15%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.12%	0.0%	0.0%	0.82%	0.42%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.80%	0.0%	0.45%	0.54%	0.0%	0.0%	0.81%	0.0%	0.40%	1.14%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	454	25	24	20	12	18	26	13	6	5	12	33	9	8	2	9	18	2	1	13	17	1	0	7	3	6	13	10	1	4	2	2	2	17	6	10	2	2	0	25	7	3	14	2	1	3	0	10	4	2	20	2					
		3.64%	5.88%	6.89%	4.71%	3.53%	5.52%	5.28%	3.88%	2.23%	1.01%	4.10%	3.97%	2.45%	3.70%	1.65%	3.81%	4.37%	1.25%	0.94%	4.03%	5.50%	1.02%	0.0%	3.36%	2.18%	2.23%	14.28%	1.84%	0.60%	1.26%	1.30%	1.61%	2.81%	7.69%	3.27%	9.70%	2.63%	0.54%	0.0%	10.12%	8.04%	4.34%	4.28%	3.17%	0.58%	2.34%	0.0%	4.18%	5.19%	3.33%	3.14%	1.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	43	2	0	0	0	1	2	0	0	9	1	2	1	1	1	0	2	0	1	2	0	0	0	2	0	0	0	1	2	1	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	3					
		0.34%	0.47%	0.0%	0.0%	0.0%	0.30%	0.40%	0.0%	0.0%	1.81%	0.34%	0.24%	0.27%	0.46%	0.82%	0.0%	0.48%	0.0%	0.94%	0.62%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.18%	1.21%	0.31%	0.0%	0.0%	0.0%	0.90%	0.0%	0.97%	0.0%	0.0%	3.12%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	1.56%	0.0%	0.0%	0.0%	0.0%	0.31%	1.79%					
35	"18. ""ЛДПР"""	1995	53	47	73	42	63	68	57	45	79	50	140	33	56	20	32	50	21	0	34	47	15	27	44	27	42	10	76	48	49	34	18	17	34	23	22	13	68	13	38	22	17	24	6	30	40	11	42	15	15	114	31					
		16.01%	12.47%	13.50%	17.21%	12.38%	19.32%	13.82%	17.01%	16.72%	15.95%	17.12%	16.86%	9.01%	25.92%	16.52%	13.55%	12.16%	13.12%	0.0%	10.55%	15.21%	15.30%	18.0%	21.15%	19.70%	15.61%	10.98%	14.04%	29.09%	15.50%	22.22%	14.51%	23.94%	15.38%	12.56%	21.35%	17.10%	18.37%	40.62%	15.38%	25.28%	24.63%	7.33%	9.52%	17.54%	31.25%	20.37%	17.57%	19.48%	25.0%	17.92%	18.56%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	245	9	11	9	5	8	4	8	2	12	9	12	10	8	3	4	5	6	3	4	6	2	1	2	2	8	0	6	6	5	4	2	2	8	4	0	1	0	0	9	0	1	8	2	2	1	0	1	1	1	26	2					
		1.96%	2.11%	3.16%	2.12%	1.47%	2.45%	0.81%	2.38%	0.74%	2.42%	3.08%	1.44%	2.73%	3.70%	2.47%	1.69%	1.21%	3.75%	2.83%	1.24%	1.94%	2.04%	0.66%	0.96%	1.45%	2.97%	0.0%	1.10%	3.63%	1.58%	2.61%	1.61%	2.81%	3.61%	2.18%	0.0%	1.31%	0.0%	0.0%	3.64%	0.0%	1.44%	2.44%	3.17%	1.16%	0.78%	0.0%	0.41%	1.29%	1.66%	4.08%	1.19%					
37	"20. ""Политическая партия ""Единая Россия"""	4309	124	99	148	118	125	164	117	99	200	89	396	222	70	36	55	134	61	24	55	121	14	45	55	54	139	38	180	56	90	58	41	8	61	62	34	24	117	7	98	32	21	158	22	60	39	7	61	23	17	197	34					
		34.59%	29.17%	28.44%	34.90%	34.80%	38.34%	33.33%	34.92%	36.80%	40.40%	30.47%	47.71%	60.65%	32.40%	29.75%	23.30%	32.60%	38.12%	22.64%	17.08%	39.15%	14.28%	30.0%	26.44%	39.41%	51.67%	41.75%	33.27%	33.93%	28.48%	37.90%	33.06%	11.26%	27.60%	33.87%	33.00%	31.57%	31.62%	21.87%	39.67%	36.78%	30.43%	48.31%	34.92%	35.08%	30.46%	12.96%	25.52%	29.87%	28.33%	30.97%	20.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	0	0	0	0	1	1	0	1	0	3	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.29%	0.0%	0.20%	0.0%	0.36%	0.0%	0.46%	0.0%	0.42%	0.24%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.60%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%					
39	"22. ""Развитие предпринимательства"""	24	0	1	0	1	0	2	0	0	0	1	4	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	1	0	1	0	0	1	0					
		0.19%	0.0%	0.28%	0.0%	0.29%	0.0%	0.40%	0.0%	0.0%	0.0%	0.34%	0.48%	0.27%	0.0%	0.82%	0.42%	0.24%	0.0%	0.94%	0.31%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.58%	0.78%	0.0%	0.41%	0.0%	0.0%	0.15%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2587	127	104	112	102	58	121	78	60	94	60	35	30	29	30	66	93	31	50	119	56	33	43	58	20	28	16	156	23	113	28	16	21	31	31	11	18	48	5	11	6	13	46	20	48	13	22	50	17	10	142	35					
		20.77%	29.88%	29.88%	26.41%	30.08%	17.79%	24.59%	23.28%	22.30%	18.98%	20.54%	4.21%	8.19%	13.42%	24.79%	27.96%	22.62%	19.37%	47.16%	36.95%	18.12%	33.67%	28.66%	27.88%	14.59%	10.40%	17.58%	28.83%	13.93%	35.75%	18.30%	12.90%	29.57%	14.02%	16.93%	10.67%	23.68%	12.97%	15.62%	4.45%	6.89%	18.84%	14.06%	31.74%	28.07%	10.15%	40.74%	20.92%	22.07%	16.66%	22.32%	20.95%					
																																																										
41	Против всех	515	12	16	18	6	11	23	13	10	17	17	65	16	9	4	15	23	3	2	4	9	0	10	4	5	10	4	5	3	11	3	9	1	8	12	1	5	26	0	11	5	3	16	6	1	3	3	15	6	5	19	12					
		4.13%	2.82%	4.59%	4.24%	1.76%	3.37%	4.67%	3.88%	3.71%	3.43%	5.82%	7.83%	4.37%	4.16%	3.30%	6.35%	5.59%	1.87%	1.88%	1.24%	2.91%	0.0%	6.66%	1.92%	3.64%	3.71%	4.39%	0.92%	1.81%	3.48%	1.96%	7.25%	1.40%	3.61%	6.55%	0.97%	6.57%	7.02%	0.0%	4.45%	5.74%	4.34%	4.89%	9.52%	0.58%	2.34%	5.55%	6.27%	7.79%	8.33%	2.98%	7.18%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
