Выборы Президента Российской Федерации																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Ленинская"																																																																																																									
																																																																																																									
Итоги голосования 																																																																																																									
																																																																																																									
		Сумма	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
11	Число полученных открепительных  удостоверений	2995	95	100	50	100	100	100	30	20	20	20	30	30	30	30	20	20	30	20	20	80	60	50	50	20	20	50	30	30	30	30	20	20	20	20	20	50	30	30	20	30	30	30	30	30	30	30	20	20	30	20	20	20	20	20	30	20	20	20	30	20	20	20	20	20	20	20	20	20	25	15	20	15	25	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	30	100	100	30	30	30	0	0					
12	Число выданных открепительных удостоверений	1213	8	4	9	32	39	11	4	10	16	8	14	18	6	12	20	20	10	13	10	10	9	20	11	5	3	7	13	10	12	24	6	1	14	8	5	14	6	7	6	18	13	15	15	13	17	12	13	8	14	13	10	14	19	6	7	10	2	2	21	8	18	15	14	20	10	14	13	20	24	7	10	13	23	12	7	15	10	10	14	17	11	9	11	11	8	12	20	16	14	13	23	25	15	14	13	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1040	19	17	7	19	16	6	14	15	7	11	9	5	2	6	15	13	4	14	8	8	10	11	4	4	5	10	19	14	14	12	13	0	2	5	30	7	24	15	10	15	4	9	5	5	8	10	8	6	15	4	14	11	6	6	9	10	9	8	20	7	7	7	5	14	9	17	13	8	16	7	8	9	15	20	9	6	8	8	9	4	11	7	2	12	15	11	15	11	13	9	10	30	14	11	12	18	21	6					
14	Число неиспользованных открепительных удостоверений	1782	87	96	41	68	61	89	26	10	4	12	16	12	24	18	0	0	20	7	10	70	51	30	39	15	17	43	17	20	18	6	14	19	6	12	15	36	24	23	14	12	17	15	15	17	13	18	7	12	16	7	10	6	1	14	23	10	18	18	9	12	2	5	6	0	10	6	7	0	1	8	10	2	2	8	13	5	10	10	6	3	9	11	9	9	12	8	10	4	6	7	7	75	85	16	17	23	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																									
18	. Глазьев Сергей Юрьевич	8482	43	22	53	65	13	69	59	75	83	79	97	73	67	80	138	57	62	93	95	75	93	115	48	45	55	65	94	101	59	45	40	25	75	23	20	44	55	89	99	89	95	88	100	111	44	68	27	96	73	73	128	103	108	50	26	51	46	37	101	90	70	74	100	81	131	108	98	138	192	135	120	162	179	224	170	108	152	167	184	185	132	86	93	62	83	92	93	111	105	111	101	75	72	100	96	71	17	12					
		6.90%	5.11%	3.54%	5.10%	4.61%	1.22%	7.66%	7.39%	8.33%	8.26%	5.89%	7.08%	7.13%	7.70%	7.50%	8.44%	4.07%	4.71%	8.67%	9.05%	7.08%	7.08%	8.93%	4.96%	4.14%	5.11%	5.55%	5.92%	9.07%	4.49%	3.38%	4.33%	4.62%	5.57%	4.99%	4.73%	7.59%	4.93%	5.86%	7.80%	5.21%	5.45%	5.91%	6.23%	6.28%	4.69%	6.61%	5.07%	6.98%	5.26%	5.45%	8.52%	6.43%	6.97%	5.86%	2.22%	5.66%	5.67%	4.36%	6.59%	6.31%	4.50%	4.55%	6.26%	4.78%	10.53%	8.08%	6.94%	9.01%	12.44%	9.65%	8.50%	10.87%	10.49%	13.78%	10.47%	9.58%	10.16%	12.31%	13.30%	14.76%	8.59%	6.13%	6.17%	5.54%	4.98%	5.99%	5.68%	6.72%	6.66%	6.83%	6.28%	5.52%	5.01%	6.87%	6.29%	5.83%	6.42%	11.32%					
19	. Малышкин Олег Александрович	1628	6	3	5	16	9	10	4	8	9	14	15	14	4	8	16	27	12	11	11	8	11	12	23	18	23	17	19	19	16	17	12	14	20	10	10	10	11	18	24	26	16	18	18	18	8	11	10	13	17	18	21	29	12	12	21	28	14	17	20	23	30	18	11	22	15	19	18	28	14	30	19	22	44	27	17	18	18	28	18	13	22	19	25	21	18	21	24	18	23	21	20	22	20	15	13	9	4	0					
		1.32%	0.71%	0.48%	0.48%	1.14%	0.85%	1.11%	0.50%	0.89%	0.90%	1.04%	1.09%	1.37%	0.46%	0.75%	0.98%	1.93%	0.91%	1.03%	1.05%	0.75%	0.84%	0.93%	2.38%	1.65%	2.14%	1.45%	1.20%	1.71%	1.22%	1.28%	1.30%	2.59%	1.49%	2.17%	2.36%	1.72%	0.99%	1.19%	1.89%	1.52%	0.92%	1.21%	1.12%	1.02%	0.85%	1.07%	1.88%	0.94%	1.23%	1.34%	1.40%	1.81%	0.77%	1.41%	1.79%	3.11%	1.72%	2.00%	1.30%	1.61%	1.93%	1.11%	0.69%	1.30%	1.21%	1.42%	1.27%	1.83%	0.91%	2.14%	1.35%	1.48%	2.58%	1.66%	1.05%	1.60%	1.20%	2.06%	1.30%	1.04%	1.43%	1.36%	1.66%	1.87%	1.08%	1.37%	1.47%	1.09%	1.46%	1.29%	1.24%	1.62%	1.39%	1.03%	0.85%	0.74%	1.51%	0.00%					
20	. Миронов Сергей Михайлович	772	3	0	5	9	7	2	2	4	3	6	11	4	5	8	13	4	5	10	4	5	7	4	4	7	4	3	18	5	9	9	5	3	5	5	1	1	5	11	7	12	12	14	9	10	9	9	2	8	16	11	12	13	14	9	11	10	2	3	6	7	15	10	14	9	9	7	14	12	12	10	8	7	15	7	3	5	10	6	8	7	14	15	9	8	8	8	3	13	12	11	17	4	8	17	9	6	0	0					
		0.63%	0.36%	0.00%	0.48%	0.64%	0.66%	0.22%	0.25%	0.44%	0.30%	0.45%	0.80%	0.39%	0.57%	0.75%	0.79%	0.29%	0.38%	0.93%	0.38%	0.47%	0.53%	0.31%	0.41%	0.64%	0.37%	0.26%	1.13%	0.45%	0.68%	0.68%	0.54%	0.55%	0.37%	1.08%	0.24%	0.17%	0.45%	0.72%	0.55%	0.70%	0.69%	0.94%	0.56%	0.57%	0.96%	0.87%	0.38%	0.58%	1.15%	0.82%	0.80%	0.81%	0.90%	1.06%	0.94%	1.11%	0.25%	0.35%	0.39%	0.49%	0.96%	0.61%	0.88%	0.53%	0.72%	0.52%	0.99%	0.78%	0.78%	0.71%	0.57%	0.47%	0.88%	0.43%	0.18%	0.44%	0.67%	0.44%	0.58%	0.56%	0.91%	1.07%	0.60%	0.71%	0.48%	0.52%	0.18%	0.79%	0.76%	0.68%	1.06%	0.29%	0.56%	1.17%	0.59%	0.49%	0.00%	0.00%					
21	. Путин Владимир Владимирович	81791	552	415	703	1029	872	576	496	532	641	856	807	668	559	650	1121	959	850	662	688	721	882	817	659	775	766	814	1046	618	924	911	669	386	942	325	301	394	756	958	854	1164	1130	1025	1052	1149	671	680	361	894	911	921	919	1079	982	588	947	584	540	597	1029	937	1045	1108	1074	1175	802	889	976	1055	994	905	874	899	1014	994	1008	711	948	861	794	743	1004	954	1024	775	1199	1097	1132	1146	1071	1115	1076	951	933	947	1075	864	190	55					
		66.51%	65.56%	66.72%	67.60%	73.03%	82.11%	63.93%	62.16%	59.11%	63.78%	63.79%	58.86%	65.23%	64.25%	60.98%	68.52%	68.55%	64.54%	61.70%	65.52%	68.02%	67.12%	63.43%	68.08%	71.23%	71.19%	69.45%	65.91%	55.48%	70.27%	68.44%	72.48%	71.35%	69.99%	70.50%	71.16%	67.93%	67.80%	63.11%	67.24%	68.19%	64.87%	68.84%	65.59%	64.99%	71.54%	66.08%	67.73%	64.97%	65.68%	68.78%	61.14%	67.40%	63.40%	68.93%	80.80%	64.82%	66.50%	70.32%	67.12%	65.71%	67.20%	68.10%	67.25%	69.28%	64.47%	66.54%	69.07%	68.91%	64.42%	64.69%	61.94%	60.30%	59.44%	61.13%	62.07%	63.09%	63.37%	63.45%	57.41%	59.30%	65.36%	68.05%	67.90%	69.20%	71.88%	71.42%	69.19%	69.33%	67.91%	68.57%	66.87%	70.03%	64.93%	65.04%	70.45%	70.94%	71.70%	51.89%					
22	. Хакамада Ирина Муцуовна	6479	81	83	72	85	63	63	84	78	75	106	112	70	56	113	38	61	54	90	78	68	93	69	54	58	45	64	93	99	66	123	45	24	61	13	16	18	58	87	40	91	109	67	92	96	56	68	17	64	93	43	77	64	60	44	23	29	46	24	65	64	90	91	77	120	58	59	53	59	70	61	53	55	51	75	85	41	51	61	55	39	70	54	73	48	78	81	87	78	80	83	90	48	58	72	111	101	7	8					
		5.27%	9.62%	13.34%	6.92%	6.03%	5.93%	6.99%	10.53%	8.67%	7.46%	7.90%	8.17%	6.84%	6.44%	10.60%	2.32%	4.36%	4.10%	8.39%	7.43%	6.42%	7.08%	5.36%	5.58%	5.33%	4.18%	5.46%	5.86%	8.89%	5.02%	9.24%	4.88%	4.44%	4.53%	2.82%	3.78%	3.10%	5.20%	5.73%	3.15%	5.33%	6.26%	4.50%	5.74%	5.43%	5.97%	6.61%	3.19%	4.65%	6.71%	3.21%	5.12%	4.00%	3.87%	5.16%	1.96%	3.22%	5.67%	2.83%	4.24%	4.49%	5.79%	5.59%	4.82%	7.08%	4.66%	4.42%	3.75%	3.85%	4.54%	4.36%	3.76%	3.69%	2.99%	4.61%	5.23%	3.64%	3.41%	4.50%	3.98%	3.11%	4.56%	3.85%	4.84%	4.29%	4.68%	5.27%	5.32%	4.72%	5.07%	5.10%	5.59%	3.53%	4.04%	4.95%	7.27%	8.29%	2.64%	7.55%					
23	. Харитонов Николай Михайлович	18588	120	81	158	129	33	148	118	166	145	238	268	145	151	153	268	232	285	155	131	144	169	219	142	137	125	170	245	217	177	182	101	65	185	69	56	76	179	282	201	274	302	221	269	290	107	141	87	255	223	240	293	249	320	120	91	145	136	136	250	228	240	256	253	226	185	192	194	179	197	191	271	284	311	241	288	192	251	169	277	220	236	227	211	158	216	178	225	208	220	213	222	187	272	236	144	106	42	28					
		15.11%	14.25%	13.02%	15.19%	9.16%	3.11%	16.43%	14.79%	18.44%	14.43%	17.73%	19.55%	14.16%	17.36%	14.35%	16.38%	16.58%	21.64%	14.45%	12.48%	13.58%	12.86%	17.00%	14.67%	12.59%	11.62%	14.51%	15.44%	19.48%	13.46%	13.67%	10.94%	12.01%	13.74%	14.97%	13.24%	13.10%	16.05%	18.58%	15.83%	16.05%	17.34%	14.84%	16.77%	16.40%	11.41%	13.70%	16.32%	18.53%	16.08%	17.92%	19.49%	15.55%	20.66%	14.07%	7.76%	16.09%	16.75%	16.02%	16.31%	15.99%	15.43%	15.73%	15.84%	13.33%	14.87%	14.37%	13.73%	11.69%	12.77%	13.65%	19.21%	19.05%	18.23%	14.82%	17.73%	17.04%	16.78%	12.45%	20.03%	17.56%	15.36%	16.19%	13.99%	14.11%	12.95%	11.59%	13.75%	12.58%	13.95%	13.10%	13.80%	13.77%	18.93%	16.21%	9.44%	8.70%	15.85%	26.42%					
																																																																																																									
24	Против всех	4188	35	18	37	67	65	25	26	31	37	38	50	46	21	45	35	36	33	46	32	33	45	43	33	38	38	35	61	46	51	35	37	21	39	11	15	27	42	57	31	43	77	42	48	79	40	40	23	33	43	33	44	56	43	20	44	36	22	24	52	58	47	52	51	55	39	49	48	40	54	42	55	44	69	50	36	43	47	50	38	40	46	36	60	32	59	51	63	71	52	65	62	62	45	49	61	58	5	1					
		3.41%	4.16%	2.89%	3.56%	4.76%	6.12%	2.77%	3.26%	3.44%	3.68%	2.83%	3.65%	4.49%	2.41%	4.22%	2.14%	2.57%	2.51%	4.29%	3.05%	3.11%	3.42%	3.34%	3.41%	3.49%	3.53%	2.99%	3.84%	4.13%	3.88%	2.63%	4.01%	3.88%	2.90%	2.39%	3.55%	4.66%	3.77%	3.75%	2.44%	2.52%	4.42%	2.82%	2.99%	4.47%	4.26%	3.89%	4.32%	2.40%	3.10%	2.46%	2.93%	3.50%	2.78%	2.34%	3.75%	4.00%	2.71%	2.83%	3.39%	4.07%	3.02%	3.20%	3.19%	3.24%	3.14%	3.67%	3.40%	2.61%	3.50%	3.00%	3.90%	2.95%	4.04%	3.08%	2.22%	3.82%	3.14%	3.68%	2.75%	3.19%	2.99%	2.57%	3.98%	2.86%	3.54%	3.32%	3.85%	4.30%	3.30%	4.00%	3.85%	4.57%	3.13%	3.37%	4.00%	4.76%	1.89%	0.94%					
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
