Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Киясовская 																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321					
		0.21%	0.18%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.49%	1.52%	0.0%	0.0%	3.22%	0.64%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	5	2	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0					
		0.21%	0.30%	0.26%	0.37%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.71%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	19	7	2	1	2	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0					
		0.31%	0.42%	0.26%	0.37%	0.48%	1.07%	0.0%	0.0%	0.0%	0.51%	0.0%	0.38%	0.0%	0.23%	0.0%	0.31%	0.0%	0.76%	0.0%	0.8%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	20	3	2	2	0	0	0	1	1	2	0	0	0	6	1	0	1	0	0	0	0	1					
		0.33%	0.18%	0.26%	0.74%	0.0%	0.0%	0.0%	0.95%	0.62%	1.03%	0.0%	0.0%	0.0%	1.41%	0.84%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	6	1	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	1	1	1	2					
		0.28%	0.36%	0.13%	0.0%	0.0%	1.07%	0.0%	0.0%	0.62%	0.0%	0.71%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.8%	1.61%	0.64%					
27	"10. ""Аграрная партия России"""	625	131	75	9	31	9	7	8	28	49	9	24	7	64	5	13	19	21	35	19	6	56					
		10.32%	7.88%	9.88%	3.33%	7.50%	9.67%	8.97%	7.61%	17.61%	25.38%	6.47%	9.23%	6.54%	15.13%	4.23%	4.10%	9.35%	16.03%	27.55%	15.2%	9.67%	18.12%					
28	"11. ""Истинные патриоты России"""	6	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1					
		0.09%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	36	14	2	0	2	0	1	1	1	2	0	0	0	3	1	2	2	0	1	2	0	2					
		0.59%	0.84%	0.26%	0.0%	0.48%	0.0%	1.28%	0.95%	0.62%	1.03%	0.0%	0.0%	0.0%	0.70%	0.84%	0.63%	0.98%	0.0%	0.78%	1.6%	0.0%	0.64%					
30	"13. ""Демократическая партия России"""	26	9	6	0	0	0	0	1	2	0	0	3	0	0	0	0	2	0	0	1	0	2					
		0.42%	0.54%	0.79%	0.0%	0.0%	0.0%	0.0%	0.95%	1.25%	0.0%	0.0%	1.15%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.8%	0.0%	0.64%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.03%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	1	0	1	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0					
		0.14%	0.06%	0.0%	0.37%	0.24%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	1.15%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	103	25	9	10	9	0	0	5	7	4	0	6	6	9	0	2	2	0	1	1	1	6					
		1.70%	1.50%	1.18%	3.70%	2.17%	0.0%	0.0%	4.76%	4.40%	2.07%	0.0%	2.30%	5.60%	2.12%	0.0%	0.63%	0.98%	0.0%	0.78%	0.8%	1.61%	1.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	3	6	2	2	1	0	1	0	5	0	0	2	1	0	0	0	0	1	0	0	3					
		0.44%	0.18%	0.79%	0.74%	0.48%	1.07%	0.0%	0.95%	0.0%	2.59%	0.0%	0.0%	1.86%	0.23%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.97%					
35	"18. ""ЛДПР"""	431	171	59	20	22	12	11	3	3	2	2	23	7	20	5	7	22	9	8	11	5	9					
		7.12%	10.28%	7.77%	7.40%	5.32%	12.90%	14.10%	2.85%	1.88%	1.03%	1.43%	8.84%	6.54%	4.72%	4.23%	2.20%	10.83%	6.87%	6.29%	8.8%	8.06%	2.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	92	22	3	0	10	2	1	3	7	0	1	4	2	7	0	7	8	2	3	4	1	5					
		1.51%	1.32%	0.39%	0.0%	2.42%	2.15%	1.28%	2.85%	4.40%	0.0%	0.71%	1.53%	1.86%	1.65%	0.0%	2.20%	3.94%	1.52%	2.36%	3.2%	1.61%	1.61%					
37	"20. ""Политическая партия ""Единая Россия"""	3483	936	429	179	287	40	40	58	84	91	110	140	64	232	92	237	108	72	53	53	35	143					
		57.54%	56.31%	56.52%	66.29%	69.49%	43.01%	51.28%	55.23%	52.83%	47.15%	79.13%	53.84%	59.81%	54.84%	77.96%	74.76%	53.20%	54.96%	41.73%	42.4%	56.45%	46.27%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	7	1	1	1	1	0	0	1	2	1	4	0	2	1	2	1	0	0	0	0	0					
		0.41%	0.42%	0.13%	0.37%	0.24%	1.07%	0.0%	0.0%	0.62%	1.03%	0.71%	1.53%	0.0%	0.47%	0.84%	0.63%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	3	1	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.16%	0.18%	0.13%	1.48%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	477	117	77	17	24	7	7	11	6	14	6	18	5	35	7	20	27	6	9	16	3	45					
		7.88%	7.03%	10.14%	6.29%	5.81%	7.52%	8.97%	10.47%	3.77%	7.25%	4.31%	6.92%	4.67%	8.27%	5.93%	6.30%	13.30%	4.58%	7.08%	12.8%	4.83%	14.56%					
																												
41	Против всех	164	46	28	8	11	9	4	1	4	5	3	13	3	5	0	3	3	5	3	4	1	5					
		2.70%	2.76%	3.68%	2.96%	2.66%	9.67%	5.12%	0.95%	2.51%	2.59%	2.15%	5.0%	2.80%	1.18%	0.0%	0.94%	1.47%	3.81%	2.36%	3.2%	1.61%	1.61%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
