Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №12																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1724	УИК №1725	УИК №1726	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	727	6	8	8	5	6	14	20	17	13	22	22	13	17	17	9	7	9	14	8	15	11	16	8	14	19	12	12	16	19	3	10	16	18	9	1	13	11	8	11	12	14	10	14	5	13	9	13	10	15	5	7	12	9	11	7	15	10	10	11	21	9	8									
		1.84%	1.56%	1.98%	2.46%	1.12%	1.30%	1.52%	2.52%	2.13%	1.69%	3.02%	2.65%	1.89%	2.60%	2.43%	1.36%	1.46%	1.42%	2.24%	1.10%	3.07%	2.99%	2.34%	1.13%	2.12%	3.12%	2.17%	1.94%	2.46%	2.46%	0.76%	1.54%	2.25%	3.65%	2.18%	0.17%	1.82%	1.39%	1.30%	1.55%	1.53%	2.27%	1.71%	1.82%	0.67%	2.06%	1.18%	2.04%	2.08%	2.51%	0.82%	1.01%	2.05%	1.44%	1.36%	0.94%	1.84%	1.65%	1.29%	1.69%	3.31%	1.83%	1.32%									
24	"6. Политическая партия ""Гражданская Платформа"""	114	1	1	0	0	1	4	4	0	3	1	0	1	4	1	0	1	1	0	2	0	0	0	3	3	2	2	5	1	3	1	2	4	4	3	1	1	7	1	0	3	1	1	1	4	0	3	2	1	3	0	0	2	3	2	4	6	2	2	3	2	1	0									
		0.29%	0.26%	0.25%	0.00%	0.00%	0.22%	0.43%	0.50%	0.00%	0.39%	0.14%	0.00%	0.15%	0.61%	0.14%	0.00%	0.21%	0.16%	0.00%	0.27%	0.00%	0.00%	0.00%	0.42%	0.45%	0.33%	0.36%	0.81%	0.15%	0.39%	0.25%	0.31%	0.56%	0.81%	0.73%	0.17%	0.14%	0.88%	0.16%	0.00%	0.38%	0.16%	0.17%	0.13%	0.54%	0.00%	0.39%	0.31%	0.21%	0.50%	0.00%	0.00%	0.34%	0.48%	0.25%	0.54%	0.73%	0.33%	0.26%	0.46%	0.31%	0.20%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4397	41	38	52	48	64	97	90	80	74	83	87	75	76	77	87	61	57	49	79	41	44	71	86	78	44	70	71	73	88	50	92	67	61	43	70	123	76	97	74	91	71	93	65	74	65	88	74	45	49	56	81	65	70	101	81	80	62	81	99	74	52	46									
		11.13%	10.68%	9.38%	16.00%	10.71%	13.88%	10.53%	11.35%	10.01%	9.60%	11.40%	10.47%	10.89%	11.64%	11.00%	13.14%	12.71%	8.98%	7.84%	10.85%	8.38%	11.96%	10.36%	12.10%	11.80%	7.22%	12.66%	11.49%	11.21%	11.38%	12.72%	14.15%	9.42%	12.37%	10.44%	11.57%	17.25%	9.57%	15.72%	10.41%	11.59%	11.53%	15.92%	8.43%	9.95%	10.28%	11.58%	11.64%	9.36%	8.21%	9.23%	11.64%	11.09%	11.16%	12.53%	10.93%	9.79%	10.25%	10.41%	15.25%	11.65%	10.59%	7.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1054	10	11	9	18	11	35	22	16	17	7	18	27	8	21	10	8	10	20	19	16	9	17	10	16	20	8	24	20	31	18	9	26	29	19	13	10	23	17	11	18	18	21	26	19	27	20	15	14	26	22	10	16	8	27	11	18	14	20	13	13	20	15									
		2.67%	2.60%	2.72%	2.77%	4.02%	2.39%	3.80%	2.77%	2.00%	2.20%	0.96%	2.17%	3.92%	1.23%	3.00%	1.51%	1.67%	1.57%	3.20%	2.61%	3.27%	2.45%	2.48%	1.41%	2.42%	3.28%	1.45%	3.88%	3.07%	4.01%	4.58%	1.38%	3.66%	5.88%	4.61%	2.15%	1.40%	2.90%	2.76%	1.55%	2.29%	2.92%	3.60%	3.37%	2.55%	4.27%	2.63%	2.36%	2.91%	4.36%	3.62%	1.44%	2.73%	1.28%	3.35%	1.48%	2.20%	2.31%	2.57%	2.00%	2.05%	4.07%	2.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3413	31	45	25	50	41	76	56	56	72	46	85	52	47	52	69	42	61	55	67	35	34	66	67	60	50	54	51	53	83	46	34	70	46	41	27	37	70	45	53	44	39	45	63	98	52	51	53	54	61	69	63	46	39	72	82	90	53	71	66	53	41	58									
		8.64%	8.07%	11.11%	7.69%	11.16%	8.89%	8.25%	7.06%	7.01%	9.34%	6.32%	10.23%	7.55%	7.20%	7.43%	10.42%	8.75%	9.61%	8.80%	9.20%	7.16%	9.24%	9.64%	9.42%	9.08%	8.21%	9.76%	8.25%	8.14%	10.74%	11.70%	5.23%	9.85%	9.33%	9.95%	4.46%	5.19%	8.82%	7.29%	7.45%	5.61%	6.33%	7.71%	8.17%	13.17%	8.23%	6.71%	8.33%	11.23%	10.22%	11.37%	9.05%	7.85%	6.22%	8.93%	11.07%	11.02%	8.76%	9.13%	10.17%	8.35%	8.35%	9.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	106	2	2	0	4	0	3	2	1	0	0	5	2	1	3	1	1	3	1	4	0	0	1	2	3	1	2	1	4	0	3	1	0	1	1	1	3	4	0	2	4	0	3	2	4	1	1	2	0	3	2	1	2	2	3	1	0	2	2	1	2	1	2									
		0.27%	0.52%	0.49%	0.00%	0.89%	0.00%	0.33%	0.25%	0.13%	0.00%	0.00%	0.60%	0.29%	0.15%	0.43%	0.15%	0.21%	0.47%	0.16%	0.55%	0.00%	0.00%	0.15%	0.28%	0.45%	0.16%	0.36%	0.16%	0.61%	0.00%	0.76%	0.15%	0.00%	0.20%	0.24%	0.17%	0.42%	0.50%	0.00%	0.28%	0.51%	0.00%	0.51%	0.26%	0.54%	0.16%	0.13%	0.31%	0.00%	0.50%	0.33%	0.14%	0.34%	0.32%	0.37%	0.13%	0.00%	0.33%	0.26%	0.15%	0.31%	0.20%	0.33%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3886	26	34	39	61	34	122	85	85	83	42	70	68	66	54	57	31	51	57	79	45	43	44	94	63	79	81	51	36	86	31	71	99	53	51	17	39	59	50	64	39	62	55	77	94	67	72	57	61	123	49	65	64	51	69	58	117	84	73	71	76	47	55									
		9.84%	6.77%	8.40%	12.00%	13.62%	7.38%	13.25%	10.72%	10.64%	10.77%	5.77%	8.42%	9.87%	10.11%	7.71%	8.61%	6.46%	8.03%	9.12%	10.85%	9.20%	11.68%	6.42%	13.22%	9.53%	12.97%	14.65%	8.25%	5.53%	11.13%	7.89%	10.92%	13.92%	10.75%	12.38%	2.81%	5.47%	7.43%	8.10%	9.00%	4.97%	10.06%	9.42%	9.99%	12.63%	10.60%	9.47%	8.96%	12.68%	20.60%	8.07%	9.34%	10.92%	8.13%	8.56%	7.83%	14.32%	13.88%	9.38%	10.94%	11.97%	9.57%	9.09%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4514	47	64	27	42	52	110	96	79	109	88	111	93	81	78	80	55	92	90	80	62	33	94	93	66	78	56	55	71	61	39	54	67	41	29	61	71	71	49	69	87	64	63	104	87	94	94	77	49	53	64	88	98	70	106	86	95	83	88	74	54	58	84									
		11.43%	12.24%	15.80%	8.31%	9.38%	11.28%	11.94%	12.11%	9.89%	14.14%	12.09%	13.36%	13.50%	12.40%	11.14%	12.08%	11.46%	14.49%	14.40%	10.99%	12.68%	8.97%	13.72%	13.08%	9.98%	12.81%	10.13%	8.90%	10.91%	7.89%	9.92%	8.31%	9.42%	8.32%	7.04%	10.08%	9.96%	8.94%	7.94%	9.70%	11.08%	10.39%	10.79%	13.49%	11.69%	14.87%	12.37%	12.11%	10.19%	8.88%	10.54%	12.64%	16.72%	11.16%	13.15%	11.61%	11.63%	13.72%	11.31%	11.40%	8.50%	11.81%	13.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	179	1	2	0	2	1	4	5	8	1	2	3	0	4	7	4	5	3	0	1	4	2	5	3	5	5	2	3	1	2	2	1	1	0	2	1	1	7	16	3	5	3	5	5	2	0	3	4	1	0	1	0	2	1	4	2	6	2	0	7	4	0	3									
		0.45%	0.26%	0.49%	0.00%	0.45%	0.22%	0.43%	0.63%	1.00%	0.13%	0.27%	0.36%	0.00%	0.61%	1.00%	0.60%	1.04%	0.47%	0.00%	0.14%	0.82%	0.54%	0.73%	0.42%	0.76%	0.82%	0.36%	0.49%	0.15%	0.26%	0.51%	0.15%	0.14%	0.00%	0.49%	0.17%	0.14%	0.88%	2.59%	0.42%	0.64%	0.49%	0.86%	0.65%	0.27%	0.00%	0.39%	0.63%	0.21%	0.00%	0.16%	0.00%	0.34%	0.16%	0.50%	0.27%	0.73%	0.33%	0.00%	1.08%	0.63%	0.00%	0.50%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3191	14	22	38	22	24	59	78	79	75	55	51	60	59	59	52	51	62	44	53	43	40	43	64	36	43	27	50	46	70	32	45	59	45	29	48	50	67	44	65	60	57	49	68	63	68	54	62	40	34	66	69	37	74	55	54	61	44	65	43	57	31	77									
		8.08%	3.65%	5.43%	11.69%	4.91%	5.21%	6.41%	9.84%	9.89%	9.73%	7.55%	6.14%	8.71%	9.04%	8.43%	7.85%	10.63%	9.76%	7.04%	7.28%	8.79%	10.87%	6.28%	9.00%	5.45%	7.06%	4.88%	8.09%	7.07%	9.06%	8.14%	6.92%	8.30%	9.13%	7.04%	7.93%	7.01%	8.44%	7.13%	9.14%	7.64%	9.25%	8.39%	8.82%	8.47%	10.76%	7.11%	9.75%	8.32%	5.70%	10.87%	9.91%	6.31%	11.80%	6.82%	7.29%	7.47%	7.27%	8.35%	6.63%	8.98%	6.31%	12.73%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
