Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Меленковская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993					
12	Число выданных открепительных удостоверений	240	6	5	10	4	8	10	15	0	1	2	1	0	0	2	0	5	10	1	0	0	0	0	2	1	0	2	0	0	3	0	10	37	10	10	3	0	2	27	0	2	0	5	8	10	0	0	3	0	10	3	0	0	0	1	0	2	0	1	1	2	0	4	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	7	7	1	2	5	4	2	1	3	0	0	0	0	3	0	4	2	3	1	2	0	0	0	1	3	0	1	0	2	1	2	5	6	2	6	4	4	0	1	3	0	8	2	5	5	0	0	0	1	2	0	2	0	0	0	1	0	2	0	1	3	3	1	0	0					
14	Число неиспользованных открепительных удостоверений	265	4	5	0	6	2	0	5	5	9	3	4	5	5	3	5	0	0	4	5	5	5	5	3	4	5	3	5	5	2	5	0	8	5	5	7	5	3	3	5	3	5	0	7	5	5	5	2	5	0	2	5	5	5	4	5	3	5	4	4	3	5	6	4	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	434	24	44	33	26	29	30	12	2	1	5	1	2	2	4	3	4	8	3	1	0	7	4	3	3	0	5	5	1	5	2	6	13	8	1	2	2	2	8	4	3	4	8	13	13	3	3	7	0	5	0	3	0	7	1	3	2	0	13	9	1	5	10	5	0	1					
		2.03%	2.15%	3.57%	2.88%	2.56%	2.53%	2.78%	2.77%	0.79%	0.37%	2.14%	0.32%	1.11%	1.56%	1.65%	2.21%	3.08%	1.05%	2.48%	0.79%	0.00%	3.41%	1.38%	1.80%	0.92%	0.00%	1.71%	2.37%	0.71%	1.05%	1.08%	2.08%	1.85%	3.67%	0.47%	2.00%	1.10%	3.08%	1.57%	2.23%	3.09%	2.30%	1.93%	2.83%	2.59%	1.05%	1.49%	2.13%	0.00%	0.95%	0.00%	1.32%	0.00%	3.10%	0.73%	1.78%	2.94%	0.00%	2.78%	2.96%	0.88%	4.39%	3.73%	2.78%	0.00%	0.34%					
19	. Малышкин Олег Александрович	409	22	14	21	20	23	15	9	5	4	11	4	4	6	6	5	3	13	1	0	10	1	5	5	7	3	8	0	1	5	1	12	16	11	4	0	1	0	12	2	3	5	3	12	10	5	2	6	1	14	1	0	4	6	3	1	0	7	11	4	5	0	7	3	3	3					
		1.91%	1.97%	1.13%	1.83%	1.97%	2.01%	1.39%	2.08%	1.98%	1.48%	4.70%	1.28%	2.22%	4.69%	2.48%	3.68%	2.31%	1.71%	0.83%	0.00%	3.85%	0.49%	1.73%	2.99%	2.15%	2.86%	2.74%	0.00%	0.71%	1.05%	0.54%	4.15%	2.27%	5.05%	1.87%	0.00%	0.55%	0.00%	2.36%	1.12%	3.09%	2.87%	0.72%	2.61%	1.99%	1.75%	0.99%	1.83%	1.33%	2.66%	1.10%	0.00%	2.68%	2.65%	2.19%	0.59%	0.00%	3.26%	2.35%	1.32%	4.42%	0.00%	2.61%	1.67%	3.09%	1.01%					
20	. Миронов Сергей Михайлович	106	4	5	4	5	10	3	4	1	2	1	0	1	0	3	0	1	0	0	0	2	0	0	1	3	2	1	1	1	3	0	0	7	0	1	0	1	0	2	0	1	0	1	2	3	2	3	0	0	1	1	0	3	0	1	0	2	0	5	0	4	0	0	5	2	1					
		0.50%	0.36%	0.41%	0.35%	0.49%	0.87%	0.28%	0.92%	0.40%	0.74%	0.43%	0.00%	0.56%	0.00%	1.24%	0.00%	0.77%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.60%	0.92%	1.90%	0.34%	0.47%	0.71%	0.63%	0.00%	0.00%	0.99%	0.00%	0.47%	0.00%	0.55%	0.00%	0.39%	0.00%	1.03%	0.00%	0.24%	0.44%	0.60%	0.70%	1.49%	0.00%	0.00%	0.19%	1.10%	0.00%	2.01%	0.00%	0.73%	0.00%	2.94%	0.00%	1.07%	0.00%	3.54%	0.00%	0.00%	2.78%	2.06%	0.34%					
21	. Путин Владимир Владимирович	16361	825	863	863	748	844	772	337	193	235	189	280	160	96	175	110	89	622	106	103	167	155	180	134	242	82	237	154	116	416	141	243	504	160	175	72	163	50	387	144	61	140	337	346	365	232	171	259	66	411	72	201	128	185	117	142	51	153	358	229	96	79	161	137	67	265					
		76.58%	73.99%	69.94%	75.24%	73.77%	73.65%	71.61%	77.83%	76.59%	86.72%	80.77%	89.74%	88.89%	75.00%	72.31%	80.88%	68.46%	81.63%	87.60%	81.10%	64.23%	75.61%	62.28%	80.24%	74.46%	78.10%	81.16%	72.99%	82.86%	87.58%	75.81%	84.08%	71.59%	73.39%	81.78%	72.00%	89.56%	76.92%	76.03%	80.45%	62.89%	80.46%	81.20%	75.38%	72.71%	81.40%	84.65%	78.96%	88.00%	77.99%	79.12%	88.55%	85.91%	81.86%	85.40%	84.02%	75.00%	71.16%	76.50%	75.33%	84.96%	69.30%	60.07%	76.11%	69.07%	89.23%					
22	. Хакамада Ирина Муцуовна	312	21	31	21	24	16	25	3	0	1	1	2	4	5	4	0	0	11	0	3	5	6	4	1	4	0	5	4	2	5	3	2	23	3	3	0	1	0	5	0	1	2	2	7	11	1	0	9	1	4	1	0	0	1	2	0	2	2	7	1	3	1	5	0	1	0					
		1.46%	1.88%	2.51%	1.83%	2.37%	1.40%	2.32%	0.69%	0.00%	0.37%	0.43%	0.64%	2.22%	3.91%	1.65%	0.00%	0.00%	1.44%	0.00%	2.36%	1.92%	2.93%	1.38%	0.60%	1.23%	0.00%	1.71%	1.90%	1.43%	1.05%	1.61%	0.69%	3.27%	1.38%	1.40%	0.00%	0.55%	0.00%	0.98%	0.00%	1.03%	1.15%	0.48%	1.53%	2.19%	0.35%	0.00%	2.74%	1.33%	0.76%	1.10%	0.00%	0.00%	0.44%	1.46%	0.00%	2.94%	0.93%	1.50%	0.33%	2.65%	0.88%	1.87%	0.00%	1.03%	0.00%					
23	. Харитонов Николай Михайлович	3135	188	233	159	155	173	194	60	42	23	19	20	9	12	35	14	31	90	8	19	56	28	94	19	58	18	32	36	18	37	37	24	115	30	26	24	9	13	90	27	19	20	53	62	83	39	21	36	4	80	15	18	12	17	11	23	10	49	54	54	0	28	77	27	24	24					
		14.67%	16.86%	18.88%	13.86%	15.29%	15.10%	18.00%	13.86%	16.67%	8.49%	8.12%	6.41%	5.00%	9.38%	14.46%	10.29%	23.85%	11.81%	6.61%	14.96%	21.54%	13.66%	32.53%	11.38%	17.85%	17.14%	10.96%	17.06%	12.86%	7.79%	19.89%	8.30%	16.34%	13.76%	12.15%	24.00%	4.95%	20.00%	17.68%	15.08%	19.59%	11.49%	12.77%	13.51%	16.53%	13.68%	10.40%	10.98%	5.33%	15.18%	16.48%	7.93%	8.05%	7.52%	8.03%	13.61%	14.71%	22.79%	11.54%	17.76%	0.00%	24.56%	28.73%	15.00%	24.74%	8.08%					
																																																																								
24	Против всех	402	20	33	31	24	37	28	5	0	4	4	3	0	4	14	3	2	13	0	1	14	6	1	4	4	0	2	4	1	2	0	1	21	5	4	2	3	0	5	2	4	1	4	16	12	1	2	7	3	5	1	2	2	1	0	0	0	4	14	5	1	1	6	3	0	0					
		1.88%	1.79%	2.67%	2.70%	2.37%	3.23%	2.60%	1.15%	0.00%	1.48%	1.71%	0.96%	0.00%	3.12%	5.79%	2.21%	1.54%	1.71%	0.00%	0.79%	5.38%	2.93%	0.35%	2.40%	1.23%	0.00%	0.68%	1.90%	0.71%	0.42%	0.00%	0.35%	2.98%	2.29%	1.87%	2.00%	1.65%	0.00%	0.98%	1.12%	4.12%	0.57%	0.96%	3.49%	2.39%	0.35%	0.99%	2.13%	4.00%	0.95%	1.10%	0.88%	1.34%	0.44%	0.00%	0.00%	0.00%	1.86%	2.99%	1.64%	0.88%	0.88%	2.24%	1.67%	0.00%	0.00%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
