Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Большечерниговская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270					
		2.82%	4.45%	5.27%	0.00%	7.29%	2.57%	2.19%	3.70%	2.41%	1.62%	2.50%	0.87%	4.36%	1.33%	1.84%	3.52%	3.52%	2.12%	2.39%	7.14%	3.12%	2.78%	0.44%	1.66%	4.95%	0.99%	1.04%	1.17%	1.52%	1.80%	0.60%					
20	. Миронов Сергей Михайлович	62	9	2	0	3	2	0	4	6	4	1	0	4	3	2	1	2	1	0	2	3	1	0	1	3	3	0	2	2	1	0					
		0.55%	1.00%	0.44%	0.00%	1.21%	0.37%	0.00%	0.46%	0.90%	0.59%	0.62%	0.00%	0.92%	2.00%	0.74%	0.14%	0.70%	0.35%	0.00%	2.38%	0.58%	0.56%	0.00%	0.33%	0.82%	0.74%	0.00%	0.29%	1.02%	0.60%	0.00%					
21	. Путин Владимир Владимирович	7476	649	312	63	159	391	272	591	375	403	103	78	283	103	235	481	162	196	142	47	305	129	173	226	205	254	136	475	164	115	249					
		66.47%	72.27%	68.57%	63.64%	64.37%	71.88%	59.52%	68.40%	56.39%	59.53%	64.38%	67.83%	64.91%	68.67%	86.40%	65.09%	57.04%	69.26%	56.57%	55.95%	59.45%	71.67%	75.55%	75.08%	56.32%	62.56%	70.47%	69.34%	83.25%	68.86%	75.00%					
22	. Хакамада Ирина Муцуовна	143	9	5	1	4	11	8	15	11	8	2	1	5	1	8	7	3	1	3	1	4	2	3	3	5	11	0	5	1	0	5					
		1.27%	1.00%	1.10%	1.01%	1.62%	2.02%	1.75%	1.74%	1.65%	1.18%	1.25%	0.87%	1.15%	0.67%	2.94%	0.95%	1.06%	0.35%	1.20%	1.19%	0.78%	1.11%	1.31%	1.00%	1.37%	2.71%	0.00%	0.73%	0.51%	0.00%	1.51%					
23	. Харитонов Николай Михайлович	2714	145	88	28	45	100	140	180	186	198	39	22	105	34	16	208	106	69	94	25	166	37	44	59	111	120	47	176	21	40	65					
		24.13%	16.15%	19.34%	28.28%	18.22%	18.38%	30.63%	20.83%	27.97%	29.25%	24.38%	19.13%	24.08%	22.67%	5.88%	28.15%	37.32%	24.38%	37.45%	29.76%	32.36%	20.56%	19.21%	19.60%	30.49%	29.56%	24.35%	25.69%	10.66%	23.95%	19.58%					
																																					
24	Против всех	154	16	12	1	5	5	8	10	20	17	6	3	3	1	1	8	0	3	1	1	8	0	2	1	8	2	1	7	0	0	4					
		1.37%	1.78%	2.64%	1.01%	2.02%	0.92%	1.75%	1.16%	3.01%	2.51%	3.75%	2.61%	0.69%	0.67%	0.37%	1.08%	0.00%	1.06%	0.40%	1.19%	1.56%	0.00%	0.87%	0.33%	2.20%	0.49%	0.52%	1.02%	0.00%	0.00%	1.20%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
