Выборы Президента Российской Федерации																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Самара, Кировская"																																																																																																	
																																																																																																	
Итоги голосования 																																																																																																	
																																																																																																	
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581					
11	Число полученных открепительных  удостоверений	3604	46	28	23	17	23	22	22	29	44	27	23	43	50	44	42	16	53	48	44	45	54	48	41	40	46	49	51	35	53	48	56	51	45	56	49	35	40	44	42	45	49	52	51	56	56	53	36	51	35	39	34	36	38	37	43	41	43	40	44	40	37	44	38	47	55	52	38	54	47	55	51	48	43	51	54	43	52	51	48	44	49	43	16	13	35	3	2	0	0	0					
12	Число выданных открепительных удостоверений	1593	17	20	9	7	14	11	7	11	16	3	3	12	27	22	22	6	20	21	17	17	27	15	19	17	25	25	29	15	25	19	35	23	23	25	15	26	19	17	17	25	24	29	21	11	18	19	13	33	11	16	9	9	15	16	17	27	26	18	15	22	13	18	14	17	20	25	10	29	25	35	28	20	16	13	23	17	33	26	27	18	20	19	5	13	14	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1269	11	20	0	12	22	11	25	13	9	13	9	19	17	8	3	9	18	18	12	20	9	8	5	18	15	19	20	22	11	13	25	13	7	17	19	16	15	10	6	14	7	9	24	17	9	19	12	24	13	10	6	18	16	18	7	16	15	12	18	13	16	11	15	19	10	15	8	26	9	12	19	12	14	16	14	8	8	16	15	5	12	16	9	3	8	56	50	9	0	4					
14	Число неиспользованных открепительных удостоверений	2011	29	8	14	10	9	11	15	18	28	24	20	31	23	22	20	10	33	27	27	28	27	33	22	23	21	24	22	20	28	29	21	28	22	31	34	9	21	27	25	20	25	23	30	45	38	34	23	18	24	23	25	27	23	21	26	14	17	22	29	18	24	26	24	30	35	27	28	25	22	20	23	28	27	38	31	26	19	25	21	26	29	24	11	0	21	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																	
18	. Глазьев Сергей Юрьевич	5194	63	34	49	32	32	35	27	36	41	25	29	44	60	58	46	20	69	78	61	74	73	50	60	73	79	92	76	66	87	84	103	57	62	78	50	34	47	50	67	71	77	84	59	107	78	73	21	84	56	56	55	67	59	65	53	62	62	86	75	86	38	46	60	66	107	74	54	88	56	91	89	63	50	63	72	36	71	73	71	87	54	59	19	20	37	2	4	3	4	0					
		5.32%	5.88%	4.70%	7.44%	6.10%	4.98%	6.36%	4.37%	5.25%	3.50%	3.57%	4.51%	4.44%	4.45%	4.78%	3.83%	5.59%	4.78%	5.68%	5.15%	6.03%	5.17%	4.09%	4.98%	6.06%	5.51%	6.13%	5.23%	7.24%	5.77%	6.62%	6.10%	4.22%	5.12%	4.93%	3.74%	3.70%	4.15%	4.29%	6.63%	5.66%	5.45%	5.84%	4.34%	6.82%	5.47%	4.93%	2.90%	6.50%	6.31%	6.20%	5.99%	7.01%	5.71%	7.07%	4.21%	5.48%	5.11%	7.70%	5.96%	7.95%	4.51%	4.10%	5.93%	5.19%	7.07%	5.34%	5.51%	5.87%	4.48%	6.24%	6.00%	4.82%	4.09%	4.63%	4.73%	3.52%	5.32%	5.63%	5.24%	6.53%	4.33%	5.00%	4.13%	7.25%	3.96%	1.16%	4.35%	2.80%	6.06%	0.00%					
19	. Малышкин Олег Александрович	1884	23	15	15	6	18	18	3	13	20	17	15	19	33	24	26	6	35	26	14	27	36	33	22	17	18	49	36	23	25	21	24	40	19	24	24	17	18	18	26	36	27	22	28	24	37	31	15	30	21	24	26	10	16	14	13	28	16	18	17	17	16	17	13	17	20	34	17	30	22	32	26	40	16	28	28	17	27	30	21	17	20	30	6	3	17	0	3	0	1	3					
		1.93%	2.15%	2.07%	2.28%	1.14%	2.80%	3.27%	0.49%	1.90%	1.71%	2.43%	2.33%	1.92%	2.45%	1.98%	2.16%	1.68%	2.43%	1.89%	1.18%	2.20%	2.55%	2.70%	1.83%	1.41%	1.25%	3.27%	2.48%	2.52%	1.66%	1.65%	1.42%	2.96%	1.57%	1.52%	1.80%	1.85%	1.59%	1.54%	2.57%	2.87%	1.91%	1.53%	2.06%	1.53%	2.59%	2.09%	2.07%	2.32%	2.37%	2.66%	2.83%	1.05%	1.55%	1.52%	1.03%	2.47%	1.32%	1.61%	1.35%	1.57%	1.90%	1.51%	1.29%	1.34%	1.32%	2.45%	1.73%	2.00%	1.76%	2.19%	1.75%	3.06%	1.31%	2.06%	1.84%	1.66%	2.02%	2.31%	1.55%	1.28%	1.61%	2.54%	1.30%	1.09%	1.82%	0.00%	3.26%	0.00%	1.52%	6.12%					
20	. Миронов Сергей Михайлович	1114	12	8	14	12	4	9	11	11	16	10	7	8	25	17	12	2	2	16	14	14	14	10	10	13	25	16	15	14	16	5	27	10	16	15	11	13	11	15	17	20	12	23	15	17	10	13	4	16	15	6	14	15	15	12	10	11	19	17	11	17	9	11	15	16	5	13	10	11	9	13	17	21	16	13	9	18	17	18	15	21	7	12	7	5	10	1	2	1	2	1					
		1.14%	1.12%	1.10%	2.12%	2.29%	0.62%	1.64%	1.78%	1.60%	1.36%	1.43%	1.09%	0.81%	1.85%	1.40%	1.00%	0.56%	0.14%	1.17%	1.18%	1.14%	0.99%	0.82%	0.83%	1.08%	1.74%	1.07%	1.03%	1.54%	1.06%	0.39%	1.60%	0.74%	1.32%	0.95%	0.82%	1.41%	0.97%	1.29%	1.68%	1.59%	0.85%	1.60%	1.10%	1.08%	0.70%	0.88%	0.55%	1.24%	1.69%	0.66%	1.53%	1.57%	1.45%	1.31%	0.79%	0.97%	1.57%	1.52%	0.87%	1.57%	1.07%	0.98%	1.48%	1.26%	0.33%	0.94%	1.02%	0.73%	0.72%	0.89%	1.15%	1.61%	1.31%	0.96%	0.59%	1.76%	1.27%	1.39%	1.11%	1.58%	0.56%	1.02%	1.52%	1.81%	1.07%	0.58%	2.17%	0.93%	3.03%	2.04%					
21	. Путин Владимир Владимирович	58228	672	468	377	328	418	341	361	432	730	449	394	550	842	711	705	228	869	811	728	702	833	746	697	655	823	871	814	531	888	710	950	907	723	920	816	521	726	772	593	734	803	850	832	921	853	837	494	721	523	548	557	541	599	535	717	673	719	655	716	619	554	682	604	755	942	840	560	902	742	881	833	811	777	833	926	617	752	749	814	749	809	726	309	142	522	133	60	70	35	40					
		59.63%	62.69%	64.64%	57.21%	62.48%	65.11%	62.00%	58.41%	62.97%	62.23%	64.05%	61.28%	55.56%	62.46%	58.57%	58.65%	63.69%	60.22%	59.07%	61.43%	57.17%	59.04%	61.00%	57.89%	54.36%	57.35%	58.07%	56.06%	58.29%	58.89%	55.95%	56.25%	67.09%	59.65%	58.12%	61.03%	56.63%	64.08%	66.21%	58.65%	58.53%	56.79%	59.07%	61.22%	58.70%	59.82%	56.48%	68.23%	55.76%	58.96%	60.69%	60.68%	56.59%	57.99%	58.22%	57.00%	59.45%	59.23%	58.64%	56.92%	57.21%	65.80%	60.73%	59.74%	59.40%	62.22%	60.65%	57.14%	60.17%	59.31%	60.38%	56.13%	62.10%	63.53%	61.25%	60.80%	60.31%	56.33%	57.75%	60.07%	56.19%	64.93%	61.53%	67.17%	51.45%	55.89%	77.33%	65.22%	65.42%	53.03%	81.63%					
22	. Хакамада Ирина Муцуовна	4758	56	29	19	26	15	19	22	30	52	24	21	34	49	57	49	16	74	89	63	55	68	66	57	55	76	80	66	47	70	75	103	67	63	81	69	38	51	66	38	66	69	60	88	67	60	70	35	73	47	41	35	66	49	56	79	59	61	45	67	78	29	60	43	68	72	51	54	73	57	64	84	51	62	69	87	42	72	79	75	77	48	51	28	12	27	4	6	4	2	1					
		4.87%	5.22%	4.01%	2.88%	4.95%	2.34%	3.45%	3.56%	4.37%	4.43%	3.42%	3.27%	3.43%	3.64%	4.70%	4.08%	4.47%	5.13%	6.48%	5.32%	4.48%	4.82%	5.40%	4.73%	4.56%	5.30%	5.33%	4.55%	5.16%	4.64%	5.91%	6.10%	4.96%	5.20%	5.12%	5.16%	4.13%	4.50%	5.66%	3.76%	5.26%	4.88%	4.17%	6.48%	4.27%	4.21%	4.72%	4.83%	5.65%	5.30%	4.54%	3.81%	6.90%	4.74%	6.09%	6.28%	5.21%	5.02%	4.03%	5.33%	7.21%	3.44%	5.34%	4.25%	5.35%	4.76%	3.68%	5.51%	4.87%	4.56%	4.39%	5.66%	3.91%	5.07%	5.07%	5.71%	4.11%	5.39%	6.09%	5.54%	5.78%	3.85%	4.32%	6.09%	4.35%	2.89%	2.33%	6.52%	3.74%	3.03%	2.04%					
23	. Харитонов Николай Михайлович	20509	168	137	137	79	128	110	168	139	236	139	157	274	260	285	288	65	309	253	241	271	295	244	293	328	302	295	341	190	306	291	353	183	240	351	294	237	211	187	216	261	347	314	240	320	280	338	104	302	180	190	186	225	229	194	302	245	262	233	301	204	140	241	233	261	287	297	212	289	278	274	358	247	225	276	307	231	293	258	284	288	235	231	70	78	277	24	14	24	17	2					
		21.00%	15.67%	18.92%	20.79%	15.05%	19.94%	20.00%	27.18%	20.26%	20.12%	19.83%	24.42%	27.68%	19.29%	23.48%	23.96%	18.16%	21.41%	18.43%	20.34%	22.07%	20.91%	19.95%	24.34%	27.22%	21.05%	19.67%	23.48%	20.86%	20.29%	22.93%	20.90%	13.54%	19.80%	22.17%	21.99%	25.76%	18.62%	16.04%	21.36%	20.81%	24.54%	21.82%	17.66%	20.40%	19.64%	22.81%	14.36%	23.36%	20.29%	21.04%	20.26%	23.54%	22.17%	21.11%	24.01%	21.64%	21.58%	20.86%	23.93%	18.85%	16.63%	21.46%	23.05%	20.54%	18.96%	21.44%	21.63%	19.28%	22.22%	18.78%	24.12%	18.91%	18.40%	20.29%	20.16%	22.58%	21.95%	19.89%	20.96%	21.61%	18.86%	19.58%	15.22%	28.26%	29.66%	13.95%	15.22%	22.43%	25.76%	4.08%					
																																																																																																	
24	Против всех	5044	63	23	37	36	21	11	18	18	52	27	18	49	69	53	68	17	67	91	54	68	80	60	55	57	87	80	85	30	105	75	110	77	81	99	63	50	52	54	43	60	77	86	84	101	95	109	38	67	40	31	33	30	54	33	66	49	69	56	63	51	46	59	33	81	66	63	64	80	74	79	64	61	65	65	78	48	84	82	67	87	65	55	17	13	32	6	3	5	5	2					
		5.17%	5.88%	3.18%	5.61%	6.86%	3.27%	2.00%	2.91%	2.62%	4.43%	3.85%	2.80%	4.95%	5.12%	4.37%	5.66%	4.75%	4.64%	6.63%	4.56%	5.54%	5.67%	4.91%	4.57%	4.73%	6.06%	5.33%	5.85%	3.29%	6.96%	5.91%	6.51%	5.70%	6.68%	6.25%	4.71%	5.43%	4.59%	4.63%	4.25%	4.78%	5.45%	5.98%	6.18%	6.44%	6.66%	7.35%	5.25%	5.18%	4.51%	3.43%	3.59%	3.14%	5.23%	3.59%	5.25%	4.33%	5.68%	5.01%	5.01%	4.71%	5.46%	5.25%	3.26%	6.37%	4.36%	4.55%	6.53%	5.34%	5.92%	5.41%	4.31%	4.67%	5.31%	4.78%	5.12%	4.69%	6.29%	6.32%	4.94%	6.53%	5.22%	4.66%	3.70%	4.71%	3.43%	3.49%	3.26%	4.67%	7.58%	4.08%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
