Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Липецк, Октябрьская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	5446	48	38	41	68	45	61	58	52	113	68	70	2	106	123	47	107	99	94	98	109	97	106	109	89	97	79	96	51	85	92	98	95	85	114	97	96	75	142	140	125	81	54	48	85	83	83	54	51	3	72	108	85	74	86	79	64	64	93	52	93	85	70	66	124	98	87	72	17					
		5.48%	5.16%	3.69%	3.67%	5.76%	4.47%	4.20%	4.27%	3.83%	6.20%	3.80%	4.16%	1.01%	6.00%	6.80%	6.02%	5.60%	6.33%	5.72%	5.67%	7.89%	5.49%	5.87%	6.35%	5.81%	5.86%	5.34%	6.17%	4.47%	4.75%	4.88%	6.19%	6.95%	5.42%	6.24%	5.34%	5.73%	4.66%	6.47%	6.65%	8.42%	5.81%	4.48%	4.37%	5.07%	4.98%	5.64%	3.94%	3.86%	1.35%	4.91%	6.54%	5.80%	4.65%	5.21%	5.52%	5.83%	4.95%	7.54%	5.39%	6.28%	5.39%	5.42%	4.29%	6.95%	5.95%	4.84%	5.22%	3.30%					
19	. Малышкин Олег Александрович	2728	28	26	49	37	27	46	37	38	58	51	65	6	27	67	14	55	56	31	38	27	49	40	46	46	35	39	49	36	40	63	39	43	50	47	65	40	50	52	64	40	35	34	21	48	55	43	44	32	4	36	36	44	33	28	39	22	30	34	18	42	39	31	42	39	41	84	46	12					
		2.75%	3.01%	2.53%	4.38%	3.13%	2.68%	3.17%	2.73%	2.80%	3.18%	2.85%	3.86%	3.03%	1.53%	3.71%	1.79%	2.88%	3.58%	1.89%	2.20%	1.96%	2.77%	2.21%	2.68%	3.00%	2.11%	2.64%	3.15%	3.15%	2.23%	3.34%	2.46%	3.15%	3.19%	2.57%	3.58%	2.39%	3.11%	2.37%	3.04%	2.69%	2.51%	2.82%	1.91%	2.87%	3.30%	2.92%	3.21%	2.42%	1.79%	2.46%	2.18%	3.00%	2.07%	1.70%	2.73%	2.00%	2.32%	2.76%	1.87%	2.84%	2.47%	2.40%	2.73%	2.19%	2.49%	4.67%	3.34%	2.33%					
20	. Миронов Сергей Михайлович	1036	10	6	94	7	7	5	12	6	12	18	14	1	14	32	8	20	16	12	18	15	25	27	25	16	17	10	19	8	18	15	15	17	21	30	29	19	17	23	16	18	11	15	13	14	18	15	8	10	1	16	16	15	8	21	3	8	10	11	5	13	12	9	10	12	22	12	11	5					
		1.04%	1.08%	0.58%	8.41%	0.59%	0.70%	0.34%	0.88%	0.44%	0.66%	1.01%	0.83%	0.51%	0.79%	1.77%	1.02%	1.05%	1.02%	0.73%	1.04%	1.09%	1.41%	1.50%	1.46%	1.04%	1.03%	0.68%	1.22%	0.70%	1.01%	0.80%	0.95%	1.24%	1.34%	1.64%	1.60%	1.13%	1.06%	1.05%	0.76%	1.21%	0.79%	1.24%	1.18%	0.84%	1.08%	1.02%	0.58%	0.76%	0.45%	1.09%	0.97%	1.02%	0.50%	1.27%	0.21%	0.73%	0.77%	0.89%	0.52%	0.88%	0.76%	0.70%	0.65%	0.67%	1.34%	0.67%	0.80%	0.97%					
21	. Путин Владимир Владимирович	62585	548	655	711	693	619	827	768	850	1066	1070	1053	113	1211	1161	524	1299	1019	1093	1129	843	1092	1144	1094	957	1020	924	979	780	1184	1189	974	819	959	1135	1100	1058	1012	1380	1338	909	848	750	716	1055	1018	920	867	891	161	943	1038	943	1030	1038	932	694	869	772	595	954	972	822	996	1127	1010	1153	835	337					
		62.99%	58.92%	63.65%	63.60%	58.68%	61.53%	56.96%	56.60%	62.59%	58.44%	59.78%	62.57%	57.07%	68.57%	64.21%	67.09%	68.01%	65.15%	66.48%	65.37%	61.04%	61.80%	63.34%	63.75%	62.43%	61.63%	62.43%	62.92%	68.30%	66.15%	63.11%	61.49%	59.91%	61.20%	62.09%	60.57%	63.13%	62.86%	62.84%	63.53%	61.21%	60.88%	62.24%	65.21%	62.99%	61.03%	62.50%	63.24%	67.40%	72.20%	64.37%	62.83%	64.37%	64.74%	62.87%	65.17%	63.21%	67.16%	62.61%	61.72%	64.42%	61.64%	63.62%	64.72%	63.21%	61.32%	64.16%	60.55%	65.44%					
22	. Хакамада Ирина Муцуовна	3158	13	23	27	33	17	51	31	35	37	61	48	2	79	61	26	49	49	62	46	56	50	56	50	45	55	55	36	33	56	65	51	47	57	56	49	49	51	114	82	56	35	44	30	49	38	37	39	47	5	39	72	32	41	68	42	43	43	50	31	49	67	48	46	56	56	57	61	14					
		3.18%	1.40%	2.24%	2.42%	2.79%	1.69%	3.51%	2.28%	2.58%	2.03%	3.41%	2.85%	1.01%	4.47%	3.37%	3.33%	2.57%	3.13%	3.77%	2.66%	4.06%	2.83%	3.10%	2.91%	2.94%	3.32%	3.72%	2.31%	2.89%	3.13%	3.45%	3.22%	3.44%	3.64%	3.06%	2.70%	2.92%	3.17%	5.19%	3.89%	3.77%	2.51%	3.65%	2.73%	2.93%	2.28%	2.51%	2.84%	3.56%	2.24%	2.66%	4.36%	2.18%	2.58%	4.12%	2.94%	3.92%	3.32%	4.06%	3.22%	3.31%	4.25%	3.72%	2.99%	3.14%	3.40%	3.17%	4.42%	2.72%					
23	. Харитонов Николай Михайлович	16710	249	228	113	239	217	335	365	263	419	386	335	53	194	191	97	222	183	233	271	233	296	299	234	266	296	247	260	146	293	321	254	214	278	325	351	290	268	250	246	231	285	210	186	276	310	266	285	196	47	262	274	216	300	282	216	210	187	190	200	237	286	224	245	289	301	190	249	100					
		16.82%	26.77%	22.16%	10.11%	20.24%	21.57%	23.07%	26.90%	19.37%	22.97%	21.56%	19.90%	26.77%	10.99%	10.56%	12.42%	11.62%	11.70%	14.17%	15.69%	16.87%	16.75%	16.56%	13.64%	17.35%	17.89%	16.69%	16.71%	12.78%	16.37%	17.04%	16.04%	15.65%	17.74%	17.78%	19.33%	17.30%	16.65%	11.38%	11.68%	15.56%	20.46%	17.43%	16.94%	16.48%	18.59%	18.07%	20.79%	14.83%	21.08%	17.88%	16.59%	14.74%	18.86%	17.08%	15.10%	19.13%	14.45%	15.41%	20.75%	16.00%	18.14%	17.34%	15.92%	16.21%	18.28%	10.57%	18.06%	19.42%					
																																																																											
24	Против всех	6845	32	46	71	94	66	116	72	96	102	114	86	19	127	168	58	142	127	111	110	93	144	115	135	99	117	110	109	70	100	126	133	119	109	116	112	116	125	223	212	100	79	76	77	128	130	90	57	74	0	88	91	107	89	116	110	48	82	81	54	80	101	77	120	118	112	191	104	25					
		6.89%	3.44%	4.47%	6.35%	7.96%	6.56%	7.99%	5.31%	7.07%	5.59%	6.37%	5.11%	9.60%	7.19%	9.29%	7.43%	7.43%	8.12%	6.75%	6.37%	6.73%	8.15%	6.37%	7.87%	6.46%	7.07%	7.43%	7.01%	6.13%	5.59%	6.69%	8.40%	8.71%	6.96%	6.35%	6.17%	6.92%	7.76%	10.15%	10.07%	6.73%	5.67%	6.31%	7.01%	7.64%	7.79%	6.11%	4.16%	5.60%	0.00%	6.01%	5.51%	7.30%	5.59%	7.03%	7.69%	4.37%	6.34%	6.57%	5.60%	5.40%	6.40%	5.96%	7.80%	6.62%	6.80%	10.63%	7.54%	4.85%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
