Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Азовская районная																																																																																							
																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																							
																																																																																							
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2514	УИК №2585					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	773	6	0	1	1	0	2	0	6	1	3	5	0	15	0	0	2	2	2	0	5	2	25	96	40	15	3	39	6	34	10	3	2	1	3	22	22	65	7	1	9	0	6	1	0	7	0	57	5	0	18	1	1	2	47	19	10	1	24	15	16	1	9	1	4	2	0	1	1	12	0	1	0	0	0	1	0	1	0	25	28					
14	Число погашенных открепительных удостоверений	1303	17	10	10	10	5	5	5	5	16	10	7	10	16	15	9	10	9	16	15	15	15	28	27	26	28	10	18	19	17	19	20	10	10	10	34	30	26	27	40	24	29	20	10	10	20	10	13	9	15	8	19	20	17	25	28	24	19	10	28	18	11	13	13	17	13	10	5	6	18	10	9	10	10	8	20	20	20	20	38	27					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
18	"1. ""ЕДИНЕНИЕ"""	415	19	6	4	6	1	7	0	3	5	3	4	1	3	3	0	2	8	0	10	5	8	9	10	1	11	0	2	1	24	9	4	3	0	1	14	4	16	12	0	0	3	5	4	1	12	1	5	5	4	5	3	0	1	4	13	6	3	3	4	0	10	3	10	7	13	2	13	6	24	2	1	0	1	4	0	0	0	0	6	12					
		0.90%	2.08%	1.03%	1.32%	1.44%	0.97%	2.70%	0.0%	0.97%	0.59%	0.79%	1.03%	0.69%	0.24%	1.26%	0.0%	0.74%	2.74%	0.0%	2.12%	0.80%	1.55%	1.06%	1.56%	0.12%	2.03%	0.0%	0.30%	0.17%	1.93%	1.19%	0.49%	2.12%	0.0%	0.42%	0.92%	0.24%	1.45%	1.92%	0.0%	0.0%	0.25%	1.00%	1.60%	1.03%	1.14%	0.29%	0.83%	1.76%	1.35%	1.29%	0.53%	0.0%	0.14%	0.43%	1.82%	0.76%	1.64%	2.12%	0.39%	0.0%	1.04%	0.28%	1.02%	0.73%	1.11%	0.33%	2.67%	0.97%	2.04%	1.04%	0.47%	0.0%	0.52%	3.33%	0.0%	0.0%	0.0%	0.0%	0.35%	1.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	393	5	5	0	3	0	1	0	2	15	4	4	0	3	0	0	1	7	13	4	3	2	11	5	5	10	0	1	3	10	4	2	0	0	1	22	13	14	4	0	27	9	15	2	0	14	2	11	2	3	5	2	0	2	7	4	14	1	1	1	0	4	9	2	0	3	2	1	2	20	0	1	0	0	0	0	0	0	0	39	11					
		0.85%	0.54%	0.86%	0.0%	0.72%	0.0%	0.38%	0.0%	0.65%	1.78%	1.06%	1.03%	0.0%	0.24%	0.0%	0.0%	0.37%	2.40%	2.26%	0.85%	0.48%	0.38%	1.30%	0.78%	0.63%	1.84%	0.0%	0.15%	0.53%	0.80%	0.53%	0.24%	0.0%	0.0%	0.42%	1.45%	0.79%	1.27%	0.64%	0.0%	2.46%	0.76%	3.01%	0.80%	0.0%	1.34%	0.59%	1.84%	0.70%	1.01%	1.29%	0.35%	0.0%	0.29%	0.76%	0.56%	1.77%	0.54%	0.70%	0.09%	0.0%	0.41%	0.85%	0.20%	0.0%	0.25%	0.33%	0.20%	0.32%	1.70%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.29%	1.22%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	708	13	12	8	4	0	3	1	4	20	10	18	1	3	2	3	5	0	17	13	13	11	26	22	8	22	0	1	1	32	4	10	0	0	3	14	11	24	15	6	10	11	5	3	0	20	6	15	5	6	10	7	0	4	5	7	7	4	4	3	0	23	8	25	13	43	4	13	14	19	1	2	0	0	2	0	2	0	0	29	18					
		1.53%	1.42%	2.06%	2.64%	0.96%	0.0%	1.15%	1.23%	1.30%	2.37%	2.65%	4.67%	0.69%	0.24%	0.84%	0.95%	1.87%	0.0%	2.95%	2.76%	2.09%	2.14%	3.08%	3.44%	1.01%	4.06%	0.0%	0.15%	0.17%	2.57%	0.53%	1.24%	0.0%	0.0%	1.26%	0.92%	0.67%	2.17%	2.40%	1.73%	0.91%	0.93%	1.00%	1.20%	0.0%	1.91%	1.79%	2.51%	1.76%	2.03%	2.59%	1.24%	0.0%	0.59%	0.54%	0.98%	0.88%	2.19%	2.83%	0.29%	0.0%	2.41%	0.75%	2.56%	1.35%	3.68%	0.67%	2.67%	2.28%	1.62%	0.52%	0.95%	0.0%	0.0%	1.66%	0.0%	1.26%	0.0%	0.0%	1.70%	2.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	581	17	18	3	3	0	3	3	3	17	0	3	0	6	2	0	1	3	9	7	8	4	27	13	10	8	0	2	6	11	12	10	0	0	2	19	16	33	15	0	13	13	5	0	0	19	9	23	2	0	12	2	0	6	0	10	7	1	0	1	0	10	9	23	10	12	5	6	6	9	2	2	2	0	1	0	0	0	0	45	22					
		1.26%	1.86%	3.10%	0.99%	0.72%	0.0%	1.15%	3.70%	0.97%	2.02%	0.0%	0.77%	0.0%	0.48%	0.84%	0.0%	0.37%	1.03%	1.56%	1.48%	1.28%	0.77%	3.20%	2.03%	1.26%	1.47%	0.0%	0.30%	1.07%	0.88%	1.59%	1.24%	0.0%	0.0%	0.84%	1.25%	0.97%	2.99%	2.40%	0.0%	1.18%	1.10%	1.00%	0.0%	0.0%	1.81%	2.69%	3.85%	0.70%	0.0%	3.11%	0.35%	0.0%	0.89%	0.0%	1.40%	0.88%	0.54%	0.0%	0.09%	0.0%	1.04%	0.85%	2.35%	1.04%	1.02%	0.83%	1.23%	0.97%	0.76%	1.04%	0.95%	1.62%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	2.64%	2.45%					
22	"5. ""За Русь Святую"""	110	11	0	0	0	0	2	0	0	5	1	2	1	1	0	0	0	0	2	0	2	0	7	3	0	3	0	1	0	0	1	1	0	0	0	9	0	2	1	0	0	1	1	1	0	5	0	4	2	0	3	1	0	1	2	0	1	0	0	0	0	1	3	3	3	3	2	2	0	1	0	2	0	0	1	0	0	0	0	6	6					
		0.23%	1.20%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.59%	0.26%	0.51%	0.69%	0.08%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.32%	0.0%	0.83%	0.47%	0.0%	0.55%	0.0%	0.15%	0.0%	0.0%	0.13%	0.12%	0.0%	0.0%	0.0%	0.59%	0.0%	0.18%	0.16%	0.0%	0.0%	0.08%	0.20%	0.40%	0.0%	0.47%	0.0%	0.67%	0.70%	0.0%	0.77%	0.17%	0.0%	0.14%	0.21%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.10%	0.28%	0.30%	0.31%	0.25%	0.33%	0.41%	0.0%	0.08%	0.0%	0.95%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.35%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	79	2	2	0	1	0	1	0	1	2	0	0	2	2	0	3	1	0	0	0	1	0	1	4	4	1	0	0	0	3	4	7	0	0	0	3	3	6	2	0	0	2	0	0	0	0	0	0	1	1	3	2	0	1	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3					
		0.17%	0.21%	0.34%	0.0%	0.24%	0.0%	0.38%	0.0%	0.32%	0.23%	0.0%	0.0%	1.38%	0.16%	0.0%	0.95%	0.37%	0.0%	0.0%	0.0%	0.16%	0.0%	0.11%	0.62%	0.50%	0.18%	0.0%	0.0%	0.0%	0.24%	0.53%	0.87%	0.0%	0.0%	0.0%	0.19%	0.18%	0.54%	0.32%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.33%	0.77%	0.35%	0.0%	0.14%	0.0%	0.14%	0.25%	0.0%	0.0%	0.0%	0.0%	0.10%	0.09%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	178	4	0	4	1	0	1	0	2	0	4	2	3	2	0	0	0	0	4	1	3	0	5	4	2	2	0	0	3	8	2	1	2	0	2	7	7	12	7	0	0	3	2	0	0	5	1	9	1	2	2	3	0	3	1	2	1	0	0	0	0	2	2	8	5	7	0	1	3	2	0	0	0	0	1	0	0	0	0	9	8					
		0.38%	0.43%	0.0%	1.32%	0.24%	0.0%	0.38%	0.0%	0.65%	0.0%	1.06%	0.51%	2.08%	0.16%	0.0%	0.0%	0.0%	0.0%	0.69%	0.21%	0.48%	0.0%	0.59%	0.62%	0.25%	0.36%	0.0%	0.0%	0.53%	0.64%	0.26%	0.12%	1.41%	0.0%	0.84%	0.46%	0.42%	1.08%	1.12%	0.0%	0.0%	0.25%	0.40%	0.0%	0.0%	0.47%	0.29%	1.51%	0.35%	0.67%	0.51%	0.53%	0.0%	0.44%	0.10%	0.28%	0.12%	0.0%	0.0%	0.0%	0.0%	0.20%	0.18%	0.82%	0.52%	0.60%	0.0%	0.20%	0.48%	0.17%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.52%	0.89%					
25	"8. ""Народно-республиканская партия России"""	36	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	0	4	1	0	0	0	1	1	3	3	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.07%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.11%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.32%	0.13%	0.0%	0.0%	0.0%	0.42%	0.06%	0.18%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.29%	0.16%	0.0%	0.67%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.20%	0.0%	0.0%	0.0%	0.41%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	6	2	3	3	0	0	0	0	1	1	4	1	3	0	1	0	1	0	0	3	3	2	0	0	4	0	1	0	0	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	3	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.12%	0.0%	0.0%	0.0%	0.39%	0.12%	0.27%	0.48%	0.0%	0.0%	0.0%	0.0%	0.40%	1.03%	0.38%	0.29%	0.50%	0.0%	0.33%	0.0%	0.17%	0.0%	0.0%	0.32%	0.42%	0.25%	0.0%	0.0%	0.39%	0.0%	0.10%	0.0%	0.0%	0.10%	0.08%	0.33%	0.41%	0.32%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%					
27	"10. ""Аграрная партия России"""	1203	54	22	7	10	0	1	4	4	5	2	0	6	55	3	4	5	3	23	12	24	9	15	20	12	5	6	3	15	67	37	51	6	0	14	10	9	20	6	9	31	9	22	4	32	46	29	31	1	6	5	25	6	24	1	29	77	9	0	21	0	11	23	27	15	23	17	0	24	25	4	5	0	13	10	0	5	1	5	5	24					
		2.61%	5.93%	3.79%	2.31%	2.40%	0.0%	0.38%	4.93%	1.30%	0.59%	0.53%	0.0%	4.16%	4.48%	1.26%	1.27%	1.87%	1.03%	4.0%	2.55%	3.86%	1.75%	1.77%	3.13%	1.51%	0.92%	6.0%	0.45%	2.69%	5.39%	4.92%	6.34%	4.25%	0.0%	5.88%	0.66%	0.55%	1.81%	0.96%	2.60%	2.82%	0.76%	4.42%	1.60%	32.98%	4.40%	8.68%	5.20%	0.35%	2.03%	1.29%	4.44%	2.81%	3.57%	0.10%	4.07%	9.78%	4.94%	0.0%	2.08%	0.0%	1.15%	2.17%	2.76%	1.56%	1.97%	2.84%	0.0%	3.91%	2.13%	2.08%	2.39%	0.0%	6.80%	8.33%	0.0%	3.16%	0.8%	2.22%	0.29%	2.67%					
28	"11. ""Истинные патриоты России"""	82	1	11	1	2	1	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	2	2	8	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	11	0	2	0	0	0	0	0	0	9	3	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1					
		0.17%	0.10%	1.89%	0.33%	0.48%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.71%	0.86%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.39%	0.0%	0.0%	0.0%	0.0%	0.06%	0.12%	0.18%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	1.19%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.31%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	368	9	10	2	5	0	2	1	1	10	2	0	0	4	3	0	1	4	3	1	6	2	7	13	0	9	0	0	5	14	1	10	0	0	2	9	7	5	10	0	0	3	3	0	0	6	3	8	1	7	10	1	0	3	0	5	13	2	0	0	0	8	27	21	20	8	3	10	7	10	3	0	0	2	0	0	0	0	0	12	14					
		0.79%	0.98%	1.72%	0.66%	1.20%	0.0%	0.77%	1.23%	0.32%	1.18%	0.53%	0.0%	0.0%	0.32%	1.26%	0.0%	0.37%	1.37%	0.52%	0.21%	0.96%	0.38%	0.83%	2.03%	0.0%	1.66%	0.0%	0.0%	0.89%	1.12%	0.13%	1.24%	0.0%	0.0%	0.84%	0.59%	0.42%	0.45%	1.60%	0.0%	0.0%	0.25%	0.60%	0.0%	0.0%	0.57%	0.89%	1.34%	0.35%	2.37%	2.59%	0.17%	0.0%	0.44%	0.0%	0.70%	1.65%	1.09%	0.0%	0.0%	0.0%	0.83%	2.55%	2.15%	2.09%	0.68%	0.50%	2.05%	1.14%	0.85%	1.56%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	1.56%					
30	"13. ""Демократическая партия России"""	88	8	4	2	0	1	0	0	1	1	0	1	0	2	1	0	0	0	1	0	0	2	0	3	0	2	0	0	2	4	2	0	0	0	0	3	0	2	1	0	0	2	0	2	1	5	0	1	0	0	0	0	0	0	5	1	2	1	0	0	0	4	0	0	4	5	6	0	2	3	0	0	0	0	0	0	0	0	0	0	1					
		0.19%	0.87%	0.68%	0.66%	0.0%	0.97%	0.0%	0.0%	0.32%	0.11%	0.0%	0.25%	0.0%	0.16%	0.42%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.38%	0.0%	0.47%	0.0%	0.36%	0.0%	0.0%	0.35%	0.32%	0.26%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.18%	0.16%	0.0%	0.0%	0.16%	0.0%	0.80%	1.03%	0.47%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.14%	0.25%	0.54%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.41%	0.42%	1.00%	0.0%	0.32%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%					
31	"14. ""Великая Россия - Евразийский Союз"""	60	3	0	1	2	0	1	1	1	1	0	4	0	1	1	0	0	0	0	1	0	0	2	4	0	2	0	0	0	6	0	1	0	0	0	1	1	4	2	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0					
		0.13%	0.32%	0.0%	0.33%	0.48%	0.0%	0.38%	1.23%	0.32%	0.11%	0.0%	1.03%	0.0%	0.08%	0.42%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.23%	0.62%	0.0%	0.36%	0.0%	0.0%	0.0%	0.48%	0.0%	0.12%	0.0%	0.0%	0.0%	0.06%	0.06%	0.36%	0.32%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.09%	0.0%	0.33%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	1.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.20%	0.0%	0.0%	0.20%	0.16%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%					
32	"15. ""Партия СЛОН"""	42	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	2	0	2	0	0	0	5	0	0	0	0	1	1	2	0	3	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.09%	0.32%	0.17%	0.33%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.74%	0.0%	0.34%	0.21%	0.0%	0.19%	0.0%	0.31%	0.0%	0.36%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.42%	0.06%	0.12%	0.0%	0.48%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.67%	0.0%	0.0%	0.0%	0.14%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.10%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2044	52	52	14	30	4	13	1	15	72	11	24	14	50	6	6	12	8	30	18	60	21	72	51	11	60	5	10	12	99	22	25	4	3	6	18	18	36	54	11	7	28	29	12	7	33	5	58	16	14	35	11	24	0	0	25	41	11	4	15	2	28	104	95	11	56	13	21	50	60	7	21	0	4	8	8	1	1	5	104	40					
