Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Соликамская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК  3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2234	10	110	20	40	55	120	120	17	63	70	20	70	60	120	40	110	110	20	32	62	10	40	40	40	40	70	120	110	50	60	120	120	60	60	10	10	5	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	888	5	6	10	31	53	75	22	17	13	24	12	25	53	28	17	15	15	17	31	52	8	19	17	20	25	14	28	15	22	25	46	64	24	20	8	7	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	924	1	8	17	8	20	18	7	20	3	12	10	16	10	14	14	12	4	10	4	12	7	11	9	12	7	15	19	9	24	73	3	12	11	12	6	21	13	332	10	98					
14	Число погашенных открепительных удостоверений	1346	5	104	10	9	2	45	98	0	50	46	8	45	7	92	23	95	95	3	1	10	2	21	23	20	15	56	92	95	28	35	74	56	36	40	2	3	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	941	12	10	24	13	26	19	8	17	18	15	22	31	10	26	17	9	13	30	3	2	5	12	19	19	10	9	16	6	18	26	60	16	15	21	12	6	14	332	0	0					
16	Число утраченных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	871	13	11	33	35	29	27	22	23	14	22	22	33	16	29	27	30	27	36	36	39	14	33	36	35	26	6	20	11	8	28	18	17	32	20	8	9	9	12	3	2					
		1.77%	2.24%	1.96%	2.33%	2.24%	1.66%	2.05%	1.14%	1.21%	1.07%	1.28%	1.59%	1.80%	1.19%	1.68%	2.12%	3.07%	5.08%	2.09%	2.57%	1.87%	3.32%	2.16%	2.20%	1.89%	1.59%	1.04%	1.15%	2.45%	0.97%	1.57%	1.23%	1.11%	1.86%	1.73%	2.02%	1.74%	1.40%	2.95%	0.60%	1.6%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4288	17	49	95	136	151	120	155	190	117	151	137	136	89	127	93	75	25	110	113	230	33	148	191	177	162	54	154	22	97	152	139	159	196	97	29	40	49	22	37	14					
		8.73%	2.94%	8.73%	6.71%	8.71%	8.67%	9.11%	8.06%	10.04%	9.02%	8.80%	9.92%	7.44%	6.63%	7.39%	7.33%	7.67%	4.70%	6.38%	8.08%	11.07%	7.83%	9.73%	11.71%	9.58%	9.92%	9.40%	8.90%	4.91%	11.77%	8.53%	9.52%	10.39%	11.44%	8.40%	7.32%	7.75%	7.63%	5.41%	7.42%	11.2%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1536	29	18	31	52	64	41	46	45	44	36	44	42	37	81	47	35	25	48	29	49	11	30	66	52	52	20	59	7	22	79	41	46	67	43	15	11	23	26	19	4					
		3.12%	5.01%	3.20%	2.19%	3.33%	3.67%	3.11%	2.39%	2.37%	3.39%	2.10%	3.18%	2.30%	2.75%	4.71%	3.70%	3.58%	4.70%	2.78%	2.07%	2.36%	2.61%	1.97%	4.04%	2.81%	3.18%	3.48%	3.41%	1.56%	2.66%	4.43%	2.80%	3.00%	3.91%	3.72%	3.78%	2.13%	3.58%	6.40%	3.81%	3.2%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2396	21	18	66	74	92	87	81	112	70	92	67	84	86	61	56	62	8	60	63	85	10	82	100	107	100	41	105	19	35	100	71	83	65	46	13	17	26	13	10	8					
		4.88%	3.63%	3.20%	4.66%	4.74%	5.28%	6.61%	4.21%	5.92%	5.39%	5.36%	4.85%	4.60%	6.40%	3.55%	4.41%	6.34%	1.50%	3.48%	4.50%	4.09%	2.37%	5.39%	6.13%	5.79%	6.12%	7.14%	6.07%	4.24%	4.24%	5.61%	4.86%	5.42%	3.79%	3.98%	3.28%	3.29%	4.04%	3.20%	2.00%	6.4%					
22	"5. ""За Русь Святую"""	239	3	4	8	12	8	5	5	5	1	5	11	6	8	10	9	10	3	5	4	8	6	6	13	3	6	5	9	0	8	10	13	4	6	7	1	3	3	3	2	1					
		0.48%	0.51%	0.71%	0.56%	0.76%	0.45%	0.37%	0.26%	0.26%	0.07%	0.29%	0.79%	0.32%	0.59%	0.58%	0.70%	1.02%	0.56%	0.29%	0.28%	0.38%	1.42%	0.39%	0.79%	0.16%	0.36%	0.87%	0.52%	0.0%	0.97%	0.56%	0.89%	0.26%	0.35%	0.60%	0.25%	0.58%	0.46%	0.73%	0.40%	0.8%					
23	"6. ""Объединенная Российская партия ""Русь"""	104	0	4	5	7	4	1	2	2	3	2	0	6	2	1	6	5	3	4	2	2	0	3	1	2	3	0	3	1	4	6	6	3	3	2	0	1	0	3	1	1					
		0.21%	0.0%	0.71%	0.35%	0.44%	0.22%	0.07%	0.10%	0.10%	0.23%	0.11%	0.0%	0.32%	0.14%	0.05%	0.47%	0.51%	0.56%	0.23%	0.14%	0.09%	0.0%	0.19%	0.06%	0.10%	0.18%	0.0%	0.17%	0.22%	0.48%	0.33%	0.41%	0.19%	0.17%	0.17%	0.0%	0.19%	0.0%	0.73%	0.20%	0.8%					
24	"7. ""Новый курс - Автомобильная Россия"""	684	6	4	24	20	16	16	27	18	15	22	13	17	14	13	9	15	13	20	24	32	4	21	33	40	18	10	44	9	17	19	23	18	34	25	3	14	6	4	2	2					
		1.39%	1.03%	0.71%	1.69%	1.28%	0.91%	1.21%	1.40%	0.95%	1.15%	1.28%	0.94%	0.93%	1.04%	0.75%	0.70%	1.53%	2.44%	1.16%	1.71%	1.54%	0.95%	1.38%	2.02%	2.16%	1.10%	1.74%	2.54%	2.00%	2.06%	1.06%	1.57%	1.17%	1.98%	2.16%	0.75%	2.71%	0.93%	0.98%	0.40%	1.6%					
25	"8. ""Народно-республиканская партия России"""	49	0	0	4	0	1	1	2	2	0	3	1	0	0	4	0	2	0	2	3	1	1	1	3	1	3	0	0	1	1	0	1	4	2	2	1	0	1	1	0	0					
		0.09%	0.0%	0.0%	0.28%	0.0%	0.05%	0.07%	0.10%	0.10%	0.0%	0.17%	0.07%	0.0%	0.0%	0.23%	0.0%	0.20%	0.0%	0.11%	0.21%	0.04%	0.23%	0.06%	0.18%	0.05%	0.18%	0.0%	0.0%	0.22%	0.12%	0.0%	0.06%	0.26%	0.11%	0.17%	0.25%	0.0%	0.15%	0.24%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	163	2	1	1	6	5	7	9	6	1	5	2	7	4	7	2	4	2	6	5	9	0	7	10	3	8	0	8	3	0	4	3	9	6	0	0	3	2	4	1	1					
		0.33%	0.34%	0.17%	0.07%	0.38%	0.28%	0.53%	0.46%	0.31%	0.07%	0.29%	0.14%	0.38%	0.29%	0.40%	0.15%	0.40%	0.37%	0.34%	0.35%	0.43%	0.0%	0.46%	0.61%	0.16%	0.49%	0.0%	0.46%	0.66%	0.0%	0.22%	0.20%	0.58%	0.35%	0.0%	0.0%	0.58%	0.31%	0.98%	0.20%	0.8%					
27	"10. ""Аграрная партия России"""	1155	21	21	37	28	44	23	38	47	32	30	43	45	28	51	16	21	16	26	31	48	13	28	32	47	35	20	29	10	19	46	44	23	36	25	11	39	22	15	13	2					
		2.35%	3.63%	3.74%	2.61%	1.79%	2.52%	1.74%	1.97%	2.48%	2.46%	1.75%	3.11%	2.46%	2.08%	2.97%	1.26%	2.14%	3.01%	1.50%	2.21%	2.31%	3.08%	1.84%	1.96%	2.54%	2.14%	3.48%	1.67%	2.23%	2.30%	2.58%	3.01%	1.50%	2.10%	2.16%	2.77%	7.55%	3.42%	3.69%	2.61%	1.6%					
28	"11. ""Истинные патриоты России"""	37	0	0	1	4	1	0	3	2	0	3	2	1	0	0	1	0	0	0	1	2	0	0	1	1	0	0	1	0	2	3	1	2	2	0	1	0	1	1	0	0					
		0.07%	0.0%	0.0%	0.07%	0.25%	0.05%	0.0%	0.15%	0.10%	0.0%	0.17%	0.14%	0.05%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.07%	0.09%	0.0%	0.0%	0.06%	0.05%	0.0%	0.0%	0.05%	0.0%	0.24%	0.16%	0.06%	0.13%	0.11%	0.0%	0.25%	0.0%	0.15%	0.24%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	401	3	7	12	13	12	12	14	14	14	15	11	11	9	15	10	5	2	11	14	15	5	21	16	28	11	8	17	2	8	7	6	7	17	6	3	2	2	7	8	1					
		0.81%	0.51%	1.24%	0.84%	0.83%	0.68%	0.91%	0.72%	0.74%	1.07%	0.87%	0.79%	0.60%	0.67%	0.87%	0.78%	0.51%	0.37%	0.63%	1.00%	0.72%	1.18%	1.38%	0.98%	1.51%	0.67%	1.39%	0.98%	0.44%	0.97%	0.39%	0.41%	0.45%	0.99%	0.51%	0.75%	0.38%	0.31%	1.72%	1.60%	0.8%					
30	"13. ""Демократическая партия России"""	93	2	0	4	8	2	0	2	4	4	4	2	2	4	5	0	1	5	3	2	4	1	0	2	1	2	2	1	2	3	2	10	4	3	1	0	0	1	0	0	0					
		0.18%	0.34%	0.0%	0.28%	0.51%	0.11%	0.0%	0.10%	0.21%	0.30%	0.23%	0.14%	0.10%	0.29%	0.29%	0.0%	0.10%	0.94%	0.17%	0.14%	0.19%	0.23%	0.0%	0.12%	0.05%	0.12%	0.34%	0.05%	0.44%	0.36%	0.11%	0.68%	0.26%	0.17%	0.08%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	102	4	1	5	7	0	2	4	1	4	1	4	5	4	4	1	0	1	8	4	1	0	0	2	3	3	2	2	2	2	5	3	0	7	4	1	4	0	1	0	0					
		0.20%	0.69%	0.17%	0.35%	0.44%	0.0%	0.15%	0.20%	0.05%	0.30%	0.05%	0.28%	0.27%	0.29%	0.23%	0.07%	0.0%	0.18%	0.46%	0.28%	0.04%	0.0%	0.0%	0.12%	0.16%	0.18%	0.34%	0.11%	0.44%	0.24%	0.28%	0.20%	0.0%	0.40%	0.34%	0.25%	0.77%	0.0%	0.24%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	57	0	0	3	3	4	0	2	0	1	1	4	1	2	1	3	2	0	4	1	4	0	1	4	0	1	1	1	1	0	1	2	2	1	3	0	1	0	1	1	0					
		0.11%	0.0%	0.0%	0.21%	0.19%	0.22%	0.0%	0.10%	0.0%	0.07%	0.05%	0.28%	0.05%	0.14%	0.05%	0.23%	0.20%	0.0%	0.23%	0.07%	0.19%	0.0%	0.06%	0.24%	0.0%	0.06%	0.17%	0.05%	0.22%	0.0%	0.05%	0.13%	0.13%	0.05%	0.25%	0.0%	0.19%	0.0%	0.24%	0.20%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3242	24	21	101	113	116	106	120	145	90	126	97	132	109	120	109	42	34	133	86	134	35	106	95	115	114	36	121	11	62	128	84	86	98	59	5	33	38	21	33	4					
		6.60%	4.15%	3.74%	7.14%	7.23%	6.66%	8.05%	6.24%	7.66%	6.93%	7.35%	7.02%	7.22%	8.12%	6.98%	8.59%	4.29%	6.40%	7.72%	6.15%	6.45%	8.31%	6.96%	5.82%	6.22%	6.98%	6.27%	6.99%	2.45%	7.52%	7.19%	5.75%	5.62%	5.72%	5.11%	1.26%	6.39%	5.91%	5.17%	6.62%	3.2%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	118	1	0	1	5	4	0	0	2	2	5	3	5	1	4	4	0	1	7	2	3	1	4	5	5	3	1	2	3	1	7	5	6	17	2	0	2	0	2	2	0					
		0.24%	0.17%	0.0%	0.07%	0.32%	0.22%	0.0%	0.0%	0.10%	0.15%	0.29%	0.21%	0.27%	0.07%	0.23%	0.31%	0.0%	0.18%	0.40%	0.14%	0.14%	0.23%	0.26%	0.30%	0.27%	0.18%	0.17%	0.11%	0.66%	0.12%	0.39%	0.34%	0.39%	0.99%	0.17%	0.0%	0.38%	0.0%	0.49%	0.40%	0.0%					
35	"18. ""ЛДПР"""	7667	122	118	245	219	272	193	293	308	199	292	178	285	226	263	168	178	106	242	204	333	69	260	213	257	221	94	260	96	112	272	218	255	288	187	81	82	112	47	66	33					
		15.62%	21.10%	21.03%	17.32%	14.02%	15.62%	14.66%	15.25%	16.28%	15.34%	17.03%	12.89%	15.60%	16.84%	15.31%	13.24%	18.21%	19.96%	14.05%	14.60%	16.04%	16.38%	17.09%	13.05%	13.92%	13.54%	16.37%	15.03%	21.42%	13.59%	15.28%	14.93%	16.67%	16.82%	16.20%	20.45%	15.89%	17.44%	11.57%	13.25%	26.4%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1143	17	7	29	35	26	34	38	42	34	30	37	47	42	37	41	13	9	35	34	57	17	27	27	59	34	13	33	17	27	45	37	35	34	25	10	10	21	4	23	1					
		2.32%	2.94%	1.24%	2.05%	2.24%	1.49%	2.58%	1.97%	2.22%	2.62%	1.75%	2.68%	2.57%	3.12%	2.15%	3.23%	1.33%	1.69%	2.03%	2.43%	2.74%	4.03%	1.77%	1.65%	3.19%	2.08%	2.26%	1.90%	3.79%	3.27%	2.52%	2.53%	2.28%	1.98%	2.16%	2.52%	1.93%	3.27%	0.98%	4.61%	0.8%					
37	"20. ""Политическая партия ""Единая Россия"""	16982	229	211	486	550	612	458	777	652	467	605	495	684	476	642	478	359	175	707	504	680	129	469	497	564	544	166	535	141	247	584	509	519	544	418	143	167	227	117	179	36					
		34.60%	39.61%	37.61%	34.37%	35.23%	35.15%	34.80%	40.44%	34.47%	36.00%	35.29%	35.86%	37.45%	35.46%	37.39%	37.69%	36.74%	32.95%	41.05%	36.07%	32.75%	30.64%	30.83%	30.47%	30.55%	33.33%	28.91%	30.94%	31.47%	29.97%	32.80%	34.86%	33.94%	31.77%	36.22%	36.11%	32.36%	35.35%	28.81%	35.94%	28.8%					
38	"21. ""Российская Конституционно-демократическая партия"""	73	1	2	3	3	4	3	5	2	0	0	2	1	4	4	4	3	1	0	3	2	3	0	3	3	1	1	3	1	1	3	2	2	1	1	0	1	0	0	0	0					
		0.14%	0.17%	0.35%	0.21%	0.19%	0.22%	0.22%	0.26%	0.10%	0.0%	0.0%	0.14%	0.05%	0.29%	0.23%	0.31%	0.30%	0.18%	0.0%	0.21%	0.09%	0.71%	0.0%	0.18%	0.16%	0.06%	0.17%	0.17%	0.22%	0.12%	0.16%	0.13%	0.13%	0.05%	0.08%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	152	0	1	3	5	2	2	8	4	7	5	4	3	6	5	1	3	0	4	4	6	2	3	5	7	9	4	4	2	4	8	4	6	5	3	1	2	1	4	4	1					
		0.30%	0.0%	0.17%	0.21%	0.32%	0.11%	0.15%	0.41%	0.21%	0.53%	0.29%	0.28%	0.16%	0.44%	0.29%	0.07%	0.30%	0.0%	0.23%	0.28%	0.28%	0.47%	0.19%	0.30%	0.37%	0.55%	0.69%	0.23%	0.44%	0.48%	0.44%	0.27%	0.39%	0.29%	0.25%	0.25%	0.38%	0.15%	0.98%	0.80%	0.8%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3045	29	28	90	112	131	70	109	121	83	115	102	134	53	132	81	33	31	104	82	93	26	100	101	113	98	44	120	19	70	125	83	71	108	68	22	17	39	58	29	1					
		6.20%	5.01%	4.99%	6.36%	7.17%	7.52%	5.31%	5.67%	6.39%	6.39%	6.70%	7.39%	7.33%	3.94%	7.68%	6.38%	3.37%	5.83%	6.03%	5.86%	4.47%	6.17%	6.57%	6.19%	6.12%	6.00%	7.66%	6.94%	4.24%	8.49%	7.02%	5.68%	4.64%	6.30%	5.89%	5.55%	3.29%	6.07%	14.28%	5.82%	0.8%					
																																															
41	Против всех	3781	27	33	86	98	120	93	133	128	82	115	82	115	106	86	86	64	28	119	128	218	27	150	156	186	154	35	179	50	62	129	121	148	124	86	35	45	41	33	60	13					
		7.70%	4.67%	5.88%	6.08%	6.27%	6.89%	7.06%	6.92%	6.76%	6.32%	6.70%	5.94%	6.29%	7.89%	5.00%	6.78%	6.55%	5.27%	6.91%	9.16%	10.50%	6.41%	9.86%	9.56%	10.07%	9.43%	6.09%	10.35%	11.16%	7.52%	7.24%	8.28%	9.67%	7.24%	7.45%	8.83%	8.72%	6.38%	8.12%	12.04%	10.4%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
