Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Переславская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	115	6	2	4	2	1	2	2	4	6	3	3	3	2	10	3	1	2	0	6	2	10	6	4	1	8	3	8	11					
		1.00%	1.27%	0.87%	1.73%	0.93%	0.51%	0.26%	0.55%	0.97%	1.46%	1.06%	1.49%	0.99%	0.92%	0.93%	1.08%	0.78%	0.67%	0.0%	1.31%	0.58%	1.27%	1.18%	1.06%	0.47%	0.78%	0.46%	1.66%	3.36%					
30	"13. ""Демократическая партия России"""	35	0	1	0	1	1	1	1	1	1	0	2	0	1	4	0	1	0	3	4	1	1	0	0	0	8	2	0	1					
		0.30%	0.0%	0.43%	0.0%	0.46%	0.51%	0.13%	0.27%	0.24%	0.24%	0.0%	0.99%	0.0%	0.46%	0.37%	0.0%	0.78%	0.0%	1.34%	0.87%	0.29%	0.12%	0.0%	0.0%	0.0%	0.78%	0.31%	0.0%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	1	0	0	0	5	2	0	2	0	2	1	2	0	2	0	0	1	0	0	0	0	1	2	0	4	1	1	0					
		0.23%	0.21%	0.0%	0.0%	0.0%	2.59%	0.26%	0.0%	0.48%	0.0%	0.71%	0.49%	0.66%	0.0%	0.18%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.19%	0.53%	0.0%	0.39%	0.15%	0.20%	0.0%					
32	"15. ""Партия СЛОН"""	11	1	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1					
		0.09%	0.21%	0.87%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.36%	0.0%	0.33%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.09%	0.0%	0.20%	0.30%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1405	55	23	22	15	17	144	41	54	42	24	16	21	13	185	17	6	36	43	72	25	141	42	16	24	117	64	96	34					
		12.33%	11.70%	10.08%	9.52%	7.00%	8.80%	19.27%	11.38%	13.13%	10.26%	8.54%	7.96%	6.97%	6.01%	17.28%	6.13%	4.72%	12.16%	19.28%	15.82%	7.35%	17.91%	8.28%	4.24%	11.48%	11.51%	9.98%	20.0%	10.39%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	31	6	4	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	3	0	1	0	3	2	1	3					
		0.27%	1.27%	1.75%	0.43%	0.0%	0.0%	0.0%	0.27%	0.24%	0.24%	0.0%	0.49%	0.0%	0.46%	0.0%	0.0%	0.0%	0.33%	0.44%	0.0%	0.0%	0.38%	0.0%	0.26%	0.0%	0.29%	0.31%	0.20%	0.91%					
35	"18. ""ЛДПР"""	1182	55	11	18	41	20	61	36	30	57	25	24	44	38	98	23	6	30	40	54	16	91	69	28	15	110	73	34	35					
		10.37%	11.70%	4.82%	7.79%	19.15%	10.36%	8.16%	10.0%	7.29%	13.93%	8.89%	11.94%	14.61%	17.59%	9.15%	8.30%	4.72%	10.13%	17.93%	11.86%	4.70%	11.56%	13.60%	7.42%	7.17%	10.82%	11.38%	7.08%	10.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	256	12	8	4	4	7	15	11	5	10	8	3	2	1	29	0	3	4	4	5	10	11	6	11	2	31	18	19	13					
		2.24%	2.55%	3.50%	1.73%	1.86%	3.62%	2.00%	3.05%	1.21%	2.44%	2.84%	1.49%	0.66%	0.46%	2.71%	0.0%	2.36%	1.35%	1.79%	1.09%	2.94%	1.39%	1.18%	2.91%	0.95%	3.05%	2.80%	3.95%	3.97%					
37	"20. ""Политическая партия ""Единая Россия"""	4386	177	101	99	96	71	312	148	177	145	149	82	128	93	287	124	50	129	103	204	123	309	245	152	52	360	255	117	98					
		38.49%	37.65%	44.29%	42.85%	44.85%	36.78%	41.76%	41.11%	43.06%	35.45%	53.02%	40.79%	42.52%	43.05%	26.82%	44.76%	39.37%	43.58%	46.18%	44.83%	36.17%	39.26%	48.32%	40.31%	24.88%	35.43%	39.78%	24.37%	29.96%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	0	0	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	2	1	0	1	2	0	2	6	1	1	4					
		0.22%	0.0%	0.0%	0.43%	0.0%	0.51%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.18%	0.0%	0.0%	0.0%	0.89%	0.21%	0.0%	0.12%	0.39%	0.0%	0.95%	0.59%	0.15%	0.20%	1.22%					
39	"22. ""Развитие предпринимательства"""	26	5	0	0	0	1	0	2	0	1	0	0	1	0	3	0	1	0	0	0	3	1	1	0	0	1	2	2	2					
		0.22%	1.06%	0.0%	0.0%	0.0%	0.51%	0.0%	0.55%	0.0%	0.24%	0.0%	0.0%	0.33%	0.0%	0.28%	0.0%	0.78%	0.0%	0.0%	0.0%	0.88%	0.12%	0.19%	0.0%	0.0%	0.09%	0.31%	0.41%	0.61%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1320	57	21	15	11	15	76	33	21	56	19	11	27	8	185	19	12	16	6	25	71	74	30	48	48	185	82	102	47					
		11.58%	12.12%	9.21%	6.49%	5.14%	7.77%	10.17%	9.16%	5.10%	13.69%	6.76%	5.47%	8.97%	3.70%	17.28%	6.85%	9.44%	5.40%	2.69%	5.49%	20.88%	9.40%	5.91%	12.73%	22.96%	18.20%	12.79%	21.25%	14.37%					
																																			
41	Против всех	354	13	5	6	5	8	18	16	13	28	14	3	8	3	34	8	3	3	2	11	13	24	14	11	5	36	21	19	10					
		3.10%	2.76%	2.19%	2.59%	2.33%	4.14%	2.40%	4.44%	3.16%	6.84%	4.98%	1.49%	2.65%	1.38%	3.17%	2.88%	2.36%	1.01%	0.89%	2.41%	3.82%	3.04%	2.76%	2.91%	2.39%	3.54%	3.27%	3.95%	3.05%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
