Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Mихайловская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																							
18	. Глазьев Сергей Юрьевич	509	29	15	29	12	14	13	18	20	7	10	22	12	10	17	21	13	24	11	6	1	10	5	5	1	3	1	8	3	0	6	1	15	9	4	0	23	0	9	3	3	2	5	6	1	7	15	4	1	8	4	3	1	8	4	0	1	5	6	7	8									
		2.98%	3.70%	2.23%	4.49%	2.84%	3.09%	3.43%	3.97%	3.18%	3.98%	3.01%	6.81%	3.63%	2.32%	3.93%	4.45%	6.88%	5.66%	3.89%	1.66%	0.76%	1.51%	1.47%	6.49%	1.41%	0.98%	1.41%	1.32%	2.33%	0.00%	4.69%	0.79%	5.21%	5.14%	2.41%	0.00%	4.47%	0.00%	3.93%	1.20%	2.61%	1.28%	4.85%	2.26%	1.89%	6.19%	5.49%	1.83%	0.56%	3.35%	1.53%	1.11%	1.22%	2.71%	2.67%	0.00%	0.66%	2.40%	2.96%	2.55%	1.41%									
19	. Малышкин Олег Александрович	320	8	14	10	9	7	8	15	21	4	6	7	3	7	11	4	1	4	5	1	8	4	10	1	0	6	2	14	6	0	2	1	9	4	2	0	9	0	4	3	0	4	2	5	0	1	2	6	3	1	3	6	1	8	4	3	4	4	3	6	24									
		1.87%	1.02%	2.08%	1.55%	2.13%	1.55%	2.11%	3.31%	3.34%	2.27%	1.81%	2.17%	0.91%	1.62%	2.54%	0.85%	0.53%	0.94%	1.77%	0.28%	6.11%	0.61%	2.95%	1.30%	0.00%	1.96%	2.82%	2.30%	4.65%	0.00%	1.56%	0.79%	3.12%	2.29%	1.20%	0.00%	1.75%	0.00%	1.75%	1.20%	0.00%	2.56%	1.94%	1.88%	0.00%	0.88%	0.73%	2.75%	1.69%	0.42%	1.15%	2.21%	1.22%	2.71%	2.67%	4.48%	2.65%	1.92%	1.48%	2.19%	4.24%									
20	. Миронов Сергей Михайлович	103	3	2	3	1	3	6	0	2	11	3	0	4	3	0	7	0	3	2	1	0	4	1	1	0	0	0	3	0	1	0	1	2	2	0	0	4	0	1	3	0	1	2	3	0	4	1	2	2	1	0	2	0	1	1	0	0	1	1	1	3									
		0.60%	0.38%	0.30%	0.46%	0.24%	0.66%	1.58%	0.00%	0.32%	6.25%	0.90%	0.00%	1.21%	0.70%	0.00%	1.48%	0.00%	0.71%	0.71%	0.28%	0.00%	0.61%	0.29%	1.30%	0.00%	0.00%	0.00%	0.49%	0.00%	1.54%	0.00%	0.79%	0.69%	1.14%	0.00%	0.00%	0.78%	0.00%	0.44%	1.20%	0.00%	0.64%	1.94%	1.13%	0.00%	3.54%	0.37%	0.92%	1.12%	0.42%	0.00%	0.74%	0.00%	0.34%	0.67%	0.00%	0.00%	0.48%	0.49%	0.36%	0.53%									
21	. Путин Владимир Владимирович	13069	606	496	478	320	340	277	341	454	93	252	240	232	328	332	319	139	305	220	277	87	501	282	58	68	271	61	449	99	48	102	108	208	137	141	84	372	181	183	202	108	131	73	209	44	90	220	162	156	195	231	222	70	231	115	55	122	166	151	223	404									
		76.55%	77.30%	73.59%	73.99%	75.83%	75.06%	73.09%	75.28%	72.18%	52.84%	75.90%	74.30%	70.09%	76.10%	76.67%	67.58%	73.54%	71.93%	77.74%	76.73%	66.41%	75.79%	83.19%	75.32%	95.77%	88.56%	85.92%	73.85%	76.74%	73.85%	79.69%	85.04%	72.22%	78.29%	84.94%	82.35%	72.37%	92.35%	79.91%	80.48%	93.91%	83.97%	70.87%	78.57%	83.02%	79.65%	80.59%	74.31%	87.64%	81.59%	88.17%	81.92%	85.37%	78.31%	76.67%	82.09%	80.79%	79.81%	74.38%	81.39%	71.38%									
22	. Хакамада Ирина Муцуовна	251	16	6	10	7	4	9	5	11	4	3	10	5	4	8	9	4	13	1	4	0	5	1	1	0	2	0	8	3	1	3	1	3	1	0	0	8	2	3	4	0	3	0	4	0	4	3	3	1	1	2	4	0	26	1	0	0	2	2	2	14									
		1.47%	2.04%	0.89%	1.55%	1.66%	0.88%	2.37%	1.10%	1.75%	2.27%	0.90%	3.10%	1.51%	0.93%	1.85%	1.91%	2.12%	3.07%	0.35%	1.11%	0.00%	0.76%	0.29%	1.30%	0.00%	0.65%	0.00%	1.32%	2.33%	1.54%	2.34%	0.79%	1.04%	0.57%	0.00%	0.00%	1.56%	1.02%	1.31%	1.59%	0.00%	1.92%	0.00%	1.50%	0.00%	3.54%	1.10%	1.38%	0.56%	0.42%	0.76%	1.48%	0.00%	8.81%	0.67%	0.00%	0.00%	0.96%	0.99%	0.73%	2.47%									
23	. Харитонов Николай Михайлович	2177	92	108	80	55	66	41	54	102	39	43	31	61	61	50	93	26	65	30	63	28	113	31	8	1	21	7	96	17	13	13	13	38	16	15	12	83	9	26	29	4	10	16	32	6	3	23	30	11	31	15	20	7	11	20	8	17	24	29	25	86									
		12.75%	11.73%	16.02%	12.38%	13.03%	14.57%	10.82%	11.92%	16.22%	22.16%	12.95%	9.60%	18.43%	14.15%	11.55%	19.70%	13.76%	15.33%	10.60%	17.45%	21.37%	17.10%	9.14%	10.39%	1.41%	6.86%	9.86%	15.79%	13.18%	20.00%	10.16%	10.24%	13.19%	9.14%	9.04%	11.76%	16.15%	4.59%	11.35%	11.55%	3.48%	6.41%	15.53%	12.03%	11.32%	2.65%	8.42%	13.76%	6.18%	12.97%	5.73%	7.38%	8.54%	3.73%	13.33%	11.94%	11.26%	11.54%	14.29%	9.12%	15.19%									
																																																																							
24	Против всех	387	22	26	26	11	15	17	12	13	8	7	6	8	11	13	11	4	5	5	9	3	16	4	2	0	2	0	13	1	1	2	1	9	2	3	2	9	1	2	7	0	3	2	4	0	3	6	6	2	1	4	6	3	4	3	1	3	2	8	4	13									
		2.27%	2.81%	3.86%	4.02%	2.61%	3.31%	4.49%	2.65%	2.07%	4.55%	2.11%	1.86%	2.42%	2.55%	3.00%	2.33%	2.12%	1.18%	1.77%	2.49%	2.29%	2.42%	1.18%	2.60%	0.00%	0.65%	0.00%	2.14%	0.78%	1.54%	1.56%	0.79%	3.12%	1.14%	1.81%	1.96%	1.75%	0.51%	0.87%	2.79%	0.00%	1.92%	1.94%	1.50%	0.00%	2.65%	2.20%	2.75%	1.12%	0.42%	1.53%	2.21%	3.66%	1.36%	2.00%	1.49%	1.99%	0.96%	3.94%	1.46%	2.30%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
