Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Тигильская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8					
		0.39%	2.54%	0.17%	1.44%	0.0%	0.27%	0.0%	0.33%	0.47%					
35	"18. ""ЛДПР"""	511	13	73	33	33	158	10	184	7					
		11.75%	11.01%	12.45%	15.94%	12.04%	14.73%	9.00%	10.40%	3.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	62	0	7	1	4	15	1	33	1					
		1.42%	0.0%	1.19%	0.48%	1.45%	1.39%	0.90%	1.86%	0.47%					
37	"20. ""Политическая партия ""Единая Россия"""	2152	69	351	119	148	440	76	807	142					
		49.51%	58.47%	59.89%	57.48%	54.01%	41.04%	68.46%	45.64%	67.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	0	1	0	0	2	2					
		0.11%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.11%	0.95%					
39	"22. ""Развитие предпринимательства"""	8	0	3	1	0	4	0	0	0					
		0.18%	0.0%	0.51%	0.48%	0.0%	0.37%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	344	3	37	10	11	78	5	198	2					
		7.91%	2.54%	6.31%	4.83%	4.01%	7.27%	4.50%	11.19%	0.95%					
															
41	Против всех	185	6	20	2	6	49	3	93	6					
		4.25%	5.08%	3.41%	0.96%	2.18%	4.57%	2.70%	5.26%	2.85%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
