Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Змеиногорская городская 																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
		0.17%	0.29%	0.0%	0.0%	0.30%	0.0%	0.60%	0.18%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	0	4	0	2	2	3	1	1	0					
		0.24%	0.0%	0.69%	0.0%	0.30%	0.27%	0.45%	0.18%	0.14%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	2	0	2	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.29%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	0	1	1	3	3	1	0	1					
		0.19%	0.0%	0.0%	0.18%	0.15%	0.40%	0.45%	0.18%	0.0%	0.62%					
27	"10. ""Аграрная партия России"""	360	50	22	34	51	55	52	36	50	10					
		6.86%	7.45%	3.80%	6.17%	7.68%	7.44%	7.91%	6.59%	7.38%	6.25%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	0	0	1	0	1	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.14%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	70	5	11	10	12	11	5	6	10	0					
		1.33%	0.74%	1.90%	1.81%	1.80%	1.48%	0.76%	1.09%	1.47%	0.0%					
30	"13. ""Демократическая партия России"""	13	1	2	1	3	0	0	2	4	0					
		0.24%	0.14%	0.34%	0.18%	0.45%	0.0%	0.0%	0.36%	0.59%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	0	1	1	0	0	1	0	2	0					
		0.09%	0.0%	0.17%	0.18%	0.0%	0.0%	0.15%	0.0%	0.29%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	1	1	1	1	0	2	1					
		0.13%	0.0%	0.0%	0.18%	0.15%	0.13%	0.15%	0.0%	0.29%	0.62%					
33	"16. ""Родина"" (народно-патриотический союз)"""	453	49	30	43	74	71	54	53	70	9					
		8.64%	7.30%	5.19%	7.80%	11.14%	9.60%	8.21%	9.70%	10.33%	5.62%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	1	0	1	1	3	0	1	1	0					
		0.15%	0.14%	0.0%	0.18%	0.15%	0.40%	0.0%	0.18%	0.14%	0.0%					
35	"18. ""ЛДПР"""	799	79	94	120	72	112	125	77	67	53					
		15.23%	11.77%	16.26%	21.77%	10.84%	15.15%	19.02%	14.10%	9.89%	33.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	112	12	14	17	9	14	15	18	10	3					
		2.13%	1.78%	2.42%	3.08%	1.35%	1.89%	2.28%	3.29%	1.47%	1.87%					
37	"20. ""Политическая партия ""Единая Россия"""	1574	227	186	155	205	228	176	168	186	43					
		30.02%	33.83%	32.17%	28.13%	30.87%	30.85%	26.78%	30.76%	27.47%	26.87%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	1	1	1	1	1	0	0	0	0					
		0.09%	0.14%	0.17%	0.18%	0.15%	0.13%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	39	7	5	6	6	2	0	3	9	1					
		0.74%	1.04%	0.86%	1.08%	0.90%	0.27%	0.0%	0.54%	1.32%	0.62%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1013	155	138	85	152	126	109	96	126	26					
		19.32%	23.09%	23.87%	15.42%	22.89%	17.05%	16.59%	17.58%	18.61%	16.25%					
																
41	Против всех	191	17	20	18	9	27	28	23	48	1					
		3.64%	2.53%	3.46%	3.26%	1.35%	3.65%	4.26%	4.21%	7.09%	0.62%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
