Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Нарьян-Марская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	65	1	4	4	3	7	9	10	8	5	13	1									
		0.91%	0.33%	1.11%	0.53%	0.92%	0.83%	1.08%	1.17%	0.90%	0.61%	1.56%	0.29%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	103	4	1	14	8	10	5	15	25	8	11	2									
		1.44%	1.34%	0.28%	1.85%	2.45%	1.19%	0.60%	1.76%	2.80%	0.97%	1.32%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	1	6	0	1	1	1	4	1	0	2									
		0.24%	0.00%	0.28%	0.79%	0.00%	0.12%	0.12%	0.12%	0.45%	0.12%	0.00%	0.59%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	2	4	9	2	17	14	15	23	12	9	3									
		1.54%	0.67%	1.11%	1.19%	0.61%	2.02%	1.67%	1.76%	2.58%	1.46%	1.08%	0.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1632	81	99	195	85	178	135	158	200	209	197	95									
		22.80%	27.09%	27.58%	25.76%	25.99%	21.12%	16.13%	18.52%	22.42%	25.43%	23.71%	28.02%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	3	2	0	2	3	1	5	2	4	6	0									
		0.39%	1.00%	0.56%	0.00%	0.61%	0.36%	0.12%	0.59%	0.22%	0.49%	0.72%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	346	9	12	48	23	37	36	33	50	46	41	11									
		4.83%	3.01%	3.34%	6.34%	7.03%	4.39%	4.30%	3.87%	5.61%	5.60%	4.93%	3.24%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
