Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г. Черногорска																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139					
27	"10. ""Аграрная партия России"""	463	16	15	17	11	19	10	14	3	15	10	22	13	11	10	11	15	8	13	7	19	8	7	15	24	13	8	5	11	18	14	3	10	13	10	9	26	5	5					
		2.02%	1.66%	2.81%	3.49%	1.60%	2.33%	5.0%	2.85%	0.67%	3.48%	2.55%	2.16%	2.77%	2.64%	1.92%	2.21%	2.48%	2.19%	2.28%	1.28%	2.00%	1.48%	2.65%	1.72%	2.79%	1.36%	1.79%	1.05%	1.23%	2.18%	1.81%	0.63%	2.5%	1.54%	1.18%	4.32%	2.95%	1.89%	0.77%					
28	"11. ""Истинные патриоты России"""	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.33%	0.0%	0.0%	0.0%	0.10%	0.18%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	142	4	7	5	6	5	0	4	0	4	1	4	5	1	2	4	5	4	6	5	9	4	3	7	8	4	1	1	4	3	3	4	3	4	3	0	8	0	1					
		0.62%	0.41%	1.31%	1.02%	0.87%	0.61%	0.0%	0.81%	0.0%	0.93%	0.25%	0.39%	1.06%	0.24%	0.38%	0.80%	0.82%	1.09%	1.05%	0.91%	0.94%	0.74%	1.13%	0.80%	0.93%	0.41%	0.22%	0.21%	0.45%	0.36%	0.38%	0.85%	0.75%	0.47%	0.35%	0.0%	0.91%	0.0%	0.15%					
30	"13. ""Демократическая партия России"""	46	1	0	3	0	0	2	0	3	0	0	6	3	1	1	1	2	0	1	0	2	2	0	3	3	2	1	1	2	0	0	0	0	0	3	0	2	0	1					
		0.20%	0.10%	0.0%	0.61%	0.0%	0.0%	1.0%	0.0%	0.67%	0.0%	0.0%	0.59%	0.64%	0.24%	0.19%	0.20%	0.33%	0.0%	0.17%	0.0%	0.21%	0.37%	0.0%	0.34%	0.34%	0.20%	0.22%	0.21%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.22%	0.0%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	137	7	4	4	2	4	6	1	0	4	2	10	3	1	2	4	2	5	7	2	2	3	1	7	1	6	4	7	9	4	3	2	6	0	5	0	3	3	1					
		0.60%	0.72%	0.75%	0.82%	0.29%	0.49%	3.0%	0.20%	0.0%	0.93%	0.51%	0.98%	0.64%	0.24%	0.38%	0.80%	0.33%	1.36%	1.22%	0.36%	0.21%	0.55%	0.37%	0.80%	0.11%	0.62%	0.89%	1.48%	1.01%	0.48%	0.38%	0.42%	1.5%	0.0%	0.59%	0.0%	0.34%	1.13%	0.15%					
32	"15. ""Партия СЛОН"""	26	2	0	0	1	1	0	1	0	0	0	2	1	1	0	1	1	0	0	1	1	0	1	2	0	0	1	3	0	0	0	0	0	0	4	1	0	1	0					
		0.11%	0.20%	0.0%	0.0%	0.14%	0.12%	0.0%	0.20%	0.0%	0.0%	0.0%	0.19%	0.21%	0.24%	0.0%	0.20%	0.16%	0.0%	0.0%	0.18%	0.10%	0.0%	0.37%	0.23%	0.0%	0.0%	0.22%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.48%	0.0%	0.37%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2184	72	29	30	65	78	9	39	44	36	32	115	48	46	40	51	55	47	58	56	95	48	21	92	77	94	49	55	95	97	85	39	27	81	93	20	86	35	45					
		9.56%	7.48%	5.44%	6.16%	9.47%	9.59%	4.5%	7.95%	9.90%	8.37%	8.16%	11.31%	10.25%	11.05%	7.70%	10.26%	9.12%	12.87%	10.17%	10.25%	10.01%	8.93%	7.95%	10.59%	8.95%	9.84%	10.98%	11.65%	10.69%	11.78%	10.99%	8.29%	6.75%	9.59%	11.05%	9.61%	9.78%	13.25%	6.95%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	43	0	0	3	5	1	0	0	1	0	1	3	1	0	1	2	1	1	2	0	1	2	1	2	3	1	2	0	1	1	1	0	1	0	1	0	0	0	4					
		0.18%	0.0%	0.0%	0.61%	0.72%	0.12%	0.0%	0.0%	0.22%	0.0%	0.25%	0.29%	0.21%	0.0%	0.19%	0.40%	0.16%	0.27%	0.35%	0.0%	0.10%	0.37%	0.37%	0.23%	0.34%	0.10%	0.44%	0.0%	0.11%	0.12%	0.12%	0.0%	0.25%	0.0%	0.11%	0.0%	0.0%	0.0%	0.61%					
35	"18. ""ЛДПР"""	3920	186	108	84	146	117	39	72	87	76	82	156	72	89	85	95	102	40	81	57	160	108	61	142	139	141	77	58	187	139	144	83	65	155	150	28	120	48	141					
		17.17%	19.33%	20.26%	17.24%	21.28%	14.39%	19.5%	14.69%	19.59%	17.67%	20.91%	15.35%	15.38%	21.39%	16.37%	19.11%	16.91%	10.95%	14.21%	10.43%	16.85%	20.11%	23.10%	16.35%	16.16%	14.76%	17.26%	12.28%	21.05%	16.88%	18.62%	17.65%	16.25%	18.36%	17.83%	13.46%	13.65%	18.18%	21.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	362	20	12	11	1	11	4	7	7	10	4	23	5	3	13	9	3	1	10	8	18	4	1	13	11	21	5	5	13	21	15	6	10	11	13	5	12	4	12					
		1.58%	2.07%	2.25%	2.25%	0.14%	1.35%	2.0%	1.42%	1.57%	2.32%	1.02%	2.26%	1.06%	0.72%	2.50%	1.81%	0.49%	0.27%	1.75%	1.46%	1.89%	0.74%	0.37%	1.49%	1.27%	2.19%	1.12%	1.05%	1.46%	2.55%	1.94%	1.27%	2.5%	1.30%	1.54%	2.40%	1.36%	1.51%	1.85%					
37	"20. ""Политическая партия ""Единая Россия"""	6479	238	140	163	203	250	52	162	147	152	119	266	109	116	142	137	159	92	162	131	267	156	77	258	256	270	112	142	210	232	195	168	107	263	223	61	229	67	246					
		28.38%	24.74%	26.26%	33.47%	29.59%	30.75%	26.0%	33.06%	33.10%	35.34%	30.35%	26.18%	23.29%	27.88%	27.36%	27.56%	26.36%	25.20%	28.42%	23.99%	28.13%	29.05%	29.16%	29.72%	29.76%	28.27%	25.11%	30.08%	23.64%	28.18%	25.22%	35.74%	26.75%	31.16%	26.51%	29.32%	26.05%	25.37%	38.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	45	3	1	0	0	1	0	1	2	1	3	3	2	1	1	1	0	0	1	0	3	0	0	2	5	0	1	0	0	1	2	3	2	3	0	1	1	0	0					
		0.19%	0.31%	0.18%	0.0%	0.0%	0.12%	0.0%	0.20%	0.45%	0.23%	0.76%	0.29%	0.42%	0.24%	0.19%	0.20%	0.0%	0.0%	0.17%	0.0%	0.31%	0.0%	0.0%	0.23%	0.58%	0.0%	0.22%	0.0%	0.0%	0.12%	0.25%	0.63%	0.5%	0.35%	0.0%	0.48%	0.11%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	89	3	3	2	3	3	0	2	2	1	0	8	2	2	1	3	1	0	2	1	3	1	1	0	4	6	7	1	6	3	2	0	2	3	2	0	6	0	3					
		0.38%	0.31%	0.56%	0.41%	0.43%	0.36%	0.0%	0.40%	0.45%	0.23%	0.0%	0.78%	0.42%	0.48%	0.19%	0.60%	0.16%	0.0%	0.35%	0.18%	0.31%	0.18%	0.37%	0.0%	0.46%	0.62%	1.56%	0.21%	0.67%	0.36%	0.25%	0.0%	0.5%	0.35%	0.23%	0.0%	0.68%	0.0%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4857	263	130	80	138	185	46	94	74	71	69	254	110	83	114	94	140	95	122	187	216	115	50	146	155	205	96	92	171	151	171	75	101	172	171	58	222	47	94					
		21.27%	27.33%	24.39%	16.42%	20.11%	22.75%	23.0%	19.18%	16.66%	16.51%	17.60%	25.0%	23.50%	19.95%	21.96%	18.91%	23.21%	26.02%	21.40%	34.24%	22.76%	21.41%	18.93%	16.82%	18.02%	21.46%	21.52%	19.49%	19.25%	18.34%	22.12%	15.95%	25.25%	20.37%	20.33%	27.88%	25.25%	17.80%	14.52%					
																																													
41	Против всех	986	33	17	14	31	18	11	24	24	17	10	32	18	16	30	15	23	28	18	17	36	19	4	29	31	64	22	32	57	38	36	16	21	46	46	3	40	11	39					
		4.31%	3.43%	3.18%	2.87%	4.51%	2.21%	5.5%	4.89%	5.40%	3.95%	2.55%	3.14%	3.84%	3.84%	5.78%	3.01%	3.81%	7.67%	3.15%	3.11%	3.79%	3.53%	1.51%	3.34%	3.60%	6.70%	4.93%	6.77%	6.41%	4.61%	4.65%	3.40%	5.25%	5.45%	5.46%	1.44%	4.55%	4.16%	6.02%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
