Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																											
Дата голосования: 04.12.2011																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Братская городская																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1519	6	4	10	13	12	5	18	14	11	6	4	11	9	14	7	11	14	24	15	7	21	17	13	16	12	13	17	6	11	34	36	47	13	8	24	16	12	22	14	19	19	10	14	7	8	6	8	14	11	11	17	22	5	14	29	49	8	8	14	15	15	15	20	17	14	26	13	44	45	16	15	12	21	17	25	14	15	6	17	16	26	14	15	15	14	16	12	12	9	9	9	15	10	11	11	15	16	12	12	8					
14	Число погашенных неиспользованных открепительных удостоверений	1060	16	14	25	14	2	0	8	10	11	9	24	7	7	5	15	13	10	19	25	12	17	8	5	22	17	6	28	4	22	16	17	2	26	4	3	30	2	18	18	21	29	10	4	19	4	17	15	6	5	13	2	10	0	0	11	0	20	14	7	2	11	7	4	9	16	10	6	4	0	1	17	18	7	10	28	16	6	2	7	0	11	9	4	12	0	7	5	11	4	6	14	1	11	16	0	23	1	14	12	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11191	54	44	54	102	108	114	100	133	100	94	131	55	61	105	91	63	179	196	158	167	149	118	156	180	172	155	150	150	139	187	176	43	62	215	211	128	67	165	162	171	125	123	119	162	125	181	157	157	146	107	169	128	18	27	30	17	66	57	94	88	74	61	76	131	173	100	113	195	159	139	178	151	120	91	90	126	180	118	154	12	19	171	104	140	122	81	102	29	95	59	61	25	51	42	12	133	121	111	50	61					
		13.36%	10.84%	8.71%	6.32%	10.91%	14.19%	14.75%	13.02%	16.10%	12.59%	14.60%	13.51%	10.15%	11.73%	13.91%	12.40%	13.10%	15.03%	13.69%	14.12%	14.73%	13.32%	15.13%	18.27%	14.31%	13.86%	15.91%	14.82%	14.63%	13.89%	14.99%	14.55%	3.86%	5.51%	17.30%	17.85%	18.63%	13.43%	13.54%	13.64%	13.83%	11.31%	13.82%	13.77%	14.31%	12.81%	14.11%	16.29%	14.99%	16.17%	12.63%	15.63%	13.24%	14.63%	10.98%	6.88%	4.31%	17.79%	8.53%	11.06%	13.02%	10.99%	14.09%	14.37%	13.45%	13.22%	12.53%	15.37%	17.68%	14.75%	15.09%	15.91%	12.01%	14.93%	12.08%	10.69%	11.60%	13.39%	13.41%	13.84%	8.96%	10.61%	15.53%	14.77%	13.81%	11.69%	10.48%	13.60%	7.80%	16.78%	10.99%	16.01%	9.43%	13.14%	11.80%	7.95%	12.29%	14.46%	12.13%	10.02%	8.82%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15315	87	94	193	175	123	153	134	143	171	143	214	122	133	138	149	113	186	234	188	187	225	135	140	241	203	206	190	173	216	255	228	242	198	206	214	119	113	200	244	224	231	188	160	220	187	261	125	206	165	146	194	166	20	45	89	135	74	159	157	132	134	64	85	161	251	168	161	166	187	135	182	199	149	144	154	206	214	112	179	21	21	191	129	166	175	151	116	88	90	107	78	40	58	55	32	195	107	128	85	119					
		18.28%	17.47%	18.61%	22.57%	18.72%	16.16%	19.79%	17.45%	17.31%	21.54%	22.20%	22.06%	22.51%	25.58%	18.28%	20.30%	23.49%	15.62%	16.34%	16.80%	16.49%	20.11%	17.31%	16.39%	19.16%	16.36%	21.15%	18.77%	16.88%	21.58%	20.45%	18.84%	21.72%	17.58%	16.57%	18.10%	17.32%	22.65%	16.41%	20.54%	18.12%	20.90%	21.12%	18.52%	19.43%	19.16%	20.34%	12.97%	19.68%	18.27%	17.24%	17.95%	17.17%	16.26%	18.29%	20.41%	34.26%	19.95%	23.80%	18.47%	19.53%	19.91%	14.78%	16.07%	16.53%	19.17%	21.05%	21.90%	15.05%	17.35%	14.66%	16.26%	15.83%	18.53%	19.12%	18.29%	18.97%	15.92%	12.73%	16.08%	15.67%	11.73%	17.35%	18.32%	16.37%	16.76%	19.53%	15.47%	23.66%	15.90%	19.93%	20.47%	15.09%	14.95%	15.45%	21.19%	18.02%	12.78%	13.99%	17.03%	17.20%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	991	7	4	9	10	2	7	5	5	6	7	18	5	3	7	13	8	17	18	13	14	9	9	10	12	19	7	6	14	9	19	17	13	15	12	17	7	6	12	23	9	12	16	11	7	8	23	12	15	11	8	18	7	2	1	2	4	3	4	4	8	6	7	11	14	34	12	10	20	14	11	21	15	13	8	11	8	23	14	21	4	2	7	6	13	5	8	8	3	6	3	5	2	1	3	2	6	3	11	13	8					
		1.18%	1.41%	0.79%	1.05%	1.07%	0.26%	0.91%	0.65%	0.61%	0.76%	1.09%	1.86%	0.92%	0.58%	0.93%	1.77%	1.66%	1.43%	1.26%	1.16%	1.23%	0.80%	1.15%	1.17%	0.95%	1.53%	0.72%	0.59%	1.37%	0.90%	1.52%	1.40%	1.17%	1.33%	0.97%	1.44%	1.02%	1.20%	0.98%	1.94%	0.73%	1.09%	1.80%	1.27%	0.62%	0.82%	1.79%	1.24%	1.43%	1.22%	0.94%	1.67%	0.72%	1.63%	0.41%	0.46%	1.02%	0.81%	0.60%	0.47%	1.18%	0.89%	1.62%	2.08%	1.44%	2.60%	1.50%	1.36%	1.81%	1.30%	1.19%	1.88%	1.19%	1.62%	1.06%	1.31%	0.74%	1.71%	1.59%	1.89%	2.99%	1.12%	0.64%	0.85%	1.28%	0.48%	1.03%	1.07%	0.81%	1.06%	0.56%	1.31%	0.75%	0.26%	0.84%	1.32%	0.55%	0.36%	1.20%	2.61%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	25390	125	120	178	303	265	203	238	227	212	170	250	128	139	233	213	114	382	434	352	343	322	217	243	380	429	249	292	345	282	341	325	296	328	348	335	217	103	364	348	316	279	241	271	321	283	374	318	307	255	256	282	304	33	56	109	24	106	228	293	232	198	155	177	299	405	228	205	288	317	279	347	467	257	231	237	361	461	296	384	43	56	403	242	384	405	271	277	113	219	183	102	114	126	130	46	348	318	325	204	208					
		30.31%	25.10%	23.76%	20.82%	32.41%	34.82%	26.26%	30.99%	27.48%	26.70%	26.40%	25.77%	23.62%	26.73%	30.86%	29.02%	23.70%	32.07%	30.31%	31.46%	30.25%	28.78%	27.82%	28.45%	30.21%	34.57%	25.56%	28.85%	33.66%	28.17%	27.35%	26.86%	26.57%	29.13%	27.99%	28.34%	31.59%	20.64%	29.86%	29.29%	25.57%	25.25%	27.08%	31.37%	28.36%	28.99%	29.15%	32.99%	29.32%	28.24%	30.22%	26.09%	31.44%	26.83%	22.76%	25.00%	6.09%	28.57%	34.13%	34.47%	34.32%	29.42%	35.80%	33.46%	30.70%	30.94%	28.57%	27.89%	26.11%	29.41%	30.29%	31.01%	37.15%	31.97%	30.68%	28.15%	33.24%	34.30%	33.64%	34.50%	32.09%	31.28%	36.60%	34.38%	37.87%	38.79%	35.06%	36.93%	30.38%	38.69%	34.08%	26.77%	43.02%	32.47%	36.52%	30.46%	32.16%	37.99%	35.52%	40.88%	30.06%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3793	12	9	27	37	33	27	35	37	27	26	38	16	13	27	21	8	56	76	45	48	38	39	31	71	64	43	36	43	23	86	58	53	61	60	53	25	25	55	51	58	39	35	44	68	38	61	54	55	40	46	82	56	4	4	10	4	7	28	48	27	39	14	19	47	64	45	39	57	59	57	71	77	42	43	53	57	79	47	72	8	4	60	27	49	52	26	28	12	19	8	13	7	11	10	6	38	41	24	17	11					
		4.53%	2.41%	1.78%	3.16%	3.96%	4.34%	3.49%	4.56%	4.48%	3.40%	4.04%	3.92%	2.95%	2.50%	3.58%	2.86%	1.66%	4.70%	5.31%	4.02%	4.23%	3.40%	5.00%	3.63%	5.64%	5.16%	4.41%	3.56%	4.20%	2.30%	6.90%	4.79%	4.76%	5.42%	4.83%	4.48%	3.64%	5.01%	4.51%	4.29%	4.69%	3.53%	3.93%	5.09%	6.01%	3.89%	4.75%	5.60%	5.25%	4.43%	5.43%	7.59%	5.79%	3.25%	1.63%	2.29%	1.02%	1.89%	4.19%	5.65%	3.99%	5.79%	3.23%	3.59%	4.83%	4.89%	5.64%	5.31%	5.17%	5.47%	6.19%	6.34%	6.13%	5.22%	5.71%	6.29%	5.25%	5.88%	5.34%	6.47%	5.97%	2.23%	5.45%	3.84%	4.83%	4.98%	3.36%	3.73%	3.23%	3.36%	1.49%	3.41%	2.64%	2.84%	2.81%	3.97%	3.51%	4.90%	2.62%	3.41%	1.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25458	203	220	376	287	213	254	238	266	267	192	308	209	158	231	237	162	349	442	345	347	352	250	260	357	327	299	327	289	303	335	382	451	443	382	333	176	173	390	341	436	395	278	239	335	318	367	259	288	272	264	323	287	42	101	192	185	105	177	231	177	211	121	149	303	361	228	200	355	323	274	294	328	208	224	280	300	346	268	283	44	71	242	186	243	266	232	205	123	130	170	112	73	127	113	50	339	236	299	124	272					
		30.39%	40.76%	43.56%	43.98%	30.70%	27.99%	32.86%	30.99%	32.20%	33.63%	29.81%	31.75%	38.56%	30.38%	30.60%	32.29%	33.68%	29.30%	30.87%	30.83%	30.60%	31.46%	32.05%	30.44%	28.38%	26.35%	30.70%	32.31%	28.20%	30.27%	26.86%	31.57%	40.48%	39.34%	30.73%	28.17%	25.62%	34.67%	31.99%	28.70%	35.28%	35.75%	31.24%	27.66%	29.59%	32.58%	28.60%	26.87%	27.51%	30.12%	31.17%	29.88%	29.68%	34.15%	41.06%	44.04%	46.95%	28.30%	26.50%	27.18%	26.18%	31.35%	27.94%	28.17%	31.11%	27.58%	28.57%	27.21%	32.18%	29.96%	29.75%	26.27%	26.09%	25.87%	29.75%	33.25%	27.62%	25.74%	30.45%	25.43%	32.84%	39.66%	21.98%	26.42%	23.96%	25.48%	30.01%	27.33%	33.06%	22.97%	31.66%	29.40%	27.55%	32.73%	31.74%	33.11%	31.33%	28.20%	32.68%	24.85%	39.31%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	454	4	2	6	5	4	3	5	6	4	2	3	2	5	5	3	0	6	11	3	2	10	3	5	2	9	3	6	5	6	7	7	5	7	6	5	3	4	6	9	6	3	4	5	7	5	8	3	8	1	8	2	7	2	2	0	4	2	4	8	3	4	2	6	5	7	2	3	8	6	10	8	5	4	3	4	5	10	12	7	1	1	3	5	5	6	2	3	1	1	4	4	1	6	1	2	8	1	4	0	3					
		0.54%	0.80%	0.40%	0.70%	0.53%	0.53%	0.39%	0.65%	0.73%	0.50%	0.31%	0.31%	0.37%	0.96%	0.66%	0.41%	0.00%	0.50%	0.77%	0.27%	0.18%	0.89%	0.38%	0.59%	0.16%	0.73%	0.31%	0.59%	0.49%	0.60%	0.56%	0.58%	0.45%	0.62%	0.48%	0.42%	0.44%	0.80%	0.49%	0.76%	0.49%	0.27%	0.45%	0.58%	0.62%	0.51%	0.62%	0.31%	0.76%	0.11%	0.94%	0.19%	0.72%	1.63%	0.81%	0.00%	1.02%	0.54%	0.60%	0.94%	0.44%	0.59%	0.46%	1.13%	0.51%	0.53%	0.25%	0.41%	0.73%	0.56%	1.09%	0.71%	0.40%	0.50%	0.40%	0.48%	0.46%	0.74%	1.36%	0.63%	0.75%	0.56%	0.27%	0.71%	0.49%	0.57%	0.26%	0.40%	0.27%	0.18%	0.74%	1.05%	0.38%	1.55%	0.28%	1.32%	0.74%	0.12%	0.44%	0.00%	0.43%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
