Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Краснодар, Карасунская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	61001	1136	550	397	778	701	803	1584	1057	556	873	363	347	735	811	1008	835	1021	894	633	1013	1890	677	486	731	815	1079	712	1102	861	1454	1805	1095	1475	767	710	1068	750	773	757	1057	1336	812	781	731	422	449	469	589	525	816	673	554	722	479	929	1262	745	502	1186	972	1203	1123	1408	368	503	723	791	458	1310	331	935	735					
		51.43%	56.94%	35.64%	32.95%	45.52%	46.80%	43.59%	73.85%	60.37%	40.79%	55.22%	35.66%	32.52%	51.87%	44.73%	68.76%	62.08%	54.98%	51.89%	46.96%	48.33%	65.33%	45.41%	34.15%	46.15%	55.75%	57.82%	48.93%	62.05%	47.67%	69.87%	80.91%	65.84%	63.20%	48.18%	43.37%	60.48%	39.60%	46.59%	40.42%	45.70%	63.17%	53.53%	43.17%	39.15%	32.51%	29.91%	33.14%	41.89%	38.98%	59.65%	39.11%	34.18%	37.96%	33.26%	53.89%	65.25%	43.39%	35.23%	62.72%	53.03%	60.82%	58.70%	61.84%	37.51%	53.68%	55.28%	49.97%	54.72%	79.98%	37.83%	56.53%	61.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	713	19	9	12	12	7	7	6	10	14	4	6	10	7	20	8	4	12	6	7	5	16	11	13	10	3	8	9	7	19	11	13	7	12	5	11	8	14	9	14	10	18	1	9	16	10	13	17	1	12	2	16	9	12	14	15	17	13	16	12	1	2	0	11	26	0	6	15	7	5	6	7	9					
		0.60%	0.95%	0.58%	0.99%	0.70%	0.47%	0.38%	0.28%	0.57%	1.03%	0.25%	0.59%	0.94%	0.49%	1.10%	0.55%	0.30%	0.65%	0.35%	0.52%	0.24%	0.55%	0.74%	0.91%	0.63%	0.21%	0.43%	0.62%	0.39%	1.05%	0.53%	0.58%	0.42%	0.51%	0.31%	0.67%	0.45%	0.74%	0.54%	0.75%	0.43%	0.85%	0.07%	0.50%	0.86%	0.77%	0.87%	1.20%	0.07%	0.89%	0.15%	0.93%	0.56%	0.63%	0.97%	0.87%	0.88%	0.76%	1.12%	0.63%	0.05%	0.10%	0.00%	0.48%	2.65%	0.00%	0.46%	0.95%	0.84%	0.31%	0.69%	0.42%	0.75%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
