Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Пестяковская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	64	1	2	0	0	8	1	1	3	9	3	10	15	2	5	4					
		1.46%	0.49%	0.98%	0.0%	0.0%	2.88%	1.72%	1.25%	4.28%	2.25%	1.34%	1.06%	1.25%	2.27%	2.84%	1.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	53	0	2	0	2	2	1	3	0	2	9	10	19	1	0	2					
		1.21%	0.0%	0.98%	0.0%	1.78%	0.72%	1.72%	3.75%	0.0%	0.50%	4.03%	1.06%	1.59%	1.13%	0.0%	0.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	142	5	14	2	6	6	6	0	0	7	12	25	42	7	4	6					
		3.25%	2.45%	6.89%	2.19%	5.35%	2.16%	10.34%	0.0%	0.0%	1.75%	5.38%	2.65%	3.52%	7.95%	2.27%	2.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	72	5	1	1	0	3	0	0	1	0	4	23	27	0	2	5					
		1.65%	2.45%	0.49%	1.09%	0.0%	1.08%	0.0%	0.0%	1.42%	0.0%	1.79%	2.44%	2.26%	0.0%	1.13%	2.02%					
22	"5. ""За Русь Святую"""	26	2	3	0	1	0	0	1	0	4	0	5	8	0	1	1					
		0.59%	0.98%	1.47%	0.0%	0.89%	0.0%	0.0%	1.25%	0.0%	1.00%	0.0%	0.53%	0.67%	0.0%	0.56%	0.40%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	1	1	0	0	0	0	0	1	1	0	3	3	0	0	2					
		0.27%	0.49%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.25%	0.0%	0.31%	0.25%	0.0%	0.0%	0.80%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	0	2	0	0	0	0	0	1	1	1	4	7	0	0	0					
		0.36%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.25%	0.44%	0.42%	0.58%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	0	2	0	0	0	0	0	0	0	1	2	3	0	0	1					
		0.20%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.21%	0.25%	0.0%	0.0%	0.40%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	0	0	0	1	0	0	0	0	0	1	7	12	0	2	0					
		0.52%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.74%	1.00%	0.0%	1.13%	0.0%					
27	"10. ""Аграрная партия России"""	348	48	12	8	16	9	2	13	13	35	21	59	53	1	25	33					
		7.97%	23.52%	5.91%	8.79%	14.28%	3.24%	3.44%	16.25%	18.57%	8.77%	9.41%	6.27%	4.44%	1.13%	14.20%	13.36%					
28	"11. ""Истинные патриоты России"""	8	3	0	0	0	0	0	0	1	1	0	1	2	0	0	0					
		0.18%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.25%	0.0%	0.10%	0.16%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	50	2	1	1	0	2	0	0	0	2	2	8	19	0	1	12					
		1.14%	0.98%	0.49%	1.09%	0.0%	0.72%	0.0%	0.0%	0.0%	0.50%	0.89%	0.85%	1.59%	0.0%	0.56%	4.85%					
30	"13. ""Демократическая партия России"""	15	0	1	0	0	1	0	0	0	2	0	5	4	0	0	2					
		0.34%	0.0%	0.49%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.50%	0.0%	0.53%	0.33%	0.0%	0.0%	0.80%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	0	0	0	0	0	1	0	1	1	0	4	2	0	0	3					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	1.72%	0.0%	1.42%	0.25%	0.0%	0.42%	0.16%	0.0%	0.0%	1.21%					
32	"15. ""Партия СЛОН"""	5	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1					
		0.11%	0.0%	0.0%	1.09%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.40%					
33	"16. ""Родина"" (народно-патриотический союз)"""	187	8	10	8	0	10	5	1	1	18	6	41	54	1	8	16					
		4.28%	3.92%	4.92%	8.79%	0.0%	3.61%	8.62%	1.25%	1.42%	4.51%	2.69%	4.36%	4.52%	1.13%	4.54%	6.47%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	0	1	0	1	0	1	1	1	1	0	0	3	0	1	7					
		0.38%	0.0%	0.49%	0.0%	0.89%	0.0%	1.72%	1.25%	1.42%	0.25%	0.0%	0.0%	0.25%	0.0%	0.56%	2.83%					
35	"18. ""ЛДПР"""	554	12	24	14	13	14	8	13	12	29	19	139	189	6	23	39					
		12.70%	5.88%	11.82%	15.38%	11.60%	5.05%	13.79%	16.25%	17.14%	7.26%	8.52%	14.78%	15.84%	6.81%	13.06%	15.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	118	5	3	1	1	11	3	0	0	7	6	26	50	1	3	1					
		2.70%	2.45%	1.47%	1.09%	0.89%	3.97%	5.17%	0.0%	0.0%	1.75%	2.69%	2.76%	4.19%	1.13%	1.70%	0.40%					
37	"20. ""Политическая партия ""Единая Россия"""	1822	69	96	39	67	113	19	36	16	219	97	383	477	53	71	67					
		41.77%	33.82%	47.29%	42.85%	59.82%	40.79%	32.75%	45.0%	22.85%	54.88%	43.49%	40.74%	39.98%	60.22%	40.34%	27.12%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	2	0	0	0	0	0	0	2	0	1	5	5	0	0	0					
		0.34%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.85%	0.0%	0.44%	0.53%	0.41%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	0	1	0	0	0	0	0	0	2	0	5	1	0	0	0					
		0.20%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.53%	0.08%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	478	21	15	11	3	63	11	9	15	36	18	116	111	8	13	28					
		10.96%	10.29%	7.38%	12.08%	2.67%	22.74%	18.96%	11.25%	21.42%	9.02%	8.07%	12.34%	9.30%	9.09%	7.38%	11.33%					
																						
41	Против всех	251	18	10	4	0	24	0	1	2	16	19	52	71	3	15	16					
		5.75%	8.82%	4.92%	4.39%	0.0%	8.66%	0.0%	1.25%	2.85%	4.01%	8.52%	5.53%	5.95%	3.40%	8.52%	6.47%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
