Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Марьяновская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464					
		3.94%	3.85%	6.97%	6.42%	7.71%	2.83%	4.10%	9.09%	3.09%	2.10%	1.33%	2.70%	1.34%	3.96%	3.65%	0.0%	6.42%	0.0%	3.27%	0.54%	0.42%	7.17%	2.36%	4.15%	1.66%	2.43%	3.68%	1.01%	1.59%	1.96%	0.72%	1.05%	2.65%	8.11%	5.45%	2.53%	5.35%	3.45%	3.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	0	2	1	1	1	3	0	0	0	0	0	4	1	0	4	0	0	2	3	2	2	2	1	2	0	1	0	1	1	0	1	1	3	2	2	0	1	0					
		0.36%	0.0%	0.31%	0.17%	0.14%	0.13%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	1.79%	0.19%	0.0%	3.63%	0.0%	0.0%	0.20%	1.63%	0.84%	1.02%	1.57%	0.24%	3.33%	0.0%	0.61%	0.0%	0.19%	0.21%	0.0%	1.05%	0.17%	1.10%	0.37%	1.26%	0.0%	0.28%	0.0%					
35	"18. ""ЛДПР"""	1803	94	94	61	90	82	160	15	30	36	9	24	2	87	34	26	15	20	168	16	28	23	3	96	12	7	13	3	84	84	41	22	83	32	94	27	15	63	10					
		15.08%	15.77%	14.89%	10.89%	12.85%	11.08%	16.42%	22.72%	30.92%	18.94%	12.0%	16.21%	0.89%	17.22%	13.82%	23.63%	6.88%	27.39%	17.19%	8.74%	11.86%	11.79%	2.36%	23.47%	20.0%	17.07%	7.97%	3.03%	16.73%	18.38%	29.92%	23.15%	14.71%	11.80%	17.66%	17.08%	13.39%	18.15%	7.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	189	10	11	6	11	6	20	2	2	2	0	2	8	4	2	1	5	0	12	2	3	8	1	4	0	2	5	0	12	10	3	1	6	3	11	2	5	6	1					
		1.58%	1.67%	1.74%	1.07%	1.57%	0.81%	2.05%	3.03%	2.06%	1.05%	0.0%	1.35%	3.58%	0.79%	0.81%	0.90%	2.29%	0.0%	1.22%	1.09%	1.27%	4.10%	0.78%	0.97%	0.0%	4.87%	3.06%	0.0%	2.39%	2.18%	2.18%	1.05%	1.06%	1.10%	2.06%	1.26%	4.46%	1.72%	0.75%					
37	"20. ""Политическая партия ""Единая Россия"""	4216	254	227	245	229	423	353	14	23	53	20	21	65	170	93	35	46	17	322	44	113	77	33	87	17	8	40	42	180	134	40	27	214	110	167	62	37	109	65					
		35.28%	42.61%	35.97%	43.74%	32.71%	57.16%	36.24%	21.21%	23.71%	27.89%	26.66%	14.18%	29.14%	33.66%	37.80%	31.81%	21.10%	23.28%	32.95%	24.04%	47.88%	39.48%	25.98%	21.27%	28.33%	19.51%	24.53%	42.42%	35.85%	29.32%	29.19%	28.42%	37.94%	40.59%	31.39%	39.24%	33.03%	31.41%	49.24%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	2	1	1	0	2	2	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	1	0	0	1	1	2	1	2	0	0	1	1					
		0.20%	0.33%	0.15%	0.17%	0.0%	0.27%	0.20%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.54%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.72%	1.05%	0.35%	0.36%	0.37%	0.0%	0.0%	0.28%	0.75%					
39	"22. ""Развитие предпринимательства"""	18	0	1	1	0	1	2	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	1	0	0					
		0.15%	0.0%	0.15%	0.17%	0.0%	0.13%	0.20%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.10%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.56%	0.0%	0.89%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1769	59	93	73	108	76	129	3	8	44	28	63	86	88	41	24	74	18	123	31	15	15	32	76	10	8	13	21	104	75	12	7	76	30	47	13	7	37	2					
		14.80%	9.89%	14.73%	13.03%	15.42%	10.27%	13.24%	4.54%	8.24%	23.15%	37.33%	42.56%	38.56%	17.42%	16.66%	21.81%	33.94%	24.65%	12.58%	16.93%	6.35%	7.69%	25.19%	18.58%	16.66%	19.51%	7.97%	21.21%	20.71%	16.41%	8.75%	7.36%	13.47%	11.07%	8.83%	8.22%	6.24%	10.66%	1.51%					
																																													
41	Против всех	461	33	22	20	31	18	26	2	6	5	1	16	8	16	6	9	9	4	18	15	8	3	8	20	0	3	9	1	15	11	5	6	20	19	27	17	6	11	7					
		3.85%	5.53%	3.48%	3.57%	4.42%	2.43%	2.66%	3.03%	6.18%	2.63%	1.33%	10.81%	3.58%	3.16%	2.43%	8.18%	4.12%	5.47%	1.84%	8.19%	3.38%	1.53%	6.29%	4.88%	0.0%	7.31%	5.52%	1.01%	2.98%	2.40%	3.64%	6.31%	3.54%	7.01%	5.07%	10.75%	5.35%	3.17%	5.30%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
