Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Чернышевская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831					
		1.04%	1.21%	0.78%	0.62%	0.45%	0.31%	1.95%	1.91%	0.0%	0.78%	2.46%	0.90%	0.29%	2.57%	1.96%	1.54%	0.95%	0.85%	0.0%	0.0%	0.0%	0.70%	0.46%	0.38%	0.0%	0.0%	0.21%	0.86%	0.66%	2.81%	0.90%	1.11%	1.50%	0.73%	0.24%	0.0%	1.61%	0.59%	0.0%					
22	"5. ""За Русь Святую"""	40	0	0	1	0	3	3	3	0	0	1	1	0	8	2	1	0	0	1	1	0	0	1	4	0	0	0	3	0	0	1	0	0	2	1	0	1	0	2					
		0.29%	0.0%	0.0%	0.31%	0.0%	0.47%	0.39%	0.26%	0.0%	0.0%	0.30%	0.30%	0.0%	0.76%	0.98%	0.30%	0.0%	0.0%	0.48%	0.47%	0.0%	0.0%	0.46%	0.76%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.45%	0.0%	0.0%	0.36%	0.24%	0.0%	0.53%	0.0%	0.88%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	2	0	1	0	1	1	4	1	0	0	3	3	0	0	0	0	1	2	3	0	2	0	0					
		0.22%	0.0%	0.0%	0.31%	0.15%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.30%	0.29%	0.09%	0.0%	0.0%	0.63%	0.0%	0.48%	0.0%	0.70%	0.23%	1.87%	0.19%	0.0%	0.0%	0.63%	0.86%	0.0%	0.0%	0.0%	0.0%	0.25%	0.36%	0.74%	0.0%	1.07%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	3	6	2	0	10	6	6	1	0	0	2	0	7	0	1	1	0	2	0	1	0	0	1	0	0	0	1	0	1	1	0	3	4	1	0	4	3	0					
		0.49%	0.60%	1.57%	0.62%	0.0%	1.56%	0.78%	0.52%	1.03%	0.0%	0.0%	0.60%	0.0%	0.66%	0.0%	0.30%	0.31%	0.0%	0.97%	0.0%	0.70%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.28%	0.0%	1.40%	0.45%	0.0%	0.75%	0.73%	0.24%	0.0%	2.15%	1.79%	0.0%					
25	"8. ""Народно-республиканская партия России"""	16	0	0	0	1	1	0	1	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	2					
		0.11%	0.0%	0.0%	0.0%	0.15%	0.15%	0.0%	0.08%	0.0%	0.0%	0.0%	1.20%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.18%	0.24%	0.0%	0.0%	0.0%	0.88%					
26	"9. ""Российская экологическая партия ""Зеленые"""	29	1	0	2	0	2	2	6	0	0	0	0	0	0	0	1	5	4	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0					
		0.21%	0.20%	0.0%	0.62%	0.0%	0.31%	0.26%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	1.59%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.59%	0.0%					
27	"10. ""Аграрная партия России"""	746	11	17	7	21	17	14	24	4	9	8	11	11	42	8	5	1	14	1	26	19	43	38	60	9	1	130	14	23	1	9	4	39	52	36	3	5	5	4					
		5.54%	2.23%	4.45%	2.20%	3.15%	2.66%	1.82%	2.08%	4.12%	7.08%	2.46%	3.30%	3.28%	4.01%	3.92%	1.54%	0.31%	2.97%	0.48%	12.38%	13.47%	10.14%	17.84%	11.45%	3.68%	1.75%	27.60%	4.05%	15.33%	1.40%	4.07%	2.22%	9.77%	9.55%	8.97%	3.57%	2.68%	2.99%	1.76%					
28	"11. ""Истинные патриоты России"""	14	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1					
		0.10%	0.20%	0.0%	0.31%	0.15%	0.0%	0.13%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.44%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	127	5	0	1	3	2	5	12	0	1	3	3	3	9	9	14	3	8	1	0	4	3	2	6	6	0	3	0	2	0	2	2	5	2	3	1	2	1	1					
		0.94%	1.01%	0.0%	0.31%	0.45%	0.31%	0.65%	1.04%	0.0%	0.78%	0.92%	0.90%	0.89%	0.85%	4.41%	4.33%	0.95%	1.70%	0.48%	0.0%	2.83%	0.70%	0.93%	1.14%	2.45%	0.0%	0.63%	0.0%	1.33%	0.0%	0.90%	1.11%	1.25%	0.36%	0.74%	1.19%	1.07%	0.59%	0.44%					
30	"13. ""Демократическая партия России"""	44	1	2	1	2	1	1	2	0	0	1	1	3	1	0	0	1	11	0	0	0	1	1	2	0	0	0	6	0	0	0	0	2	1	0	0	1	2	0					
		0.32%	0.20%	0.52%	0.31%	0.30%	0.15%	0.13%	0.17%	0.0%	0.0%	0.30%	0.30%	0.89%	0.09%	0.0%	0.0%	0.31%	2.34%	0.0%	0.0%	0.0%	0.23%	0.46%	0.38%	0.0%	0.0%	0.0%	1.73%	0.0%	0.0%	0.0%	0.0%	0.50%	0.18%	0.0%	0.0%	0.53%	1.19%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	1	2	0	1	4	0	3	0	0	0	0	0	3	0	2	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	2	1	1	0	0	0	0					
		0.20%	0.20%	0.52%	0.0%	0.15%	0.62%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.61%	0.31%	0.0%	0.0%	0.47%	0.70%	0.0%	0.0%	0.19%	0.0%	0.0%	0.21%	0.28%	0.66%	0.0%	0.0%	0.0%	0.50%	0.18%	0.24%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1					
		0.09%	0.20%	0.26%	0.31%	0.15%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.18%	0.24%	0.0%	0.0%	0.0%	0.44%					
33	"16. ""Родина"" (народно-патриотический союз)"""	560	20	21	20	30	36	57	59	5	3	10	12	7	50	14	6	22	15	16	4	5	6	7	23	8	1	6	11	5	17	3	2	12	8	14	1	11	7	6					
		4.16%	4.06%	5.49%	6.28%	4.50%	5.64%	7.44%	5.13%	5.15%	2.36%	3.08%	3.60%	2.08%	4.77%	6.86%	1.85%	7.00%	3.19%	7.76%	1.90%	3.54%	1.41%	3.28%	4.38%	3.27%	1.75%	1.27%	3.18%	3.33%	23.94%	1.35%	1.11%	3.00%	1.47%	3.49%	1.19%	5.91%	4.19%	2.64%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	0	0	1	2	0	3	3	0	0	0	3	0	6	1	1	0	1	0	0	0	3	0	0	0	0	4	1	1	0	2	0	0	1	0	2	0	1	2					
		0.28%	0.0%	0.0%	0.31%	0.30%	0.0%	0.39%	0.26%	0.0%	0.0%	0.0%	0.90%	0.0%	0.57%	0.49%	0.30%	0.0%	0.21%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.84%	0.28%	0.66%	0.0%	0.90%	0.0%	0.0%	0.18%	0.0%	2.38%	0.0%	0.59%	0.88%					
35	"18. ""ЛДПР"""	2517	108	75	47	118	118	139	226	29	31	66	71	74	197	41	73	83	110	49	53	27	53	42	79	41	7	30	54	9	15	67	33	78	96	39	24	37	37	41					
		18.71%	21.95%	19.63%	14.77%	17.71%	18.49%	18.14%	19.66%	29.89%	24.40%	20.37%	21.32%	22.08%	18.81%	20.09%	22.60%	26.43%	23.40%	23.78%	25.23%	19.14%	12.5%	19.71%	15.07%	16.80%	12.28%	6.36%	15.65%	6.0%	21.12%	30.31%	18.33%	19.54%	17.64%	9.72%	28.57%	19.89%	22.15%	18.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	331	7	7	11	25	17	27	26	3	5	5	14	7	29	12	6	5	24	9	2	2	6	5	12	8	1	10	2	3	0	5	1	11	7	6	1	2	4	4					
		2.46%	1.42%	1.83%	3.45%	3.75%	2.66%	3.52%	2.26%	3.09%	3.93%	1.54%	4.20%	2.08%	2.76%	5.88%	1.85%	1.59%	5.10%	4.36%	0.95%	1.41%	1.41%	2.34%	2.29%	3.27%	1.75%	2.12%	0.57%	2.0%	0.0%	2.26%	0.55%	2.75%	1.28%	1.49%	1.19%	1.07%	2.39%	1.76%					
37	"20. ""Политическая партия ""Единая Россия"""	5684	228	167	160	329	290	332	473	30	25	89	59	41	427	74	127	121	186	90	94	42	177	61	246	139	38	208	155	75	28	95	112	175	245	240	23	82	70	131					
		42.26%	46.34%	43.71%	50.31%	49.39%	45.45%	43.34%	41.16%	30.92%	19.68%	27.46%	17.71%	12.23%	40.78%	36.27%	39.31%	38.53%	39.57%	43.68%	44.76%	29.78%	41.74%	28.63%	46.94%	56.96%	66.66%	44.16%	44.92%	50.0%	39.43%	42.98%	62.22%	43.85%	45.03%	59.85%	27.38%	44.08%	41.91%	57.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	2	0	0	0	0	2	2	0	0	0	2	2	2	0	2	0	1	0	1	0	0	1	1	0	0	2	0	1	0	1	0	1	1	1	0	3	0	0					
		0.20%	0.40%	0.0%	0.0%	0.0%	0.0%	0.26%	0.17%	0.0%	0.0%	0.0%	0.60%	0.59%	0.19%	0.0%	0.61%	0.0%	0.21%	0.0%	0.47%	0.0%	0.0%	0.46%	0.19%	0.0%	0.0%	0.42%	0.0%	0.66%	0.0%	0.45%	0.0%	0.25%	0.18%	0.24%	0.0%	1.61%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	35	1	1	1	2	10	3	1	0	1	3	0	3	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0					
		0.26%	0.20%	0.26%	0.31%	0.30%	1.56%	0.39%	0.08%	0.0%	0.78%	0.92%	0.0%	0.89%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.46%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.59%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1842	62	52	35	72	82	108	184	17	34	92	104	155	105	26	36	42	51	6	15	28	100	29	60	22	5	34	58	14	4	28	8	26	64	23	15	22	13	11					
		13.69%	12.60%	13.61%	11.00%	10.81%	12.85%	14.09%	16.01%	17.52%	26.77%	28.39%	31.23%	46.26%	10.02%	12.74%	11.14%	13.37%	10.85%	2.91%	7.14%	19.85%	23.58%	13.61%	11.45%	9.01%	8.77%	7.21%	16.81%	9.33%	5.63%	12.66%	4.44%	6.51%	11.76%	5.73%	17.85%	11.82%	7.78%	4.84%					
																																													
41	Против всех	257	9	7	5	14	12	17	36	3	3	6	6	0	22	1	7	5	12	8	4	0	4	3	5	0	0	15	6	3	0	0	2	9	7	6	3	4	6	7					
		1.91%	1.82%	1.83%	1.57%	2.10%	1.88%	2.21%	3.13%	3.09%	2.36%	1.85%	1.80%	0.0%	2.10%	0.49%	2.16%	1.59%	2.55%	3.88%	1.90%	0.0%	0.94%	1.40%	0.95%	0.0%	0.0%	3.18%	1.73%	2.0%	0.0%	0.0%	1.11%	2.25%	1.28%	1.49%	3.57%	2.15%	3.59%	3.08%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
