Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																									
Дата голосования: 02.12.2007																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1186	18	12	81	25	17	36	15	8	23	21	11	26	14	39	15	17	18	52	16	14	23	22	10	61	25	26	37	30	9	13	16	29	4	16	7	13	7	12	18	4	15	14	10	6	7	18	12	22	44	50	63	23	26	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	199	0	7	8	0	9	8	0	8	1	6	0	0	7	0	0	2	0	9	10	7	0	12	4	10	0	0	5	0	0	1	10	0	3	5	2	0	13	1	7	0	0	0	0	0	2	0	0	0	14	9	11	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	3	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	2	1	0	0	1	2	0	1	0	0	2	1	0	1	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																									
18	1.Политическая партия «Аграрная партия России»	1416	9	23	26	31	7	26	34	20	31	28	16	26	8	37	32	32	43	6	20	27	18	11	11	7	30	42	11	45	21	34	19	23	43	49	53	35	19	23	22	44	27	25	23	25	25	35	33	25	10	17	28	37	31	22	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0					
		2.52%	1.36%	2.10%	3.13%	2.55%	1.37%	3.10%	2.74%	3.28%	3.09%	3.59%	2.24%	2.38%	1.31%	2.94%	2.38%	2.76%	2.85%	1.41%	2.81%	3.55%	3.31%	1.46%	2.03%	0.95%	2.44%	2.90%	1.47%	3.09%	3.29%	2.25%	3.01%	2.49%	3.32%	2.99%	3.39%	2.35%	3.22%	2.17%	2.57%	3.29%	2.68%	2.03%	1.77%	2.00%	1.92%	2.72%	2.56%	1.95%	1.69%	2.46%	1.85%	3.10%	2.13%	2.22%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	20.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	8.33%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1372	11	35	30	26	12	13	39	15	33	17	13	30	12	37	34	39	50	11	30	20	17	16	18	22	47	43	27	54	7	26	13	18	26	44	25	32	3	21	25	29	17	28	32	29	22	29	35	34	2	4	7	22	37	44	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0					
		2.44%	1.67%	3.20%	3.61%	2.13%	2.35%	1.55%	3.15%	2.46%	3.29%	2.18%	1.82%	2.74%	1.96%	2.94%	2.52%	3.37%	3.31%	2.58%	4.21%	2.63%	3.13%	2.13%	3.33%	2.99%	3.82%	2.97%	3.61%	3.70%	1.10%	1.72%	2.06%	1.95%	2.00%	2.69%	1.60%	2.15%	0.51%	1.98%	2.92%	2.17%	1.68%	2.28%	2.46%	2.32%	1.69%	2.25%	2.71%	2.66%	0.34%	0.58%	0.46%	1.84%	2.54%	4.44%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	79	0	3	1	2	1	0	1	0	0	1	1	2	2	2	5	0	2	0	3	0	0	5	2	0	1	0	1	2	0	2	2	1	1	1	1	2	0	3	1	2	0	3	4	1	2	3	0	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
		0.14%	0.00%	0.27%	0.12%	0.16%	0.20%	0.00%	0.08%	0.00%	0.00%	0.13%	0.14%	0.18%	0.33%	0.16%	0.37%	0.00%	0.13%	0.00%	0.42%	0.00%	0.00%	0.66%	0.37%	0.00%	0.08%	0.00%	0.13%	0.14%	0.00%	0.13%	0.32%	0.11%	0.08%	0.06%	0.06%	0.13%	0.00%	0.28%	0.12%	0.15%	0.00%	0.24%	0.31%	0.08%	0.15%	0.23%	0.00%	0.23%	0.00%	0.29%	0.07%	0.17%	0.14%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8792	68	141	127	242	35	153	194	75	171	114	77	186	56	191	314	183	352	64	101	109	105	145	87	116	202	279	120	231	81	259	89	193	220	272	261	292	56	131	112	182	202	210	152	187	207	204	182	176	58	104	155	161	235	136	0	0	1	1	0	1	1	0	0	3	0	1	1	1	0	3	0	0	1	1	1	0	1	1	1	1	0	0	2	1	2	0	0	1	3	1	0	0	2	1	1	1	2	0					
		15.64%	10.30%	12.88%	15.28%	19.87%	6.85%	18.21%	15.65%	12.32%	17.07%	14.60%	10.80%	17.00%	9.17%	15.16%	23.31%	15.80%	23.31%	14.99%	14.19%	14.34%	19.34%	19.28%	16.08%	15.80%	16.41%	19.28%	16.06%	15.84%	12.68%	17.18%	14.08%	20.93%	16.96%	16.61%	16.68%	19.62%	9.49%	12.34%	13.10%	13.61%	20.02%	17.09%	11.70%	14.97%	15.91%	15.83%	14.11%	13.76%	9.83%	15.03%	10.26%	13.50%	16.13%	13.74%	0.00%	0.00%	9.09%	10.00%	0.00%	9.09%	9.09%	0.00%	0.00%	30.00%	0.00%	10.00%	10.00%	10.00%	0.00%	27.27%	0.00%	0.00%	9.09%	9.09%	9.09%	0.00%	9.09%	9.09%	9.09%	9.09%	0.00%	0.00%	16.67%	9.09%	18.18%	0.00%	0.00%	9.09%	27.27%	10.00%	0.00%	0.00%	18.18%	9.09%	9.09%	9.09%	18.18%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2291	30	48	64	51	24	23	56	28	52	52	19	49	45	74	56	76	61	25	51	46	32	74	40	40	47	72	58	80	14	57	27	27	53	44	41	52	11	48	22	33	29	39	45	27	35	56	33	45	5	11	17	45	52	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1					
		4.08%	4.55%	4.38%	7.70%	4.19%	4.70%	2.74%	4.52%	4.60%	5.19%	6.66%	2.66%	4.48%	7.36%	5.87%	4.16%	6.56%	4.04%	5.85%	7.16%	6.05%	5.89%	9.84%	7.39%	5.45%	3.82%	4.98%	7.76%	5.49%	2.19%	3.78%	4.27%	2.93%	4.09%	2.69%	2.62%	3.49%	1.86%	4.52%	2.57%	2.47%	2.87%	3.17%	3.46%	2.16%	2.69%	4.34%	2.56%	3.52%	0.85%	1.59%	1.13%	3.77%	3.57%	4.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%					
23	6.Политическая партия «Партия социальной справедливости»	166	3	3	1	2	0	5	4	1	3	5	6	2	1	3	3	2	3	2	3	2	3	1	4	3	4	3	5	1	0	6	5	2	5	4	5	4	2	1	0	2	1	2	4	5	1	9	3	7	1	1	3	4	4	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.30%	0.45%	0.27%	0.12%	0.16%	0.00%	0.60%	0.32%	0.16%	0.30%	0.64%	0.84%	0.18%	0.16%	0.24%	0.22%	0.17%	0.20%	0.47%	0.42%	0.26%	0.55%	0.13%	0.74%	0.41%	0.32%	0.21%	0.67%	0.07%	0.00%	0.40%	0.79%	0.22%	0.39%	0.24%	0.32%	0.27%	0.34%	0.09%	0.00%	0.15%	0.10%	0.16%	0.31%	0.40%	0.08%	0.70%	0.23%	0.55%	0.17%	0.14%	0.20%	0.34%	0.27%	0.10%	0.00%	7.69%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3874	70	102	41	70	46	48	76	40	49	47	78	81	36	86	66	60	82	30	45	45	33	38	27	38	68	89	48	68	46	96	54	60	92	117	110	91	46	78	91	109	72	67	101	103	107	98	82	117	41	39	137	73	104	79	2	4	0	0	2	7	1	0	3	1	0	1	1	1	0	0	0	1	0	4	2	1	1	2	1	2	1	2	1	2	1	1	1	0	0	0	1	2	0	3	0	0	1	4					
		6.89%	10.61%	9.32%	4.93%	5.75%	9.00%	5.71%	6.13%	6.57%	4.89%	6.02%	10.94%	7.40%	5.89%	6.83%	4.90%	5.18%	5.43%	7.03%	6.32%	5.92%	6.08%	5.05%	4.99%	5.18%	5.52%	6.15%	6.43%	4.66%	7.20%	6.37%	8.54%	6.51%	7.09%	7.14%	7.03%	6.12%	7.80%	7.34%	10.64%	8.15%	7.14%	5.45%	7.78%	8.25%	8.22%	7.60%	6.36%	9.15%	6.95%	5.64%	9.07%	6.12%	7.14%	7.98%	20.00%	30.77%	0.00%	0.00%	18.18%	63.64%	9.09%	0.00%	30.00%	10.00%	0.00%	10.00%	10.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	36.36%	18.18%	9.09%	9.09%	18.18%	9.09%	18.18%	9.09%	18.18%	8.33%	18.18%	9.09%	9.09%	9.09%	0.00%	0.00%	0.00%	9.09%	22.22%	0.00%	27.27%	0.00%	0.00%	9.09%	40.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6847	70	101	87	143	51	111	158	59	129	102	82	122	68	138	133	139	197	44	77	76	65	88	62	93	168	190	83	199	87	246	98	142	168	249	229	196	84	123	95	206	111	164	133	146	157	199	141	114	51	73	135	145	186	104	0	0	4	0	0	1	1	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	2	0	5	2	0	0	0	2	1	0	0	1	0	0	0					
		12.18%	10.61%	9.22%	10.47%	11.74%	9.98%	13.21%	12.74%	9.69%	12.87%	13.06%	11.50%	11.15%	11.13%	10.95%	9.87%	12.00%	13.05%	10.30%	10.81%	10.00%	11.97%	11.70%	11.46%	12.67%	13.65%	13.13%	11.11%	13.65%	13.62%	16.31%	15.51%	15.40%	12.95%	15.20%	14.63%	13.17%	14.24%	11.58%	11.11%	15.41%	11.00%	13.34%	10.24%	11.69%	12.07%	15.44%	10.93%	8.91%	8.64%	10.55%	8.93%	12.15%	12.77%	10.51%	0.00%	0.00%	36.36%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	20.00%	0.00%	0.00%	30.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	18.18%	9.09%	18.18%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	45.45%	18.18%	0.00%	0.00%	0.00%	18.18%	11.11%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	637	7	10	7	15	4	4	14	2	12	5	6	11	0	9	14	17	17	5	7	8	13	15	1	18	11	19	9	19	5	22	4	6	17	13	21	17	5	15	9	20	11	12	12	10	10	23	28	12	2	10	9	14	28	15	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		1.13%	1.06%	0.91%	0.84%	1.23%	0.78%	0.48%	1.13%	0.33%	1.20%	0.64%	0.84%	1.01%	0.00%	0.71%	1.04%	1.47%	1.13%	1.17%	0.98%	1.05%	2.39%	1.99%	0.18%	2.45%	0.89%	1.31%	1.20%	1.30%	0.78%	1.46%	0.63%	0.65%	1.31%	0.79%	1.34%	1.14%	0.85%	1.41%	1.05%	1.50%	1.09%	0.98%	0.92%	0.80%	0.77%	1.78%	2.17%	0.94%	0.34%	1.45%	0.60%	1.17%	1.92%	1.52%	10.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	27947	359	576	402	570	318	408	565	346	466	373	377	528	346	613	608	524	630	209	334	386	219	321	245	349	578	626	346	678	352	667	302	405	623	761	751	689	328	585	437	651	508	634	749	654	675	587	680	689	408	423	983	635	716	477	6	6	0	8	8	1	8	7	7	4	7	4	5	5	10	6	9	9	8	6	6	9	7	3	6	8	8	7	8	6	8	1	6	8	8	6	6	5	7	6	8	9	3	5					
		49.71%	54.39%	52.60%	48.38%	46.80%	62.23%	48.57%	45.56%	56.81%	46.51%	47.76%	52.88%	48.26%	56.63%	48.65%	45.14%	45.25%	41.72%	48.95%	46.91%	50.79%	40.33%	42.69%	45.29%	47.55%	46.95%	43.26%	46.32%	46.50%	55.09%	44.23%	47.78%	43.93%	48.03%	46.46%	47.99%	46.30%	55.59%	55.08%	51.11%	48.69%	50.35%	51.59%	57.66%	52.36%	51.88%	45.54%	52.71%	53.87%	69.15%	61.13%	65.06%	53.23%	49.14%	48.18%	60.00%	46.15%	0.00%	80.00%	72.73%	9.09%	72.73%	70.00%	70.00%	40.00%	70.00%	40.00%	50.00%	50.00%	10.00%	54.55%	81.82%	81.82%	72.73%	54.55%	54.55%	81.82%	63.64%	27.27%	54.55%	72.73%	72.73%	63.64%	66.67%	54.55%	72.73%	9.09%	54.55%	72.73%	72.73%	60.00%	54.55%	55.56%	63.64%	54.55%	72.73%	81.82%	27.27%	50.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2174	25	45	37	48	11	36	83	19	45	27	27	38	32	55	71	74	62	21	33	31	29	33	38	38	70	69	29	72	21	69	11	34	44	58	48	65	25	17	34	41	25	34	35	55	42	37	53	48	6	5	14	46	55	48	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0					
