Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Северодвинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	784	13	14	15	1	6	5	10	4	7	10	16	8	4	6	23	15	10	14	5	12	6	9	9	7	5	2	9	10	5	17	10	10	13	82	9	8	12	7	12	21	6	6	8	11	12	5	4	9	11	3	9	7	5	5	8	2	8	9	6	7	4	6	16	6	8	8	8	5	11	6	8	13	6	9	3	1	4	10	5	12	6	17	10					
14	Число погашенных неиспользованных открепительных удостоверений	1591	84	18	27	0	10	18	21	35	26	20	18	33	30	18	34	32	27	22	24	24	10	24	19	23	17	13	21	26	0	15	17	13	10	54	16	21	16	16	19	22	19	12	15	15	13	14	21	21	23	14	17	21	8	24	10	11	13	19	17	22	7	23	25	16	23	18	0	0	0	14	16	23	19	18	22	24	18	15	57	24	4	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	1	18	0	1	1	0	2	3	0	0	5	0	0	0	2	1	0	1	1	1	1	2	0	1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	5	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	1.Политическая партия «Аграрная партия России»	3779	45	40	66	0	45	71	56	63	45	54	58	40	40	48	72	49	38	84	46	83	30	55	47	34	42	22	50	46	6	25	50	54	44	26	55	46	63	71	36	61	50	63	54	50	48	71	72	74	68	38	63	65	58	43	45	27	30	42	55	68	34	45	48	56	50	43	6	1	6	38	37	44	49	36	49	47	49	26	57	42	0	22	4					
		3.88%	2.56%	3.67%	5.54%	0.00%	4.92%	4.81%	3.82%	4.16%	3.48%	3.98%	4.90%	3.07%	3.10%	4.35%	4.78%	3.75%	3.63%	5.30%	4.60%	5.00%	3.33%	4.09%	4.80%	3.04%	3.62%	2.81%	3.91%	3.48%	7.23%	2.77%	3.32%	3.42%	3.04%	2.08%	4.08%	4.07%	4.13%	5.13%	3.17%	3.76%	3.79%	4.02%	4.35%	3.96%	3.89%	5.06%	4.69%	6.33%	4.57%	3.04%	4.04%	3.96%	4.13%	3.30%	3.73%	3.04%	3.83%	3.10%	3.68%	4.18%	3.21%	3.96%	3.92%	3.95%	3.46%	3.21%	4.41%	2.04%	3.73%	3.74%	3.02%	3.56%	4.34%	3.46%	4.43%	4.12%	3.47%	2.68%	4.18%	3.08%	0.00%	3.68%	19.05%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1561	29	15	26	1	12	28	8	19	20	25	18	20	17	14	28	17	14	18	17	25	22	12	16	15	15	14	27	20	0	17	28	29	20	31	13	15	14	23	16	27	16	26	15	28	21	26	22	22	18	20	20	28	16	26	31	23	10	20	33	29	8	27	15	23	35	29	0	0	0	18	28	21	32	19	15	17	23	22	18	16	0	0	0					
		1.60%	1.65%	1.38%	2.18%	1.43%	1.31%	1.90%	0.55%	1.26%	1.55%	1.84%	1.52%	1.54%	1.32%	1.27%	1.86%	1.30%	1.34%	1.14%	1.70%	1.51%	2.44%	0.89%	1.63%	1.34%	1.29%	1.79%	2.11%	1.51%	0.00%	1.89%	1.86%	1.83%	1.38%	2.48%	0.96%	1.33%	0.92%	1.66%	1.41%	1.66%	1.21%	1.66%	1.21%	2.22%	1.70%	1.85%	1.43%	1.88%	1.21%	1.60%	1.28%	1.71%	1.14%	1.99%	2.57%	2.59%	1.28%	1.48%	2.21%	1.78%	0.75%	2.38%	1.23%	1.62%	2.42%	2.16%	0.00%	0.00%	0.00%	1.77%	2.28%	1.70%	2.83%	1.83%	1.36%	1.49%	1.63%	2.27%	1.32%	1.17%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	172	3	1	8	0	1	0	1	4	2	3	2	4	6	3	6	1	1	2	1	6	0	4	2	1	0	2	2	1	0	3	3	4	2	0	5	2	3	4	2	2	3	3	3	2	1	3	0	2	2	2	2	3	4	1	6	1	2	2	4	3	3	0	2	1	3	4	0	0	0	1	1	1	1	0	3	0	1	2	0	2	0	1	0					
		0.18%	0.17%	0.09%	0.67%	0.00%	0.11%	0.00%	0.07%	0.26%	0.15%	0.22%	0.17%	0.31%	0.47%	0.27%	0.40%	0.08%	0.10%	0.13%	0.10%	0.36%	0.00%	0.30%	0.20%	0.09%	0.00%	0.26%	0.16%	0.08%	0.00%	0.33%	0.20%	0.25%	0.14%	0.00%	0.37%	0.18%	0.20%	0.29%	0.18%	0.12%	0.23%	0.19%	0.24%	0.16%	0.08%	0.21%	0.00%	0.17%	0.13%	0.16%	0.13%	0.18%	0.29%	0.08%	0.50%	0.11%	0.26%	0.15%	0.27%	0.18%	0.28%	0.00%	0.16%	0.07%	0.21%	0.30%	0.00%	0.00%	0.00%	0.10%	0.08%	0.08%	0.09%	0.00%	0.27%	0.00%	0.07%	0.21%	0.00%	0.15%	0.00%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	16841	168	157	169	8	156	195	175	203	173	191	180	186	127	176	248	189	119	273	199	307	128	231	162	137	220	141	208	221	20	143	388	379	205	121	288	217	367	239	145	291	244	263	229	245	191	272	272	232	322	282	404	271	267	298	208	135	183	295	342	349	224	242	251	286	211	204	17	3	47	191	196	179	188	196	166	191	219	150	252	191	10	68	5					
		17.30%	9.57%	14.42%	14.18%	11.43%	17.07%	13.21%	11.94%	13.42%	13.38%	14.06%	15.22%	14.29%	9.85%	15.96%	16.48%	14.45%	11.38%	17.23%	19.92%	18.49%	14.22%	17.17%	16.53%	12.24%	18.97%	18.03%	16.25%	16.72%	24.10%	15.87%	25.75%	23.97%	14.17%	9.70%	21.35%	19.19%	24.07%	17.28%	12.78%	17.93%	18.51%	16.79%	18.44%	19.40%	15.48%	19.39%	17.73%	19.85%	21.63%	22.54%	25.93%	16.50%	19.03%	22.85%	17.25%	15.22%	23.34%	21.80%	22.86%	21.45%	21.13%	21.30%	20.52%	20.18%	14.61%	15.22%	12.50%	6.12%	29.19%	18.78%	15.97%	14.48%	16.65%	18.86%	15.02%	16.75%	15.52%	15.48%	18.49%	14.02%	8.47%	11.37%	23.81%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1058	15	11	14	0	8	15	13	11	19	15	10	12	17	12	17	20	5	13	9	23	11	8	17	13	9	10	17	7	0	21	15	39	6	12	14	15	14	13	16	15	11	20	10	19	11	14	20	10	16	8	14	14	15	22	23	7	7	12	17	11	15	15	6	15	9	17	1	0	0	13	12	26	18	4	14	14	20	9	14	19	0	5	0					
		1.09%	0.85%	1.01%	1.17%	0.00%	0.88%	1.02%	0.89%	0.73%	1.47%	1.10%	0.85%	0.92%	1.32%	1.09%	1.13%	1.53%	0.48%	0.82%	0.90%	1.39%	1.22%	0.59%	1.73%	1.16%	0.78%	1.28%	1.33%	0.53%	0.00%	2.33%	0.99%	2.47%	0.41%	0.96%	1.04%	1.33%	0.92%	0.94%	1.41%	0.92%	0.83%	1.28%	0.81%	1.50%	0.89%	0.99%	1.30%	0.86%	1.07%	0.64%	0.90%	0.85%	1.07%	1.69%	1.91%	0.79%	0.89%	0.89%	1.14%	0.68%	1.42%	1.32%	0.49%	1.06%	0.62%	1.27%	0.74%	0.00%	0.00%	1.28%	0.98%	2.10%	1.59%	0.38%	1.27%	1.23%	1.42%	0.93%	1.03%	1.40%	0.00%	0.84%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	515	1	1	4	0	2	9	6	8	8	6	6	6	4	4	5	4	1	10	5	5	3	4	3	6	5	8	4	3	0	5	6	9	3	9	10	6	1	2	3	3	4	4	5	3	3	3	8	3	5	3	6	10	6	5	8	3	1	6	11	10	4	132	6	5	7	2	0	1	1	3	7	2	6	5	11	6	9	0	1	7	1	4	0					
		0.53%	0.06%	0.09%	0.34%	0.00%	0.22%	0.61%	0.41%	0.53%	0.62%	0.44%	0.51%	0.46%	0.31%	0.36%	0.33%	0.31%	0.10%	0.63%	0.50%	0.30%	0.33%	0.30%	0.31%	0.54%	0.43%	1.02%	0.31%	0.23%	0.00%	0.55%	0.40%	0.57%	0.21%	0.72%	0.74%	0.53%	0.07%	0.14%	0.26%	0.18%	0.30%	0.26%	0.40%	0.24%	0.24%	0.21%	0.52%	0.26%	0.34%	0.24%	0.39%	0.61%	0.43%	0.38%	0.66%	0.34%	0.13%	0.44%	0.74%	0.61%	0.38%	11.62%	0.49%	0.35%	0.48%	0.15%	0.00%	2.04%	0.62%	0.29%	0.57%	0.16%	0.53%	0.48%	0.99%	0.53%	0.64%	0.00%	0.07%	0.51%	0.85%	0.67%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10821	263	155	122	9	97	140	159	197	137	159	106	145	158	115	155	167	131	185	103	192	122	138	120	143	143	96	155	156	6	110	134	145	199	195	140	131	153	140	164	219	120	162	151	108	138	142	170	124	148	113	154	158	116	106	135	110	64	131	156	174	103	142	128	128	131	149	14	2	14	109	151	144	137	112	152	115	191	94	156	155	11	99	0					
		11.12%	14.99%	14.23%	10.23%	12.86%	10.61%	9.49%	10.85%	13.02%	10.60%	11.71%	8.96%	11.14%	12.26%	10.43%	10.30%	12.77%	12.52%	11.68%	10.31%	11.57%	13.56%	10.26%	12.24%	12.78%	12.33%	12.28%	12.11%	11.80%	7.23%	12.21%	8.89%	9.17%	13.75%	15.63%	10.38%	11.58%	10.03%	10.12%	14.45%	13.49%	9.10%	10.34%	12.16%	8.55%	11.18%	10.12%	11.08%	10.61%	9.94%	9.03%	9.88%	9.62%	8.27%	8.13%	11.19%	12.40%	8.16%	9.68%	10.43%	10.69%	9.72%	12.50%	10.47%	9.03%	9.07%	11.12%	10.29%	4.08%	8.70%	10.72%	12.31%	11.65%	12.13%	10.78%	13.76%	10.09%	13.54%	9.70%	11.45%	11.38%	9.32%	16.56%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11031	142	111	185	2	127	196	177	188	165	167	110	130	142	149	185	138	97	204	132	165	107	159	116	120	139	89	128	145	9	92	170	176	118	71	117	109	143	143	136	153	151	214	114	156	139	172	183	153	152	129	162	226	156	131	134	105	76	173	148	161	108	2	166	178	191	203	19	4	12	152	132	150	130	151	145	154	190	124	177	188	16	51	1					
		11.33%	8.09%	10.19%	15.52%	2.86%	13.89%	13.28%	12.07%	12.43%	12.76%	12.30%	9.30%	9.98%	11.02%	13.51%	12.29%	10.55%	9.27%	12.88%	13.21%	9.94%	11.89%	11.82%	11.84%	10.72%	11.98%	11.38%	10.00%	10.97%	10.84%	10.21%	11.28%	11.13%	8.15%	5.69%	8.67%	9.64%	9.38%	10.34%	11.98%	9.43%	11.46%	13.67%	9.18%	12.35%	11.26%	12.26%	11.93%	13.09%	10.21%	10.31%	10.40%	13.76%	11.12%	10.05%	11.11%	11.84%	9.69%	12.79%	9.89%	9.90%	10.19%	0.18%	13.57%	12.56%	13.23%	15.15%	13.97%	8.16%	7.45%	14.95%	10.76%	12.14%	11.51%	14.53%	13.12%	13.51%	13.47%	12.80%	12.99%	13.80%	13.56%	8.53%	4.76%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	752	16	5	7	0	7	9	16	9	13	13	12	8	15	12	14	10	6	15	8	12	7	12	9	8	13	5	14	10	1	4	8	15	17	12	9	8	8	13	11	14	8	17	9	10	9	9	14	6	14	7	10	9	4	8	10	7	3	4	15	8	12	5	6	12	6	14	0	0	2	5	7	6	5	16	11	11	13	6	16	7	1	5	0					
		0.77%	0.91%	0.46%	0.59%	0.00%	0.77%	0.61%	1.09%	0.59%	1.01%	0.96%	1.01%	0.61%	1.16%	1.09%	0.93%	0.76%	0.57%	0.95%	0.80%	0.72%	0.78%	0.89%	0.92%	0.71%	1.12%	0.64%	1.09%	0.76%	1.20%	0.44%	0.53%	0.95%	1.17%	0.96%	0.67%	0.71%	0.52%	0.94%	0.97%	0.86%	0.61%	1.09%	0.72%	0.79%	0.73%	0.64%	0.91%	0.51%	0.94%	0.56%	0.64%	0.55%	0.29%	0.61%	0.83%	0.79%	0.38%	0.30%	1.00%	0.49%	1.13%	0.44%	0.49%	0.85%	0.42%	1.04%	0.00%	0.00%	1.24%	0.49%	0.57%	0.49%	0.44%	1.54%	0.99%	0.96%	0.92%	0.62%	1.17%	0.51%	0.85%	0.84%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46763	1034	540	540	47	430	748	795	742	637	677	631	691	705	512	720	653	596	707	443	769	450	670	460	596	534	364	623	674	40	442	619	615	783	729	643	533	696	666	555	752	650	729	616	586	630	626	695	490	682	607	671	782	696	608	554	437	376	623	649	739	506	484	558	664	731	614	78	37	73	456	613	609	506	437	494	507	635	500	631	699	78	336	10					
		48.04%	58.92%	49.59%	45.30%	67.14%	47.05%	50.68%	54.23%	49.04%	49.27%	49.85%	53.34%	53.07%	54.69%	46.42%	47.84%	49.92%	56.98%	44.63%	44.34%	46.33%	50.00%	49.81%	46.94%	53.26%	46.03%	46.55%	48.67%	50.98%	48.19%	49.06%	41.07%	38.90%	54.11%	58.41%	47.66%	47.13%	45.64%	48.16%	48.90%	46.33%	49.32%	46.55%	49.60%	46.40%	51.05%	44.62%	45.31%	41.92%	45.80%	48.52%	43.07%	47.62%	49.61%	46.63%	45.94%	49.27%	47.96%	46.05%	43.38%	45.42%	47.74%	42.61%	45.63%	46.86%	50.62%	45.82%	57.35%	75.51%	45.34%	44.84%	49.96%	49.27%	44.82%	42.06%	44.71%	44.47%	45.00%	51.60%	46.29%	51.32%	66.10%	56.19%	47.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3314	27	43	40	2	22	50	50	62	61	40	36	53	46	46	38	49	28	62	33	58	18	38	22	41	36	25	43	34	1	33	72	97	35	28	45	41	55	52	36	65	51	55	27	47	35	52	69	47	51	35	47	62	48	49	44	28	25	36	62	68	38	38	29	39	60	44	1	1	6	25	36	51	46	52	40	65	48	30	33	27	0	4	0					
		3.40%	1.54%	3.95%	3.36%	2.86%	2.41%	3.39%	3.41%	4.10%	4.72%	2.95%	3.04%	4.07%	3.57%	4.17%	2.52%	3.75%	2.68%	3.91%	3.30%	3.49%	2.00%	2.83%	2.24%	3.66%	3.10%	3.20%	3.36%	2.57%	1.20%	3.66%	4.78%	6.14%	2.42%	2.24%	3.34%	3.63%	3.61%	3.76%	3.17%	4.00%	3.87%	3.51%	2.17%	3.72%	2.84%	3.71%	4.50%	4.02%	3.43%	2.80%	3.02%	3.78%	3.42%	3.76%	3.65%	3.16%	3.19%	2.66%	4.14%	4.18%	3.58%	3.35%	2.37%	2.75%	4.16%	3.28%	0.74%	2.04%	3.73%	2.46%	2.93%	4.13%	4.07%	5.00%	3.62%	5.70%	3.40%	3.10%	2.42%	1.98%	0.00%	0.67%	0.00%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
