Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1510	20	20	40	30	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	20	20	20	20	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	862	11	12	22	19	2	11	9	8	30	12	8	13	8	15	17	12	16	17	9	12	16	8	8	16	14	15	11	7	6	9	20	11	12	5	13	10	13	12	5	8	6	18	14	23	23	18	5	11	17	6	5	18	12	4	14	9	18	8	11	8	1	14	13	8	8	20	11	14	14	14	15	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	595	8	10	11	7	13	11	8	9	5	4	5	3	14	12	9	17	11	10	13	1	10	12	6	11	13	12	5	7	6	2	4	12	5	5	2	8	5	4	7	4	2	6	4	3	15	2	4	6	2	4	5	13	2	4	11	4	8	7	4	9	1	16	16	4	4	8	19	14	5	14	13	41	4					
14	Число погашенных открепительных удостоверений	648	9	8	18	11	18	9	11	12	0	8	12	7	12	5	3	8	4	3	11	18	4	12	12	4	6	5	9	13	14	11	0	9	8	15	7	10	7	8	15	12	14	2	6	7	7	2	15	9	3	14	15	2	8	16	6	11	2	12	9	12	19	6	7	12	12	10	19	6	6	6	5	0	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	"1. ""ЕДИНЕНИЕ"""	661	9	6	8	27	10	12	10	7	8	6	1	4	10	10	8	9	10	3	3	10	16	13	7	9	16	11	13	16	13	10	13	9	7	8	13	12	11	10	3	11	1	7	17	18	7	6	6	6	10	12	9	9	3	5	9	8	13	4	4	5	8	7	9	10	2	10	15	4	12	7	19	2	5					
		0.94%	0.75%	0.47%	0.85%	2.56%	1.60%	1.17%	1.01%	0.86%	1.03%	0.66%	0.11%	0.67%	0.88%	0.91%	0.69%	0.80%	0.8%	0.27%	0.30%	0.71%	1.14%	1.01%	0.57%	0.70%	1.29%	0.99%	1.38%	1.38%	1.34%	0.87%	1.12%	1.19%	0.72%	0.86%	1.60%	1.16%	0.98%	1.20%	0.36%	1.38%	0.16%	0.62%	1.74%	1.30%	0.65%	0.53%	0.70%	0.60%	1.16%	1.57%	0.76%	0.69%	0.41%	0.91%	0.92%	0.96%	1.55%	0.48%	0.53%	0.67%	4.34%	0.52%	1.01%	1.17%	0.27%	0.86%	1.25%	0.50%	1.23%	0.70%	1.77%	1.13%	4.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3744	101	77	38	90	28	49	37	45	50	43	56	34	62	33	63	48	48	44	53	58	55	70	65	86	52	71	19	20	24	49	69	35	45	34	31	50	44	36	29	36	28	76	97	98	75	111	46	51	45	40	65	110	84	15	45	36	51	34	20	24	4	112	57	66	44	56	66	33	51	62	54	5	6					
		5.34%	8.50%	6.06%	4.08%	8.53%	4.50%	4.78%	3.73%	5.56%	6.49%	4.79%	6.51%	5.72%	5.50%	3.03%	5.44%	4.30%	3.84%	3.97%	5.43%	4.15%	3.94%	5.44%	5.36%	6.77%	4.20%	6.43%	2.01%	1.73%	2.48%	4.27%	5.98%	4.64%	4.63%	3.67%	3.83%	4.85%	3.93%	4.32%	3.56%	4.52%	4.73%	6.74%	9.94%	7.09%	6.97%	9.88%	5.36%	5.10%	5.26%	5.24%	5.49%	8.54%	11.60%	2.75%	4.63%	4.33%	6.08%	4.09%	2.69%	3.24%	2.17%	8.39%	6.41%	7.78%	6.08%	4.86%	5.51%	4.14%	5.24%	6.26%	5.04%	2.84%	5.94%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2569	38	40	30	33	31	29	41	21	17	37	29	26	52	48	48	45	48	45	40	53	67	59	53	59	54	29	37	63	38	47	33	34	46	52	48	48	41	25	32	36	26	33	18	37	36	32	38	49	36	21	36	31	14	11	23	28	28	28	19	29	3	25	35	22	22	37	39	31	53	30	31	11	5					
		3.67%	3.19%	3.14%	3.22%	3.13%	4.98%	2.82%	4.14%	2.59%	2.20%	4.12%	3.37%	4.37%	4.61%	4.41%	4.14%	4.03%	3.84%	4.06%	4.10%	3.79%	4.80%	4.59%	4.37%	4.64%	4.36%	2.62%	3.93%	5.45%	3.93%	4.10%	2.86%	4.50%	4.73%	5.62%	5.94%	4.66%	3.67%	3.00%	3.93%	4.52%	4.39%	2.92%	1.84%	2.67%	3.34%	2.84%	4.43%	4.90%	4.21%	2.75%	3.04%	2.40%	1.93%	2.02%	2.37%	3.37%	3.34%	3.37%	2.56%	3.91%	1.63%	1.87%	3.93%	2.59%	3.04%	3.21%	3.25%	3.88%	5.44%	3.03%	2.89%	6.25%	4.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4535	142	131	41	108	40	60	45	56	42	52	45	39	58	61	90	62	71	71	68	90	86	86	92	77	92	76	36	42	27	83	55	40	41	36	32	59	61	36	32	29	23	99	93	131	97	116	63	77	36	35	89	81	67	13	61	55	47	33	36	25	8	137	66	43	53	99	87	58	75	64	71	5	2					
		6.47%	11.95%	10.31%	4.40%	10.24%	6.43%	5.85%	4.54%	6.92%	5.45%	5.79%	5.23%	6.56%	5.15%	5.61%	7.77%	5.56%	5.68%	6.41%	6.97%	6.44%	6.16%	6.69%	7.59%	6.06%	7.43%	6.89%	3.82%	3.63%	2.79%	7.24%	4.77%	5.30%	4.22%	3.89%	3.96%	5.73%	5.46%	4.32%	3.93%	3.64%	3.89%	8.78%	9.53%	9.47%	9.01%	10.32%	7.35%	7.70%	4.21%	4.58%	7.52%	6.29%	9.25%	2.38%	6.28%	6.62%	5.60%	3.97%	4.85%	3.37%	4.34%	10.26%	7.42%	5.07%	7.33%	8.60%	7.26%	7.27%	7.70%	6.46%	6.63%	2.84%	1.98%					
22	"5. ""За Русь Святую"""	219	3	4	4	2	1	1	6	4	1	3	0	1	4	3	1	2	5	2	3	2	9	6	2	4	4	2	5	5	9	5	10	2	2	5	3	1	5	2	1	0	0	5	1	2	8	1	1	2	2	2	4	1	1	7	5	0	1	3	1	3	1	4	2	5	1	3	5	2	3	4	3	1	1					
		0.31%	0.25%	0.31%	0.42%	0.18%	0.16%	0.09%	0.60%	0.49%	0.12%	0.33%	0.0%	0.16%	0.35%	0.27%	0.08%	0.17%	0.4%	0.18%	0.30%	0.14%	0.64%	0.46%	0.16%	0.31%	0.32%	0.18%	0.53%	0.43%	0.93%	0.43%	0.86%	0.26%	0.20%	0.54%	0.37%	0.09%	0.44%	0.24%	0.12%	0.0%	0.0%	0.44%	0.10%	0.14%	0.74%	0.08%	0.11%	0.20%	0.23%	0.26%	0.33%	0.07%	0.13%	1.28%	0.51%	0.0%	0.11%	0.36%	0.13%	0.40%	0.54%	0.29%	0.22%	0.58%	0.13%	0.26%	0.41%	0.25%	0.30%	0.40%	0.28%	0.56%	0.99%					
23	"6. ""Объединенная Российская партия ""Русь"""	173	6	3	3	2	2	2	2	3	2	1	3	0	6	1	0	2	2	1	2	1	4	1	2	0	1	3	1	6	3	1	1	2	2	2	0	3	2	2	5	3	1	4	3	1	4	5	0	3	0	7	5	0	0	3	8	3	1	2	1	6	0	4	2	4	5	3	3	2	0	2	3	0	0					
		0.24%	0.50%	0.23%	0.32%	0.18%	0.32%	0.19%	0.20%	0.37%	0.25%	0.11%	0.34%	0.0%	0.53%	0.09%	0.0%	0.17%	0.16%	0.09%	0.20%	0.07%	0.28%	0.07%	0.16%	0.0%	0.08%	0.27%	0.10%	0.51%	0.31%	0.08%	0.08%	0.26%	0.20%	0.21%	0.0%	0.29%	0.17%	0.24%	0.61%	0.37%	0.16%	0.35%	0.30%	0.07%	0.37%	0.44%	0.0%	0.30%	0.0%	0.91%	0.42%	0.0%	0.0%	0.55%	0.82%	0.36%	0.11%	0.24%	0.13%	0.81%	0.0%	0.29%	0.22%	0.47%	0.69%	0.26%	0.25%	0.25%	0.0%	0.20%	0.28%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	653	11	11	9	15	3	7	4	10	6	20	9	3	8	8	12	8	11	9	6	19	10	11	4	14	11	17	5	10	9	10	12	7	8	6	1	7	13	5	10	4	4	10	15	28	13	10	5	11	2	7	9	18	8	3	11	7	2	13	8	9	1	7	9	11	7	8	13	12	4	15	10	0	0					
		0.93%	0.92%	0.86%	0.96%	1.42%	0.48%	0.68%	0.40%	1.23%	0.77%	2.22%	1.04%	0.50%	0.71%	0.73%	1.03%	0.71%	0.88%	0.81%	0.61%	1.36%	0.71%	0.85%	0.33%	1.10%	0.88%	1.54%	0.53%	0.86%	0.93%	0.87%	1.04%	0.92%	0.82%	0.64%	0.12%	0.68%	1.16%	0.60%	1.23%	0.50%	0.67%	0.88%	1.53%	2.02%	1.20%	0.89%	0.58%	1.10%	0.23%	0.91%	0.76%	1.39%	1.10%	0.55%	1.13%	0.84%	0.23%	1.56%	1.07%	1.21%	0.54%	0.52%	1.01%	1.29%	0.96%	0.69%	1.08%	1.50%	0.41%	1.51%	0.93%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	57	1	0	4	0	0	0	0	1	1	3	0	0	1	1	0	0	1	0	0	1	1	2	5	3	2	1	0	1	2	3	0	2	2	0	2	1	0	0	2	2	0	0	0	1	0	1	0	0	1	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.08%	0.08%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.12%	0.12%	0.33%	0.0%	0.0%	0.08%	0.09%	0.0%	0.0%	0.08%	0.0%	0.0%	0.07%	0.07%	0.15%	0.41%	0.23%	0.16%	0.09%	0.0%	0.08%	0.20%	0.26%	0.0%	0.26%	0.20%	0.0%	0.24%	0.09%	0.0%	0.0%	0.24%	0.25%	0.0%	0.0%	0.0%	0.07%	0.0%	0.08%	0.0%	0.0%	0.11%	0.0%	0.33%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.12%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	415	11	6	5	7	3	10	4	4	3	3	7	2	8	8	5	5	4	3	4	15	14	8	4	9	6	6	0	4	3	9	7	3	6	6	4	7	7	7	3	7	5	8	6	9	10	5	6	3	4	5	3	10	1	2	4	5	4	2	1	6	0	15	6	8	8	2	13	9	5	5	6	2	0					
		0.59%	0.92%	0.47%	0.53%	0.66%	0.48%	0.97%	0.40%	0.49%	0.38%	0.33%	0.81%	0.33%	0.71%	0.73%	0.43%	0.44%	0.32%	0.27%	0.41%	1.07%	1.00%	0.62%	0.33%	0.70%	0.48%	0.54%	0.0%	0.34%	0.31%	0.78%	0.60%	0.39%	0.61%	0.64%	0.49%	0.68%	0.62%	0.84%	0.36%	0.88%	0.84%	0.70%	0.61%	0.65%	0.92%	0.44%	0.70%	0.30%	0.46%	0.65%	0.25%	0.77%	0.13%	0.36%	0.41%	0.60%	0.47%	0.24%	0.13%	0.81%	0.0%	1.12%	0.67%	0.94%	1.10%	0.17%	1.08%	1.12%	0.51%	0.50%	0.56%	1.13%	0.0%					
27	"10. ""Аграрная партия России"""	1515	29	34	14	22	16	28	37	15	15	16	19	14	14	25	29	31	26	13	9	25	24	33	27	22	29	25	28	48	26	26	26	18	29	20	15	28	22	22	36	15	5	11	13	32	19	17	16	19	13	4	28	36	22	15	19	22	17	22	17	17	0	27	21	15	12	23	18	14	20	27	15	5	4					
		2.16%	2.44%	2.67%	1.50%	2.08%	2.57%	2.73%	3.73%	1.85%	1.94%	1.78%	2.21%	2.35%	1.24%	2.29%	2.50%	2.78%	2.08%	1.17%	0.92%	1.79%	1.72%	2.56%	2.22%	1.73%	2.34%	2.26%	2.97%	4.15%	2.69%	2.26%	2.25%	2.38%	2.98%	2.16%	1.85%	2.72%	1.96%	2.64%	4.42%	1.88%	0.84%	0.97%	1.33%	2.31%	1.76%	1.51%	1.86%	1.90%	1.52%	0.52%	2.36%	2.79%	3.03%	2.75%	1.95%	2.65%	2.02%	2.65%	2.29%	2.29%	0.0%	2.02%	2.36%	1.76%	1.65%	1.99%	1.50%	1.75%	2.05%	2.72%	1.40%	2.84%	3.96%					
28	"11. ""Истинные патриоты России"""	58	1	0	1	0	2	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	4	1	1	0	0	1	0	0	2	1	1	1	0	1	2	2	1	1	1	1	1	0	0	2	0	0	2	1	1	0	0	1	0	0	0	0	0	1	2	1	2	2	1	2	1	1	0	1	0	3	1	0					
		0.08%	0.08%	0.0%	0.10%	0.0%	0.32%	0.09%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.09%	0.0%	0.08%	0.08%	0.0%	0.0%	0.07%	0.07%	0.31%	0.08%	0.07%	0.0%	0.0%	0.10%	0.0%	0.0%	0.17%	0.08%	0.13%	0.10%	0.0%	0.12%	0.19%	0.17%	0.12%	0.12%	0.12%	0.16%	0.08%	0.0%	0.0%	0.18%	0.0%	0.0%	0.20%	0.11%	0.13%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.27%	0.54%	0.14%	0.22%	0.11%	0.27%	0.08%	0.08%	0.0%	0.10%	0.0%	0.28%	0.56%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	663	7	6	3	4	9	2	11	3	11	21	11	5	7	15	9	9	8	9	9	7	15	8	11	21	23	7	5	6	15	7	13	2	8	8	6	7	11	9	12	2	5	13	9	13	11	7	9	12	14	12	8	18	3	4	8	8	12	7	7	6	4	12	5	6	8	12	14	13	13	15	10	2	1					
		0.94%	0.58%	0.47%	0.32%	0.37%	1.44%	0.19%	1.11%	0.37%	1.42%	2.34%	1.28%	0.84%	0.62%	1.37%	0.77%	0.80%	0.64%	0.81%	0.92%	0.50%	1.07%	0.62%	0.90%	1.65%	1.85%	0.63%	0.53%	0.51%	1.55%	0.61%	1.12%	0.26%	0.82%	0.86%	0.74%	0.68%	0.98%	1.08%	1.47%	0.25%	0.84%	1.15%	0.92%	0.94%	1.02%	0.62%	1.05%	1.20%	1.63%	1.57%	0.67%	1.39%	0.41%	0.73%	0.82%	0.96%	1.43%	0.84%	0.94%	0.81%	2.17%	0.89%	0.56%	0.70%	1.10%	1.04%	1.16%	1.63%	1.33%	1.51%	0.93%	1.13%	0.99%					
30	"13. ""Демократическая партия России"""	188	5	1	11	6	1	9	1	0	2	1	2	0	5	1	2	1	5	2	3	2	2	1	5	1	3	5	6	1	3	2	3	1	5	2	1	4	2	3	1	2	2	3	3	4	2	1	3	2	3	0	4	4	2	0	2	6	0	3	5	3	4	2	3	1	1	4	3	2	0	1	1	1	0					
		0.26%	0.42%	0.07%	1.18%	0.56%	0.16%	0.87%	0.10%	0.0%	0.25%	0.11%	0.23%	0.0%	0.44%	0.09%	0.17%	0.08%	0.4%	0.18%	0.30%	0.14%	0.14%	0.07%	0.41%	0.07%	0.24%	0.45%	0.63%	0.08%	0.31%	0.17%	0.26%	0.13%	0.51%	0.21%	0.12%	0.38%	0.17%	0.36%	0.12%	0.25%	0.33%	0.26%	0.30%	0.28%	0.18%	0.08%	0.35%	0.20%	0.35%	0.0%	0.33%	0.31%	0.27%	0.0%	0.20%	0.72%	0.0%	0.36%	0.67%	0.40%	2.17%	0.14%	0.33%	0.11%	0.13%	0.34%	0.25%	0.25%	0.0%	0.10%	0.09%	0.56%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	201	2	3	3	0	2	3	1	7	6	3	0	2	2	1	1	1	2	4	5	4	2	0	4	2	0	3	2	2	4	11	7	1	4	0	4	2	2	3	1	5	1	5	0	2	1	1	0	3	2	5	3	6	3	3	4	3	4	1	0	2	1	10	1	4	3	5	4	3	2	5	2	1	0					
		0.28%	0.16%	0.23%	0.32%	0.0%	0.32%	0.29%	0.10%	0.86%	0.77%	0.33%	0.0%	0.33%	0.17%	0.09%	0.08%	0.08%	0.16%	0.36%	0.51%	0.28%	0.14%	0.0%	0.33%	0.15%	0.0%	0.27%	0.21%	0.17%	0.41%	0.95%	0.60%	0.13%	0.41%	0.0%	0.49%	0.19%	0.17%	0.36%	0.12%	0.62%	0.16%	0.44%	0.0%	0.14%	0.09%	0.08%	0.0%	0.30%	0.23%	0.65%	0.25%	0.46%	0.41%	0.55%	0.41%	0.36%	0.47%	0.12%	0.0%	0.27%	0.54%	0.74%	0.11%	0.47%	0.41%	0.43%	0.33%	0.37%	0.20%	0.50%	0.18%	0.56%	0.0%					
32	"15. ""Партия СЛОН"""	149	2	11	2	3	3	2	1	4	2	0	3	3	0	0	1	1	1	1	1	5	5	2	0	0	4	4	0	1	2	0	1	2	2	2	0	2	3	4	0	3	0	3	4	4	0	4	1	0	3	1	5	5	3	0	3	0	2	1	3	4	1	3	1	1	0	2	3	0	4	2	1	1	1					
		0.21%	0.16%	0.86%	0.21%	0.28%	0.48%	0.19%	0.10%	0.49%	0.25%	0.0%	0.34%	0.50%	0.0%	0.0%	0.08%	0.08%	0.08%	0.09%	0.10%	0.35%	0.35%	0.15%	0.0%	0.0%	0.32%	0.36%	0.0%	0.08%	0.20%	0.0%	0.08%	0.26%	0.20%	0.21%	0.0%	0.19%	0.26%	0.48%	0.0%	0.37%	0.0%	0.26%	0.41%	0.28%	0.0%	0.35%	0.11%	0.0%	0.35%	0.13%	0.42%	0.38%	0.41%	0.0%	0.30%	0.0%	0.23%	0.12%	0.40%	0.54%	0.54%	0.22%	0.11%	0.11%	0.0%	0.17%	0.25%	0.0%	0.41%	0.20%	0.09%	0.56%	0.99%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7719	143	184	67	151	84	132	125	101	65	110	102	101	139	110	114	136	114	134	102	128	150	188	176	148	135	138	72	97	62	107	105	54	85	72	57	85	117	74	73	70	59	148	146	183	116	128	131	106	100	59	163	124	66	40	98	72	70	88	46	43	14	215	128	95	78	126	130	92	128	131	162	20	7					
		11.02%	12.03%	14.48%	7.19%	14.32%	13.50%	12.87%	12.62%	12.48%	8.44%	12.26%	11.87%	17.00%	12.34%	10.11%	9.85%	12.20%	9.12%	12.11%	10.46%	9.16%	10.75%	14.63%	14.52%	11.65%	10.90%	12.51%	7.65%	8.40%	6.41%	9.33%	9.11%	7.16%	8.75%	7.78%	7.05%	8.26%	10.47%	8.88%	8.97%	8.80%	9.98%	13.13%	14.97%	13.24%	10.78%	11.39%	15.28%	10.61%	11.69%	7.73%	13.79%	9.63%	9.11%	7.35%	10.10%	8.67%	8.35%	10.60%	6.20%	5.81%	7.60%	16.11%	14.39%	11.20%	10.78%	10.94%	10.86%	11.54%	13.15%	13.23%	15.14%	11.36%	6.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	140	2	3	0	1	0	3	1	0	2	3	1	2	5	3	6	0	1	1	3	6	1	2	1	4	3	3	0	5	4	1	4	0	3	1	0	2	4	2	1	1	1	2	2	2	5	0	1	5	3	3	3	1	1	0	1	1	1	2	1	1	0	0	2	2	0	3	2	2	0	6	1	1	0					
		0.20%	0.16%	0.23%	0.0%	0.09%	0.0%	0.29%	0.10%	0.0%	0.25%	0.33%	0.11%	0.33%	0.44%	0.27%	0.51%	0.0%	0.08%	0.09%	0.30%	0.42%	0.07%	0.15%	0.08%	0.31%	0.24%	0.27%	0.0%	0.43%	0.41%	0.08%	0.34%	0.0%	0.30%	0.10%	0.0%	0.19%	0.35%	0.24%	0.12%	0.12%	0.16%	0.17%	0.20%	0.14%	0.46%	0.0%	0.11%	0.50%	0.35%	0.39%	0.25%	0.07%	0.13%	0.0%	0.10%	0.12%	0.11%	0.24%	0.13%	0.13%	0.0%	0.0%	0.22%	0.23%	0.0%	0.26%	0.16%	0.25%	0.0%	0.60%	0.09%	0.56%	0.0%					
