Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Астрахань, Cоветская																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593									
		0.62%	0.83%	0.52%	0.64%	0.54%	0.75%	0.84%	0.64%	0.95%	0.53%	0.12%	0.67%	0.25%	0.45%	0.47%	0.93%	0.62%	0.59%	0.78%	0.69%	0.58%	0.74%	0.73%	0.47%	0.64%	0.51%	0.32%	0.64%	0.09%	1.52%	0.50%	0.32%	1.03%	0.80%	0.95%	0.57%	0.61%	0.40%	0.51%	0.54%	0.13%	0.28%	0.87%	0.60%	0.13%	1.19%	0.66%	0.46%	0.44%	1.37%	1.22%	0.56%	0.33%	0.80%	0.64%	1.30%	0.93%	0.38%	0.00%	0.50%	0.78%	0.84%	0.84%	0.13%	0.13%	0.57%	0.34%	0.15%	0.30%	0.63%	0.74%	0.54%	0.75%	1.29%	1.52%									
21	. Путин Владимир Владимирович	41650	685	775	595	903	530	839	802	627	489	515	571	514	571	689	651	400	638	918	584	760	539	521	423	401	672	633	116	717	740	511	566	1343	323	713	543	554	458	516	729	502	743	355	451	500	330	575	429	742	487	423	823	571	865	481	292	430	389	518	555	347	384	464	504	519	363	591	434	670	660	596	473	533	538	39									
		66.27%	63.02%	67.45%	63.84%	69.09%	66.00%	70.21%	64.21%	66.42%	64.43%	63.82%	64.09%	64.57%	64.16%	64.21%	60.73%	61.63%	62.24%	65.11%	67.59%	73.01%	66.71%	76.17%	66.09%	64.37%	68.50%	67.77%	74.36%	66.39%	62.61%	63.72%	60.66%	81.74%	64.99%	67.46%	61.56%	67.48%	61.23%	65.40%	65.97%	65.62%	68.42%	61.95%	67.11%	63.69%	65.48%	63.47%	66.31%	65.14%	60.72%	64.58%	65.68%	63.02%	69.31%	77.21%	63.07%	66.77%	74.10%	65.90%	69.90%	67.51%	64.32%	64.80%	63.72%	69.29%	69.41%	66.63%	66.26%	67.81%	69.18%	63.34%	64.18%	66.88%	63.00%	59.09%									
22	. Хакамада Ирина Муцуовна	3036	57	56	67	73	37	65	67	35	35	42	32	58	42	61	72	36	57	84	69	43	49	19	24	23	50	53	3	64	68	57	48	50	12	49	63	41	33	49	67	25	27	21	37	35	11	47	27	50	50	39	69	59	52	19	12	23	16	47	27	18	27	19	29	26	23	40	46	47	40	33	40	15	26	4									
		4.83%	5.24%	4.87%	7.19%	5.59%	4.61%	5.44%	5.36%	3.71%	4.61%	5.20%	3.59%	7.29%	4.72%	5.68%	6.72%	5.55%	5.56%	5.96%	7.99%	4.13%	6.06%	2.78%	3.75%	3.69%	5.10%	5.67%	1.92%	5.93%	5.75%	7.11%	5.14%	3.04%	2.41%	4.64%	7.14%	4.99%	4.41%	6.21%	6.06%	3.27%	2.49%	3.66%	5.51%	4.46%	2.18%	5.19%	4.17%	4.39%	6.23%	5.95%	5.51%	6.51%	4.17%	3.05%	2.59%	3.57%	3.05%	5.98%	3.40%	3.50%	4.52%	2.65%	3.67%	3.47%	4.40%	4.51%	7.02%	4.76%	4.19%	3.51%	5.43%	1.88%	3.04%	6.06%									
23	. Харитонов Николай Михайлович	9053	163	140	113	126	104	83	177	139	115	121	131	103	126	148	156	101	162	200	90	106	107	70	98	96	124	120	15	151	179	117	143	98	77	147	133	114	142	112	137	123	165	118	103	120	100	142	109	190	119	101	185	143	156	57	108	95	71	120	129	109	94	126	136	118	68	146	87	166	147	181	112	135	179	11									
		14.40%	15.00%	12.18%	12.12%	9.64%	12.95%	6.95%	14.17%	14.72%	15.15%	14.99%	14.70%	12.94%	14.16%	13.79%	14.55%	15.56%	15.80%	14.18%	10.42%	10.18%	13.24%	10.23%	15.31%	15.41%	12.64%	12.85%	9.62%	13.98%	15.14%	14.59%	15.33%	5.96%	15.49%	13.91%	15.08%	13.89%	18.98%	14.20%	12.40%	16.08%	15.19%	20.59%	15.33%	15.29%	19.84%	15.67%	16.85%	16.68%	14.84%	15.42%	14.76%	15.78%	12.50%	9.15%	23.33%	14.75%	13.52%	15.27%	16.25%	21.21%	15.75%	17.60%	17.19%	15.75%	13.00%	16.46%	13.28%	16.80%	15.41%	19.23%	15.20%	16.94%	20.96%	16.67%									
																																																																																					
24	Против всех	2848	61	52	55	65	50	62	63	40	36	42	47	30	47	45	55	32	52	68	38	48	47	22	36	29	54	37	4	47	54	41	57	41	24	39	46	42	23	49	58	27	34	20	32	29	23	49	26	45	58	23	59	41	59	24	11	24	15	38	23	17	22	30	37	34	26	35	35	40	32	32	46	31	32	1									
		4.53%	5.61%	4.53%	5.90%	4.97%	6.23%	5.19%	5.04%	4.24%	4.74%	5.20%	5.27%	3.77%	5.28%	4.19%	5.13%	4.93%	5.07%	4.82%	4.40%	4.61%	5.82%	3.22%	5.62%	4.65%	5.50%	3.96%	2.56%	4.35%	4.57%	5.11%	6.11%	2.50%	4.83%	3.69%	5.22%	5.12%	3.07%	6.21%	5.25%	3.53%	3.13%	3.49%	4.76%	3.69%	4.56%	5.41%	4.02%	3.95%	7.23%	3.51%	4.71%	4.53%	4.73%	3.85%	2.38%	3.73%	2.86%	4.83%	2.90%	3.31%	3.69%	4.19%	4.68%	4.54%	4.97%	3.95%	5.34%	4.05%	3.35%	3.40%	6.24%	3.89%	3.75%	1.52%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
