Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Боровичcкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	595	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	15	10	10	10	10	10	10	10	10	10	10	10	20	10	10	15	10	10	10	10	15	10	10	10	10	10	10	10	10	15	10	10	20	10	10	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	343	17	7	6	9	3	5	8	3	8	3	6	3	5	6	6	9	12	3	2	3	1	7	9	7	10	6	8	4	12	8	2	13	0	1	6	7	15	10	8	1	8	8	0	5	3	13	3	10	11	5	6	2	10	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	286	8	5	3	4	3	5	6	5	7	6	17	7	21	2	4	10	7	2	4	5	2	6	12	7	6	3	10	5	10	3	4	5	2	8	0	2	3	4	2	16	4	0	1	7	2	1	1	3	4	2	2	7	4	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	252	3	3	4	1	7	5	2	7	2	7	4	7	5	4	4	6	3	7	8	7	9	3	1	3	0	4	2	6	8	2	8	2	10	9	4	3	0	0	2	9	2	2	10	5	7	2	7	0	9	5	4	8	0	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	4	0	1	0	0	1	1	1	1	1	0	0	1	2	1	1	1	0	1	3	0	0	2	1	0	0	2	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	295	20	9	5	6	6	7	7	7	7	8	2	6	4	5	2	9	7	2	3	4	7	2	4	6	12	5	14	9	16	11	6	16	2	1	3	3	3	2	0	6	4	1	1	1	1	5	1	2	13	7	1	1	2	0	1									
		1.27%	2.05%	1.71%	1.12%	1.30%	1.34%	0.96%	1.65%	1.19%	1.10%	1.94%	0.63%	1.40%	1.39%	0.85%	0.49%	1.16%	1.06%	0.85%	0.87%	0.60%	2.13%	0.45%	0.80%	1.44%	2.78%	1.80%	2.09%	1.40%	1.56%	1.84%	1.81%	2.20%	0.94%	0.29%	1.86%	0.56%	1.16%	1.40%	0.00%	2.00%	2.96%	0.54%	1.01%	0.21%	0.54%	1.13%	0.93%	0.90%	1.40%	1.24%	0.35%	0.39%	1.13%	0.00%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	603	20	15	9	13	9	22	11	22	11	10	16	7	6	15	9	18	18	7	14	19	3	9	12	8	2	6	16	17	25	17	7	31	6	12	8	8	6	8	5	9	5	7	0	14	7	14	3	5	28	10	8	7	6	1	2									
		2.60%	2.05%	2.85%	2.01%	2.81%	2.01%	3.02%	2.59%	3.73%	1.72%	2.43%	5.03%	1.64%	2.09%	2.54%	2.18%	2.32%	2.74%	2.98%	4.05%	2.83%	0.91%	2.01%	2.40%	1.91%	0.46%	2.16%	2.38%	2.64%	2.43%	2.84%	2.11%	4.26%	2.82%	3.44%	4.97%	1.48%	2.33%	5.59%	1.98%	3.00%	3.70%	3.80%	0.00%	2.94%	3.76%	3.17%	2.78%	2.24%	3.02%	1.77%	2.78%	2.72%	3.39%	1.20%	2.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	585	29	13	16	8	12	22	10	18	16	9	7	12	4	16	8	20	21	4	12	13	3	6	17	12	11	11	14	17	27	12	8	18	3	8	3	14	3	5	3	11	2	5	3	10	13	23	4	6	17	10	5	4	2	1	4									
		2.52%	2.97%	2.47%	3.57%	1.73%	2.68%	3.02%	2.36%	3.05%	2.50%	2.18%	2.20%	2.80%	1.39%	2.71%	1.94%	2.58%	3.19%	1.70%	3.47%	1.94%	0.91%	1.34%	3.40%	2.87%	2.55%	3.96%	2.09%	2.64%	2.63%	2.00%	2.41%	2.48%	1.41%	2.29%	1.86%	2.59%	1.16%	3.50%	1.19%	3.67%	1.48%	2.72%	3.03%	2.10%	6.99%	5.22%	3.70%	2.69%	1.83%	1.77%	1.74%	1.56%	1.13%	1.20%	4.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9154	359	163	142	144	136	282	153	228	213	170	126	163	104	228	131	295	247	86	141	267	161	182	204	140	176	107	256	240	380	216	120	250	105	192	79	215	118	79	119	132	76	82	66	215	89	200	51	125	345	263	111	126	76	45	35									
		39.41%	36.78%	30.99%	31.70%	31.10%	30.36%	38.74%	36.08%	38.64%	33.33%	41.26%	39.62%	38.08%	36.24%	38.64%	31.80%	38.06%	37.54%	36.60%	40.75%	39.79%	48.94%	40.63%	40.80%	33.49%	40.74%	38.49%	38.15%	37.27%	37.00%	36.06%	36.14%	34.39%	49.30%	55.01%	49.07%	39.81%	45.74%	55.24%	47.22%	44.00%	56.30%	44.57%	66.67%	45.17%	47.85%	45.35%	47.22%	56.05%	37.18%	46.55%	38.54%	49.03%	42.94%	54.22%	42.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	160	8	8	4	4	3	7	1	5	8	7	2	3	5	3	3	3	5	0	1	5	1	0	3	4	1	5	3	5	6	1	1	4	0	3	0	3	2	0	3	6	1	0	0	1	0	3	1	1	4	6	4	2	1	0	0									
		0.69%	0.82%	1.52%	0.89%	0.86%	0.67%	0.96%	0.24%	0.85%	1.25%	1.70%	0.63%	0.70%	1.74%	0.51%	0.73%	0.39%	0.76%	0.00%	0.29%	0.75%	0.30%	0.00%	0.60%	0.96%	0.23%	1.80%	0.45%	0.78%	0.58%	0.17%	0.30%	0.55%	0.00%	0.86%	0.00%	0.56%	0.78%	0.00%	1.19%	2.00%	0.74%	0.00%	0.00%	0.21%	0.00%	0.68%	0.93%	0.45%	0.43%	1.06%	1.39%	0.78%	0.56%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	59	3	1	1	1	0	1	1	2	0	0	0	0	0	2	1	1	1	0	3	1	0	1	4	1	1	0	0	0	0	1	1	2	0	3	2	0	4	1	1	6	0	1	0	5	0	0	0	1	1	0	3	0	0	1	0									
		0.25%	0.31%	0.19%	0.22%	0.22%	0.00%	0.14%	0.24%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.24%	0.13%	0.15%	0.00%	0.87%	0.15%	0.00%	0.22%	0.80%	0.24%	0.23%	0.00%	0.00%	0.00%	0.00%	0.17%	0.30%	0.28%	0.00%	0.86%	1.24%	0.00%	1.55%	0.70%	0.40%	2.00%	0.00%	0.54%	0.00%	1.05%	0.00%	0.00%	0.00%	0.45%	0.11%	0.00%	1.04%	0.00%	0.00%	1.20%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4054	168	85	77	75	81	112	103	92	88	80	63	72	47	94	78	124	130	58	58	126	61	116	77	71	87	54	96	84	175	120	75	114	30	46	32	104	38	24	52	45	21	32	13	82	29	76	31	29	162	94	55	57	35	10	16									
		17.45%	17.21%	16.16%	17.19%	16.20%	18.08%	15.38%	24.29%	15.59%	13.77%	19.42%	19.81%	16.82%	16.38%	15.93%	18.93%	16.00%	19.76%	24.68%	16.76%	18.78%	18.54%	25.89%	15.40%	16.99%	20.14%	19.42%	14.31%	13.04%	17.04%	20.03%	22.59%	15.68%	14.08%	13.18%	19.88%	19.26%	14.73%	16.78%	20.63%	15.00%	15.56%	17.39%	13.13%	17.23%	15.59%	17.23%	28.70%	13.00%	17.46%	16.64%	19.10%	22.18%	19.77%	12.05%	19.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	145	8	6	4	5	1	5	0	6	4	5	1	2	5	6	4	7	4	1	1	3	0	3	2	5	4	1	5	3	9	3	2	1	0	0	2	0	2	0	1	5	1	2	0	3	0	2	1	0	1	2	5	0	2	0	0									
		0.62%	0.82%	1.14%	0.89%	1.08%	0.22%	0.69%	0.00%	1.02%	0.63%	1.21%	0.31%	0.47%	1.74%	1.02%	0.97%	0.90%	0.61%	0.43%	0.29%	0.45%	0.00%	0.67%	0.40%	1.20%	0.93%	0.36%	0.75%	0.47%	0.88%	0.50%	0.60%	0.14%	0.00%	0.00%	1.24%	0.00%	0.78%	0.00%	0.40%	1.67%	0.74%	1.09%	0.00%	0.63%	0.00%	0.45%	0.93%	0.00%	0.11%	0.35%	1.74%	0.00%	1.13%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	324	22	12	4	2	9	13	11	6	13	8	3	6	7	4	9	14	5	1	7	11	5	5	5	15	11	5	11	16	14	5	2	7	1	0	0	5	4	0	2	3	2	2	1	0	1	2	0	3	18	7	3	1	1	0	0									
		1.39%	2.25%	2.28%	0.89%	0.43%	2.01%	1.79%	2.59%	1.02%	2.03%	1.94%	0.94%	1.40%	2.44%	0.68%	2.18%	1.81%	0.76%	0.43%	2.02%	1.64%	1.52%	1.12%	1.00%	3.59%	2.55%	1.80%	1.64%	2.48%	1.36%	0.83%	0.60%	0.96%	0.47%	0.00%	0.00%	0.93%	1.55%	0.00%	0.79%	1.00%	1.48%	1.09%	1.01%	0.00%	0.54%	0.45%	0.00%	1.35%	1.94%	1.24%	1.04%	0.39%	0.56%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	3	1	0	1	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0									
		0.10%	0.00%	0.19%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.00%	0.24%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.24%	0.23%	0.00%	0.30%	0.00%	0.29%	0.17%	0.00%	0.14%	0.00%	0.29%	0.00%	0.00%	0.39%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	1.20%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	473	35	11	8	9	10	13	4	16	22	8	5	16	9	9	17	19	13	4	9	10	3	5	12	8	9	7	11	18	32	22	6	13	2	3	0	12	2	1	2	3	2	3	1	9	1	4	0	0	9	15	2	5	2	0	2									
		2.04%	3.59%	2.09%	1.79%	1.94%	2.23%	1.79%	0.94%	2.71%	3.44%	1.94%	1.57%	3.74%	3.14%	1.53%	4.13%	2.45%	1.98%	1.70%	2.60%	1.49%	0.91%	1.12%	2.40%	1.91%	2.08%	2.52%	1.64%	2.80%	3.12%	3.67%	1.81%	1.79%	0.94%	0.86%	0.00%	2.22%	0.78%	0.70%	0.79%	1.00%	1.48%	1.63%	1.01%	1.89%	0.54%	0.91%	0.00%	0.00%	0.97%	2.65%	0.69%	1.95%	1.13%	0.00%	2.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4218	178	125	112	131	108	140	68	90	147	61	69	80	47	132	77	168	125	50	45	106	48	58	90	68	56	36	133	137	193	100	66	177	36	49	21	87	56	8	43	23	16	30	7	82	27	58	6	29	172	98	57	33	29	18	12									
		18.16%	18.24%	23.76%	25.00%	28.29%	24.11%	19.23%	16.04%	15.25%	23.00%	14.81%	21.70%	18.69%	16.38%	22.37%	18.69%	21.68%	18.99%	21.28%	13.01%	15.80%	14.59%	12.95%	18.00%	16.27%	12.96%	12.95%	19.82%	21.27%	18.79%	16.69%	19.88%	24.35%	16.90%	14.04%	13.04%	16.11%	21.71%	5.59%	17.06%	7.67%	11.85%	16.30%	7.07%	17.23%	14.52%	13.15%	5.56%	13.00%	18.53%	17.35%	19.79%	12.84%	16.38%	21.69%	14.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	79	7	4	3	4	1	1	0	1	1	1	0	1	1	1	2	8	1	0	3	1	0	2	1	4	1	1	5	1	5	2	2	2	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	2	3	1	0	0	0	0									
		0.34%	0.72%	0.76%	0.67%	0.86%	0.22%	0.14%	0.00%	0.17%	0.16%	0.24%	0.00%	0.23%	0.35%	0.17%	0.49%	1.03%	0.15%	0.00%	0.87%	0.15%	0.00%	0.45%	0.20%	0.96%	0.23%	0.36%	0.75%	0.16%	0.49%	0.33%	0.60%	0.28%	0.00%	0.29%	0.00%	0.19%	0.39%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.21%	0.54%	0.00%	0.00%	0.00%	0.22%	0.53%	0.35%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2537	95	63	58	48	66	87	47	82	85	39	17	49	42	66	65	77	65	20	38	94	26	39	61	68	54	32	93	84	121	74	31	76	27	19	7	77	13	13	16	11	4	14	0	43	11	47	3	17	135	44	26	21	13	5	9									
		10.92%	9.73%	11.98%	12.95%	10.37%	14.73%	11.95%	11.08%	13.90%	13.30%	9.47%	5.35%	11.45%	14.63%	11.19%	15.78%	9.94%	9.88%	8.51%	10.98%	14.01%	7.90%	8.71%	12.20%	16.27%	12.50%	11.51%	13.86%	13.04%	11.78%	12.35%	9.34%	10.45%	12.68%	5.44%	4.35%	14.26%	5.04%	9.09%	6.35%	3.67%	2.96%	7.61%	0.00%	9.03%	5.91%	10.66%	2.78%	7.62%	14.55%	7.79%	9.03%	8.17%	7.34%	6.02%	10.98%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
